[84.954] tondura23: ｗｗｗ
[85.203] (S)ninnjinnbee: おす！
[85.593] (S)c_world_: ｵﾊﾖｵﾊﾖ
[86.180] (S)雪玉オニギリ: こんなのファン太じゃない！ｗ
[86.182] (S)fc_mihara: ちゃんとキャラクターにセクハラしろよ
[87.225] (S)ishibashikun: おおおおおおおお
[87.327] (S)mira_koko: うおおおおおおおお
[87.560] (S)ロンロ: ＷＷＷＷ
[87.818] toto_0831: セクハラやめてね
[88.363] (S)スカイライン乗り: わーい
[88.392] (S)歯頸: おおおおおお
[88.804] (S)meru_sen: うおおおおおおおおお
[88.964] (S)tarochan753: いえーい！！！
[89.002] (S)darkun_1115: ｵﾊﾖｵﾊﾖ
[89.007] (S)トラファルガー激ロー: うおおおおお
[89.016] はる0906: スタレマジで嬉しい
[89.107] poteto_sc30: あっと
[89.181] 銀河白鉄: FBCatch
[89.271] しへいぃ: k4senNorinori
[89.330] (S)4sh_47: おお！
[89.429] (S)きゅむぉ: #ＰＲ
[89.599] (S)i3ell_mouth: 変わっちまったな
[89.676] (S)ぺんた326: ww
[90.077] (S)PINODAY0: 完全勝利
[90.151] (S)TakuScarlet_Twitch: fantas22Muscle
[90.290] ~MISSING_COMMENTER_INFO~: うおおおおおお！
[90.538] nininbou: fantas22Nice
[90.684] (S)alkesituhaya: それは言ってくれ
[90.691] シュバラ: ウェーイ！！！
[91.131] ponzy48: 案件ないす！！！！
[91.185] けんちんんんん: fantas22Nice
[91.194] (S)つちのこ83: おおおおおおおお
[91.335] (S)konpe1: かぁんぜん案件
[91.404] (S)canariaww: 案件だああああああああ
[91.439] shogoaaaaaa: 激動？
[91.903] (S)べねでぃくと: おおおおおお
[92.007] fuyuto11: いくらですか？
[92.106] (S)zunda_17: 案件うおおおおおお
[92.137] (S)dongu__ri: うおおおおお
[92.332] mimisui: キレイなファンタやめてね？
[92.446] (S)Soukaiseki: なんだってぇ！？
[92.563] ゆみぃ626: 888888888
[92.661] rick12237: あっつう
[92.879] (S)yacchin0373: こんー
[93.274] (S)みもりすずこ: うぉぉぉ
[93.380] (S)kasutera_9646: うおおおおおおお
[93.397] 甘酒014: おおお
[93.589] yuni5877: fantas22Nice
[93.647] higanbana0602: セクハラやめてね
[93.669] hiyamugi0141: いえええええええい
[93.808] もちもち0808: うおおおおあおおおおお
[94.101] momo_dada: ですよね
[94.324] かるま1248: すごないｗｗｗ
[94.381] mochomotto: fantas22Nice
[94.536] tomo__3: やったぉーー！
[94.703] kisiro02ky: おおおおおお！
[95.001] madowakusan: fantas22Nice
[95.220] (S)tktktk_toshi: 888888888
[95.557] (S)鬼灯0: 案件！
[95.595] ume_yamaguti: fantas22Nice
[95.874] (S)tgf1357: いえええええええええ
[95.971] (S)べねでぃくと: fantas22Nice
[96.039] (S)rebecca_76star: 誰と？
[96.135] onyankopon0001: パチパチパチ
[96.162] (S)kahal_86: fantas22Nice
[96.189] nororo0112: 激動？
[96.509] えんえんトンネル: ありがとうごがいます！！
[96.883] (S)rlrlpo: いぇええええええええええええい！！！
[96.884] (S)きゅむぉ: 案件うおおおおおお
[97.119] (S)テネット23: amakipArapara
[97.200] (S)nana43: 案件できるようになったんですねぇ・・・
[97.425] tomosashisu_8: hiirag17Bbb
[97.631] (S)ユズ葉: こんばんは😊
[97.675] supasupan: ぎこちなくない？なんか
[97.676] (S)たち_: こん
[97.964] ekureapan: 案件モードのしゃべり方やめてｗｗｗｗ
[98.140] (S)ryoryoryo1113: 劇場版ファン太
[98.159] (S)neet_1747: fantas22Nice
[98.265] 無料の屍: こんばんはー
[98.384] くもちゃん1: よそいきやめてねwwwwwww
[98.463] asuka_shota: 最初クソ長い
[98.487] kana1309: 案件きちゃーwww
[98.674] mitla62: まじか
[98.725] wandora5: 人選間違ってない？w
[98.932] noln114: あつ
[99.355] (S)漆ツーリング: ファン太さんが相手崩壊スターレイルだろ？？
[100.228] (S)eightmico: fantas22Nice
[100.443] mitla62: やばい
[100.444] (S)さちゃすけ: BAN
[100.539] (S)gin3255: fantas22Nice
[101.029] (S)minmin5557: wwwwwww
[101.319] ｽｹ: 王！！！！！！！！！！！！
[101.538] (S)スカイライン乗り: あれ
[101.754] toto_0831: あ、んけん
[102.528] (S)mitsuya001: 見てウェス
[102.769] まちまちまっち: ｵﾊﾖｵﾊﾖ
[102.772] (S)へれそ: はい、ということでね
[102.903] (S)クジラァ: ｗｗｗｗｗｗｗｗｗｗｗｗ
[103.109] beforedawn000: あ
[103.354] higanbana0602: www
[103.429] (S)ロンロ: 再起やね
[103.590] momo_dada: ええんやで
[103.681] 銀河白鉄: www
[103.688] (S)ruruxxx02: ♯PR
[103.823] (S)rlrlpo: 案件最高ぉおおおおおお
[104.155] ekureapan: ｗｗｗｗ
[104.282] (S)あきぼーい: ｗｗｗｗｗｗｗ
[104.284] (S)zunda_17: wwww
[104.534] (S)salt___99: fantas22Nice
[104.577] patto_1023: wwww
[104.665] タロ餅: こんばんはー、大学どうですか？良い感じ？
[104.767] (S)べねでぃくと: wwwwww
[104.838] (S)konpe1: www
[105.068] (S)eguigorilla: こわしたな！
[105.511] (S)んジョボ: スタレやるだけでおもろい
[105.525] (S)~MISSING_COMMENTER_INFO~: あぅ
[105.577] mushikui34: あ
[105.813] (S)宇宙戦艦コティンウィン: あ
[106.152] (S)i3ell_mouth: あ
[106.352] アル_3: ん
[106.478] (S)あっと_: 詰み？
[106.601] (S)リュウ8140: 案件やったァー
[107.095] (S)meru_sen: wwwwww
[107.298] (S)kafuka15: wwww
[107.317] (S)みー0129: こんばんは！
[107.319] 夏芽蒼波: 再起
[107.341] (S)kuram210: あ
[107.522] もちもち0808: あ
[107.584] (S)rinko626: rinko626 subscribed at Tier 1. They've subscribed for 6 months, currently on a 5 month streak! ｵﾊﾖ ｵﾊﾖ
[108.243] (S)rebecca_76star: wwwwwww
[108.528] (S)歯頸: ｗｗｗｗｗｗ
[108.653] (S)fc_mihara: 再起
[108.736] (S)ファイブゼット: wwwwwwwwwwwwwww
[108.880] (S)トラファルガー激ロー: 完全初見
[109.407] (S)peho_okok: それ最期
[109.602] noukin_masimasi: さいき
[109.607] (S)pin4ban: さいきどうだね
[109.656] しへいぃ: はい
[109.734] (S)ぼぶ744: しゃべり方がよそ向け
[109.765] シュバラ: wwwwwwww
[109.877] あかやんぬ: まっずい
[110.090] くもちゃん1: 歪み？？？
[110.130] ももけろ: がんばれ
[110.220] えんえんトンネル: あ
[110.525] (S)canariaww: ん？
[110.709] 鯖缶だよ: あぅ
[110.991] yukito127: wwwwwwww
[111.211] tomosashisu_8: 再起ですw
[111.414] shogoaaaaaa: はやいはやいw
[111.448] mochomotto: 早速…ww
[111.461] ノキ3: こん
[111.600] (S)hikarinxxxx: わろた
[111.787] (S)darkun_1115: さっそく
[111.822] (S)あきぼーい: いきなり積んだｗｗｗ
[111.864] onyankopon0001: 終わり
[112.063] (S)きゅむぉ: 完全初見再起動
[112.111] sakura1097: VANです、か
[112.180] madowakusan: wwwwwwwwww
[112.292] (S)tarochan753: 雲行きあやしいwww
[112.419] (S)idsarasuzo: ば、ぐ
[112.484] tecchan1gou: www
[112.531] (S)matsukoma: matsukoma subscribed at Tier 1. They've subscribed for 9 months! 
[112.650] (S)ruruxxx02: あっ
[112.858] hiro_918: karubisFurifurii
[112.869] (S)ゆりぃー: www
[113.119] Lutz_06: たまになるw
[113.208] (S)jinta135: 完全案件ドリーマー
[113.445] (S)kahal_86: 終わったw
[113.896] (S)へれそ: ネガキャンですか？
[113.919] (S)udon_54: 出オチwwwwwwwwwwwwww
[114.252] nikukyu9: あっ
[114.796] (S)kenamimii: はい
[115.098] nerimad: 瞑想って言え
[115.443] (S)PINODAY0: www
[115.682] 甘酒014: fantas22Gg
[115.898] (S)雪玉オニギリ: 早速ｗｗ
[116.341] momo_dada: ええよ
[117.169] (S)xyz_3931: wwwwwwwwwwww
[117.264] (S)スキン: じじぃwwwww
[117.762] rick12237: もうワイは自分に嘘つけへん
[118.304] ponzy48: 瞑想な？？？
[118.329] patto_1023: これは初見
[118.403] tomo__3: 出オチ？！？！ww
[118.540] (S)kasutera_9646: ありがとうございました
[118.712] ほそみな: ｗｗｗｗｗｗ
[118.919] (S)meru_sen: 幸先悪いw
[119.076] (S)あっと_: お疲れ様でした
[119.140] (S)テネット23: さすがや
[119.665] (S)バンブ358: NotLikeThis
[119.775] (S)tgf1357: w
[119.825] (S)hirosn: 案件って初めてだっけ？
[120.130] kore552: ヴァン
[120.232] beforedawn000: 案件終了
[120.861] yukitwitch14: fantas22Gg
[121.294] ダカク: しょっぱなw
[121.557] (S)nana43: 星、の下
[122.827] fuyuto11: ネガキャンをひとつまみと
[122.852] しへいぃ: おつ
[123.344] mimisui: 案件崩壊RTA
[123.409] (S)4sh_47: これで十分ですよ 
[123.436] くもちゃん1: ファン太さん歪みって言わないと
[123.535] 五條くん: ファンタさんがRPGだと？？？？？
[124.203] るなあ7: 流石
[124.334] 焦がしメンマ: 誰かと喋ってる！？
[124.469] (S)rinko626: 瞑想マ？
[124.947] えんえんトンネル: 一旦ね
[125.512] (S)WornManipulator: WornManipulator subscribed at Tier 1. They've subscribed for 9 months, currently on a 8 month streak! 
[125.997] えびザベス: おつです
[126.104] (S)~MISSING_COMMENTER_INFO~: やっぱそういう星の下の影響が
[126.882] (S)tgf1357: おつ
[127.171] (S)雪玉オニギリ: fantas22Gg
[127.623] (S)uminncyu: 惑星ベジータですか、、、と
[128.455] アル_3: お疲れ様でした
[128.658] (S)ぺろすけ3: 幸先悪www
[129.999] ももけろ: がんばって
[130.577] (S)ぴこーつ: ぴこーつ subscribed with Prime. They've subscribed for 9 months! 
[131.769] (S)漆ツーリング: 案件〜終〜
[131.903] (S)みもりすずこ: 歪みはしゃーない
[132.267] (S)ぼぶ744: 完全に誰かいるやん
[132.322] tiharu: おつ
[133.125] (S)きゅむぉ: は、はじまる
[133.602] (S)yuuuuu066: fantas22Osimai
[135.813] sakura1097: 垢VAN
[139.875] (S)HANPENHAYATE: 崩壊ですか、
[140.410] (S)ボロポス: テイク2
[140.413] (S)アグニさん: いいよ
[141.821] しへいぃ: あけ
[142.564] (S)rinko626: お疲れ様でした
[142.649] noln114: いい
[142.770] tomosashisu_8: hiirag17Fight
[143.446] (S)sunasuke: ｵﾊﾖｵﾊﾖ
[143.779] (S)鬼灯0: 初手星の元
[144.092] (S)PINODAY0: Take2
[144.541] kisiro02ky: 激動か？
[144.745] もちもち0808: いいよ
[144.783] (S)jhane: ｵﾊﾖｵﾊﾖ
[145.387] (S)ぺんた326: 確認しつつww
[145.608] ponzy48: 聞いてますw
[145.765] (S)ruruxxx02: nigongStick
[146.373] shogoaaaaaa: ファン太さんのRPGゲーム想像できん
[147.347] sddl_1: 野良vcベジータw
[147.541] かるま1248: 紹介頼む
[147.558] (S)rebecca_76star: naru04ATM
[147.910] (S)shinji7214: これは激動ですか？
[148.923] 五條くん: まじかよ？
[149.697] (S)もふーお: ｵﾊﾖｵﾊﾖ
[149.747] (S)ももどいう: ｵﾊﾖｵﾊﾖ
[149.814] 銀河白鉄: おぉ
[150.100] (S)いうた: おはよ、おはよ
[150.855] (S)mira_koko: きたあああああああああ
[151.567] hiro_918: ｗｗｗ
