[443.709] kasu1123: やっぱりコーチングって凄いんだな！
[445.965] (S)しゅば_るつ: めっちゃ上達早くて凄かった！！
[449.363] yayaomshdhd: アケコンみたーい
[449.378] hokuozi: メガネ珍しいな？
[450.307] sio122: スコスコ聞こえます
[450.491] (S)りむめ: レバーレスじゃないんだ
[450.535] ちゃっぺ: 台パンしたの？☺️
[453.644] (S)古月謠: 天才！
[454.726] kimNit0: ファイティングスティックじゃない？
[460.930] (S)コクトー5: 工事現場配信
[464.345] MERIDA105: レバーは格好良い 
[465.074] りなどら: もうゴールド４は凄いです。イベント終ってもスト６を続けてくれたら嬉しいです
[465.086] (S)ヨロコンブ: moeiorClap
[467.501] (S)ジーサン: 毛繕い中かわいい
[469.469] はるでぃ: 緑も似合う！かわいい！
[473.104] ちゃっぺ: みんな太ももの上に乗っけてやってたりしてるのかな？？
[473.629] 問天天: 下午好 いおりん
[474.845] (S)yoyoyo_zex909: モダンではないだと、、、スゴイ
[477.276] kasu1123: 正直ガチャガチャ音いい味だしてたよｗ
[483.754] koubako_cat: 後ろで毛繕い中です😺
[485.195] strawhatkasey: your cat is cute
[487.361] (S)コクトー5: モダンアケコン
[492.368] jetjelly: おお
[492.888] (S)コミュ: 配信嬉しい！
[494.096] jetjelly: きた
[494.593] kimNit0: 猫にピント合わせてください！
[495.180] ちゃっぺ: 声聞こえました
[495.460] ジャマイカ定食: かわヨ🥰🥰
[500.990] kasu1123: れつごー
[504.054] ちゃっぺ: ボイスが小さいかな？
[504.283] 天使とあくま: 誰？
[508.069] jetjelly: 頑張れ
[509.712] (S)コミュ: いおりん！ファイト！
[514.866] ジャマイカ定食: よろしくお願いしまーす
[515.767] カイいおりん大好き: いおりんファイト
[521.443] 超合金ダイナロボ: ちっさ
[522.063] (S)しゅば_るつ: いおりん、ファイト〜
[524.067] さんご_: 今日のコーデ見せてください🥺
[527.356] boogiewk: 頑張って
[529.482] jetjelly: 声は小さいですねｗ
[532.161] (S)yoyoyo_zex909: がんばれ👊😆🎵
[533.201] ジャマイカ定食: 眼鏡すきい🥰
[535.670] 天使とあくま: しゅうと？って誰？
[537.126] (S)コクトー5: しゅーとさんの声が極小
[539.675] kasu1123: しゅーとさんの声がめっちゃ小さいかもｗ
[540.109] じょんこにー: COACH誰？
[540.154] ちゃっぺ: ゲーム音は聞こえない
[549.989] masakunn1794: 画面共有か
[550.193] じょんこにー: マリーザ？
[558.404] koubako_cat: しゅーとさん、よろしくお願いします
[561.786] ちゃっぺ: 久々のメガネ配信で可愛い
[565.165] (S)しゅば_るつ: メガネいおりん、良き…
[566.118] msqqk855: ブランカもいけるシュート氏
[566.818] カイいおりん大好き: いおりんファイト
[568.600] yayaomshdhd: しゅーとさんの声小さすぎぃ！
[569.707] けいちゃんだよおお: おつれさまですノ
[573.381] jetjelly: 練習？
[577.388] じょんこにー: ブランカ？
[577.518] ちゃっぺ: 明日は昼の部と夜の部頑張って下さい
[579.174] kassykkk: 声ちっさ
[583.236] りなどら: 明日は有料配信ですね
[585.272] (S)コクトー5: しゅーとさんの声が小さい
[588.778] msqqk855: 一人で喋ってる
[589.858] カイいおりん大好き: いおりんとひなーの、いい試合になりそう！
[599.724] kassykkk: きこえた
[604.677] ちゃっぺ: ボイスちょうどいいです！
[606.329] jetjelly: 明日は２部ですね
[614.013] カイいおりん大好き: シュートさんの音聴こえました
[620.620] koubako_cat: いおりんとひなーの対戦なんですか？？
[621.598] (S)ヨロコンブ: moeiorT1stamp
[628.277] (S)しゅば_るつ: しゅーとさんの声も聞こえて来た！良い感じの音量です
[632.778] カイいおりん大好き: 温泉配信終わった後なの！？
[633.188] ちゃっぺ: ゴールド四だよ！
[636.073] kuma2455: ゴル4すごすぎ
[636.994] 天使とあくま: 何の時間これ？
[649.377] (S)コミュ: moeiorClap
[649.671] kasu1123: 最強！！
[653.495] ちゃっぺ: どんどん成長してすごかった
[654.869] kuma2455: 天才です、か
[655.382] Nita_fps: PogChamp
[656.421] (S)りむめ: 最強です！！
[659.931] reanbel: まじですごいよwww
[660.471] (S)コミュ: そんな事はw
[663.174] otera_8989: 強くないか
