[799.974] (S)mimi_good_: CやからMよりはなさそう
[801.639] (S)oh_so_good: まあまあ
[805.091] (S)ううな: あらww
[810.786] (S)matsuobashuu: おしー
[813.728] bosobosoinu: 👍
[814.264] fuu5353: ないす！
[816.106] supasupan: ナイス暴れ
[817.647] (S)konishi625: hiirag17Nice
[817.655] (S)ymk_346: ヒット確認うま
[818.457] manju_tabetaina: ✙50
[819.048] (S)wantanmeeenjr: よし！
[820.411] (S)yagichan925: でもナイスよ！
[822.347] (S)ううな: うまーい
[823.851] (S)takeru3614yu: うまいなw
[824.735] rappausagi1: いい割り込み！
[826.339] アルミナ_積みゲー消化: リーサル判断できたのナイス
[829.650] (S)みじんコ: ダイヤ2まじでいけそう
[837.691] (S)rrluti: カウンター大K→ラュシュできるようになりたいな
[844.212] syama666: こく兄との特訓からさらに上手くなってる
[844.287] supasupan: まじで普通にマスター行ける
[848.231] (S)hotatechang55: いい感じやマジで
[849.775] rappausagi1: ミラーマッチ
[853.222] (S)matsuobashuu: 顔つき違うな
[858.745] (S)はちみつ832: どの動画かおしえてほしい
[859.028] (S)takeru3614yu: まじでマスター行けそう
[860.399] (S)cerezo0811: 動画観るのマジで良いよ
[860.756] manju_tabetaina: 目から学ぶのがあってるのか
[864.064] (S)ようま: ウメにぃ
[875.090] rappausagi1: 何見たの？？
[879.121] (S)ymk_346: 確ってたか
[880.326] (S)kyonsirou: 真理の扉開いたか
[886.361] pachi_888: ダイヤは豪鬼しかおらんイメージやけど、、、ダイヤ1からはぬけたんかな？？
[892.014] (S)rikaijam: 一方その頃ウメちゃんは0回戦敗退していた
[892.768] (S)mimi_good_: パニカンは返せない
[925.688] (S)ninjimjin: ダイヤなっとるやん
[942.095] (S)oh_so_good: うまい
[949.133] manju_tabetaina: ウメちゃんもう無理なのｗ
[957.214] fuu5353: ないす
[957.265] (S)takec1230: ないす
[957.327] pnpn__515: よーし
[958.534] ttatsuu1234: ないすー
[959.418] (S)the_goku_sf: ないす
[959.784] (S)z1gzagb: ナイス
[961.257] (S)fig_0106: ないすーー
[961.462] (S)みじんコ: おお
[961.575] (S)gilebish: 上手い
[962.205] (S)e_su_kun: うめぇ
[963.482] manju_tabetaina: V
[964.925] (S)parasor404: hiirag17Fight
[964.993] kabihouses: ちゃんとダイヤ
[967.120] (S)hotatechang55: めちゃいいぞ
[970.678] (S)oh_so_good: こまいとこめっちゃ良くなってる
[973.882] (S)rikaijam: Dリバの確定も覚えたいな
[989.533] (S)ycmh123456: きたあ
[991.413] アルミナ_積みゲー消化: 今季からみんなやってくる
[996.825] mill_2715: つるぎもできるよ！
[999.468] bosobosoinu: かっこつけだろ
[1001.386] horiuchi1000: Dリバ起き上がりにもできるようになった
[1003.360] (S)mimi_good_: アプデですリバサDリバ
[1004.241] (S)むてきまる: 今期のトレンド
[1005.749] syama666: 低リスクの無敵防御技だよ
[1010.867] (S)yagichan925: ぴん子がよくやるやつw
[1016.792] (S)takeru3614yu: ぱなすよりいいらしい
[1029.125] fuu5353: ないす！
[1030.782] (S)ymk_346: うめえw
[1031.206] ttatsuu1234: いいね！
[1031.657] (S)the_goku_sf: ないす
[1031.865] (S)z1gzagb: ナイス！
[1031.968] (S)るぁ__: ないすー
[1032.213] (S)tonkun__0624: ないせ！
[1033.075] (S)イヌマツ: ないすー
[1034.807] (S)餅大臣: hiirag17Nice
[1034.943] mill_2715: まじでいい！
[1035.189] (S)わいへいち: ないす
[1035.567] (S)e_su_kun: ないすー！
[1036.345] (S)hotatechang55: いいねぇ！
[1037.505] (S)konishi625: よし
[1037.726] (S)Nimochan: hiirag17Nice
[1038.932] (S)honokagggg: hiirag17Nice
