[1406.267] (S)rootlic: 致命的すぎて草
[1406.891] coltvr1500: wwww
[1407.934] (S)かなるな: www
[1409.553] ふか_321: wwww
[1409.768] lililllln: wwww
[1412.844] rito_xx: ｗｗｗ
[1413.045] さくぅ_: www
[1414.337] (S)akko818: wwww
[1415.084] (S)zakiyoka: 相手を見てものを言わないと
[1415.154] mickye0322: www
[1417.078] (S)akahige9280: 当たらないマジかw
[1417.761] ktuunn: 当たんないのかよwww
[1417.960] (S)ららく: 天竜人みたいww
[1417.993] TY_ul1012: 自分で言うことじゃないww
[1418.692] オモチもちもち: 流石しんじや
[1426.623] hottomotto666: 付いてきていいからｗ
[1426.917] オーマーン国際空港: FPS下手かw
[1427.439] lililllln: その銃よこしなぁ！ww
[1428.219] ウミきち: 後ろから撃たれそう
[1433.761] rito_xx: その銃借りたいな
[1445.172] (S)rootlic: あたってなさそう
[1445.184] (S)akahige9280: www
[1449.249] ふか_321: wwwwwww
[1449.544] kumakan_: w
[1450.932] (S)やなぎ1617: www
[1452.427] lililllln: wwwww
[1455.409] miffy_14: www
[1455.719] (S)akahige9280: トナカイくんwww
[1459.042] (S)akko818: www
[1459.573] ktuunn: 嘘だろw
[1460.534] (S)zakiyoka: 盾にされてる
[1461.489] rito_xx: ｗｗｗｗｗ
[1462.836] (S)かなるな: www
[1470.104] (S)ららく: 可愛い
[1472.322] (S)akahige9280: 終わってるよ 
[1474.824] mickye0322: 面白すぎるw
[1475.025] nrok_toshiki: 攻略王？！笑
[1477.657] ると73: www
[1479.332] Nmk0704: 逃げるのはっやｗｗｗ
[1482.080] (S)やなぎ1617: おもろいw
[1484.684] (S)akko818: tonaka2Wwwwww
[1486.782] (S)rootlic: なぜかダメだしされるｗ
[1489.480] びりたいちょー: 後ろ乗せて運んだ方が早いだろw
[1496.414] オーマーン国際空港: 置いていこw
[1498.338] kg3274: @5_mine
[1498.879] (S)zakiyoka: 色々すごいなww
[1499.006] lililllln: まだなんだよねww
[1525.020] (S)zakiyoka: トナカイ君ww
[1526.026] hottomotto666: あぶな
[1527.685] (S)かなるな: www
[1529.817] (S)やなぎ1617: tonaka2Wwwwww
[1530.361] Nmk0704: 姫（しんじさん）を守ってｗ
[1532.263] lililllln: まずいww
[1533.243] (S)akahige9280: どんどん声が遠くなるwww
[1538.570] (S)akko818: しぬしぬw
[1548.230] harinezu01: トナカイ君じわじわくるwww
[1557.948] オーマーン国際空港: 下手くそかw
[1559.899] coltvr1500: ダメ出しされる攻略王ｗ
[1561.485] (S)ららく: その名前変えろ！！ 
[1561.887] lililllln: 攻略王さん〜?www
[1566.673] ると73: しんじさん？www
[1567.080] オモチもちもち: 他人との距離感わからんタイプだwwww
[1569.209] (S)zakiyoka: おバカなボスと用心棒コントかな？
[1576.915] (S)じぇにん: https://clips.twitch.tv/PlumpNimbleKoupreyBuddhaBar-33m0tbFFT7YkXCIR
[1594.318] (S)linchan217: 馬に乗せたが早ない？
[1604.750] (S)やなぎ1617: これが攻略王かwww
[1611.921] (S)akahige9280: ここまで徒歩で来たんか
[1644.967] (S)junn_0212: wwww
[1646.781] (S)akahige9280: www
[1648.501] 黒マスクのりんりん: ｗｗｗｗｗ
[1648.994] nrok_toshiki: www
[1649.231] オモチもちもち: wwww
[1649.337] 1roh4ni0kuda: フリが丁寧やなあｗ
[1651.838] (S)junn_0212: 情けない声出てたな
[1651.873] bamboo3q: www
[1654.551] (S)千茶: www
[1654.560] okosama_luncher: なっさけねえww
[1654.769] さくぅ_: www
[1655.671] (S)みにろん: あっちょっw
[1655.926] (S)akahige9280: 女子出てたなw
[1657.024] (S)akko818: さすが攻略王だ
[1657.258] (S)zakiyoka: 高音なんよww
[1658.512] lililllln: www
[1658.785] (S)かなるな: おもろ
[1659.094] ktuunn: もう無理そうw
[1661.348] (S)ららく: いつまでも味する 
[1663.839] (S)akko818: tonaka2Wwwwww
[1664.027] びりたいちょー: いい音なる人だなぁw
[1664.502] nrok_toshiki: ほんましんじはいい音が鳴るwww
[1671.461] (S)akko818: 最高や
[1683.026] (S)はおちゃ: wwww
[1684.267] hottomotto666: 確かにｗ
[1695.331] (S)akahige9280: ファン太さんはグランドラインでやられてたしね
[1697.606] yokko_7213: あのおっさん終始へっぴり腰なんよ
[1733.671] (S)akahige9280: 現地調達ナイスですね
[1739.558] (S)akko818: ないすぅ
[1739.838] ぱすた55: こんにちは！
[1754.913] それいけカオナシ: こんにちは！
[1762.410] (S)coco_xxxi7: また運転席うしろの
[1768.514] (S)かなるな: ファームがいっちやんいいんやから
[1775.794] (S)coco_xxxi7: 運転席後ろの箱ミノガシテル
[1781.184] (S)かなるな: 今ー
[1782.312] びりたいちょー: ドームとかは行かない感じです？
[1784.257] (S)はおちゃ: wwww
[1785.447] (S)akahige9280: このタイミングでw
[1785.580] (S)じぇにん: いまさらー
[1786.161] 5_mine: w
[1792.949] (S)やなぎ1617: 捨てるんかw
[1794.155] ギアふっしー: 初日ならなーｗ
[1796.272] (S)akko818: 今じゃない〜
[1796.538] (S)junn_0212: トムとジェリーみたいなくしゃみだな
[1800.463] pwgkpmtjwm: くしゃみかわいいな
[1800.765] (S)akahige9280: 珍しくくしゃみ1回や
[1821.517] (S)かなるな: 今のうちやない？
[1824.444] konhyan: リボルバー買って寝てる体に忍ばせとく？
[1826.731] ギアふっしー: どいー日数でレア枠変えてくれないかなー
[1838.007] アリス__: こんちわ
[1844.334] (S)えまㅇ: w
[1854.901] (S)akko818: やったか
[1856.446] aya_twi: ドーム収益は下振れてもリボルバー二本くらい買えるからアリよりのアリだよねぇ
[1881.868] (S)かなるな: だから防具硬いんか
[1920.306] (S)かなるな: ヤバそうや
[1921.926] erena0208: セミオートピストル買おう
[1926.537] びりたいちょー: ストッピングが良いんじゃなかった？
[1927.840] bonjiri7: 次元大介になろう
[1929.628] (S)akahige9280: スマホからじゃ分からなかった
[1930.766] 暇猿01: リボルバー精度悪いからな
[1937.395] 5_mine: 精度ヤバいか流石に
[1942.558] zakidown4: 基本全部止まってしゃがんだ方がいいぞ
[1951.890] seahouse888: とまって撃ってもブレてそう
[1966.797] (S)かなるな: リボルバーは近づたらええって聞いた
[1990.739] soropuri: リボルバーヘンデイみたいに弾丸飛ぶ
[2050.636] びりたいちょー: 普通のnpcはエイム良くないから落ち着いて撃っていい
[2073.300] yudai_kota: 昨日の海賊狩りメンツ五時すぎてもやってたから一旦夜からか海賊狩り
