[780.829] (S)496shikuro: スト5時代打ち込んだこと、ふむ当身ですか...
[787.364] 36mgh: そのー…なに？集中っていうの？それはどこでやるの？
[788.259] しすてむえらー: リュウってでもブラックカード持ちじゃなかったっけ？
[810.338] bbandttb: is daigo playing ryu as main?
[812.390] CARNO_JPN: スト6のコミックって終わったけ？
[814.886] だいす_: あ
[814.973] warotyphoon: ブラックカード持ち出し休日は春麗と買い物デートを楽しむ
[816.914] 5don: 特技は昇竜拳です
[817.341] (S)ponponguripon: ぴょん
[818.514] tabibitox: ﾆｶﾞｻﾝ
[821.745] leaf1341: ぴょいーん
[824.102] ましゅダヨ: ◎面接経験10回以内の人｢ここまで行ったら受かるっしょ！｣◎面接経験猛者｢こんだけ受からなきゃ受からんわ｣
[825.572] bec118_japan: そりゃ弱くなりますわ
[828.695] (S)ひまんちゅ: 持ち前の集中力と、ゴリラ並みのパワーで御社に貢献したいと考えております
[829.824] jeven16: believe daigo champ with ryu
[830.893] (S)kakutora_no_o: ここに書いてない一年間は何してたの？山で自己研鑽？
[833.242] chocolat1234: 👏👏
[833.868] (S)イエール: This is the LCQ to be Daigo's main
[833.998] kiku1133: 結果オーライ
[837.598] (S)hoshi_boshi_0: ナイス
[839.629] fujimike: あれリュウは合格だったのか
[840.051] potocki1810: ちょーさん
[846.619] (S)ZettonMS: ちょーって言いながら真昇竜打ち込むメンタル
[849.037] null1326: ケンにはない"圧"
[851.799] dezipt: 大P当てた後の足刀って確反にならないんですか？
[855.475] 新ころりん: まだリュウはLCQ中だってさ
[860.334] gatmiya: 相手がBOしたらいっぱい削ることができます！
[862.041] thinwaki: このセビ滅っていうの使える？
[866.453] gumi093: リュウが最後に大会で優勝したのいつ？
[866.656] とも8はる: こんばんは
[868.972] 36mgh: Today is LCQ Day 2 for ryu
[870.944] fujimike: まだ予選中だったか
[875.318] (S)kakutora_no_o: リュウさんはLで遠泳中です
[878.297] 箸くれ: リュウのLCQは草
[883.385] Ganondorf_nulvi: Lol this is the third LCQ
[887.338] norixyl: サビ残ならいけます！
[892.034] (S)イエール: EWが去年勝って、CC出場決めたかな？
[892.441] kiku1133: meatstampCap
[897.008] laorao0: 削りーサル
[898.006] latenight000: ダイゴ、またリュウで遊んで！昨日最後って言ったでしょ！
[904.243] kahaku91: 目をそらしていませんか？
[904.574] しすてむえらー: EDはDQ
[909.953] (S)ZettonMS: リュウに対してOD昇竜うてんのか！って話
[910.507] gatmiya: ケンが本戦で待ってっからよ
[914.262] だいこん_: ウメちゃんこんはんはねじ込む！！！
[915.266] leaf1341: 強化前のリュウでCC出場したEWのやばさ
[916.722] aiukake: エンディングウォーカーは新リュウで結果出てるのかな
[918.041] kotokiig: あれリュウ延長？
[921.371] johndoe6523rp: 大P中足刀はキャラによっては確定はないけどルークはSA1が確る
[922.334] (S)nyctomek: LCQ grand final 
[931.497] ぽんぽこたぬ吉: ジェイ・・・ミィ・・・？
[940.138] minamotonooo: Daigo will play Ryu forever
[940.723] 新ころりん: リュウはLCQ遠泳中
[943.111] dezipt: なるほど！ありがとうございます！
[944.457] 36mgh: EDはラッシュ止めれなかったせいで飛行機に乗れなくて会場に着かなかった
[953.548] だいこん_: まだウィナーズ残ってる？
[954.930] ハルキ10: 一生面接中になりそうなリュウ
[956.652] 5don: ルーザーズが長すぎるw
[958.556] Armaeterna: なるお説得しろ！
[960.746] potocki1810: まだ全然詳しくない時、アメリカにはDQって呼び名の人が多いんだなって思ってました。。。
[969.018] Lowrider777x: こんばんは！リュウ最終面接合格したん！？
[973.728] gatmiya: ED0回戦敗退説好き
[978.170] (S)kakutora_no_o: 6月ぐらいにLに落ちて放置されてたんで…
[978.287] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[979.734] v_harumi_v: まだ審査中だそうですよー
[988.356] leaf1341: 今はファイナルラスト面接ぐらい
[988.488] lewisteh88: What does LCQ mean? anyone mind telling?
[988.951] latenight000: げんこつ
[991.059] なりみち: なりみち subscribed with Prime. They've subscribed for 20 months, currently on a 1 month streak! 
[998.734] nishionn: 面接EXステージ
[999.940] kentaro_3912: 書類選考通ったんやな
[1003.894] だいこん_: サプつよ
[1005.756] (S)화랑잘해지고싶다: もうレジエンド１３０位、、
[1008.244] FilthyOjiChan: Last chance qualifiers
[1012.485] 5don: 昨日で終わるかも知れなかったリュウ配信が今日も続いてる。嬉しい 
[1016.828] (S)화랑잘해지고싶다: すごすぎる
[1017.375] ~MISSING_COMMENTER_INFO~: 面接見届けたい
[1025.272] FilthyOjiChan: Wait why he ryu again today?
[1034.641] bec118_japan: idk
[1037.837] regain61: 豪鬼が待ってる
[1039.987] だいこん_: 海外ニキも困惑
[1040.719] 5don: @filthyojichan リュウが可能性の獣だからです
[1051.523] smile9104: ウメさんのリュウミス減れば結構イケそうに見えるけどなぁ
[1052.556] 36mgh: いつ最後になるかわからないからみんなウメリュウ配信を見ざるを得ないという作戦ってワケ
[1054.650] BobConsistent: when will hitbox come to ps5?
[1062.728] ましゅダヨ: He wants to try a little more.
[1063.395] FilthyOjiChan: 5don thank you
[1063.999] Ganondorf_nulvi: Because Ryu Is fun
[1064.082] (S)グッド: グッド subscribed with Prime. 
[1075.345] pyamaaaa: ウメちゃんこんばんは〜
[1078.444] pekusuyada: 音がレバーみたい
[1083.316] 下から失礼: 大P草
[1084.184] nan4mi66: リュウくん結局採用されたの？
[1087.196] (S)ひまんちゅ: ジェイミーの面接も見たいけどね
[1095.498] lewisteh88: @FilthyOjiChan Ok, but what to do with Daigo's Ryu?
[1099.355] osarusan26: 大丈夫ウメさんは調整の度に「リュウどうなの？元気してる？」って触り始めるから・・
[1102.451] wrwig: 昨日が最後のリュウだと思って悲しかったけど、リュウの面接続行で嬉しい！
[1104.185] Ganondorf_nulvi: I thought he said Yesterday that he was going to main Ryu, Is that changed?
[1105.949] よもぎです: 最終面接がんばれリュウ
[1106.126] teruharu_: リュウなのかたかしなのか… 
[1106.163] ましゅダヨ: もう少し試すらしいですよー
[1107.093] だいこん_: レジェになると中々ねじ込ませてくれない
[1108.136] FilthyOjiChan: He said yesterday he wants try Jamie today, we'll maybe he got addicted
[1108.429] aiukake: he is still testing how ryu is worth
[1120.645] ましゅダヨ: 最終面接からの最終面接
[1121.905] KEI_kgd: これでリュウにお祈り通告したらそれはそれで面白い
[1125.060] ~MISSING_COMMENTER_INFO~: 面接落ちたら山に連れて帰ろう
[1127.509] trigger_pp: mago2dSyuutyu
[1127.956] (S)ZettonMS: リュウだけODゲージ貯金ができる
[1129.121] フェルナンドセギノール: 入社前研修くらい？
[1129.137] tatsumi2025: おー
[1129.300] ひろみつー: すげー弾撃ち
[1129.834] tabibitox: 絶対飛べないｗ
[1131.808] gatmiya: きっぱり別れるために最後にやるって話だったが…
[1132.013] wrwig: おー
[1132.490] (S)marton_ss: 撃った～
[1132.754] (S)화랑잘해지고싶다: ｗｗｗｗ
[1132.986] gb_niconico: ライコウ!!!
[1133.971] pyamaaaa: 弾いいね
[1135.405] ajipon_00: 撃ち抜く！
[1137.604] だいこん_: 受け「は」
[1139.813] wrwig: 雷光！
[1140.044] 96473785: 面接なげーなw
[1140.425] 床の上ぺろぺろ丸: さわりに行けない
[1141.816] moviepassion: 守り強い
[1141.852] 5don: 集中スタンプこのチャンネルにもほしいですね。外堀から埋めてきましょう
[1143.672] leaf1341: 受けはね
[1150.159] kahaku91: どうやってリードするか
[1151.781] 箸くれ: ウメちゃんが楽しいならなんでもいい
[1152.050] ピヨさん: でも受けに回るのは不本意と
[1153.164] Armaeterna: リュウはウケ！
[1155.962] volken3: ウメちゃんが弾打ち上手いだけでは？
[1155.974] TBchek: @FilthyOjiChan I don't blame him. Ryu is really fun in this game
[1162.671] kashiasu4: 自分から攻めざるを得ないキャラと受けが難しいキャラが・・・
[1162.874] minamotonooo: 自分より受けが強いキャラには相性悪い
[1173.839] 小鋒___: SeemsGood
[1175.641] naien3: リュウ続投、俺らみんな嬉しいよウメちゃん
[1176.232] balthazar000: お、リュウやってる
[1176.498] bec118_japan: 真空波動が便利だったりしないの
[1177.135] (S)ZettonMS: SA3の発生が速い男リュウ
[1198.616] 瀬戸弘司はんじょう: muraka8Hieee
[1200.705] takarasann: ウメジェイミー、、、
[1203.615] だいこん_: 出んがや
[1210.598] balthazar000: まだ味する感じですか
[1211.275] フェルナンドセギノール: ケンでいけたダルシムが辛くなるのもなあ
[1215.567] potocki1810: RyuChamp
[1218.732] djthesaintxii: hello daigo san
[1219.025] moriorio: 真昇竜5Fも剛拳おじいちゃんの禁じ手昇竜感じさせて良い
[1226.645] 箸くれ: umeGu_SG
[1227.805] 36mgh: このガム噛んでも噛んでも味するんだよなぁ
[1228.975] ajipon_00: mago2dSyuutyu
[1240.317] ましゅダヨ: あああ
[1242.858] (S)화랑잘해지고싶다: うーあもう一回たまるんだ
[1243.330] mojira_2222: ウメさん立ち回りで立弱Kに竜巻仕込むの、先端でも繋がって連ガじゃないのが逆にめちゃくちゃ強いので試してみてください カウンター以上なら強竜巻も繋がるので端付近背負ったらこればっか振ってます
[1250.255] 96473785: そろそろカプコンさんもリュウの事ゆるしてあげてくれれば
[1252.019] (S)Hiclere: 向こうのリュウつよない？
[1254.264] 箸くれ: umeGu
[1257.781] ましゅダヨ: mickey🐭さんつえーな
[1267.405] aiukake: 良さげな武器が
[1269.962] kiton_taichi: 見てる分にはかなり理不尽な対戦に見える
[1272.792] (S)ZettonMS: 弱波動の処理に迷いがあるとすぐ集中
[1277.272] ~MISSING_COMMENTER_INFO~: リュウ頑張って！
[1277.428] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1288.128] Hitode_noko: ファイナルラストリュウデイと聞いて
[1289.414] lewisteh88: I can really tell Daigo hasn't really figured out all about Ryu yet.
[1295.070] フェルナンドセギノール: やっぱり中波動だけ集中ストック消費にしない？
[1298.246] potato198504: 竜巻ガードされたら終わりじゃん
[1317.637] thescrb: リュウ最後なんですか？
[1319.207] wrwig: ファイナルラストフィナーレエンドチャンスリュウ
[1325.765] ミジンコ隊長: たかしぃ 
[1326.667] むだいさん: 差し替えし小足ってことちゃうの
[1336.920] ましゅダヨ: 明日も明後日もリュウってこと？
[1351.192] ~MISSING_COMMENTER_INFO~: 最後ですかね。やっぱり
[1355.677] むだいさん: 対空で～る
[1363.636] 箸くれ: まだリターンズとフォーエバーが残ってるんでね
[1364.759] だいこん_: 何次面接まであるんだ
[1365.085] wrwig: 明日もリュウがあるかどうかはリュウの頑張り次第
[1366.011] むだいさん: リュウいままでありがとう
[1370.707] thescrb: 微歩き対空？うますぎる
[1371.005] Armaeterna: 受かるかどうかはリュウの調整次第なんだろうけど、やっぱり諦めきれないんだろうなぁ
[1374.365] ピヨさん: 弾撃ちならこっちに分がある
[1380.897] だいこん_: 個性
[1382.232] daikun111: 梅ちゃんエドないん？
[1384.913] Hitode_noko: ジェイミーのたわけ方を味わってから決めるかな
[1386.431] intvfpa17: Cheer100
[1386.986] wrwig: うおおおおおおおおおおお
[1387.101] (S)kakutora_no_o: さすゴリ
[1388.262] gatmiya: っぱリュウなんだよなぁ
[1388.446] potocki1810: 個性あったー
[1388.526] (S)ZettonMS: 集中を消費する波動と破衝撃は中+大P同時押しとかでもいい気がする
[1390.679] thinwaki: リュウなら終わる〜
[1398.894] rebando: リュウの強み
[1399.565] ましゅダヨ: 楽しいことは楽しいんだろうなあ。でも競技シーンでは……
[1401.743] (S)nyctomek: Ken theme has to be the most hype in the game
[1406.533] wrwig: これがリュウの個性
[1407.540] potocki1810: がっつぽ
[1415.368] ひろみつー: ガッツポいただきました
[1420.710] Goodwisp: リュウ、伝統で弱キャラにするのいい加減やめて欲しい感じはする
[1420.783] ピヨさん: 飛べない
[1420.982] nan4mi66: ウメザンギ復活はなし？
[1424.872] Hitode_noko: オフシーズン？だから使えるって感じよね
[1435.458] だいこん_: 受けは強い
[1436.791] h1dden_v1s1on: @nyctomek And Lily's.
[1439.459] anz121823: anz121823 subscribed with Prime. They've subscribed for 47 months! 
[1441.778] ましゅダヨ: 私はウメケンも好きだけども
[1446.159] 96473785: 集中もうちょい溜めやすければ環境入れるかもねー
[1451.180] PRETTYF0X: 今日はファイナル最終面接？
[1458.828] Hikaru_256: 確かに競技シーンでは・・けど勝てた時の盛り上がりヤバそうやな
[1461.334] CARNO_JPN: 海外のイケメンプロゲーマーがリュウで活躍していなかったけ？
[1462.517] perfecttakahashi: ウメリュウの魔法のような差し合いが好き
[1475.372] フェルナンドセギノール: スト5時代もぶっ飛んで最強ってワケでもなかったのに…
[1476.248] げら: ファイナルラストとファイナルラストパート２がある
[1486.475] 母の日ですお母さんに: リュウも前投げ集中つけてくれ
[1493.403] kiton_taichi: それで負けてボロカスに言ってくるやつが出てくるのは辛い
[1496.305] ましゅダヨ: ファイナルラストスペシャルバージョンもあるかもしれない
