[762.606] sdy_hs: 竜爪ええで
[764.627] suginaka56: umeGuile
[770.992] kamisimeru: うおおおおおおおお
[773.385] 山田たろう太郎: momochocoAtsu
[773.798] (S)valhalla5555: あつｗ
[774.477] (S)user81023: momochocoAtsu
[775.578] (S)ソルダ: 竜巻は遅れるとガードされるから結構危ない
[775.717] nyctomek: naokun wouldn't have been happy about that combo
[775.880] (S)たあぼ0126: 過去の男に未練が
[780.768] aryupaka: umeBoom
[780.938] DASH_1985: それは ない
[788.202] tanakanaka12: ガイルメインだししゃーない
[797.161] user0511: 地震のが強いかな
[802.989] arm6: 影楽しくなってきた？
[803.984] 8ikaika8: ニルヴァーナやらんの
[810.458] DASH_1985: daigo bout to get mopped!
[810.604] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[813.801] ~MISSING_COMMENTER_INFO~: ためキャラとコマンドキャラどっちもできる人尊敬するわ
[817.015] user0511: 前ゲロ
[818.714] maguru: 2月アップデートの保険の影
[819.019] kamisimeru: あちょおう
[822.267] チュイさん: ACHO
[822.918] (S)user81023: あたったｗ
[823.116] (S)valhalla5555: ｗ
[823.724] highspeedwarakia: ゲロは設置処理大事なゲームやってないと反応困る思う
[824.994] Player_noob: LUL
[826.482] metalface_05: 当たったｗ
[826.972] shomarusan: 昇竜でないね
[828.983] (S)manabubb: たま強い
[829.513] howaboutmagic: PogChamp
[830.153] kakugedaisuki: コサク 
[833.871] gamuq: acho
[833.961] PaulowebTV: pwebBlankachan
[834.231] kazukitaiga: ウメフラ
[834.473] ememeume: ハイファイトさんの動画とかFuriousさんの動画めっちゃ面白かった笑
[840.585] (S)たあぼ0126: テッサみたいやな
[840.997] kamisimeru: ウメちゃん嬉しいよ 正月からモチベあげあげで
[842.720] チュイさん: a-cho
[846.981] wahaha7788: ウメちゃん体調どう
[849.252] (S)user81023: 夢にばちばちきた？
[850.022] dtnhr: 夢をね
[850.078] silvia13qs: silvia13qs subscribed with Twitch Prime. They've subscribed for 20 months! 
[850.141] (M)Moobot: @SILVIA13QS with the 20 months re-sub! 
[851.894] taira3: 夢か……
[852.055] (S)hituji__: 初夢じゃん
[852.143] shupii097: それ無敵技で返されなかったっけ
[852.453] sansiki205: 正夢になるといいな
[853.630] ぴあにっしも: 何故影を使う？
[853.944] rhayader_alone: 竜爪思い出しただけでも成長してる
[855.597] asseternum1: christ195Angry
[857.626] lun__01: 夢を叶えよう
[859.524] (S)manabubb: 夢オチ
[859.609] canon_203: BigPhish
[860.212] aryupaka: 夢をね
[862.051] anonymousman878: 夢……
[863.553] ememeume: 正夢に！
[864.518] 157655: gori157622 subscribed at Tier 1. 
[864.575] (M)Moobot: Thanks for subbing, @GORI157622 
[867.570] twx12345: おめちゃん あけうめー
[868.675] goejglsdf: 夢か・・・
[870.092] kumatedd: という夢をみたんだ
[870.853] (S)torarion: torarion subscribed with Twitch Prime. 
[870.938] (M)Moobot: @TORARIONさんTwitch Prime登録ありがとうございます！
[876.582] イースポーツどくたぁー: 胴着でもんじゃ締めくくる準備できたか
[881.514] べーこん118: あれ玉避けるのあかんやろ
[882.876] yoyodoooon: あけましておめでとうございます
[882.965] (S)user81023: ぱんぱんｗ
[885.864] WISH_COMMANDANT: Today I saw the Time out win icon for the first time
[887.171] kazukitaiga: 覚えてあげてｗ
[887.645] mezashics: また忘れてるｗ
[889.033] shomarusan: ばちばち？
[889.216] kamisimeru: コサクのゲロ機能しないなー
[889.514] metalface_05: パンパンｗｗｗｗ
[892.335] left_dk: バチバチさん
[892.403] gom4mi29: ぱんぱんは是空
[892.746] (S)Nicktown01: いつも名前を忘れられるバチバチ式
[892.879] (S)bobumakihara: パンッ！パンッ！
[893.414] rhayader_alone: おじいちゃん・・・
[895.588] MagicAlonso1: danOMG
[895.731] chohoino_choi: バリバリ？バチバチ？
[896.723] dtnhr: 相手がゲロ吐いてても こっちが灼熱で０．５ゲージためれるならおｋやな
[898.429] (S)user81023: ぱんぱんしたいお
[899.160] kazukitaiga: パンパンはあなたの是空でしょ
[899.791] ぐらぁ: ばちばち？
[907.136] らみはい: 絶対覚える気ないでしょ
[907.399] highspeedwarakia: 灼熱は確か10分の1ゲージ溜まる竜巻とリュウソウと同じくらい
[910.989] (S)tukumi07: バチバチ
[911.166] 1sunbouzu: おぼえてあげてw
[912.242] metalface_05: パチパチ
[912.449] ememeume: バチバチ式
[912.994] fukuzawa1manyen: てか相手コサクじゃん
[916.098] (S)juno0220: ゲロ〆
[916.307] (S)user81023: バチバチくん！
[925.022] usizura: あけましておめでとう
[927.285] prisira: うおーかげだー！
[930.930] tanaka200046: コサクに負けるはない
[935.647] (S)tukumi07: ドンドン ジンジン ボンボン ビンビン
[935.876] ememeume: バチバチ式！
[937.347] chohoino_choi: ちがうｗｗ
[941.980] らみはい: はじき昇竜のバチバチ
[945.083] mezashics: 別の人に吸い寄せられて・・・
[946.470] kazukitaiga: パチはアークの人です
[947.247] gamuq: シンシン ランラン
[948.165] kirsch_jing: チャリティーで見れなかったカードか
[948.826] umeske: ばちばちさん
[949.088] lun__01: 毎回名前間違えられるバチバチさん
[951.000] domontyan: なおくん
[962.717] goejglsdf: バリバリ式！
[963.221] K4rbon_: any official words about sticking with Kage?
[963.268] Artemis_Reinhold: Happy New Year 
[972.986] ShadowDragonxTV: Daigo using Kage 
[975.599] prototypeie: ベロベロ式！
[983.076] yagibrain: 実戦で絶対決めてやる！を見に来ました
[988.311] らみはい: みんなあけおめ
[988.513] snowX23: 風邪大丈夫？
[990.850] hidari04: ネカリの２初めて見たけどほんとに寝ゲロだね
[991.428] goejglsdf: お
[993.444] fukuzawa1manyen: 食器片づける音がｗ
[993.677] metalface_05: お
[994.064] umememe: バチバチ式
[994.491] (S)user81023: いくどー
[994.622] hiisan: かっけぇ
[994.771] suginaka56: 食器の音がする
[994.830] 山田たろう太郎: きえええええええええ
[995.588] べーこん118: うまーい
[995.592] domontyan: きえええええええええええええ
[995.700] prisira: ｷｴｴｴｴｴｴｴ
[995.954] yamame: ｷｴｴｴｴｴｴｴｴｴｴｴｴｴｴｴｴｴ
[995.972] kumatedd: あけおめです
[996.139] kamisimeru: キエエエエエエ
[996.764] kirsch_jing: ニルヴァーナは？
[997.215] left_dk: ｷｴｴｴｴｴｴｴ
[997.406] (S)tukumi07: キエエエエエエエエエエエエ
[998.794] takuan55213: キエエエエエ
[999.279] ライトぴ: きええええ
[999.865] Pig_Boss: nymnBenis
[1000.479] ガネちゃん: だれかおるな？
[1001.173] kazukitaiga: ウメエエエエエ
[1001.576] (S)たあぼ0126: 滅
[1002.572] 黒虎えびお: 強盗
[1002.856] (S)fapfapjpn: umeMad
[1004.093] kumatedd: 滅
[1005.433] steveyo_au: BigPhish
[1005.565] lun__01: めでたいキエエエ
[1006.208] Aayronn: NANI 
[1006.403] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1007.237] dtnhr: なおくんも これにはにっこり
[1007.535] Gamenhaji: うめえええええｗ
[1008.740] sansiki205: 縁起がいい
[1008.949] (S)ポンポン: ネカリも体調悪いのかな
[1009.430] icyblue1985: ｷｴｴｴｴｴｴｴ
[1009.471] tujimen: 大足発動より中足波動発動の方が
[1009.561] 多抜深夜: 強盗きたああ
[1010.205] らみはい: めでたい
[1010.246] (S)manabubb: ガチ技
[1012.261] 8ikaika8: こえええええ
[1014.464] left_dk: 初キエエエ？
[1014.679] ゅり: umeYay
[1019.585] (S)pem97476: ｹﾞﾛｗ
[1021.850] kirsch_jing: ｵﾛﾛﾛｯﾛ
[1023.278] goejglsdf: haitaniHaitani8
[1024.249] rhayader_alone: やべえ技だな
[1025.261] prisira: ゲロうぜえｗ
[1028.396] snowX23: vt2になったの？
[1029.368] metalface_05: 面倒くさいｗ
[1030.015] salad_maki: ヴォエ！ヴォエ！
[1030.019] tobika13: ゲロハメ
[1030.147] 山田たろう太郎: げろはめ
[1030.255] (S)wasabeef_jp: PartyPopper
[1031.511] kanegon7237: 彼女いてるでしょ部屋にーーーー
[1031.839] takuan55213: ハメ
[1034.066] laorao0: ゲロまみれにw
[1034.892] kamisimeru: これはきつい
[1035.615] ledlight9413: 詰みじゃん
[1037.112] MagicAlonso1: danLUL
[1037.808] (S)ソルダ: 一応ゲロは竜爪先端当てで消せる
[1039.270] dom0629: ウメキャット食器片付けてるな
[1041.053] sdy_hs: これには苦笑い
[1041.539] mezashics: ウメちゃんは銀の食器を盗ませている
[1042.297] (S)myruju: 対策しよう
[1045.614] s3phtv: ricermRage
[1046.216] (S)たあぼ0126: 下呂吐きすぎ
[1046.417] ギュウタン: 草原ステージだとゲロが見えない…
[1046.502] juicestand: m64Damaged
[1048.437] (S)スズカズ: あけおめビッツ Cheer1000 Cheer1000 Cheer1000
[1048.589] (M)Moobot: PogChamp
[1049.903] (S)スズカズ: スズカズ's Cheer shared rewards to 25 others in Chat! 
[1051.178] (S)user81023: umeCatGlare
[1054.431] byepush: happy new year, diago umejuarez
[1054.679] metalface_05: お
[1055.123] snowX23: ゲロ対策
[1056.834] (S)fapfapjpn: PogChamp
[1056.958] ememeume: スズカズさん！
[1057.451] らみはい: 一富士二鷹瞬獄殺
[1058.220] domontyan: ウメちゃんあけおめ
[1058.717] kumanobed: Cheer100 明けましておめでとうございます
[1058.863] (M)Moobot: Thanks for the support, @kumanobed 
[1059.448] (S)user81023: ＠suzukazu00さん、HahaShrugMiddleをありがとう。
[1059.497] レベルゼロ: 竜巻とかだめなの？
[1059.894] kumatedd: スズカズありがとー
[1060.085] s3phtv: ricermWtf
[1063.848] shomarusan: 竜巻とか大昇竜とかか？
[1063.951] burisuke: ゲロ蹴飛ばせるはず
[1064.286] tomytomy4869: 大昇竜ってコメあったけど
