[126.476] kainaco: wwwwww
[126.524] frenkie_210: ︎；；
[126.568] melonpan_orix: オリックスに比べればまし
[127.023] junchankato: てか、ハム戦の球審ゴミすぎだろ
[129.086] aaaa41sho: ババアのために緊急でやれ
[130.577] (S)強竜優勝: ばばあは2人いるけどかもは1人だからね
[132.459] makou54321: ギータ大丈夫かね
[133.499] mmm3mmm0: 横浜フアンやから嬉しいはしかも森が打ったし
[133.854] ディギモー: 流石にパワポケ3
[135.083] ghighijkljkl: きたか
[136.603] tukusi0927: ばあちゃんに会ってやれ
[138.347] EUREKAgg5: 阪神は今日も終わってる
[139.369] (S)パイモンすこ: 緊急ってそういう意味？
[140.559] (S)hanamiz7: 緊急緊急 
[141.630] yo_fd2: おい、かもフランコが覚醒したぞ！
[141.767] corrinking123: 今日の🐯も終わってるぞ
[145.173] もたる: 原子力じゃなくてもこたんにしろよ
[147.350] 105desu: 寝てくれ
[147.891] イヴァンバッソ: 緊急と救急
[148.105] cbst0321: 阪神ロッテ見てて苦しいです。助けて
[150.664] kabcddeffggqpn: Xするな
[153.641] peacegundam: 覚醒かものはし
[159.050] ynwnnbf: 昨日はまさかのゴミ箱に詰め込まれてエンド
[159.188] tales_wendy: ぶ、ブルーウェーブw
[162.670] ghighijkljkl: 今日は緊急なんですか？？どうなんですか？
[163.296] kotoha0321: いっしょー
[165.411] mogarisa: 巨人覚醒してて楽しい
[165.414] gorira3031: 今日も原子力発電しよっか
[169.228] sai927: ｗｗｗ
[169.634] (S)パイモンすこ: 刃牙
[169.918] けんこん: www
[170.216] japanyuta: 後ろ扉開いてるけど平気か？
[171.199] mokou755: ｗ
[173.816] goreinu_cpa: 夢でみた？
[174.512] fnhmenag: フォントとけてない？
[174.540] EUREKAgg5: 昔のゲームだからなんでもあり
[176.495] こーしゃ: ww
[176.689] steak_2929: ちゃんと治安悪い
[177.388] melonpan_orix: wwwwwwww
[177.908] ナナミン: バキハウス
[178.569] 105desu: ww
[178.715] kainaco: wwww
[179.958] 4243812476: 尺たりない
[180.492] tukusi0927: また極悪高校やるのか？
[180.991] (S)manmu04: かもさん、こんばんわ
[181.592] locorococo: wwww
[183.153] velvet_024: もこたんは売らないでね
[183.311] agbehringer: ちゃんとそのままww
[184.898] けんこん: 今では考えられない
[187.341] ~MISSING_COMMENTER_INFO~: 巨人の中継ぎ打てる気せーへん
[187.675] melonpan_orix: タヒね
[190.279] sai927: むーんと結婚
[191.147] steak_2929: wwww
[191.446] mogarisa: 存在しない彼女
[192.759] fnhmenag: ｗ
[194.533] juiahj: ｗｗ
[194.756] カピお: むーーーーーーーーーーん
[194.977] ディギモー: ；；
[196.680] aaaa41sho: ぶっさ
[198.054] ナナミン: 言い過ぎ
[199.148] naginohazama: む〜ん
[199.729] (S)パイモンすこ: 紀香性格良ければよかったんだけどね
[199.983] ynwnnbf: BibleThump
[201.251] (S)hanamiz7: 酒盛りしてかものパワポケ配信が何よりの生きがいだよ、ありがとう
[201.952] steak_2929: むーん 
[202.064] corrinking123: ww
[203.775] イヴァンバッソ: むーーーーーーーーーーーーーーん
[203.973] tyouryou_: まー〜ーん
[204.814] ポンチ侍: w
[205.237] naginohazama: BibleThump
[211.584] ポンチ侍: むーーん
[212.838] pjhailmary: 履修済み
[213.000] betago212: やあ 3やってんね
[213.812] ym0654: オースティンは打たれる前にあのコースにボールが投げられた瞬間打たれる気がした
[214.305] konbini7: でも泣いてくれてるぞ
[214.401] mokou755: ぐっろ
[215.319] ナナミン: そうはならんやろと
[215.830] kitatoshi: つまらないこと；；
[219.747] agbehringer: こっわ
[220.122] ynwnnbf: ルパン三世！？
[221.354] (S)huuka123: sekiParty
[228.206] manjiroooooo1: 柳田怪我した；；
