[64.420] kathuki_: こんにちは
[64.462] ナナセちゃん: フェスお疲れ様でした〜！！！
[64.523] nonco30: こんばんは！
[64.594] _イリス: おはようございます
[64.613] kotori_10152: こんばんわーー！
[64.666] twinamusan: こんにちは！
[64.714] tukudanidani: おはよ
[64.761] marii_059: こんばんはー！お疲れ様でしたー！
[64.790] kagiesss: おつー！
[64.833] 眠_みん: フェスお疲れ様！楽しかったよ〜〜！！
[64.865] ___ここ: おはよう〜！
[64.866] nemui_yoyo: CRフェスお疲れ様でした~！
[65.510] しゃむちゃ: おはよーー！！！！
[65.657] lpysealige: こんばんわ！
[65.758] inomizu19: こんばんは！お疲れ様でしたー
[65.765] choco_79425: おはよー
[65.970] kiyooooo111: バニー楽しかったよー
[65.998] (S)ponswest: おはよう〜！
[66.131] chihiro_1231: フェスお疲れ様でした〜〜〜！！！
[66.243] niko__wan: お疲れ様！
[66.278] てりやき_2000: 2日間楽しかったです！！！ 本当にありがとうございました！
[66.590] (S)みわち: CRフェス最高でした！おつかれさまでした crvaniHeart
[66.627] (S)yen_300: crvaniHello
[66.688] あぃりす: おはようございます！！
[66.841] micheru_17: フェスお疲れ様です！とても楽しかったです！
[66.943] ひよさんだよ: こんばんは 
[67.020] tonduke99: ちわー
[67.023] さば038: こんばんは！
[67.181] poyooon_: こんばんは！！
[67.210] makota2525: おはよー！！
[67.393] (S)すみる_: crvaniHello
[67.456] アサギです: こんばんはー！
[67.478] みゅんっ: こんちは!!!
[67.696] ゆゆぽち: 連休最終日きつすぎる
[67.759] (S)lamyeee: おはよー
[67.776] よーかん101: お疲れ様でしたーーー！
[67.910] ｼｬｹ7: おはよ～
[67.946] うた_: おはよ〜
[67.952] nappy78: crvaniHello
[67.971] (S)ぽんちゃこ: フェスお疲れ様でしたー！！
[68.013] 봄_ぽむ: crvaniHello
[68.100] (S)wakachiko_: CRフェスお疲れ様でした！めっちゃ楽しかった 
[68.690] kana0k: crvaniGokigen
[68.735] nikakotan: crvaniHelloお疲れ様でした
[68.805] yuri__cha: フェスお疲れ様でした〜
[68.854] こむぎんん: こんにちは〜
[68.943] かなまるる: CRフェスお疲れさまでした🥰🥰
[69.064] (S)simaneko88: フェスお疲れ様でした！！
[69.087] ときれいな: フェスお疲れ様ー
[69.231] waga_boco: CRフェス2daysお疲れ様でした〜
[69.273] kotori_10152: お疲れ様！！！
[69.292] xlizly__: おはよ〜！
[69.599] noa_2525: フェスお疲れ様でした！
[69.943] alk010717: おはよー！
[70.120] oyumaru9: フェスお疲れ様でした〜
[70.149] ぴっと: フェス楽しかったよー！
[70.160] まめ_87: お疲れ様ー！！！
[70.211] 推し依存症: フェスたのしかったーーーーーーーー！
[70.332] あーーーちゃ: おはよー
[70.414] aya21aya: お疲れ様ー
[70.484] _ひゅーす: おはよ～～！
[70.530] kanazou7: おはよー
[70.637] (S)ぐらのん: フェスお疲れ様でした！
[70.729] こもりんご: フェスお疲れ様でした！
[71.171] gareki1827: フェスお疲れ様でしたー！！
[71.527] (S)ha7aBoo: crvaniHello
