[1650.746] sumiyoshisan_: 良い生徒
[1652.650] kaedekuno1: 完璧っすよ
[1653.601] syuto1112: 完璧いいいいいい
[1656.356] kurage88: これが 鈴木
[1670.651] lightkk0: マジで答えが完璧
[1692.893] muryokuka: 折笠さん直ぐに抜かれるね
[1709.143] (B)(S)DaigoTheBeasTV: ねかりの足
[1721.581] sumiyoshisan_: S2のユリアン中足
[1726.275] omedetroit: ただこれ聞いて折笠もまた成長する可能性
[1726.316] psionicpsi: まちゃぼーも早い段階でフレーム調べること教えてたな
[1789.771] kurage88: 逆択
[1797.217] うもだま: ｗｗｗｗｗ
[1797.878] psionicpsi: ｗｗｗ
[1798.886] user0511: ｗｗｗ
[1799.252] sumiyoshisan_: EX昇竜は犯罪
[1799.555] kaedekuno1: ｗｗ
[1800.251] kurage88: 罪
[1800.388] tannkai: 草
[1803.519] 56ne5656: ｗｗｗ
[1805.247] (S)イナゴ0213: 罪
[1805.407] muryokuka: 違法
[1809.201] SUZURANation: 現行犯
[1809.465] lucita_lapita: 穢
[1811.710] user0511: ボクシングにナイフ持ち出してる
[1812.305] miso123451: 逮捕です
[1813.437] omedetroit: つまり"ウメフラッシュ"
[1815.620] syuto1112: なんフレから無敵か聞いてんだろｗｗ
[1816.486] Initiative_: LOL
[1820.644] Raydawgms: atpCarl
[1824.272] efmaniac_jp: ぱなすの犯罪になる！
[1825.803] sumiyoshisan_: えいたは重犯罪者
[1827.050] 寝るポイント: インターハイに室伏が来るレベル
[1827.134] fatcatz: 脱法昇竜
[1833.760] metoro3: タイステルール
[1834.483] avmajvm: 現実の無敵技・・・
[1839.697] chikenlittle88: twitch | fuudo
[1839.782] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1859.538] penbaaaaaa: 永田容疑者書類送検
[1876.858] psionicpsi: 無敵っていい響きだな
[1893.803] avmajvm: 無敵って英語だとどう言うんだろう
[1921.699] (S)optedout731: invincible
[1924.475] sumiyoshisan_: 顕示欲満たしていけ
[1939.020] nop360: muteki
[1940.096] うもだま: 丁寧やなー
[1946.241] user0511: ちょっとごちゃごちゃしてきたか？
[1952.588] 寝るポイント: 無敵はフレームからの脱獄、アーマーは仮釈放みたいな感じ
[1955.457] yuki201709: 鈴木さん誰ですか？すみません、教えてくださいコメントの方
[1955.614] LT123456: mutekiはAVメーカー
[1967.183] omedetroit: 鈴木さんは折笠の友達
[1970.862] ~MISSING_COMMENTER_INFO~: 折笠の友達
[1976.546] yuki201709: ありがとうございます
[1993.283] doesntmeananything: Kappa
[2018.583] nup1965: 無敵 means jiyuna
[2041.782] psionicpsi: 最適解
[2042.290] omedetroit: 格ゲーの面白いところでもあり敷居が高い部分でもある
[2063.435] ﾃﾄﾗﾝ: フレーム覚えずに戦える格ゲー増えんかなぁ
[2079.941] こあとる: めっちゃ勉強になる
[2095.487] kurage88: 結局覚えないと途中で行き詰って辞めちゃうしな
[2099.976] user0511: アームズとか？
[2117.668] omedetroit: フォーオナーとかもどうだろか？
[2155.435] sumiyoshisan_: ギルティは攻撃レベルがあるから楽だよね
[2188.845] user0511: ｗｗｗ
[2193.119] papapoppapa: フレーム覚えずに戦えるのは擦りゲーになるから読み合いが面白くないと思う
[2207.905] dan4909: ふーどっぽいｗ
[2212.595] psionicpsi: 分かりやすい
[2216.002] lightkk0: バーチャ勢らしい考え方だなぁ
[2232.960] omedetroit: "初狩り"
[2259.049] psionicpsi: 出るね
[2262.291] lightkk0: やる
[2268.877] kamisimeru: うぃー
[2278.421] yoshikawa_yo: これは生徒力全1だわ
[2289.685] pukeshi: おっそ
[2289.827] kurage88: もたもた・・・
[2298.972] (S)イナゴ0213: もっと入ったなぁと思えるのがでかい
[2304.060] kaedekuno1: ふーどリュウのことしらないｗｗ
[2305.943] うもだま: 確実に成長してますね
[2311.085] psionicpsi: ｗｗｗ
[2312.127] user0511: ｗｗｗ
[2328.282] yarukiannu: まだはやいw
[2342.759] kobakoba_yy: カウンターほんとややこしい
[2354.013] papapoppapa: ｗｗｗ
[2356.566] kagiyoshi: 地味にリュウの中Ｐに３Ｆで暴れててうまかった
[2391.591] yoshikawa_yo: あがったー
[2399.093] Raynys: lol the ADS
[2410.154] sumiyoshisan_: 罪
[2463.768] 寝るポイント: 鈴木さん、理解早すぎじゃない？
[2488.178] user0511: はっやｗ
[2498.998] unknown00kuv: 今の波動飛んだのやべぇな・・・
[2502.618] puffyfury: 折笠いらなくない？
[2513.654] dan4909: これはほとんどハイタニ
[2516.255] kurage88: 経験値高めるしかないやつは初めから知っといた方が得よね
[2517.796] AnneSh1rley: いい詰め方w
[2518.410] うもだま: やーる
[2519.314] Raynys: loooooooool
[2520.288] tannkai: 圧
[2526.159] lucita_lapita: いまのはうまい
[2526.509] (S)イナゴ0213: いまのは圧ある
[2527.841] kaedekuno1: 良いムーブ
[2530.379] ねぎ子: うおおw
[2530.759] unknown00kuv: 将来有望ですわ
[2531.156] sumiyoshisan_: うまかったなぁ
