[55.924] (S)kuuki1214: radaoKitya
[55.946] tanukidao0326: おおおお
[56.008] maruisipkst: ぺいんとさんは配信しないの？
[56.037] 愛の林檎: wwwwwwwww
[56.346] ぽーてっと: radaoKitya
[56.454] (S)nibosichan_0403: radaoKitya
[56.584] chitose0917: きちゃぁー！！！！
[56.720] 湯とうふ: radaoKitya
[56.728] (S)hanamaru_chan323: radaoKitya
[56.814] (S)にわすずめ: れいーど！！！
[56.909] わんここ: radaoKitya
[56.913] murasaki_chan: radaoKitya
[56.965] (S)ama_iro_: radaoKitya
[56.967] baceneKo: うおおおおおお
[57.158] shiu27: うおおおお
[57.466] (S)レロキャン: radaoKitya
[57.482] 胡桃柚子: radaoBanzai
[57.588] yanju_111001: レイード
[57.598] nekozukikun: うおおおおおお
[57.613] (S)はくまい_45: おお！
[57.618] sabakuina: おおおおおお
[57.659] (S)kuugay0905: radaoKitya
[57.817] ヨッシー32: おおおおお！
[57.827] (S)なむーる: れいーど！
[58.035] なつおよ: radaoKitya
[58.072] てぃやんでい: うおおおおお
[58.177] mi_tyan562: きちゃああ
[58.246] harusame0921: おおおおおおおおお
[58.309] おの_レエイ_00: radaoKitya
[58.362] うみタカ: うぉおおおお
[58.422] nishimana: きちゃあああああああ
[58.611] ごんぎつね_: わこらだ
[58.633] とりーーも: radaoKitya
[58.706] すいろ: wwwwwwww
[58.818] (S)yamamurame: 誰？
[58.826] (S)yunoooa: 声
[58.833] (S)レロキャン: radaoBanzai
[58.849] あきぬこ: だれぇ？
[59.062] 3000bitto: うおおおおおおお
[59.212] kinugoshi_douhu: radaoKitya
[60.051] (S)つくよちゃん: まーじ？
[60.141] (S)yunoooa: あ
[60.193] (S)surooooooooo: radaoKitya
[60.254] (S)イモムシファザー: radaoKitya
[60.279] omuraisu_nana10: レイドくん！
[60.447] てんぷらおしいし: うおおおおおお
[60.457] Ishio_62113125: わこらだぁ
[60.531] リベル_0: radaoKun
[60.571] ココナッツ__24: れいーどきちゃぁぁ
[60.694] 唐突ならっと: www
[60.732] (S)ぺぱさん: radaoKitya
[60.775] sutolaba: きちゃああああああ
[60.796] sjindoa: wwwwwwwwww
[61.094] (S)miam_1018: きちゃあああああ
[61.123] (S)凩_: radaoKitya
[61.340] netawakukuran: うおおおおお
[61.386] すいろ: wwwwwwwwwwwwwwww
[61.397] (S)にわすずめ: だれ？？？？？
[61.439] なゆーた: きちゃーーーーー！！！
[61.600] (S)壱代目: radaoKitya
[61.648] yanju_111001: radaoKitya
[61.723] lesser2525: そといきれいどｗｗｗｗ
[61.845] nasimaru18: www
[61.847] かかおしてます: きちゃあああああ
[61.869] 愛の林檎: 誰？
[61.968] (S)ドミノくん: 異色すぎるwww
[62.017] はるるぴょん: れいーどｗ
[62.038] nekodama2155: 誰だwww
[62.264] れぢくす: うおおおおおおおお
[62.370] 宙海: きちゃあああ
[62.405] (S)kasumi0205: きちゃああああ
[62.446] (S)depon_0401: radaoKitya
[62.566] dolaldo: きちゃゃゃゃゃゃゃ
[62.584] (S)hotarusuki: radaoKitya
[62.591] omomo67: きちゃあああああ
[62.732] あまりんだ: ふひひひひw
[62.784] じゃがビぃ: 誰？
[62.792] みーだん: だれ？
[62.801] ponkichi1228: 酔っ払いおるなー
[62.860] 胡桃柚子: だれ？
[63.088] chitose0917: だれ？w
[63.305] woodm9o: うおおおおおおおおおおお
[63.307] (S)Hinori0228: 猫かぶってるw
[63.313] (S)~MISSING_COMMENTER_INFO~: wwwww
[63.436] shi__409: れいーど！
[63.543] えっぐさんど: www
[63.601] (S)とりここ: radaoKitya
[63.689] (S)髪おむつ: だれ？
[63.698] にこさく: radaoKitya
[63.816] kotetsu_yuzu0108: wwwww
[63.855] (S)96猫3: うおおおおおおおおおおお
[64.403] (M)Nightbot: サブスクライブはこちら https://www.twitch.tv/products/raderaderader/ticket Primeの方は無料でスポンサー登録ができます→  https://twitch.amazon.com/prime
[64.439] (S)hanamaru_chan323: 声良
[64.560] (S)koharapi: radaoKitya
[64.595] tukky1208: 猫被ってんなあ
[64.632] Ramune__0: れいーど！？
[64.653] (S)rive1563: radaoKitya
[64.660] (S)夜景がきれいですね: radaoHi
[64.666] えぬあい: だれ？
[64.693] mary611: だれ？
[64.742] nobume0v0: wwwww
[64.777] pokaburu: よそ行きだー！
[64.856] 混沌の青: wwwwwww
[65.224] stostos: 誰？
[65.248] ura__5: おお
[65.302] sayorin25256: Wwwwww
[65.437] Zzz_jun: うおおおおおお
[65.498] (S)yunoooa: 声良
