[796.400] (S)Neifeel: リロードしたけどまだちょくちょく止まる
[800.545] debimaru72: まっチュンつかうのね
[805.376] (S)ぐらぁ: 直った気がする
[816.147] (S)takeo_onakasuita: さっきは止まってたけど今は平気っぽい
[816.376] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[819.928] john888k: 直った
[821.111] (S)munku1106: twitch自宅最近重い気がする
[824.430] (S)テムおじ: まだちょくちょく止まる
[826.910] (S)zakkn: わこつー
[827.266] (S)kurataro: 5秒ごとに止まってるよ
[828.017] pepperdirt: こんにちは
[830.102] (S)natsuxiv: たぶんウメちゃんのPC再起動したほうがいい
[841.015] ぱーーまん: 珍しい顔のおじさん
[843.739] shichousha72: ウメちゃん…助けて…
[847.205] (S)テムおじ: 音は大丈夫だけど画が止まる
[847.595] daws2299: 🐻
[849.574] (S)atsu_240: こっち普通なんだけど、個人差あるんかな。。
[850.112] (S)takeo_onakasuita: うめちゃん…
[850.924] (S)zakkn: まーた熊顔
[855.378] (S)munku1106: 俺は普通に見えてるからそっちの問題
[855.501] (S)poposuke: PC裏で何か動いてませんか？
[863.069] (S)juuuunation: 熊
[868.545] (S)GelidiumJellyCat: umeStretch
