[270.007] bokaaan: DinoDance
[270.437] raurakd: ボイジャーw
[270.657] mako6912: 70年式
[270.998] gorogorogorn: ｋｓｋもどこー
[271.467] cafe_gondo: ボイジャーｗ
[273.510] v_harumi_v: え？
[275.132] thefrozensun_: わからんw
[276.052] 紺青: ボイジャーが飛んだ年ｗ
[276.372] brutal9998: 知らねえw
[278.216] 夜神総一朗: 火星でしょ
[279.117] nyata1234: 👴
[279.437] (S)gularain: わかんねえw
[280.934] dekamega: 衛星ではないですね
[281.064] (S)monpiipop: しらないの？w
[281.080] (S)yuukida39: わかんねーw
[281.625] teruharu_: ｗｗｗ
[281.636] r135_m: 草
[281.804] maddy2623: ボイジャー知らずの勝久
[282.297] neon_d99: 衛星でもない
[283.850] v_harumi_v: ずっと遠くに行ってる
[285.099] tabibitox: 遠征
[286.851] ひろみつー: 変な空気なったぞ
[288.535] laffinxxx: 銀河系の外までいったやつだ
[289.730] dekamega: 宇宙探査機だ
[289.791] (S)ringo_35: www
[292.130] おそろしく速い手刀: 太陽系の外だぞ
[292.511] 何も知らないジョンスノウ: いいね～w
[294.649] kaki4675: 衛星ではない
[295.540] takahashiseigi: 今の幕末志士ってニコニコ並みに人気あるのかな…
[295.815] redpeppar510: 探査船ね
[297.144] nyata1234: ksk・・・
[298.726] romusuca: ボン様入れてよー
[299.037] (S)yukikaze083: いいね～
[300.803] (S)dcdryuya404: LUL
[301.904] senkoba9: KSKは
[304.573] mart_00_: wwwww
[305.445] maya_g01: ｗｗｗ
[307.417] tama_zx61: ｗｗｗ
[307.787] ミジンコ隊長: さかちゃんおるやん！
[308.938] xxtidorixx: でも爺って蛇足にぃぐらいしか・・・
[309.722] latenight000: じじいがいねぇ
[309.943] Jasminexxx2525: 言い方www
[310.043] nyata1234: 総師範にぃ・・・
[310.732] (S)ゲーミングらいおん: メンツえぐすぎ
[313.920] curemikan: 年下得意か
[315.348] (S)potesaraudon: 発注ｗ
[332.331] だいこん_: バ〇モトサカモツ
[336.164] romusuca: 若手いびりが始まりそうｗ
[337.514] takahashiseigi: 坂ちゃんはスマブラ上手い
[339.101] dshjdsjfkif: さかちゃんだけ声が若い
[344.158] mart_00_: wwwwwww
[344.672] aranami0: ｗｗｗ
[345.887] romusuca: おいおいおい
[346.584] (S)yukikaze083: ｗｗｗｗ
[346.698] teruharu_: ｗｗｗ
[346.782] v_harumi_v: いいですね！
[347.461] neon_d99: 草
[349.632] nyata1234: 声若いね坂本さん
[350.514] (S)ponponguripon: うめちゃん臭いの？
[351.027] (S)firefly860130: www
[352.401] (S)yuukida39: www
