[1263.781] (S)shishimaru365: umeJam
[1276.917] cjGRAYSON: made him look at the sky to open up the ground
[1280.404] Hasssun: Thank you for the live translation, Jiyuna! 
[1288.991] fliege1515: マジで当たるｗ
[1289.756] maemaemaema: うーん、どうなんでしょうなー
[1366.446] sh1zuku716: スパダイが全く相手になってない
[1370.308] hosuhosu: 手品見てるみてえだぁ
[1371.558] okitotoro: 攻め♂×受け♂
[1372.095] fliege1515: つらい
[1379.319] shibaponz: 聞いてて草
[1380.537] user0511: 乗ってくれただろｗ
[1383.918] nurugameraa: 忖度
[1385.414] yoshikawa_yo: こわwww
[1400.802] (S)kumatedd: 頭の中で言語化してるのか
[1422.586] user0511: （電気ビリビリお願いします）
[1429.908] maemaemaema: 打つんかいw
[1468.883] (S)kumatedd: 狩りたがり
[1469.018] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1493.155] (S)kumatedd: 意識…
[1509.983] surokun777: マゴ？
[1515.224] canon_203: 津軽魂でビリビリをおおお
[1519.977] X2sanX2san: これは何募集？
[1521.160] cjGRAYSON: netplay 
[1524.441] fliege1515: 出さないｗ
[1538.144] でお: ありがとうございましたー
[1541.130] watafork: 回線に自信ある人募集
[1544.215] sh1zuku716: さすがに聞いてるから
[1547.304] canon_203: 0283猛者募集
[1554.936] (S)suzume_s: この思考の声を聞きたかった！
[1566.309] canon_203: でお兄おつです
[1569.736] arashi213: 春麗こいｯ！
[1575.305] surokun777: ハンサムとふーどとあと誰？
[1587.286] yoshikawa_yo: ぶっ殺す（忖度
[1589.766] cjGRAYSON: mikeanWoke
[1605.080] okitotoro: 育成枠、鈴木氏
[1611.874] X2sanX2san: いっちょやってみっか
[1613.099] shibaponz: スズキさんらしいけどこの人が何者かは俺もよく知らない
[1613.660] funkie: rooDerp
[1621.759] kamisimeru: 頭の中で電気ビリビリいうてるんか
[1622.355] (S)kumatedd: 格ゲー以外にも広く活用できるテクニックじゃないですか
[1624.530] ramulock: ふ～どしゃん、昨日の話してよ
[1624.722] ~MISSING_COMMENTER_INFO~: ハンサムの知り合いらしいよ
[1631.285] surokun777: 育成枠の鈴木って初めて聞いた
[1633.840] shibaponz: ハンサムの知り合いかー、ありがとー
[1641.445] (S)suzume_s: いまの上すごい
[1645.674] funkie: rooSip
[1653.786] surokun777: 鈴木って苗字の人ろくな人がいない
[1665.038] (S)waylev765: RAGEの話は聞きたい
[1666.944] Kazunoko35: 左の人誰？
[1667.422] shibaponz: すげー偏見やめろ！
[1681.225] (S)kumatedd: 田中と山田もな！
[1681.386] fliege1515: 絶対出るの怖い
[1688.920] (S)hibiki3232: ウメハラは鈴木だぞ
[1696.860] canon_203: 育成枠鈴木さんハンサムの知人の初心者さん
