[989.685] manji5616: 弾ちっちゃいもん
[1022.910] シラポン: ないす！
[1024.000] gumic: でっか
[1026.271] (S)mekabu2929: ないすー！
[1026.763] げすと_: ないす
[1027.439] (S)akahige9280: ないす
[1030.236] lililllln: でっかぁ
[1034.144] taishudaigin: ウマw
[1037.361] ライトリング: うま!
[1038.337] su1k4_r4id: 2ピうんまい
[1042.555] inufu: いーねー⤴︎
[1056.630] (S)mekabu2929: おしー
[1067.153] シラポン: おっしい！
[1068.086] lililllln: おしいnt
[1068.750] omotchiiii: んｔ
[1069.285] (S)mekabu2929: nt
[1070.244] (S)akahige9280: ナイトラ
[1072.823] taishudaigin: ドンマイ
[1073.870] yozakuraarika: おしいいnt
[1074.096] su1k4_r4id: ナイストライ
[1080.417] inufu: おしいnt
[1085.195] mo__rin: nt
[1086.766] Marugedayo: 味方、vc喋ってくれるのいいね
[1102.286] mo__rin: 雰囲気まる
[1102.697] シラポン: プランBが見れるなんて
[1111.465] su1k4_r4id: 10点差までは誤差
[1113.948] gumic: 手札がいろいろあってええな
[1147.207] (S)ゴルスタ: おいすおいす
[1161.749] lililllln: 怖いめう
[1168.226] taishudaigin: 手汗が
[1184.279] みみみ223: 王は震えてます
[1221.659] さくぅ_: こんにちはー
[1226.012] lililllln: ないすー
[1230.466] シラポン: Fooooooo!
[1230.686] (S)akahige9280: tonaka2Nice2
[1235.078] taishudaigin: ナイス
[1235.884] yozakuraarika: ないす！！！
[1236.706] (S)ゴルスタ: なーいす
[1239.853] manji5616: ww
[1240.118] (S)なちゅ120: tonaka2Ganabare
[1241.934] (S)akahige9280: おもろいやんおもろいやん
[1242.259] lililllln: www
[1243.015] saladman33: ないすぅ
[1246.501] sun_hidamari: なんか違うか
[1249.233] inufu: ナイスー
[1249.996] (S)ゴルスタ: www
[1251.766] (S)おばらら: こんにちは
[1257.781] lililllln: おちんついてね〜〜
[1270.754] (S)chloe48o: こにちわー
[1277.962] manji5616: 何か分からんけど凄い緊張するw
[1288.943] (S)rootlic: 見た目ポップになったCSだからハードはハード
[1290.859] lililllln: BibleThump
[1293.105] yorime_004: ｗｗ
[1295.468] シラポン: ひん；；
[1302.591] (S)ゴルスタ: tonaka2Kuuuuuun
[1306.722] (S)ケダ: 強い；；
[1311.633] lililllln: シルバーの王いっぱいいるかも 
[1322.972] inufu: 普通に強いめぅ 
[1341.165] (S)ゴルスタ: tonaka2Faito
[1341.757] yorime_004: 大丈夫ですか王
[1345.738] yamada326: ヘンディー さんゴールド3とかじゃなかったっけ？
[1351.788] シラポン: 強ひ 
[1358.018] (S)akahige9280: 最初の勢いは何処へやらw
[1359.584] taishudaigin: 王もレート上げないと
[1360.781] manji5616: 王って200人おんねん
[1377.385] (S)ゴルスタ: そろそろわからせちゃってくだせぇ
[1402.336] シラポン: おっほ
[1403.989] (S)akahige9280: ナイスワン
[1408.411] yozakuraarika: ないわん！
[1416.767] (S)ゴルスタ: tonaka2Penraito
[1437.830] (S)akahige9280: www
[1441.993] taishudaigin: それはw
[1442.217] manji5616: ないすw
[1442.381] (S)ゴルスタ: ないすないすw
[1442.973] みどりんごさん: 取れたならいいねん！
[1443.717] yozakuraarika: ナイス！
[1444.391] シラポン: ガハハ！
[1445.226] mo__rin: えっぐ
[1449.775] sttafer_hatt0210: すかっすかっすか
[1450.586] yorime_004: owエイム？
[1454.536] (S)rootlic: リハビリやｗ
[1455.537] inufu: ナイスベイト
[1458.101] (S)akahige9280: 取れたからOK
[1465.912] さくぅ_: tonaka2Faito
[1467.884] ねるぽぉ: がばばw
[1472.098] sttafer_hatt0210: 一応CRカップ準優勝の男です
[1475.333] 飯勇: オーバーウォッチを一回忘れてくれ笑
[1477.564] manji5616: 回復ないよ
[1480.354] mo__rin: お互いがばってたww
[1516.434] onsoku87: 爆風でナノスワームくんが
[1523.275] げすと_: ｗ
[1525.844] yorime_004: ｗｗ
[1527.816] (S)junn_0212: www
[1528.605] (S)kyubeisan: ww
[1528.937] sttafer_hatt0210: wwww
[1531.129] (S)ケダ: ｗｗｗ
[1531.212] (S)ムギちゃ: tonaka2Hendyobaatyan2
[1531.563] Evi1_jp08: www
[1532.556] シラポン: ナイストライ！
[1532.622] supefura: お互いにｗｗｗ
[1534.438] manji5616: いいぞw
[1534.511] Rapids1_iu: ｗｗｗｗｗｗｗｗ
[1534.865] taishudaigin: 嘘でしょwww
[1535.705] (S)ゴルスタ: ww
[1537.039] lililllln: さすがに面白かった
[1540.655] saladman33: wwww
[1549.378] ねるぽぉ: えぇw
[1549.533] inufu: ガバwww
[1553.500] lililllln: www
[1553.726] mo__rin: デスマで仕上げよ！
[1553.952] みみみ223: 一旦タイトル変更もシア
[1554.206] sun_hidamari: これがシルバーの王か
[1556.400] (S)akahige9280: www
[1556.851] sabon2022: ｗｗｗｗｗ
[1556.959] (S)mekabu2929: ｗｗｗ
[1562.666] sabon2022: 王とはｗ
[1563.657] sttafer_hatt0210: アーマー！
[1564.205] tami456789: あー、まー
[1564.957] げすと_: あーまー
[1565.149] ajimaru_: いったん射撃場か
[1566.830] yorime_004: アーマー
[1567.630] taishudaigin: 王が慰めされてる
[1567.746] (S)ゴルスタ: 王しっかりー
[1567.847] ブラスマティ: ヘンディこんちわー！
[1568.642] yamakaze44: RAGEを経てヘンディーのvaloモチベ上がってくれて俺嬉しいよ
[1569.966] ねるぽぉ: 一旦射撃場か
[1573.939] (S)akahige9280: 王と呼ぶにはまだ早いかもしれんwww
[1580.335] (S)to_ru5: 民か
[1580.642] ねるぽぉ: wwwwww
[1592.007] mo__rin: 咄嗟のアラボ！
[1594.585] yozakuraarika: ナイス遅延
[1598.143] 774kk: 一兵卒
[1602.285] onsoku87: シルバーってそういう意味だったのか
[1602.447] taishudaigin: 民やね
[1607.527] sttafer_hatt0210: 1hp
[1616.416] nangokuice: ヴァーロー
[1623.737] シラポン: あっぶえ！
[1625.998] lililllln: ひぃ
[1626.563] (S)ケダ: あぶねｗ
[1627.104] (S)junn_0212: あっぶね
[1631.818] げすと_: おお
[1634.636] (S)akahige9280: www
[1634.724] ねるぽぉ: ウルト使っていいんでね
[1639.139] manji5616: うおお
[1640.562] taishudaigin: うえぃ
[1645.267] (S)ゴルスタ: ないす
[1648.536] ajimaru_: 今のはナイス報告
[1649.823] lufa1518: シル、バー…？
[1664.371] kurousagi44: そのウルト、いらないかも
[1665.185] sttafer_hatt0210: バック飛ぶのよう分かったな
[1666.683] シラポン: ナイスゥ！
[1666.889] (S)akahige9280: tonaka2Nice2
[1667.540] いい加減半年ロム: もったいなｗ
[1668.930] lililllln: ないすww
[1669.796] 韻ちゃん: いいぞいいぞｗ
[1672.204] manji5616: 器は王
[1674.320] supefura: いらないねｗ
[1674.452] (S)おはるてゃん: wwwww
[1674.529] saladman33: www
[1674.704] おらじ: あーまー買ってないのによう勝った
[1675.646] yozakuraarika: ないす
[1677.813] waracat333: いらない説もある
[1678.193] sttafer_hatt0210: バック2人いるのにｗ
[1678.758] 773_owl: いらなかった笑
[1679.591] (S)ケダ: まあとれたのでｗ
[1682.306] taishudaigin: 味方にシルバーの王いる?
[1682.901] (S)akahige9280: まぁまぁw
[1685.078] (S)ゴルスタ: 勝てばよし
[1685.320] inufu: シニアて意味のシルバーじゃ無いよね？
[1685.412] きぬ3: 王に
[1692.035] (S)おはるてゃん: 王すぎた
[1692.790] manji5616: 王は遠慮しない
[1696.258] Nagoya_taro: 腐るよりマシと思おう
[1701.404] シラポン: せやせや！
[1702.244] ねるぽぉ: まぁまぁw
[1710.074] sttafer_hatt0210: 王はリスペクトを持ってウルトを打つ
[1711.964] (S)akahige9280: 良いように捉えていこう！
[1763.227] あけぼの_です: がんばれ～
[1764.447] lililllln: nt
[1767.613] シラポン: ナイストライ！
[1768.485] (S)akahige9280: tonaka2NICETRY
[1768.874] taishudaigin: 山P〜
[1770.603] sttafer_hatt0210: おっほ
[1778.539] yozakuraarika: nt
[1778.914] lililllln: 王がんばえ〜
[1783.009] inufu: nt
[1792.299] taishudaigin: シルバーきつい？
[1803.077] yorime_004: でもまあ7-5だから
[1808.120] kamaboko0000: エイムが若いな〜
[1822.531] sttafer_hatt0210: ピストルをとればいいっちゅうはなしよ
[1828.657] supefura: ｗｗｗ
[1831.934] manji5616: ww
[1833.406] sttafer_hatt0210: www
[1834.337] lililllln: ww
[1845.591] yamakaze44: 今ソーヴァナイフ振って・・・？
[1847.126] taishudaigin: ナイス山P
[1867.106] lililllln: ないすー
[1868.779] (S)akahige9280: ないすー
[1869.304] sttafer_hatt0210: いいベイト
[1870.243] シラポン: オッケイ！
[1872.033] yozakuraarika: ないす！
[1879.273] あけぼの_です: ないす～
[1896.626] lililllln: LUL
[1906.962] (S)akahige9280: www
[1908.789] yamakaze44: お弁当忘れてるわよ
[1911.123] lililllln: NotLikeThis
[1919.810] kamaboko0000: シルなんで
[1924.221] 大桜万楼_ﾀｲﾖｳﾏﾙ: スパイクは持たないという無言の圧……
[1926.252] inufu: あらまw
[1927.198] manji5616: 学食派
[1933.162] (S)akahige9280: 余裕無いか
[1941.263] シラポン: へいへい！
[1947.054] 大桜万楼_ﾀｲﾖｳﾏﾙ: 鬼滅の刃みたいなTシャツですね
[1948.933] あけぼの_です: ｗｗｗｗｗ
[1950.494] (S)akahige9280: www
[1951.130] waracat333: ｗｗｗ
[1952.050] supefura: ソヴァがプラントがセオリーではあるか？ｗ
[1953.072] yamakaze44: ｗｗｗｗ
[1954.165] (S)おはるてゃん: wwwwwwwwww
[1955.388] manji5616: ww
[1955.967] sttafer_hatt0210: www
[1957.893] lililllln: 仲良くしてwww
[1958.452] yozakuraarika: w
[1964.207] taishudaigin: なにしてんの？w
[1967.699] inufu: www
[1968.765] シラポン: そっぽ向いちゃってさ！
[1983.025] lililllln: ないす
[1985.847] manji5616: ないす
[1989.175] yorime_004: シルバーのタレットでたなー
[1991.494] yozakuraarika: ないす！
[2001.876] yamakaze44: タレットもセージ壁みたいに自由回転できたらいいのになぁ
[2008.208] sttafer_hatt0210: ラークもできるジョイ
[2014.205] supefura: 置いたのは王ですｗ
[2036.418] シラポン: ジョジョイのジョイやでぇ
[2048.958] sttafer_hatt0210: 王のラークいい匂いしそうやなー
[2059.856] yamakaze44: 武器よわラウンドではある
[2061.398] (S)akahige9280: 1v3 
[2067.919] manji5616: 王は孤独
[2072.501] sttafer_hatt0210: ある
[2076.321] lililllln: そろりそろり
[2105.761] (S)akahige9280: tonaka2NICETRY
[2106.829] yozakuraarika: nt
[2108.309] ~MISSING_COMMENTER_INFO~: 王 
[2109.116] lililllln: dmnt
[2109.932] waracat333: ナイエコ
[2113.328] (S)ゴルスタ: nt
[2116.872] odennnnnn210: !rank
[2116.977] (M)Nightbot: APEX/ゴールド２ VALORANT/ゴールド１
[2128.215] シラポン: 野村萬斎…！？
[2138.769] yamakaze44: ゴールド1・・・？
[2167.484] きぬ3: 王はいつも未来を見ているんじゃ
[2167.878] lililllln: ゴールド…？過去の話はやめてくれ…
[2176.886] シラポン: がんばええ！
[2179.524] kamaboko0000: サカナクション
[2181.825] taishudaigin: 過去のはなしかよw
[2184.999] ~MISSING_COMMENTER_INFO~: 見聞色の覇気
[2217.210] はゔぁ: 最強の設置
[2220.257] sttafer_hatt0210: 報告がよき
[2238.175] taishudaigin: 今度のタレットはよき
[2245.359] lililllln: ないすー
[2245.553] kamaboko0000: いゃ〜ん、のび太さんの設置〜
[2249.097] (S)akahige9280: tonaka2Nice2
[2253.086] yozakuraarika: ないす！
[2257.877] sttafer_hatt0210: 度重なるドッジとアンレAFKで10時間遅延受けました 私はゴールド2です
