[57.453] aesthetic_suzuki: Cheer1 Cheer1 Cheer1
[57.663] ちんまり: さいきょうやったよ、😘
[57.677] (S)earth_shie: earth_shie subscribed at Tier 1. 
[57.727] vhchin: アブソルおれはうれしいぞ；；
[57.769] idolum_nyo: アブマジでうまい
[57.772] plcino: 神ソル
[57.800] valas94: かっこよかった
[57.834] kagamind: 文句なし
[57.857] wataame_1011: お前が最強だ！
[57.878] sanad_7711: 神様アブソル様〜
[58.551] nannanw: 神ソル 
[58.709] hagukirin: おまえやばいよ！
[58.975] xxqq: やぁ
[59.005] eraharisugi: 国産ジェット最強！！
[59.012] chiren00: unkochanYaa
[59.037] aaaa1112221121212: ミリオンとアブソルだね
[59.112] icebqr: やあああああああああああああ
[59.122] GALosaru5460: お前何歳だったっけ！？
[59.192] cheru0saaaaaaan: 神ソルおめでおとおおおおおおおお
[59.193] shuuuuuunn: うん
[59.351] papaiya2211: お前だ
[59.703] niconico01234: おめでとう！
[59.768] hanjou15478: unkochanPower
[59.929] (S)jinro_hope: absoldGG
[59.968] 蒼韋駄天: やばいよ
[59.985] 47todohuken: million
[60.092] takanamentay: JP HOPE
[60.482] メモリ足りてない: おめでとう～
[60.492] kisakireinapoke: オーナーから何言われた？
[60.835] maigo91: 神だよ
[61.604] pasokonnmaru: あげます
[61.679] amaooh: 今日はみんな強かった
[61.792] menboufubwari: MVPだぞ
[62.260] KUROPOTETI: お前が救ったんだぞ
[62.370] わりとシーチキン: マジで神がかってたぞ
[62.393] りあにす: おめでとう！
[62.512] じんちゃんマン: ありがとうはこっちだよ
[62.558] static_konnyaku: 最高のデュエ
[62.610] ｱﾝﾇｺ: 感動した
[63.140] shuuuuuunn: 今日はお前
[63.190] faifo888: お前すげえよ
[63.204] 紫キャベツ42: マジでいいデュエだったぞ
[63.555] 擬態です: やあ
[63.763] sui04822: JP HOPE
[64.026] momoco_t6: ミリオンかな
[64.252] law_savage7: 日本最強デュエリストの配信はここですか？
[64.405] butabito: おめでとうお前が最強だよ
[65.231] santaisyo: 巻き返してたね
[65.332] masabashi: 神だね
[65.433] moka2333: mvpだよ
[65.457] 110_it: おめでとおおおおおおおおおおお
[65.763] txijx566: FallWinning
[66.456] idolum_nyo: wwww
[67.000] GALosaru5460: お前何歳だったけ！？？？
[67.431] 蒼韋駄天: みんなMVP
[67.639] kqreh: spygeaShoten1
[68.500] Syu_goal: unkochanYaa
[68.536] yakozenn: お母さんに報告したか？
[68.946] 正岡子規_公式: tonboKansya
[69.821] desiren2717: 皆強かったぞ
[70.097] JABO_tg: よう天才
[70.354] moka2333: カミソル
[71.216] kitten0531: すまん、JP HOPE 
[71.331] japanese_dog893: ？？？「ムラゲは弱いよ...だから下にいる」
[71.346] ぁっぉ: スプリット毎回強いね
[71.424] nikuyorisakana6: おめでとう
[71.468] ジンフィズ: JP No.1
[71.469] eqrlp: ミリオンとお前ととんぼとレイタMVP
[71.708] あおのり___: 今日よかったぞ
[71.914] (S)イル力: 神ソル
[72.004] 47todohuken: jp hopeはアブ
[72.092] yoshidai_: お疲れ様！！！
[72.134] papaiya2211: お前救いすぎ
[72.233] Verdanava: やあ
[72.484] osakimori: サンセットフェニマジでむずいよね〜
[72.485] メモリ足りてない: 飯食ったか？
[73.030] deathburger4: 救ってたね
[73.154] hagukirin: JPホープはここですか？
[73.533] aaaa41sho: マブソルキスしてくれ
[74.080] hoshi_243: アブが救いすぎたよ
[74.313] eggsergeant01: unkochanYaa
[74.426] abcdefgbdo: 強かったぞ！！！！！！！！！
[74.660] もこう君さぁ: マブソルさんですか？
[74.841] tarutaru_km: おめでとう！
[74.843] GALosaru5460: お前何歳だったっけ！？！？！？
[75.013] masahori: unkochanYaa
[75.075] santaisyo: とんぼあぶミリオン最強
[75.232] ちゃちゃき: unkochanPower
[75.266] めめも: カミソル
[75.274] amaooh: アブソル何歳？
[75.526] Ka1tyou: お母さんに報告しろ
[75.848] mumusasi: ボドカも褒めてたぞ
[76.026] ganbaruman1234: おい、次はmeiyを倒せ！
[76.225] こずぴぴぴーちゃん: ないすjpデュエリストのホープ❤️‍🔥❤️‍🔥❤️‍🔥
[76.279] moka2333: マブだったよ
[76.450] 110_it: 最高だよ
[76.594] pasokonnmaru: スプリット耐えすぎね
[76.800] sugoi_hayasa: お母さんに行ったか！？
[76.995] ponyatta13: TEAM Diff
[77.174] plcino: 何歳？？
[77.244] mouko00625: アブお疲れ！強かったぞ！
[77.361] txijx566: FallWinning
[77.746] ganbaruman1234: おい、次はmeiyを倒せ！！
[77.950] oomukade_sub: 声がもうウキウキしてるね
[78.347] junosukesan: やぁ
[78.391] mame0505: おめでとう！
[79.583] como0921: マブソル最強
[79.650] エンタメゲーミング: 最強やったで
[79.812] pazusaa: やあ
[80.148] maigo91: ちゃんとお母さんに言ったか？
[80.329] ganbaruman1234: おい、次はmeiyを倒せ！
[80.467] さいちゃん__: ちゃんと母ちゃんに報告したか？！？！
[80.659] eqrlp: びじゅもMVP
[80.878] sanad_7711: アブソル最強！アブソル最強！
[80.970] stag_beetle8: マブソル
[81.516] chiharu_401: しょうたに勝ったデュエリスト
[81.729] ないこと2: 壁抜けヘッショオペやばすぎる
[81.962] かくりん: unkochanFever
[82.329] ganbaruman1234: おい、次はmeiyを倒せ！！
[82.634] きぃてぃがいびぃくとりぃ: Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1
[83.223] 椎名さん: yuyutaHakushu
[83.511] honti__: 神ソルですか？
[83.639] natomaki: カミソルおめでとう！！！
[83.732] sugoi_hayasa: お母さんに報告しろ！！！！！！
[83.762] やなのな: まじでおめでとう！
[84.039] yougows: 浮かれてんじゃねぇぞ 
[84.515] s4tetsu_TK: ちゃんとママに言ったか?
[84.717] やうさん: すごいよぉ
[84.749] bozu_tofu: おめでとう！
[84.884] ganbaruman1234: おい、次はmeiyを倒せ！
[84.965] ラリラ: アブおめ！！！！
[85.048] txijx566: DinoDance
[85.166] meishou_poichi: 韓国のヤベえデュエをこの数日で追い抜いたぞ
[85.211] ぁっぉ: マップによって撃ち合い得意不得意ある？
[85.442] osakimori: スプリット毎回無双してない？
[86.008] tsujiko69: やあ
[86.211] Rikka015: アブ様かっこいい～
[86.269] (S)jinro_hope: 成ったなアブソル
[86.532] pizasuke: 最高だったよ
[86.990] kuroro18739: 17歳キャリーまじ！？
[87.199] azumaou1: ホント強かった
[88.157] moka2333: ありがとう
[88.210] ganbaruman1234: おい、次はmeiyを倒せ！！！
[88.395] zzzlaziness: お母さんに報告したか？
[88.536] やまふぁむ: やばすぎ
[88.668] shuuuuuunn: おい！気引き締めろよ！
[88.671] cheru0saaaaaaan: 次も勝てるよな？
[89.283] vhchin: ネ申ソル
[89.931] aaaa41sho: お母さんにちゃんと言ったか？
[90.375] Ka1tyou: おめでとうアブ
[91.040] bking0831: お前マジで愛してる
[91.075] メモリ足りてない: お母さんなんて言ってた？
[91.320] ganbaruman1234: おい、次はmeiyを倒せ！
[91.625] yanato_09: おめでとう
[91.709] ponyatta13: ちゃんとお母さんに言ったか！？
[91.896] レッド55: unkochanYaa
[92.872] VamosNeftali: よくやったぞアブ！
[93.302] tsujiko69: おつかれさま
[93.537] 紫キャベツ42: いいね
[93.562] sui04822: millionはとうとう光になったのか？
[93.635] d4c_7214: ローセンシが正解やったんやな
[94.401] tanbo17: ナイスゲーム
[94.557] taronu1214: うんこちゃんになんて言われた？
[94.713] mouko00625: ママにちゃんと報告したか？
[94.746] ふらわーわん: 17歳の神ソルさん？
[94.801] txijx566: PartyPopper
[94.817] haranorir: おめ
[95.100] Syu_goal: レイズｄiff
[95.308] chisochiso_: 最高だったよ
[95.513] desiren2717: meiyを超えろ！
[96.340] benza21: おい！！！最高だったぞ！！！！！！！！！！！！
[96.490] ray_out_2005: やあ
[96.551] (S)mrgwin_: unkochanYaa
[96.705] Verdanava: 今日は神ソル
[96.929] ぴょんさゃ: リアタイで応援してましたー！
[96.953] 勘定奉行: 安定感増したねえアブ
[97.161] こころです: やあ
[98.402] yama_wasab1: ママに報告したか？
[98.507] eqrlp: ママに報告したか？
[98.522] marlboroman0414: unkochanYaa
[98.753] ~MISSING_COMMENTER_INFO~: うおw
[99.346] やなのな: 家族には報告したか？
[99.911] 黒輝り: やあ
[99.937] alesso6280: raze diffだったね
[100.048] pasokonnmaru: センシ下げたのが大正解か
[100.129] destroy_maeda: オーナーには何て言われた
[100.269] sauber88: よお
[100.272] shiominti: お前さてはスプリット大得意だな？
[100.553] aaaa1112221121212: お母さんに言ったのか？
[100.784] sanad_7711: 日本一のデュエはおまえ
[101.006] aesthetic_suzuki: うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?
[101.537] 坂本勇人: 集金配信やめてね
[101.782] hiro_ool: 流石に対M
[101.799] santaisyo: アブ首コメントなかった
[103.165] akio4643: 1マップ壊せば十分すぎる
[103.388] 残業中: 残り全部勝ってくれ！
[104.519] Ka1tyou: ママに報告しろ
[104.572] わりとシーチキン: 最強だったよ
[105.845] bakudanchan: スプリット最強だったぞ
[106.013] 長谷川のび太: 浮かれて集金配信やめろ
[106.751] ねでぃ: 家族にちゃんと報告しろ！
[106.833] kitaro0707: おめでとう！
[106.852] じょうかまん: ：：
[106.962] aesthetic_suzuki: うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?
[107.021] menboufubwari: 泣いてるんか
[107.059] seraphim_7: ママ報告まだ？
[107.162] 6kkk6: お疲れ様でした!!!!まじで強かったな!
[108.058] こころです: お前強くなったな
[108.192] worker07: かっこよかったぞ！
[108.409] senkoubiyori: FallWinning
[109.405] ねもうす人: やあ
[109.452] ちんまり: 神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル
[109.485] abcdefgbdo: XQQが炎上中！！！XQQが炎上中！！！XQQが炎上中！！！XQQが炎上中！！！XQQが炎上中！！！XQQが炎上中！！！
[109.970] amaooh: BibleThump
[111.047] 勘定奉行: やばいとしか言えんw
[113.235] takanamentay: JPHOPEはお前だよ
[113.818] txijx566: DinoDance
