[374.453] 食用ばるさみこす: 鉄拳勢の人の感想ツイートが流れてきたんだけど、現段階でこれ以上の大会環境は望めないくらい完璧だったって言ってたな
[375.895] fanta_amu: 有料やからこそ環境が整えれるってもんやね
[376.667] kitori_17: 券売方法とエントリー方法はこのままいくべき？ややこしそうだったけど
[380.415] shikokuzei01: 昨日のウォチパも良かった
[380.538] s____1lo3: EVOJお疲れ様でした~!!
[387.087] ゆかゆ: 座れるとこ多くて良かった
[387.603] (S)港区ザンギエフ: 大会の内容もめちゃ良かったし概ね満足
[391.039] h1ran0p: 現地で見たどぐらさんは思ったよりデカかった
[399.216] (S)kuronoizayoi: 当日チケットもあれば友人も誘いやすかったな～って思ったけど逆に言えばそれ以外に気になるは無かったっす
[416.692] (S)acrofiora: 人とかが集まってたらちゃんとスタッフさんが素早く誘導してた
[421.635] mekasue2: プロ人気の高まりを感じました。お疲れ様でした。
[422.218] 七_: 自分は負け負けで即死だったんですが、どぐらさんはなんのキャラに負けましたか？
[424.982] goma_dara: 「ふるい」
[426.350] まけイヌ: フィルター
[428.497] (S)港区ザンギエフ: 当日チケットあるとキャパ想定難しくなるだろうから難しいかもですね
[429.498] naryuhama: 残念ながら一理ある
[430.477] toto3210119: それはある
[431.930] h1ran0p: なんかその辺の意見をXで見たっすね
[432.249] akasanz3x: チケットは要改善ポイントだと思うけどね
[435.639] shikokuzei01: あと、パキスタン勢…まーしかたない
[435.746] morinagasyuya: 調べられるって大事ですね
[438.259] (S)pinkdark01: こんにちは！忙しい時に話しかけてしまって申し訳なかったです！
[440.571] kitori_17: 金額と手間フィルターやっぱりデカいか
[442.682] tawashi00: 月額課金のMMOの民度が良かったいい例
[445.769] (S)港区ザンギエフ: パキスタン勢；；
[445.915] 七_: 有料のいいところ
[448.038] 食用ばるさみこす: やっぱり有料っていうのはそういうフィルターになるよね
[451.258] bari0430: 0回戦が結構ね
[452.022] tkm_33: ロイヤルホストは客層いいみたいな
[454.128] akasanz3x: 次に活かせばいいと思うけどね
[454.364] gyudon_tadano: 来た人ファーストの考えでいい気がする
[455.101] モドキ: コミケでそれ感じたからすごくわかります
[455.159] sannpann_twich: ボンちゃんが「1日目と2日目で温度が違う 2日目はしっかりと温度が下がって寒かった」と言ってたね
[455.814] (S)keipopoo: 国内プレイヤーチケットはハメなかったのでその辺わからーん
[459.815] kusanotsuki: 草
[469.769] h1ran0p: 格ゲー強い「だけ」の変な人は弾けたからっていうのが
[471.639] (S)ぶれお: 基本エドだったの？
[481.198] (S)れすみず: どぐらさん目の前でプールやっててビビりました オーラやばかった
[481.836] (S)港区ザンギエフ: cagdogGa
[487.953] masayan_pg: 行った人とかの中でもうちょい対戦したかったーって声はあったみたいなんですけど、大会やから仕方ないよなって感じっすかね？
[488.690] atoz428: top6どの試合も激アツでしたね
[488.706] konaoh: もうメインはエド一本でいくんですか？
[493.843] shikokuzei01: あのおねえさんTwitterやってた
[496.068] akasanz3x: シュートもブランカ一本だったらしいしな
[498.931] juno0220: 調整次第やね〜
[501.881] 小粒納豆06: 今回プロと写真撮りたかったけど会うたび移動とかで撮れなかったっすわ
[504.186] (S)港区ザンギエフ: かけちゃんのリベンジ見たかったな〜
[507.249] 七_: 初日のプール戦の時、どぐらさんのギャラリーすごくてスタッフのコサクさんが「通してくれー」って言いながら仕事してましたw
[509.950] kaiji0424: 豪鬼メイン考えてますか？
[512.659] (S)れすみず: ボンちゃん藤村さんときんすもいてビックリしました
[513.586] goma_dara: そこら中におって密着まで行ける
[514.230] wakasyan: 鉄拳の方はどうでした？？
[515.515] gyudon_tadano: YouTubeの配信はタイトル変わるたびに枠取り直して欲しいなってのは思いました。
[517.589] (S)keipopoo: 調整5月22日確定しましたね
[519.627] shikokuzei01: プロもいるし、レジェンドもいるし
[519.697] (S)ta3z_: 5月22日が楽しみ
[520.984] (S)acrofiora: 野生のプロゲーマーそこらじうにいて感覚バグった
[537.150] sannpann_twich: 高木のベガス旅行ホンマ支えてやってな クレカの選び方から飛行機のチケの取り方などなど
[539.357] 小粒納豆06: ナルガクルガ好きそう
[539.582] (S)港区ザンギエフ: 豪鬼クソ強そうだし生駒殺意の波動デビルになる未来もありうる
[540.111] モドキ: ジャスティンがめっちゃハート作ったって話カワイクて好き
[540.541] (S)ぶれお: お姉さんおにぎり美味しかった？
[541.622] kaiji0424: 豪鬼めっちゃ強そう
[541.855] (S)ksks0628: ナルガクルガ？
[545.348] bari0430: ナルガクルガさん！？
[550.155] goma_dara: 22日待ちきれぬ～
[553.773] shikokuzei01: 大須さんはただのカメラマンではごさいません！
[557.487] ru31504: どぐらさんって豪鬼のトレーラーってみましたか？
[557.616] h1ran0p: そういえばインパクトをジャスパした時に「出来るんや…」のおぉ〜から壁ビタンでこれを待っていたの歓声、笑っちゃった
[557.829] fine287: evoお疲れ様でした！
[557.880] (S)ekiben_taro: 蒲ゴウキ勢のレビューが楽しみや
[560.466] yuyucyannn: おにぎり美味しそうだった
[563.885] (S)港区ザンギエフ: 22日楽しみ〜〜ん
[565.009] naryuhama: ジャスティン毎秒ハート作ってた
[568.115] morinagasyuya: おぉ！
[570.082] あすか002: こんちは CRフェスお疲れ様でした
[577.181] (S)pinkdark01: MTGのプロツアー日本人優勝しましたよ
[578.114] (S)港区ザンギエフ: ジャスティンのハートツイートめちゃ回って来て笑った
[582.008] h1ran0p: w
[584.212] (S)港区ザンギエフ: CRフェス CRフェス
[584.814] (S)鉄板: 鉄板 subscribed at Tier 1. They've subscribed for 11 months! EVOJお疲れ様でした。どぐらさんに写真撮って貰えて嬉しかったです！
[586.710] vanvan1up: w
[588.112] 七_: 隣にまめスパさんいると身長差すごかった
[591.220] (S)半歩: 鉄拳のパッチ来てますけど、具体的な調整は8日みたいですね。
[594.438] h1ran0p: CRではある
[594.535] kamenkunman: 鉄拳のパッチノート来た
[595.479] wakasyan: 生駒デビルかっこよかったです！
[598.907] (S)ハタオリ: ハタオリ subscribed at Tier 1. They've subscribed for 8 months, currently on a 8 month streak! EVOJお疲れ様でした！ウォッチパとっても面白かったです。
[600.013] shikokuzei01: ジャスティンとえなこりんのツーショットとか完全に俺得でした
[611.016] pawafu1_: フェス無視してお姉ちゃんおにぎり食ってたんか
[611.553] kaiji0424: MENAがルーク使ってたの意外だった
[612.452] gyudon_tadano: EVOと被ってなかったら出る可能性ありました？
[619.092] くおお: おじにはきつい日程
[622.732] (S)ぶれお: 人多すぎてあの場にいるだけで体力削られた
[622.843] tobias0930: こんどぐおつどぐ
[624.586] toto3210119: 体が二つあれば
[626.232] morinagasyuya: 埼玉と港区遠いですしね…
[628.292] サケ缶: EVOJって会場毎年同じなんですか？
[628.959] juno0220: 優勝パッド勢多かったんだっけ？今回
[629.557] 竹原: どぐらさんのCRグッズたくさんほしいです
[629.868] shikokuzei01: そもそもどぐらさん昨日は代打やし
[631.724] h1ran0p: 居酒屋ツイートもおもろかったっす、そんなことあるんすね
[631.958] p4seri: さーすがにね
[634.828] あすか002: 出て歌ってたのか
[635.295] (S)港区ザンギエフ: ほんとずっと忙しそう
[637.296] ogaaaaaaawa309: 3日目代打もありましたしね
[638.752] ハット__: 本業だからねぇ
[640.284] ーおろー: EVOJお疲れ様でしたー
[645.264] p4seri: www
[650.524] (S)港区ザンギエフ: 居酒屋でどぐら式の話してたやつね？
[650.900] (S)gns1018: くさ
[652.650] (S)keipopoo: KI勢
[654.595] (S)rimokon67: どぐら式
[659.630] (S)ぶれお: 絶対相手のがビビってる
[660.385] goma_dara: わしがそのどぐらや
[661.356] shikokuzei01: メインは全員パッドが優勝（ギルティ、鉄拳、スト）
[661.363] (S)うちま_: どぐら式 どぐら式
[664.144] ーおろー: どぐらさん、人気過ぎて声かけられなかった…
[664.894] akasanz3x: どぐら式ｗ
[669.530] kitori_17: びっくりしたやろなお互いww
[676.455] (S)港区ザンギエフ: わしがそのどぐらやけど…
[676.826] あすか002: Xで反応ツイートしてたね
[677.529] sashimisyouu: 半個室？
[683.066] akasanz3x: 襖越しでしょ
[683.242] gyudon_tadano: 居酒屋の件は柔和な雰囲気で終われました？
[696.596] ru31504: 声バレした？
[701.681] pawafu1_: どぐら式うぇい～
[704.598] goma_dara: 店は大体新橋
[706.995] おさかな_39: 本人凸おもろい
[714.603] (S)港区ザンギエフ: んっ
[720.862] h1ran0p: 凸ほんま笑っちゃう
[724.281] shikokuzei01: 私どぐらですけど?
[725.047] p4seri: ままま
[729.223] (S)acrofiora: ｼｭﾊﾞﾊﾞﾊﾞﾊﾞ
[729.402] p4seri: www
[729.631] (S)rimokon67: 草
[732.958] (S)scare16g: どういう流れでどぐら式の話に…
[733.026] atoz428: www
[733.808] toto3210119: wwww
[734.371] goma_dara: 聞き捨てならんなぁ？
[735.029] naryuhama: 格ゲー特有の乱入
[735.791] 竹原: w
[736.697] (S)港区ザンギエフ: どぐら式がさぁ！
[736.853] h1ran0p: 草
[737.619] morinagasyuya: wwww
[738.040] (S)JustNei0: www
[738.975] nalu_coco: www
[739.174] (S)ぶちょうへんざっぷ: ゲーニッツからどうやってどぐら式いけてんｗ
[739.217] (S)鉄板: ワシがそのどぐらじゃ！
[740.075] pawafu1_: んっ
[740.589] konaoh: どぐら式は流石におもろい
[740.683] kitori_17: 「呼びました？」
[743.914] maid3983: 小噺ネタが増えました？ｗ
[747.398] keruru_chan: どぐら式がさァ！！
[747.743] tobias0930: ちゃんと拾いに行くのがさすがどぐらさん
[749.767] モドキ: ビビるなぁw
[753.001] あかもず: 本人登場
