[331.058] さゆりちゃん: 間に合え〜
[331.173] hvbsjsbsdhjd: たつや！？
[331.466] haku_you: ハイタニいたぁ
[332.398] (S)neconokntm: 2日目は多少減ると思ったんだけどな人
[333.021] ishiwata1234: ハイタニさんw
[333.505] (S)Lambda_Delta_: 次の試合何時だっけ？
[334.488] (S)おりもと31: 一般通過ハイタニいた？w
[338.505] 焼き菓子: あまりにも一般通過w
[338.810] (S)gokan_sanpo: ほんものたつや？
[340.369] (S)lovepeace369: 野生の灰谷いたぁ！
[343.604] HeavensCloud07: @kuronicl yes I knew about 魚群 but not the other one
[343.842] (S)hiroumi_sea: 選手が近寄れねー
[344.086] 亀の甲より柴咲コウ: ハイタニ？
[346.937] ハゲエギル: 似てるひといたなと思ったけどマジでハイタニさんだったのか
[350.346] hakobe1942: 辿り着けず敗退あるで
[351.135] shigure12354: ハイタニさんw
[351.136] 俺が一郎: ここにいるみんな格ゲー好きってすごいなぁ
[356.059] lucky_shocker: ハイタニさん見逃した～
[358.018] takechan27: 似てるとおもったら本物！？
[360.547] VELLLLLLLLLLLL: 気づいたのすごいな
[361.847] (S)gandalh: すごい人数だな
[362.029] (S)マラリンティウス: タニがあらわれた！
[363.059] (S)nononono_uhoho: やっぱ人すごいな
[366.996] (S)sein_xx: 人多すぎて通れねぇやん
[368.114] 亀の甲より柴咲コウ: 伝説ポケモンかよ
[370.141] ishiwata1234: ぬるっと通ったねw
[371.367] kokuyoshi: 衰退論者見てるか？？
[376.682] yudedako: この人の多さは過去一か？
[377.623] mitsuo157: 現地暑そう
[388.553] (S)teitei0343: タツヤはRUST以外でも忍んでるのか
[388.954] dechi04: にぎわってんな～ＥＶＯＪ
[389.797] ookotoa: 暑そうだな
[390.970] (S)マラリンティウス: ギッチギチやね
[392.225] (S)hiroumi_sea: ほんま運営さんに感謝やで
[393.449] 焼き菓子: 有料でこの人数なのすごい
[401.711] おかあさんいつも: 相手は誰だろう
[403.404] ナゴリユキ: 過去1そうなん？
[405.110] (S)アイネ_: オフでこれだけ集まるなら相当インパクトある
[407.395] (S)neonkzsyou: ギリギリじゃねーか
[411.754] IMULTA: 盛り上がってよかったよねー
[412.454] taitei_ok: せーふ
[412.689] (S)tensin22: カメラマンどなた？
[415.987] (S)オルコッ党員: ルーザーズのトナメがわからねえ
[416.116] (S)TNTNBRN: 盛り上がりまく、りーや
[417.337] haku_you: スト６ありがたいね～
[417.750] nakamurahima: 確かに有料でこれか。すごいな
[418.558] (S)gandalh: あぶねー
[421.683] アバシリ_カンゴク: これ無料にしてたらとんでもないことになってたねぇ
[421.976] (S)teitei0343: ちくしょう、横顔かっけえな
[423.060] mitsuo157: スト6すげえわ
[423.531] ishiwata1234: ハイタニさんもファンの列やばかったと梅園さんが言ってたな
[424.560] VELLLLLLLLLLLL: こんなにも盛況になるなんてありがてぇ話や
[425.490] minato19923: スト6人気の影響か
[430.221] m1s4m0: やば
[434.171] (S)もじゃ変人: オフで有料でこれだからな すーごいよ
[436.013] norumon: ひょえー
[438.897] InaG0: 最高のゲーム作ってくれた人達と最高の大会作ってくれた人達と最高のプレー見せてくれる人達にマジで感謝や
