[1446.315] agepoyochan: 萎えてやめた
[1448.774] carefreed: 解散
[1448.976] じょうかまん: w
[1451.779] yuudamu86: VCJ見るんじゃね
[1454.711] すめりん: カスアベンジャーズ戻ろっか
[1454.821] しけいだ: レオももういない
[1458.009] yuudamu86: VCTか
[1460.522] flau_blanc: パシフィック始まるから
[1464.658] kuc1105: vct見ないの？
[1467.234] enngannk: 試合の方が短い😩
[1470.815] ty353255: おまえもｖｃｊみろ
[1473.530] poteti5111: dfmの試合あるからそれ見るんだろ
[1473.559] 坂本勇人: !sens
[1473.666] Nightbot: dpi 800 0.39
[1476.857] あくたん: 芋１くらいのやつとデュエすれば多分マッチングする
[1479.642] ama2ka_angel: DFM楽しみだな
[1480.809] yukiyukiyuki1514: DFMあるからね
[1486.118] ufe514: レディって釣れないから、人多い時間狙ってやったりすんの？
[1489.525] atumorin: デトネーション勝てると思うか？
[1491.574] 坂本勇人: アブってハイセンシって言われてるけど割とミドルやんけ
[1498.088] yuudamu86: ；；
[1514.043] SekkaBdo: 負けてるやｎ
[1520.796] yuudamu86: さすが和製smth
[1520.820] nokemonn: いいねえ
[1522.427] じょうかまん: 和製smith
[1524.546] あくたん: ナイフは仕上がってる？
[1531.433] keita9325: 実質マブス
[1534.968] poteti5111: smthを超えていこう
[1543.700] tanukitsune44: SP2って来月からだっけ
[1552.613] gmkk0000: sp2早く見てえなあ
[1555.651] ~MISSING_COMMENTER_INFO~: はやくマッチしてください
[1558.642] ty353255: 本番では結果だせません 
[1559.878] あくたん: でも、アブソル未成年だからタバコ係できないぞ
[1560.378] yuudamu86: smthを露製absolにしてやれ
[1576.735] SekkaBdo: Ascension優勝を現地で見るのが今から楽しみだよアブ
[1577.106] tomato_co: sp2って予選配信ある？
[1577.965] さわよばァ: million3Hi
[1578.860] chocoballmukai123: さっきの天界マッチFLボコってたのすげーや
[1596.518] jinro_hope: 誰もいない
[1599.237] ama2ka_angel: sp2favとのリベンジマッチみたいな
[1612.302] hagukirin: レオたちは釣れてるのかな
[1612.960] あくたん: まじでレオのフルパ混ぜてもらったほうがマッチングしそう
[1641.843] ~MISSING_COMMENTER_INFO~: スイフト一戦出来るだけの時間が経ちました
[1642.752] さわよばァ: この時間シス単やろう 
[1644.394] udon877: r
[1646.845] (S)misaki_pu: 優勝おめでとうございます！6万ポイント何に使うんですか！？
[1668.611] すめりん: BibleThump
[1685.679] さわよばァ: アブをハブ
[1691.201] dokyamu: 椅子買え
[1691.454] あくたん: おすすめはふるさと納税
[1700.287] maxmokou: ふるさと納税いいよね
[1702.788] すめりん: NISA
[1708.170] gmkk0000: 楽天証券に突っ込め
[1710.524] あくたん: アブソルも今年からふるさと納税できるんじゃないか？？
[1713.129] (S)misaki_pu: ふるさと納税天才！
[1714.635] さわよばァ: 17歳でふるさと納税やってたらビビる
[1730.162] ~MISSING_COMMENTER_INFO~: ふるさと納税でお母さんと美味しいもの食おうぜ
[1735.661] maxmokou: めちゃめちゃお得よ
[1740.069] さわよばァ: NISAが現実的にいいぞ
[1742.992] ぽこぽこびーにー: もうすぐ2桁
[1744.491] SekkaBdo: お父さんに優勝した報告したか？
[1754.962] maxmokou: えぐなにこいつｗｗｗ
[1768.589] gmkk0000: これ一生マッチしないやつ
[1787.243] あくたん: ムラゲ入って初めての優勝がウォーランダーな件
[1794.748] kagamind: ｗｗｗｗｗ
[1795.462] さわよばァ: アブ、一旦6万ポイント見せてくれないか？
[1798.022] ぽこぽこびーにー: ｗｗｗ
[1799.540] えぐらる: ごめん
[1801.566] kagamind: 母親面ね
[1802.654] maxmokou: ｗｗｗ
[1803.184] twilightveo: キレろ
[1803.685] enngannk: ふふ
[1803.960] juiahj: 反抗期か？
[1805.894] さわよばァ: 子供だぞまだw
[1806.619] SekkaBdo: 俺の一個下やん
[1807.547] ~MISSING_COMMENTER_INFO~: 童貞だからかな
[1808.502] じょうかまん: ママ
[1809.560] kagamind: アブママ
[1811.561] gmkk0000: 反抗期やん
[1811.723] yuudamu86: ごめんねあぶちゃん…
[1813.537] aaaa1345: 18はまだガキ
[1815.261] okutinko: 同い年や
[1815.525] fallguizi55: アブママ
[1816.992] すめりん: アブパパアブママ
[1820.030] (S)misaki_pu: ごめん
[1821.438] あくたん: そこでキレ返しちゃうのがガキなんよ＾＾
[1824.735] mihononnn2: まだ17？
[1826.027] kuc1105: コメント欄のジジイには若く見えるんや
[1826.036] migawarichan: 俺の半分やん
[1827.108] vwmtjtj: こっちは40やぞ？あ？
[1828.297] ぽこぽこびーにー: うおｗ
[1829.102] jinro_hope: いいね
[1830.999] maxmokou: まだまだ青いねｗｗ
[1832.881] ~MISSING_COMMENTER_INFO~: 最近活動は順調ですか？
[1838.645] udon877: あぶきゅん
[1839.948] さわよばァ: ジジイがいっぱい釣れらぁ^^
[1840.273] yuudamu86: 声しっぶ
[1840.413] えぐらる: ひっく
[1841.792] すめりん: ！？
[1842.106] じょうかまん: ひっく
[1852.037] (S)misaki_pu: しぶwww
[1855.849] hagukirin: 何者！？
[1856.070] tomato_co: 活動は最近どう？
[1861.025] えぐらる: じじいが
[1866.171] ~MISSING_COMMENTER_INFO~: ジジイがよ
[1868.699] yuudamu86: 年齢マウントやめてね
[1868.987] じょうかまん: 大ジジイ
[1872.194] SekkaBdo: ビジュの配信で大喜びでお母さんに報告しに行ってたって聞いたぞ
[1885.215] ぽこぽこびーにー: フレンド申請いっぱいだね
[1886.729] ~MISSING_COMMENTER_INFO~: 若々しいの羨ましいよマジで
[1888.266] maxmokou: リドル戦勝ったときね
[1889.111] さわよばァ: 40の人は多分今日休みなんだよきっと労わろう
[1914.822] ~MISSING_COMMENTER_INFO~: アブって休みの日何してるの？どっか出かけたりするの？
[1934.013] SekkaBdo: アブが活躍してるの見ると年一つしか違わんのに自分が情けなくなるでホンマ
[1936.162] aaaa1345: チビなのにな
[1940.401] あくたん: びっさんにはそれしかないから許してあげて
[1945.956] twilightveo: 見た目アブと変わらんくせに
[1950.031] さわよばァ: 女と遊んどけ
[1959.388] ~MISSING_COMMENTER_INFO~: 最近おもろいアニメありますか？
[1964.582] kurikuri0304: 響けユーフォニアムみよ
[1968.799] SekkaBdo: 女は19 20になってからでいい
[1972.099] ~MISSING_COMMENTER_INFO~: 若いんだから女との出会いを求めないと
[1972.948] あくたん: 最近のびっさん「おれ意外とかわいくね」
[1998.239] SekkaBdo: アニメだと僕ヤバとかはおもろかったぞ
[2004.382] hagukirin: 響けユーフォみろ
[2007.489] kuc1105: DMしてもいいのか？
[2011.073] Sonyonnn: チン凸してもいい？
[2012.267] ぽこぽこびーにー: フリーレンおわちゃった
[2017.456] vwmtjtj: 香辛料
[2022.560] ひろっと: 無職転生とさすおに見とけ
[2024.521] mihononnn2: 狼
[2035.746] ひらパない: 怪獣8号
[2038.772] さわよばァ: もうすでに完結してておもろいアニメ募
[2058.460] すめりん: 怪獣8号気になる
[2061.568] ~MISSING_COMMENTER_INFO~: プリキュア見てる？
[2073.229] ぽこぽこびーにー: うおｗ
[2073.290] hagukirin: いいね
[2079.024] さわよばァ: 流石にもう見てる全部
[2079.784] ひろっと: あぶabみてるのか
[2083.619] ねこえさ: プラメモ
[2086.576] mihononnn2: よりもい見た事あるか？
[2087.381] hagukirin: シャーロット
[2092.529] kuc1105: オススメのアニメ送るから感想くれよ
[2100.504] さわよばァ: Angel Beatsはもう10回は見てるsaoは100回は見た
[2102.153] jinro_hope: バカとテストと召喚獣
[2107.428] pika_afkk: dmしちゃお〜❤️
[2109.371] potateman6: バッカーノ
[2113.918] さわよばァ: プラメモってなんだ
[2120.196] さわよばァ: シャーロットもみた
[2122.090] hagukirin: 86
[2123.993] udon877: アブは楽器さわらないのか？
[2124.826] さわよばァ: リコリコも見た
[2126.352] 家臣竹: 水星の魔女
[2128.404] SekkaBdo: その辺の昔のアニメはハマり始めた時期に見まくったな
[2132.556] ~MISSING_COMMENTER_INFO~: アブの初恋の人はたきな
[2132.800] すめりん: デバイス評論家のGONアニメ評論家のアブ
[2134.935] ~MISSING_COMMENTER_INFO~: 狼と香辛料とかどうだ？
[2137.567] vwmtjtj: 凪のあすから
[2148.577] hagukirin: シュタゲは見たか？
[2155.323] SekkaBdo: リコリコは泳道で女の子が数十人に銃滅多打ちにされてるシーンが軽くトラウマ
[2156.100] さわよばァ: スクショしてみてないやつ片っ端から見るわ
[2157.110] ひろっと: 夏に向けてTARITARIみとこ
[2159.007] kuc1105: アニメより漫画派なんだよ
[2178.016] あくたん: アブってマクロスとか見たことなさそう
[2194.904] ぽこぽこびーにー: 新潟は暑いですか
[2200.057] hagukirin: 普段何で見てるの？アマプラ？
[2201.719] ~MISSING_COMMENTER_INFO~: もう雪溶けた？
[2207.461] すめりん: とらドラ
[2212.739] SekkaBdo: マフィア系見れるならブラックラグーンとかはええな
[2216.055] さわよばァ: 宇治金時ラズベリークリームパフェ 
[2228.689] ひろっと: 今日三条が30度超えたらしいよ
[2237.342] かまぼこ23: アブちゃん椅子いつ届くの？
[2258.836] さわよばァ: 熱いのは魂だろ
[2267.299] 4kent: サポーターが得意なアブソルくんこんばんは
[2271.606] ~MISSING_COMMENTER_INFO~: 寒暖差激しくておじさん風邪ひいちゃうよ
[2273.811] あくたん: 純が今日もBPB７時間やってもダイヤ３４なんにょ もうコメント書くことがなくなっちゃった
[2276.035] 家臣竹: 春マジで一瞬だよな
[2280.980] twilightveo: ；；
[2282.775] ぽこぽこびーにー: １時間待ちあります
[2283.839] hagukirin: 何者なんだこのいい声の人
[2289.121] pika_afkk: 今の間にアニメ見れるぞ 
[2306.602] ~MISSING_COMMENTER_INFO~: この渋い声の人はプロなの？
[2308.107] さわよばァ: ｱﾆﾒｳｫﾁﾊﾟしてくれ
[2323.275] さわよばァ: XENって解散しなかったっけ？
[2344.171] kuc1105: マッチング中にする別ゲー探そうぜ
[2345.901] さわよばァ: 確か今はプロじゃ無い気がする
[2368.888] mihononnn2: エイム練習法おちえて
[2390.022] さわよばァ: じゃあやろう
[2393.761] hagukirin: ペクスもできそう
[2396.774] naka_island: APEXできそう
[2402.089] kuc1105: 怖いから殴らないで
[2414.761] ~MISSING_COMMENTER_INFO~: いい子にするから殴らないで
[2422.627] かまぼこ23: エイムって才能？
[2426.547] ぽこぽこびーにー: Warlander部門
[2431.515] pika_afkk: ては股間に手入れればあったまるんよ 
[2466.971] komugi_hxh: kita---
[2468.955] 家臣竹: きちゃー
[2469.148] mihononnn2: きたー！！
[2469.448] さわよばァ: やってればじわじわ上手くなる（低ランク帯ヴォイス）
[2470.862] ~MISSING_COMMENTER_INFO~: きたあああ
[2471.894] jinro_hope: 激アツ
[2481.998] kuc1105: VALORANT以外の特技ある？
[2484.860] ~MISSING_COMMENTER_INFO~: アブジェットきたぁ
[2491.061] mihononnn2: これ1っ平
[2510.472] pika_afkk: これ一平？ 二平？
[2519.901] ~MISSING_COMMENTER_INFO~: 逆立ちできる？
[2526.956] さわよばァ: 1っ平になるわ 
[2532.673] じょうかまん: ゲームセンス⚪︎
[2533.889] enngannk: プロってみんなそうだよね
[2535.806] さわよばァ: シージ上手かったな意外と
[2541.277] pika_afkk: ドリブルは？
[2542.844] ぽこぽこびーにー: ozy
[2544.925] mihononnn2: 恋愛シュミレーション❌
[2545.780] yakisoba423: 他ゲーなに得意？
[2546.026] poteti5111: 昨日のゲームもうまかったもんな
[2581.784] さわよばァ: あ
[2650.528] ぽこぽこびーにー: ソヴァ日本語うまやん
[2697.548] おニート: yoshiiiみたいな声だね
[2779.069] jinro_hope: 新ゼタガキ
[2782.122] ぽこぽこびーにー: 急にこわい
[2785.699] santaisyo: 急すぎ
[2796.745] さわよばァ: 勢い⚪︎
[2798.519] ぽこぽこびーにー: ぜたがき
[2898.514] ぽこぽこびーにー: うまやん
[2918.757] さわよばァ: スキルの使い方がしなやかでいいね 
[2997.579] 寝落ちくん: 今回は2桁いけるのか
[3011.147] ぽこぽこびーにー: ｗｗｗ
[3012.225] 黒輝り: w
[3014.424] nemugi7: ｗｗ
[3018.213] kari_wr: www
[3018.626] さわよばァ: ヘブンモクがtntnすぎる
[3129.728] ぽこぽこびーにー: チルエイムやね
[3131.758] 黒輝り: うっま
[3145.037] nemugi7: うっま
[3145.390] twilightveo: つっよ
[3146.143] ぽこぽこびーにー: koushi5Spin
[3147.124] 家臣竹: うっっまい
[3148.193] kari_wr: PopNemo
[3149.196] jinro_hope: いいね
[3151.086] 黒輝り: マブ
[3157.594] 家臣竹: 破壊しちゃった人
[3188.773] ~MISSING_COMMENTER_INFO~: こんにちは。
[3237.229] 黒輝り: いいね
[3242.392] ぽこぽこびーにー: つっよｗ
[3244.160] twilightveo: あう
[3254.528] 家臣竹: ww
[3254.860] 黒輝り: www
[3257.491] さわよばァ: bメイン（ミッド）
[3307.597] 黒輝り: wwwwww
[3309.401] nemugi7: ｗｗ
[3309.836] ぽこぽこびーにー: ｗｗｗ
[3312.029] shino_nnn: wwww
[3314.890] twilightveo: ｗｗ
[3352.873] 家臣竹: 破壊し過ぎ
[3355.738] ぽこぽこびーにー: 元気だなｗ
[3360.704] nemugi7: ｗｗ
[3360.867] さわよばァ: www
[3366.992] さわよばァ: ﾊﾞｶｼﾞｬﾅｲ!
[3367.269] 黒輝り: テンション高いね
[3373.143] 家臣竹: バカジャナイ
[3380.130] ぽこぽこびーにー: 韓国人やね
[3395.546] ragou583: !sens
[3395.667] Nightbot: dpi 800 0.39
[3445.897] ぽこぽこびーにー: えｗ
[3447.020] 黒輝り: あ
[3455.774] 黒輝り: wwwwww
[3469.322] kari_wr: NotLikeThis
[3493.604] ~MISSING_COMMENTER_INFO~: 強すぎって打とうとしてたけどキャンセルした
[3542.381] 黒輝り: うっま
[3560.280] hedgehog_826: ｑ
[3561.173] ぽこぽこびーにー: ozyつよすぎだろｗ
[3564.067] hedgehog_826: あ
[3673.695] ぽこぽこびーにー: ；；
[3680.884] agonyokkiy: ほんとなら8-3なのに、、
[3710.600] maxmokou: まじでうまいな
[3712.631] jinro_hope: そのブリンク好きだからもっとやてくれ
[3732.029] hbjto7: !sens
[3732.125] Nightbot: dpi 800 0.39
[3737.669] maxmokou: 味方が4人で二人キルしたら勝野に
[3738.334] ぽこぽこびーにー: ６－６ですか
[3839.544] maxmokou: アブだけのチームや
[3853.090] Aeroblue333: ｗ
[3858.430] akio4643: つよ
[3925.466] ぽこぽこびーにー: さて、と
[3968.473] gmkk0000: DFM勝てそうでワロタ
[3974.116] maxmokou: ゴミリコンｗｗ
[4030.262] jinro_hope: よし
[4223.903] shelner: うっま
[4227.841] coworkjohn: つんよ
[4237.373] わをんわをんわをんん: つっよ
