[750.578] balthazar000: 信者
[759.198] moricocoa: 三和純正のバチバチ音よ
[762.498] akasanz3x: 忠臣たち
[772.356] njpw2017: 信者、それ以上でもそれ以下でもない
[777.286] chin_56_: 下僕
[780.556] だいこん_: 打鍵音すきだけどね
[781.485] aki_tr21: sakoさん？
[787.354] セツリ: ゲーセンやってるう
[795.219] akasanz3x: 上sakoさんだよ
[796.526] starkabokabo: ボタン音でリズムとってたりする人は静音なれるまで大変そうね
[805.039] tabibitox: いぶし銀3名とFAV2名
[809.529] クレちゃ: 何かウメハウスは他の対戦会と比べて特別感がある
[815.600] (S)brutal9998: なるほどサンクス
[815.693] une3333: うおー
[816.845] だいこん_: へーーーーる
[819.718] msyyy: ラッシュネリチャギきれいね
[822.869] Moneybagzzzzzzz: oof
[822.975] laorao0: つよいー
[829.305] ニューキングハナハナ: 過去こんなに長時間遊ばれた体験版ってあったのかな
[832.757] wahaha7788: sakoさん黒マスクなの解釈違いです
[837.008] chipstar9: 減るなーw
[847.612] une3333: あと一週間かぁ、気づけばすぐそこですね
[860.977] セツリ: 今日は静かめメンバーですな
[861.503] (S)yamato925925: 今日はサコさんも来てるのか！
[861.949] (S)mobageiskusoge: i see kabe, sako, kakeru, yanai... anyone else?
[866.377] ぬーぼー2: 来週末にはみんながみんなとオンラインで対戦してるのか・・
[874.856] (S)naginagi99: 一週間で闇のキャラたちが野に放たれる
[876.527] Senpai817: is that yanai?
[877.347] balthazar000: yusei
[887.206] misopotato: 真はしょうげきの溜めやべえな
[892.031] (S)mobageiskusoge: ah ryusei, thanks. he's always there
[893.807] (S)一1990: やった？
[899.267] akasanz3x: 基本オンラインだろうけど、オフで隠れてとかあるだろうしな
[904.746] OKG_TWIN: そういやダウンロード版は日付変わったら配信なのね。Steamは1時間遅れだけど。
[909.825] starkabokabo: このコンボやべーな
[910.232] Papapadad: おおsakoさんいるのか
[913.771] une3333: ﾄﾞﾄﾄﾄ
[917.276] gorilla_osaka: 製品版でウメリュウは見られるのか
[917.923] potocki1810: おほー
[921.046] moricocoa: 配信時間情報助かる
[921.827] クレちゃ: ウメハウス配信見ながら、ワルトパも見れる幸せ
[922.315] laorao0: うまーい
[923.237] mako6912: うっま
[923.244] balthazar000: Steam配信時間どこに記載されてました？
[934.541] (S)空気にふれて即死: 冷血さんかと思ったらsakoさんか
[935.963] 顔面ユッケ: B筐体の取り込みがある！
[936.919] pekusuyada: 今日もカラス鳴いてんね
[938.153] swaemz: sako and yanai?
[940.687] サラバア: steam夕方からとかじゃなくてよかったね
[945.161] ishiwata1234: 2ゲージコンかっけえ
[949.598] wahaha7788: ウメマリーザが一番見たい
[953.341] 墾田永年私財砲: それな
[955.135] bunbun0880: oh・・・
[956.329] mako6912: ？
[958.384] (S)naginagi99: メンおじくるまで待機かな？
[959.502] kaomoji3: メンテきたー
[960.173] une3333: なんか今日のplaystation show?でそういった情報があったような
[962.498] だいこん_: メンおじーーー
[964.688] methotrexate_aym: 改めて1画面で2つの対戦見れるのありがたい
[968.633] eremin_39: ドライバー？、、、
[970.262] サラバア: 自分はフーリアスのツイートで見ました配信時間
[972.727] aranami0: あるんだｗ
[973.294] moricocoa: メンおじ用ドライバー
[974.516] bunbun0880: 機材トラブルはしゃーない
[979.702] おにゃにん: 今日はちょっと遅めの開店やね
[983.897] tabibitox: オフトレモでCFNに残らない対戦できるな
[989.231] wahaha7788: KSK探し出したら面白かった
[989.667] tabibitox: オフじゃないオン
[1000.719] (S)yamato925925: そういえばウメちゃんレッドブルのやつでるのかなー？
[1008.812] ro5503: 今日はリミッターがないだと
[1011.159] らくがき魔: リミットないの？
[1013.278] (S)一1990: 無限ダイゴスおじさん
[1022.351] une3333: ひたすら鳩尾を砕かれるルークさん
[1037.841] 温かいやさむぎ: wwww
[1043.191] d_maeken: マスクしてるのsakoさん？
