[60.095] kojimanominato: わこらだ
[60.226] 紗弥0926: radaoHi
[60.310] (S)伊丙カオル: radaoHi
[60.446] (S)sanae_1109: radaoHi
[60.661] (S)いぶちゃんぶ: www
[60.729] (S)jha2_: radaoHi
[60.763] mizuhashi_2323: radaoCry1
[60.881] shivafu_: radaoHi
[60.904] (S)kanetai0415: radaoHi
[61.099] ゆなべ: radaoHi
[61.114] (S)くぅ22: そうだったwww
[61.173] 羽心_: radaoHi
[61.181] (S)うみやま: そういえばね
[61.610] ゆずシフォン: そういえばwwww
[61.611] (S)mikumo05: ダウンスタートかぁ
[61.831] (S)muro_kei: radaoHi
[62.038] (S)Bey0803: radaoHi
[62.076] きおるん: わこらだ
[62.280] (S)ういろう弐式: radaoHi
[62.442] (S)ずーーーーみん: ぱちおくんいてよかったねwww
[63.007] (S)トモモチ: ダウンしたままだったwww
[63.356] (S)decoponno: そうだったwww
[63.425] 楓さん: 開幕死
[63.493] (S)シクシク: ぱちおくんだ
[63.882] am_3zi: わこらだ
[64.201] (S)saiki0528: わこらだ
[64.427] 宇宙に浮かぶひつじ: radaoHi
[64.498] (S)ｼｷ_: radaoCry1
[64.750] (S)あんちょび_: あんちょび_ subscribed with Prime. They've subscribed for 10 months! radaoW radaoW
[64.826] きょうちゃん01: radaoBigcry
[64.997] oli_liriri: wwwwww
[65.277] (S)katsumi20201130: ダウンスタートおもろすぎるwww
[65.446] (S)hukuhukuneko: そうだよねwwww
[65.559] きっこまん: radaoHi
[65.787] (S)そら_1907: radaoOme
[66.015] (S)uki_shizumi: radaoHi
[66.257] (S)pomhono: radaoHi
[66.324] ゆなべ: そういえばwwww
[66.808] 唐辛子ガール: radaoHi
[66.899] (S)tinorinn: 初手ダウンしたww
[67.022] (S)_てんねね_: radaoHi
[67.083] (S)たかなしはな: radaoHi
[67.717] (S)riru_rururu: riru_rururu subscribed at Tier 1. They've subscribed for 7 months! わこらだ？w
[68.590] (S)kaya_0038: わこらだ
[68.739] am4kumo: radaoHi
[68.794] (S)shiroi_hakuto: radaoHi
[69.000] ぴっち: radaoHi
[69.861] (S)hakurin12: そういえばwww
[70.375] (S)テヲラン: radaoHi
[70.488] (S)あつこ_0609: radaoHi
[70.909] 惰性さん: わこらだ
[71.109] (S)takumi06121: radaoHi
[71.246] とりここ: radaoHi
[71.317] uta_0713: radaoHi
[71.531] (S)Soudako___: かわいいぱちおくん
[73.085] re0mi1283: radaoHi
[74.055] yunn0921: radaoHi
[74.138] (S)raayu_raamen: radaoHi
[74.708] (S)わふねこ: ダウンスタートだな＾＾
[75.812] ドコサヘキサエン: そうだったwwwww
[75.848] (S)ぷぷり: radaoHi
[77.336] merongo_1023: わこらだ
[77.718] yumemiruneco: radaoHi
[78.213] (S)ぴよのすけ: 耳生えてるｗ
[78.689] roy_rag: わこらだ
[79.141] (S)ルリラリ: radaoHi
[79.425] (S)ももはる_: radaoHi
[79.565] miya_4950: radaoCry1
[80.227] 翠漣: radaoHi
[80.348] gu_taranosuke: わこらだ
[80.402] (S)ｼｷ_: お
[80.618] (S)すとーぶぅ: radaoHi
[80.968] (S)そら_1907: え
[81.517] sora_mameee: へー！
[81.687] にわすずめ: え
[82.057] aina___10812: え
[82.334] (S)ねけめれ: え
[82.530] re0mi1283: 昨日エグかったな
[82.785] (S)Kacchan_180612: radaoHi
[82.987] (S)さわタイ焼き: え
[83.050] minippu_haima: radaoHi
[83.126] 佐野ちャん: そうなんだ
[83.149] (S)おはおはお: おー
[83.250] tarabaaaa: e
[83.405] yuki_empty: え
[83.432] (S)takahasi0211: え
