[36.916] ssss215: うおおおおおおおおおおおおおおおおおおおおおおおお
[37.337] makura136: 結婚おめ
[37.345] (S)尾晶蠍: batoraNagare
[37.495] gaku0x0: batoraNagare
[37.511] wanwaaaan: まって
[37.514] (S)わんぱく: batoraSudachikunAnimation
[37.539] (S)Gina77z: batoraNagare
[37.581] (S)frorida_22: おっそ
[37.653] koimas3: 流れ
[37.718] fussack: 流れ
[37.731] うしょー: おめ
[37.773] (S)komatsu0829: 待ってましたあ！
[37.830] kohacola: おめ
[37.834] ディギモー: 流れ
[37.848] onbarn: おめでとう
[37.935] まじっくん: batoraNagare
[37.954] バント丸: 結婚おめ
[39.211] mountain_dimple: おめでとう！
[39.231] mogimogi5: batoraNagare
[39.236] untimusyamusya: 結婚きたらーーーーーーーーーわー
[39.246] daiku_man: 辞めたのか？
[39.248] (S)namanieru: batoraNagare
[39.291] arariruu: 結婚おめ！w
[39.408] gawa12d: けっこん？
[39.415] shiro_yukimin: 結婚したのか俺以外のやつと？
[39.418] (S)pesi_himeno: batoraKirai
[39.429] gaku0x0: batoraNagare
[39.441] nopv390: わお
[39.468] まゃか: けっこん
[39.476] ravennseihukasi: まって
[39.689] かんきつ系: batoraNagare
[39.692] (S)gellico: houkoku?
[39.731] nose_0858: 結婚おめ
[39.756] (S)manafiy830: batoraNagare
[39.786] ファンブル: おめでとう！！！！
[40.352] (S)ｸｶのゆい: おめ
[40.490] toshoru: 結婚おめでとう
[40.496] ビートきよし: 結婚おめでとう
[40.503] enmtpity: 結婚おめ
[40.522] くもじい611: 結婚おめでとう！！結婚おめでとう！！
[40.573] balance_091: batoraNagare
[40.669] こさけけ: batoraNagare
[40.676] しらんけど: 結婚おめであ
[40.708] kazuuso: 仕事やめり
[40.713] だんちょー2181: おめ
[40.754] katojun_saikyo: それはおめ
[40.801] (S)きおおお: batoraNagare
[40.814] ぐんたいあり: ~MISSING_MESSAGE_INFO~
[40.872] koburon115: 結婚おめでとう
[40.890] satakemaruru: 結婚おめでとうございます!!!!!!!
[42.228] makou_nicemono: 結婚？
[42.233] shucli: おめでとう！！！！
[42.235] kita_akari67: batoraNagare
[42.244] 食券です: batoraNagare
[42.305] (S)なぁマリパしないか: batoraNagare
[42.342] (S)ねこちゅー: おめ
[42.376] kingslimer11: おめでとうございます！！
[42.384] s1phore: おめでとうございます
[42.434] (S)Reborn7031: 退社きtらああああい
[42.446] daifugou: 結婚おめでとう！
[42.450] あのもの: きｔらああああああああああああああああ
[42.454] pinkbelt108: コーラ飲むな
[42.462] kiosuke551: まじか
[42.472] roxas_sorakun: batoraNagare
[42.481] nappingalice: スピーチは俺に任せてくれ！！！！！
[42.709] suger4628: プロポーズ
[42.728] (S)赤い赤: 流れ
[42.822] verovero204838: 結婚おめでとう！！！！！
[42.878] 184games: おめでとおおおおおおおおおおおお
[42.891] fra_gi1e: 結婚おめでとう！！！！！！！！！！
[43.374] chifool: batoraSudachikun2
[43.454] (S)ちょろのん: batoraNagare
[43.534] nununu_ma: まって緊張してきた
[43.578] moniorion: おめでとう！！！！
[43.579] (S)kahunman: 結婚おめ
[43.581] ゆーいつ: 結婚おめでとう！
[43.583] reochi_: おmr
[43.659] (S)ティアーモ派弱者男性: batoraNagare
[43.680] aksjux: 結婚おめでとう
[43.685] Adogpt: zetaおめ
[43.704] water_melon200: 結婚おめでとう
[43.753] sakamotto_12: 結婚おめでとう
[43.773] am_av: はやく言えよ
[43.776] gaku0x0: batoraNagare
[43.814] kjbkby: batoraNagare
[43.891] ぬえぼ: DinoDance
[43.907] wanwaaaan: 広告まって
[43.945] tomatomats: 離婚おめでとう
[45.339] (S)tsukudani8: batoraKyo
[45.403] ナルキッソス: batoraNagare
[45.414] kanochanman1: けこーん
[45.438] tiwawasan3: 結婚おめでとう！！！！
[45.467] amemon5: それはおめw
[45.475] reika_chan_nano: きーたよ・。・ｖ
[45.483] かまめし1523: 結婚おめでとう
[45.551] kqreh: 仕事やめた！？
[45.580] aeu241: 結婚おめでとう
[45.668] (S)しめち: 結婚したの？
[45.725] (S)~MISSING_COMMENTER_INFO~: 結婚おめでとう！！！！！！！
[45.837] wrwig: 結婚おめ
[45.918] (S)smnalover: batoraNagare
[45.924] pppp25i: はよしろ
[45.929] (S)yayayakn: 退職おめ
[46.411] 雪ザラシ: 結婚報告きtらあああああああああああああああああ
[46.456] gaku0x0: batoraNagare
[46.537] (S)qmapa: おめでとう！
[46.567] (S)aburi_saamon: batoraNagare
[46.592] ちくわぶさんたろう: きたあああ
[46.602] kurym67: 結婚おめでとう
[46.607] kato__hero: 結婚おめでとう
[46.618] kali118: 広告で聞こえねえよぼｋｗ
[46.673] (S)manafiy830: batoraNagare
[46.688] karonoe: batoraNagare
[46.756] kadomiumu: 昇進したのかおめでとう☺️☺️🎊
[46.787] boy07211998: 結婚おめでとう！！
[46.788] リュウイチ: 結論から話してくれ
[46.790] lemonuuun_: おめ
[46.802] (S)abemania_sixteen: 結婚記念カキコ
[46.839] ふゆのち: 流れきた
[46.903] bigbaby0529: 結婚おめでとう
[46.931] ursnsym: batoraNagare
[48.391] (S)ine_dayo: batoraNagare
[48.419] (S)サブスク配りおじさん: 結構おめでとう！！！
[48.420] 八朔屋: batoraMatte
[48.448] waffmaru32: 結婚会見と聞いて
[48.463] shiron_03: 結婚おめでとう！
[48.512] berudon: 結婚おめでとうございます🎉
[48.524] potatofries1111: 流れ
[48.599] (S)ゆかり飲んで落雷轟轟: batoraNagare
[48.600] chami3135: ついに結婚か
[48.610] ~MISSING_COMMENTER_INFO~: 結婚おめでとう🎉
[48.688] (S)shisyamo271: 結婚おめでとう！！！
[48.761] (S)maimai0870: batoraNagare
[48.791] (S)はるまくん: 結婚おめでとう
[48.842] (S)Slide_no_Tatsujin: 結婚おめでとう
[48.908] まゃか: 💍
[48.981] (S)djmakror: djmakror is gifting 5 Tier 1 Subs to バトラ's community! They've gifted a total of 15 in the channel! 
[49.381] lias557: lias557 subscribed with Prime. They've subscribed for 14 months! 
[49.416] agosamurai117: それははおめ
[49.480] (S)量り売り: おめでとう
[49.510] gaku0x0: batoraNagare
[49.532] dile_ak: 結婚おめでとう！！！！！
[49.533] ragdoll041: 🍺
[49.576] taccomin: 広告長すぎ
[49.586] (S)わんぱく: おめでとう！！！！！！
[49.624] (S)ふじわらもとお: batoraNagare
[49.667] (S)djmakror: djmakror gifted a Tier 1 sub to taketyyyy! 
[49.701] (S)djmakror: djmakror gifted a Tier 1 sub to 桔梗ふりゃん! 
[49.704] (S)djmakror: djmakror gifted a Tier 1 sub to asashihi1! 
[49.715] (S)ちょろのん: 結婚おめでとう
[49.718] (S)djmakror: djmakror gifted a Tier 1 sub to めろんてゃ! 
[49.728] (S)superdog893: 本当におめでとう
[49.730] まじっくん: ガチでおめでとう
[49.752] gerupa: batoraSudachikunAnimation
[49.832] (S)djmakror: djmakror gifted a Tier 1 sub to soskskskskskskskskakak! 
[49.888] (S)employed9900: 今日7日?
[49.893] watapaku: batoraNagare
[50.013] senritsu38: batoraNagare
[50.036] (S)minatoyssy: batoraNagare
[50.305] (S)roast43: けっこんおめ！！！
[50.411] エクレシア: batoraNagare
[50.443] nochi_04: batoraNagare
[50.738] hogehoge0821: さすがに飛び起きた
[50.761] (S)りあ_0923: 結婚おめでとう！
[52.495] andoinrin: めでてえな
[52.623] posedox: うおおおおおおおおおおおおおおおおおおおおお
[52.649] (S)らし: おめでとう
[52.658] やのざきびびり: こんばんは
[52.665] yuriyurisankaku: batoraNagare
[52.687] ディギモー: 結婚おめ
[52.690] y4sai_Oic: ニートおめ
[52.725] wanwaaaan: まってくれ
[52.903] 平沢うい一: ハイエナ
[52.955] ふゆのち: どうも
[52.989] (S)ｸｶのゆい: プロポーズ 流れ
[52.994] umm_i_am: 結婚おめでとう
[53.100] (S)村紗あざらし: batoraNagare
[53.105] (S)locorococo: batoraNagare
[53.115] フィヨルドランドペンギン: batoraNagare
[53.125] (S)namanieru: とりあえずカップヌードル食べないか？
[53.196] takenad: batoraNagare
[53.312] ち_____: 結婚おめでとう！！！！！
[53.417] (S)ティアーモ派弱者男性: おめ
[53.451] (S)でぶだいこんあし: おめ
[53.564] 八咫烏: 離婚おめ
[53.565] (S)ぺんりか: 結婚おめでとう
[53.742] (S)nakima86: ドキドキドキドキ
[53.766] wacky0000: どもw
