[248.853] いがぐりころころ: こんばんは
[249.553] tabibitox: もうなおってる
[249.953] degajun: すべてグダグダｗ
[255.453] danny_love_danny: Dの部屋お洒落なんだよね
[262.043] (S)りゃーー: 王か？
[263.285] hellzz88: 普通では体験できない瞬間が今ここに
[263.947] umetyaahan: じゃぁお前やん
[268.003] (S)ハルキ10: ハンサム髪型変えたのね
[268.704] ~MISSING_COMMENTER_INFO~: んでこれは何？
[271.713] kiiiirakila: うめちゃんどこいった
[277.663] (S)なんやねん: 放送事故？
[279.189] yuzubox: ｗｗｗ
[279.607] (S)ましゅダヨ: こんばんはー！
[282.128] おすかいと: これなに？
[282.906] karumememe: ウメちゃんいないと15分も駄目な感じ？
[285.067] olivemocomichi: Dがアレして
[285.707] ハナノユメ: 折笠さん仕切ってよ
[285.977] peroponcho: だんごいい加減にしろ
[286.688] monen_tofu: グダグダやめてね 
[287.706] 霧月むげつ: 誰かの拾ってるね
[289.283] イガ: なんだこれ
[292.082] (S)ましゅダヨ: あれ？うめちゃんいないの？
[294.358] syrup9000g: キルアも言ってただろ！
[295.106] kagami0719: 左下の奴偉そうだな
[295.127] degajun: トラブルにつよいｗ
[301.282] myaaaaaa123: 生きて；；
[301.572] あり0221: 開幕15分以上放置する放送です
[304.408] easter19xx: なんかタイトルパクりな企画ばっかやな
[306.714] OGPG_mendokusai: ウメハラ有識者
[306.999] akinikuihuku: 俺たちはどう生きるか
[308.302] suginaka56: 吉田栄作どこ
[309.058] gkng1: wwwwwwwwwww
[310.417] kebiisi: 君たちはどうすれば良いのか
[311.297] 水時計: え
[311.434] 寝るポイント: 騙したの？？
[311.582] suupu: えー、ウメちゃん１５分以上いないです
[313.615] アザミノ: くせに
[313.771] モギタマ: あれ、ウメハラ見に来たのに？
[313.953] オカモ二等兵: 俺たちはどう配信するか
[313.994] hellzz88: グダグダじゃなかった事ないからセーフ
[316.176] kiiiirakila: 釣りニキもまだかな
[316.679] Sgt_Pincell: 2020ByeGuys
[316.844] minOn54: 15分放置プレイです
[316.946] (S)ましゅダヨ: ちょっとちょっとちょっとちょっと
[317.298] たかさん64: こそこそ観察してそうｗｗうめちゃんｗｗ
[317.807] xxzoids: ハンサムチャンネルにしか見えない。
[318.005] matsu_zalem: 風呂？
[319.548] (S)エムクロ: アピールええよ
[319.702] ~MISSING_COMMENTER_INFO~: 俺たちはどうすればいいか
[321.014] icyblue1985: 15分から
[321.033] (S)ましゅダヨ: あーーーーーーーーーー
[321.769] hanzou3: 風呂か？
[322.271] (S)なんやねん: ？？？
[322.792] nikukuisugi333: 吉田栄作は第3のビール飲め
[323.782] おじキッズ兄: やばすぎｗ
[325.822] (S)タシオニ: ハンサムライブいつも30人前後なのに、今日100倍の人数なってるｗ
[325.880] tamagon_: うそでしょ…
[329.361] モギタマ: ホタテ落としたんやろ
[329.420] (S)ましゅダヨ: 遺言だああああああああぁぁぁ
[331.195] 0nuki: いやー体を洗い忘れた
[331.643] (S)ハルキ10: ウクレレ弾こ
[331.881] (S)fograin112: 俺たちはどう生きるか
[333.013] (S)りゃーー: ほんとに５０分になる可能性あるぞ
[333.132] harumaki040212: 何すればいいんやw
[333.840] 新福菜館マン: 最終局面じゃんこれ
[333.960] (S)brutal9998: ちなみにマゴさんはジム行くって言って1時間一人で繋いだぞ
[334.589] ddb365: ウクレレにぃ家帰れたのか
[334.889] kebiisi: 最低保証15分
[335.731] TUBE_MAN: 折笠以外の人が喋った音が跳ね返ってる時に折笠が光ってるよ
[337.269] (S)黒光り肉の: 放置するくらいだから緊急なはず
[338.135] (S)れんぞね: リスナーはどう過ごすか
[340.190] ハナノユメ: スン・・・
[341.498] danny_love_danny: いやコンビニ行ったんだよw
[344.568] あり0221: 俺たちはどう生きるか…深いな…
[344.785] monen_tofu: 早食いの弊害
[345.359] rere0: いいよー
[346.200] るーびんりき: 3人はどう進めればいいか
[349.372] ~MISSING_COMMENTER_INFO~: 一体何が始まったのか
[349.626] axchuuu: 何これ会議？
[350.081] すみ___: ハンサム二段ベッドなんだね
[351.320] (B)DaigoTheBeasTV: 本題は話さないで！
[352.318] feel2525: 俺たちはどうすればいいのか
[352.575] harumaki040212: ごめんな若い子よ
[356.171] (S)ましゅダヨ: もうごはんたべてたよ？
[357.402] サラバア: いたｗ
[358.890] たかさん64: このグダグダの飲み会感すこ
[361.169] nikukuisugi333: コメｗ
[361.677] 宮藤ｨｨｨ: wwwww
[362.505] wankoro_moti: ｗｗ
[363.223] matsu_zalem: 王からメッセージが。
[363.572] danny_love_danny: ウメちゃん？！
[364.492] tamagon_: ｗｗｗ
[366.537] ハナノユメ: コウヘイさんって誰だっけ
[367.056] user_5960: 何このタイトル
[367.419] icyblue1985: ｗ
[368.038] karumememe: 視聴者はどう耐えるか
[369.238] セツリ: 本題は話さないで！
[369.874] (S)gettyozi: ｗｗｗｗ
[370.024] Roze1019: ｗｗｗ
[370.133] rere0: ｗｗｗｗｗ
[371.363] knock_fg: 幽霊
[371.861] syrup9000g: ホラー
[371.909] (S)くまリンカ: お化けだああああ
[372.469] icyblue1985: ァジでｗ
[372.499] よっとです: ｗｗｗ
[373.606] (S)milanor03: ホラーやwwww
[373.979] (S)ましゅダヨ: 真っ暗ですがァ
[374.243] モギタマ: おわかりいただけただろうか？
[374.266] umetyaahan: 本題はなすなって
[374.881] kumi115: 怖
[375.720] pugya7: くらｗｗ
[376.153] (S)mart_00_: wwwwwwww
[376.323] 雅人さん: ！？
[377.175] (S)gorogorogorn: 何の人だっけ？
[377.602] 霧月むげつ: 肝試しでもしてんの？
[378.873] nikukuisugi333: 本題は話な！
[379.456] hanzou3: 何で外？？？
[379.514] millioniwashi: こわｗ
[379.649] minOn54: 本題はバラすなと王から
[380.264] titilrin: 釣りの人？
[380.278] (S)ハルキ10: こっわ
[380.507] あり0221: ホラーw
[381.294] u_tan86: ホラーwwwwwww
[381.930] (S)kesigome: いちいち面白いｗ
[381.953] (S)ましゅダヨ: ホラゲ？
[382.388] 引きこもりザウルス: 幽霊も居ます
[383.078] ハナノユメ: 釣りの人？
[383.258] たかさん64: おばけｗｗｗ
[383.352] rere0: さっきのせいいやんｗ
[384.026] choran_nao: 葵の御紋
[384.168] blackie_1988: どうしてその状態で参加しようと思ったのよ
[384.398] umetyaahan: ホラーすぎて草
[384.419] (S)kizuchi95: ｗｗｗ
[384.479] jigen0104: いらっしゃってないよ
[385.023] Roze1019: カメラいらんやろこれｗ
[387.226] サラバア: ｗ
[387.478] syrup9000g: 余りにも怖い
[387.560] dai920san: ヒエッ
[388.194] yamanekojiro: ほんとにうっすらみえるｗｗ
[388.938] (S)mart_00_: 釣りの人？
[389.602] sarah_0519: wwww
[389.735] 寝るポイント: こわい。。。
[391.952] kebiisi: 本題話すな言われてるぞ
[392.099] icyblue1985: 俺は怖い！
[392.327] (S)れんぞね: うっすら見えるw
[394.066] akinikuihuku: 実質何もうつってないやろw
[394.388] セツリ: ウメ 本題は話さないで！
[395.763] sarah_0519: 暗すぎ
[396.142] mokumoku_walking: 闇の住人
[397.264] (S)gettyozi: 排除ｗｗ
[397.485] umetyaahan: 本題はなすなって言ってるぞ
[397.706] あり0221: むしろカメラいらないまであるw
[397.995] danny_love_danny: こええええええ
[399.401] matsu_zalem: モノリス？
[400.865] qin_liangyu: だれ
[400.900] ~MISSING_COMMENTER_INFO~: こいつらなに
[401.344] (S)ハルキ10: 釣りの彼
[401.582] はづきしゅう: wwww
[402.431] (S)ましゅダヨ: 排除ww
[402.527] axchuuu: BibleThump
[403.473] (S)mart_00_: 排除
[403.602] サラバア: 色々あるんだね
[404.413] jigen0104: 排除
[404.794] おすかいと: なんやこれ笑
[405.027] harumaki040212: 本題はだめだよ
[407.983] morinagasyuya: こっっわ
[408.220] (S)ましゅダヨ: 深淵？
[408.747] jagajaga1943: 本題話さないでらしい
[410.128] olivemocomichi: 野外ライブ
[413.036] oniHache: うっすW
[415.249] (S)2youyou2: umeMezame
[415.544] qin_liangyu: ウメちゃんどこ？
[417.495] verdict5557: verdict5557 subscribed with Prime. They've subscribed for 41 months, currently on a 5 month streak! 
[417.678] kebiisi: 排除w
[417.793] (S)nail06k: 折笠節
[418.042] ぐのたお: 中身がないｗｗｗ
[420.007] ハナノユメ: ウメ「本題は話さないで」
[420.239] blupon06: 折笠さん笑わせて
[421.081] (S)れんぞね: REJECTってわけ
[422.374] (S)ましゅダヨ: 本題を話さないで？
[423.540] west_dogs: ダンゴさん社長なだけあっていい部屋住んでるな
[423.587] harumaki040212: どうすれば伝わる？
[424.955] degajun: 急遽決まったんかい
[425.091] (S)brutal9998: 主がいないのに4500人います
[429.044] (S)ましゅダヨ: は、はい
[429.406] 寝るポイント: 自己紹介して
[430.993] olivemocomichi: 本題入りそう
[432.505] kumi115: ウクレレにぃ何歳？
[432.847] harumaki040212: コメ欄みてる？
[434.645] suupu: 昨日！？
[437.253] Roze1019: （おっそ）
[438.047] さっぽさんぽ: Dさん
[438.412] 何も知らないジョンスノウ: おっそw
[438.633] degajun: どんだけ急なんｗｗｗ
[439.174] (S)marvolo6: 昨日！？
[440.303] (S)kesigome: まぁじｗｗ
[440.347] sarah_0519: 昨日？
[441.523] (S)hiro_chan: 西村キヌ？
[441.771] (S)ましゅダヨ: 今日ですねw
[442.154] (S)やあああ: 音質わっる
[444.698] umetyaahan: 本題話すなって
[448.820] (S)chachachakoma: ウメちゃんｗｗ
[449.897] sarah_0519: 急すぎるわwwww
[452.302] さっぽさんぽ: 自己紹介した？
[459.607] (S)mart_00_: wwww
[461.828] セツリ: まだだよお
[464.448] akinikuihuku: 音質悪すぎて草
[465.843] ハナノユメ: ビーストはLIVE感を大事にする
[467.272] harumaki040212: 本題に行ってしまうw
[467.474] rm_rf__: テーマが壮大すぎんよぉw
[468.778] wankoro_moti: コメ見てない？
[469.937] ~MISSING_COMMENTER_INFO~: チャット欄みてくれー
[470.685] jagajaga1943: 本題話さないでbyウメハラ
[471.915] axchuuu: 人生についてですか…
[474.200] モギタマ: もしかし、映画みにいったの？
[475.278] (S)やあああ: umeYay
[476.475] (S)fograin112: ウメ「本題は話さないで」ウメ「本題は話さないで」ウメ「本題は話さないで」
[476.845] tatatatady: 俺たちはどう生きるかとは？
[477.939] さっぽさんぽ: 自己紹介しろ
[482.022] hellzz88: ここの住人達すげーなマジでｗ
[485.324] あり0221: ※クズの集まりによるテーマで放送開幕15分以上放置する王の放送
[487.718] akaao123: ここに書いてもみてないんじゃないか？
[488.724] (S)nail06k: 左下なに
[492.491] tak1on_: 部屋暗すぎない？
[494.318] yuzubox: 進行できないｗ
[494.642] jigen0104: wwwww
[496.006] xxzoids: Dはインスパイア好きだね。
[496.111] TUBE_MAN: 誰かチャット見て
[496.423] (S)なんやねん: はよ進めろー＼
[497.933] 寸止め: 何が始まるんです？
[499.226] オカモ二等兵: うめちゃんは今映画見てる？
[499.792] sh1zuku716: 今来たけど誰居るの？
[499.943] axchuuu: 鳩ぽっぽしなきゃ
[500.909] twitchyarutch: でもいない人に主導権はないと思うw
[500.930] qin_liangyu: え？
[500.982] choran_nao: 呼んどいて
[501.257] ハナノユメ: 関係ない雑談しろ
[501.417] yuzubox: ただの雑談ｗ
[501.788] Blueprintn: どういう配信
[505.154] (S)なんやねん: はよ進めろーーーー
[506.360] umetyaahan: 自己紹介しとけ
[506.399] degajun: チャットで支持出しは無理よｗ
[506.715] (S)mart_00_: なんでいないのww
[507.174] ぐのたお: 全員誰か知らない人もいるんじゃない？
[508.700] hikky722: ウメちゃんへのグチでも喋ろうぜ
[508.829] 将門ゴルゴロ: ｗｗｗ
[509.818] (S)maya_g01: ｗｗｗ
[510.186] ｾﾀﾒﾝ: 感情が迷子
[511.063] vungo_mr: ｗｗｗ
[512.495] harumaki040212: これもテスト？
[512.536] (B)DaigoTheBeasTV: 本題は話さないでね！
[513.627] アザミノ: 雑談しよう
[513.998] sh1zuku716: 自己紹介頼む
[514.024] (S)ましゅダヨ: 本題って何！！！
[515.499] umesecond: 折笠が主役
[516.653] blupon06: 折笠さんいつもありがとう
[517.587] merkava_mk2: もう殴っていいよｗ
[518.305] (S)ましゅダヨ: あっ
[521.618] (S)tama_zx61: 俺たちはどうつなぐか
[524.166] (S)fograin112: LINEしろよw
[524.421] suginaka56: イス原
[524.520] 霧月むげつ: 左下の人は家で話せないとの事で外です
[525.391] (S)くまリンカ: 本題は話さないでね！
[525.545] TEIKETTO: おい
[525.674] tabibitox: ウメちゃんｗｗｗ
[525.829] あり0221: 自由を履き違えても生きれるってわけ
[526.294] オカモ二等兵: 本題禁止w
[526.320] ~MISSING_COMMENTER_INFO~: 王
[526.529] abgusk: ジムにでも行ったのか？
[526.907] wankoro_moti: ウメちゃん；；
[527.119] おすかいと: あっ
[528.530] axchuuu: お
[528.967] サラバア: チャットでは諦めてｗ
[529.619] (S)uguisupan1192: どういうこと？
[532.018] umetyaahan: D有能
[534.647] モギタマ: 正直、誰が誰だか分からん
[536.504] qin_liangyu: 全員わからん
[536.736] fbhjkl: SeemsGood
[537.542] sh1zuku716: 有能
[537.906] genmaikun999: 俺たちはどうイキるか。
[539.713] (S)ハルキ10: 君の名は
[542.211] (S)やあああ: あ
[543.044] yuzubox: きれたｗｗｗ
[543.127] olivemocomichi: ｗｗｗｗｗｗｗｗｗｗｗｗ
[543.717] harumaki040212: 3人わからない
[543.936] ユウノスケ: え？
[544.442] nikukuisugi333: あ
[544.589] (S)mekipen: wwwwwwwwwwwww
[544.694] (S)leviel86: あ
[544.697] Roze1019: ｗｗｗｗｗ
[544.851] yamanekojiro: あ
[544.904] 0nuki: ！？
