[1987.935] セルヴァラ: あるあるｗ
[1988.009] ぱーーまん: おかえりー
[1988.121] (S)GelidiumJellyCat: 帰ってった
[1988.381] h2hiroyuki: アカンｗ
[1989.251] ぶっちゃ: ｗｗｗ
[1989.271] rootsblank: 連打あるある
[1990.678] MazicMozaic: オルエンはいつ騎馬だと気づかれるだろうか
[1990.978] (S)ぐぐっす: 帰宅難民からの
[1991.289] (S)toshioj: あいつ死刑っすね
[1991.681] tronen: もうダメだと悟って逃げる雑魚兵
[1992.812] tonpa323232: ウメ おかえり
[1993.629] tamaow: 「では、私はこれで…」
[1995.410] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1995.750] akumashougun3: 13
[1999.187] tonpa323232: ウメ.........おかえり
[1999.747] tokorozawabeast: 敵前逃亡は草
[2004.318] 黒虎えびお: １３把握
[2004.859] HappyDog18: UIに悪意がある
[2005.269] ~MISSING_COMMENTER_INFO~: グレイド城帰れない予感が
[2005.968] okojo1991: 定時帰宅
[2006.372] akumashougun3: セルフィナはここで出番終了ですｗ
[2006.428] uncle_yam: オルエン騎兵だよ
[2007.244] (S)ポンポン: あ.....
[2007.869] balthazar000: この難易度になるのを見越してプレイしないといけないとは鬼畜やなぁ
[2015.674] unachanmanz: 出川
[2026.687] rapid881000: ひどいケアレスミスを見た
[2027.558] tonpa323232: シノギズムできるか？
[2030.443] ~MISSING_COMMENTER_INFO~: 兵士を安全なところに逃がす将の鏡
[2035.477] ~MISSING_COMMENTER_INFO~: 城にグレイドが戻れないのがやばい
[2038.149] MazicMozaic: それ正解だけど、武器渡してからにしてな
[2041.503] tronen: もう少しで本隊が駆けつけるは全滅フラグ
[2045.765] (S)Sishamock: あいつ帰って何すんだよ
[2049.564] okojo1991: 弓すげえな
[2049.810] akumashougun3: 敵の本隊もかけつけるぞｗｗ
[2050.397] (S)toshioj: このゲームどうしても操作ミス起きるのに、操作ミス一発で終わるからな。レスキューもっと用意しろ
[2053.534] (S)akiaki0612: 焦らず操作
[2054.482] 黒虎えびお: この次が楽しい
[2055.052] balthazar000: 館を死守するのが目的か
[2061.853] tokorozawabeast: フェルグス～早く来てくれ～！
