[2559.806] DojoComboRage: www
[2563.917] DojoComboRage: good raven
[2650.886] electric_gorilla: ぐわああああ
[2659.737] DojoComboRage: www gg. Bye Dogura  👋
[2673.077] DojoComboRage: They be doing stuff at ranges. More walk
[2678.312] DojoComboRage: Startup
[2695.629] electric_gorilla: ロボットきたああああ
[2713.431] electric_gorilla: MrDestructoid
[2736.734] DojoComboRage: :)
[2819.737] electric_gorilla: パーフェクト！！
[2873.321] DojoComboRage: DREAM
[2919.760] DojoComboRage: HAI
[2921.779] owajiowaji: 鉄拳爆流行りしてくれ
[2931.927] electric_gorilla: うおおおおお
[2942.570] いぬきち1: どぐにゃんてつまつり何枠で出るの？大将？
[2947.904] atabo1: 無理やろ
[2960.793] (S)ぽぽぽぽっきー: スト勢のワイ、対戦よくわからない
[2989.300] metal_ham: 鉄拳やってみたいけどキャラ見た目で選んでいいんかな
[2999.840] (S)sakanamaru3: こんばんは🌛
[3019.606] (M)墾田永年私財砲: 許しまへんで
[3021.637] (S)ぽぽぽぽっきー: なんで忍たま乱太郎ｗ
[3030.156] (S)ぽぽぽぽっきー: お残しか
[3041.821] (S)sakanamaru3: お残しは許しまへんで
[3043.820] ogym_1227: 見てる分にはすごいエフェクトとか派手で終始何が起きてるのか分からないけども、男心をくすぐる様な感じがして好きではある
[3050.326] 歴戦の受付嬢: キャン〇マ、キン〇太郎？
[3059.557] ヒガシ: 今知れたからわーす
[3079.621] ヒガシ: 寝落ちの民？
[3092.297] atamamiru: どしたｗ
[3106.572] ruirui071031: 寝落ちかなー？
[3107.536] suzu_nosuke: 気絶してキーボードに倒れ込んだか
[3128.708] (S)ぽぽぽぽっきー: 個人的にはフレームが分かりづらくて見てて確反とかがわからなくて……
[3144.951] (S)ぽぽぽぽっきー: 全員ラシードみたいに見える
[3167.855] metal_ham: 伝統のキャラ対が多いイメージあるわ
[3200.466] ヒガシ: 育ちが悪い鉄拳ってどんなんなんや…
[3212.310] (S)sakanamaru3: 格ゲー楽しそうで買う、サンドバックになる、諦めて見る専になる。
[3215.256] 歴戦の受付嬢: 熊とみせかけてアザラシ
[3241.749] (S)ぽぽぽぽっきー: ペカ
[3245.726] huurainomurabito: クマのコンボ減るw壁なしでもやばいw
[3327.901] (S)sakanamaru3: すげぇカッケェ
[3397.534] (S)ぽぽぽぽっきー: この間の大会でもいい位置にいたよね熊
[3708.303] (M)墾田永年私財砲: クマ史クマ
[3714.317] huurainomurabito: 弱キャラの汚名は返上されたのは間違いないと思いますw
[3728.989] (S)nasu5217: 熊に人間が勝てるわけないやろ
[3750.633] 雨宮あめう: アクマ対クマ
[3913.938] (S)nasu5217: 知識だなぁ
[3973.509] (S)SteameR89yt: 今は下手したらカズヤが、、、
[3978.522] AshNoisy_game: 初コメ失礼します。デビル仁が落ち着いたらドグラさんのブライアン見たいのでまた触ってください^ ^
[3994.241] kein8549: スティーブとか平八とか豪鬼は出れるだけのクソさがあったからね
[4086.545] (S)nasu5217: 知らんかった
[4389.955] bbimanim: なんちゅうゲームや
[4414.097] (S)nasu5217: 白ゲージとヒートでまくりがかなり起こりやすいから倒しきりまじ大事
[4440.920] (S)Line_X: Tekken Emperor.  Nice
[4449.195] (S)nasu5217: おめでとー
[4512.635] (M)墾田永年私財砲:  『第三回てつまつり』6/23 (日) 18:00(JST) ～開催🔥 https://x.com/ConDenAnen/status/1801096349829767536
[4549.182] (S)ドンベイ_164: 鉄拳ってどういう駆け引きが行われてるんですか？
[4625.113] kaneko_nsx: 鉄拳見てもよく分からん
[4631.743] kaneko_nsx: めちゃくちゃむずそう
[4740.246] metal_ham: 基本的には中下段の崩し合い+軸移動避けなのかな？
[4786.720] Biruron: どぐんす
[4972.152] nitknango18: どくらさん応援しながらランクランクマ潜ってたら真龍まで行けました！ありがとうございます！
[5071.375] (S)nasu5217: ダブルニープレス！
[5081.921] ヒガシ: シュガーラッシュ
[5101.033] (S)nasu5217: 若本さんお年がね
[5159.224] otddd: ジョニーも次回作のギルティで声変わっちゃうのかな
[5182.494] (S)nasu5217: シュガーラッシュはヴィラン側にザンギを出したプロパガンダ映画やぞ
[5185.479] (S)田中脊髄剣田中: シュガーラッシュはクッパが出てた方
[5260.415] (S)ぽぽぽぽっきー: ネモさんが監修していた可能性が
[5453.729] (S)mukiryoku_mkr: あとベガまで1週間切ったんだ
[5566.637] (S)nasu5217: 上位陣の考察聞いてるとほんとに攻めが評価されるゲームになったんだなぁ
[5819.840] タフタフ: ーーープロなんで
[6149.378] sanchaaaaan: 8は今までと比にならないくらいの攻めゲーなりましたよね
[6175.733] タフタフ: 21日エルデDLC、23日てつまつり、26日ベガ！どぐらの身体は保つのか？
[6236.060] (S)ぽぽぽぽっきー: 6/22ビーストカップもあるよ！
[6237.926] ruirui071031: ビーストカップもある
[6301.345] (M)墾田永年私財砲:  BeastCup 3on3は『シャドルー本部(予定地)チーム』で出場します  https://x.com/maneater_dgr/status/1801596297499046086
[6403.776] (S)ぽぽぽぽっきー: エルデンリングDLCは追加ボス10体の大ボリューム！
[6434.149] タフタフ: プロとしてーーー
[6649.639] tonkatukassan444: サイコクラッシャーはまだやれるん？
[6800.752] (M)墾田永年私財砲: 用心ゾルディック
[6874.377] (S)ぽぽぽぽっきー: えるびーさんはプロのかた？
[6946.705] ryu_kirino: どぐんす
[6974.079] (S)onemoch: 構成員はアカンｗ
[6991.009] ryu_kirino: 野崎組
[7012.531] ryu_kirino: ネタがふる……
[7035.538] 赤帽子: !member
[7052.254] (M)墾田永年私財砲: 鉄拳プロゲーマー用心BΩY 公式YouTubeチャンネル：https://youtube.com/@youjinboy? si=49IRzlmQUKFBSW4q アモーレ！
