[37.345] めンだこ: めンだこ subscribed at Tier 1. They've subscribed for 34 months! radaoHi 
[37.514] ゆずシフォン: ~MISSING_MESSAGE_INFO~
[37.755] 食べられる目薬さん: ~MISSING_MESSAGE_INFO~
[37.794] (S)食べかけたみかん: 食べかけたみかん subscribed at Tier 1. They've subscribed for 4 months, currently on a 3 month streak! 
[37.968] (S)wasabi_1234: きたあああああ
[37.977] (S)しろいえなが: radaoBanzai
[37.983] (S)PON_cc: radaoKitya
[37.997] (S)taramin345: わこらだ
[38.087] 佐野ちャん: ついにきた
[38.092] tuyukusairo: radaoKitya
[38.165] kanna0730: radaoHi
[38.185] (S)のむ_のむ: radaoHiradaoHi￼￼ 
[38.185] かんこ: radaoHi
[38.189] magumamikan: radaoHi
[38.192] kosu_mosu: radaoKitya
[38.193] tanuki_pan: チューおじ 
[38.197] panno_mimi: radaoKitya
[38.743] toumyou_2525: radaoHi
[38.777] mira_889: わこらだ 
[38.781] yume_tori: わこらだーーー！！
[38.783] ライク: radaoHi
[38.785] (S)norato041197: radaoHi
[38.794] るおはゲーム下手: わこらだ！！
[38.799] (S)hossy____: radaoBanzai
[38.809] (S)てとま: radaoHi
[38.821] hijiki_0209: radaoHi
[38.854] (S)sena_846: きたああああああ！！！！
[38.862] (S)くも0925: radaoKitya
[38.902] (S)soukarin_neko: radaoHi
[39.087] しまおじ: しまおじ subscribed with Prime. They've subscribed for 33 months! 
[39.193] mizuno0624: mizuno0624 subscribed with Prime. They've subscribed for 43 months, currently on a 6 month streak! うおおおおおおおおお
[39.334] (S)run0ria: 音神譜董 subscribed at Tier 1. They've subscribed for 8 months! わこらだ
[39.888] ばにら0115: ばにら111 subscribed at Tier 1. They've subscribed for 12 months! 
[39.959] pirafu_yen_yen: pirafu_yen_yen subscribed at Tier 1. They've subscribed for 20 months, currently on a 9 month streak! 
[40.034] roane0_0: roane0_0 subscribed at Tier 1. They've subscribed for 15 months! 
[40.189] koromoti1219: koromoti1219 subscribed at Tier 1. They've subscribed for 47 months! 
[40.789] lycomuss: lycomuss subscribed at Tier 3. They've subscribed for 31 months, currently on a 31 month streak! 
[41.034] mi_sa34: mi_sa34 subscribed with Prime. They've subscribed for 27 months! 
[41.067] nashu_noike: radaoKitya
[41.068] kanato4423: radaoHi
[41.078] amanooomikami: radaoHi
[41.128] (S)ritoxx12: radaoHi
[41.185] an_do121: うおおおおおおお！！！
[41.192] arisugar1706: わこらだ！！！
[41.205] (S)kakuzato314: radaoHi
[41.212] (S)yodo_basi: radaoHi
[41.233] (S)kokone0927: わこらだ！！！！！
[41.241] pan_dawa_: wakorada
[41.291] ericaXrak: radaoHi
[41.305] (S)みみ331: radaoHi
[41.307] (S)ryo_4213: radaoKitya
[41.723] (S)とつぜんげんき: radaoHi
