[51.389] (S)minatoyssy: えっど
[51.478] ~MISSING_COMMENTER_INFO~: メイドインワリオきｔらああああああああああああ
[51.488] 25pori: あ、昨日加藤さんとの配信でストーカーしてた人だ！
[51.594] (S)soralira: ずる
[51.689] (S)akina1048: おやすみのキスして❤
[51.698] ぷぷぷっち: BloodTrail
[51.713] matcha1935: よおバトラ
[51.772] green222777: どっちだよ
[51.815] (S)shihori1017: BloodTrail
[51.832] batora_no1_happiest: てめぇ結婚したんだってなぁ！！！！おめでとうよぉぉコノヤロー‼️
[51.897] gerupa: えっど
[51.917] (S)momor1n_b: 仕事終わって寝てた？
[51.917] (S)kk_fff: はあ
[52.328] あったまろイチナナガチ勢: 初見です
[52.455] (S)植松伸夫: バトラさん甘デジやりませんか
[52.496] aishiteruyo1104: は？
[52.537] ishimaru0519: 仕事辞めてきたのか？
[52.594] (S)stray5237: batoraHaguki
[52.615] (S)aboooonn: いいね
[52.624] (S)苗木: カリカリ？
[52.774] amethystbeet: かりかり
[52.802] unununchiwww: なあ仕事してる設定いるか？
[52.846] パパイレ: ぜうと飯
[53.441] nyo_tio: batoraValo
[53.597] kazo3205: kazo3205 subscribed at Tier 1. They've subscribed for 14 months! 会社は辞めてきたか？
[53.681] (S)リ力ルド: 今朝はウキウキでしたね
[53.692] (S)ばね_: ヴァロやるってほんとですか？
[53.707] (S)neon00143: えっど
[53.755] ll_cc_002: カリ！？
[53.999] (S)サかね: batoraValo
[54.249] (S)zzz7793: えっど
[54.254] ほえいぷろていん: えっど
[54.283] (S)フェネル: Switchについて語らないか？
[54.348] (S)satsi045: 案件ですか？
[54.348] (S)waowaodayo: いいね
[54.439] ricesunleafy: 発表まだ？
[54.486] (S)chienpao30: カリカリ
[54.767] guran_ner: えっど
[55.285] kp0001: 昨日何してたの？
[55.297] ragulf3104: かりえっど
[55.411] user2549: 加藤純一軍団のバトラさんだ！
[55.454] ふじぱん_: えっど
[55.508] hiza_official: 夜分に失礼してもいいか？
[55.660] groovy_gozila: カリだのモチだの
[55.711] bigjun0908: 美味いよなそれ
[55.750] ll_cc_002: えっど
[55.822] gerupa: 一個くれ
[56.075] pinkbelt108: 案件
[56.080] ヴァルダッド: さっき食ったわそれ
[56.130] ejejm: もちかり
[56.552] ririri1721: 堅揚げポテトは？
[56.579] なむさん123: くにくに
[56.726] (S)なるくん: 雪見だいふく一個くれ
[56.759] bato451919: くにくには？
[56.803] (S)frorida_22: うまそう
[56.977] カスピス: えっど
[57.198] judicialscrivener: カリ
[57.304] kakka_004428: かたあげポテトは？
[57.704] noromaaa: 1個ちょうだい
[57.723] (S)shihori1017: DinoDance
[57.831] shiro_noir31: どっちやねん
[57.926] sogenakoto893: お仕事お疲れ様です！
[58.124] INkey_001: 堅あげポテトは？
[58.263] (S)ネコア: nekoa328 subscribed at Tier 1. They've subscribed for 6 months! 
[58.327] ぶろりー: db
[58.386] (S)ワンダー明日やります: 英雄の帰還か！
[58.541] makou2023: 鶏皮
[59.229] (S)ゆかり飲んで落雷轟轟: こんくらら 
[59.247] (S)soralira: ひとつちょーーだい❤️
[59.330] (S)mom17321: バトラさっきまで寝てたってマジか
[59.618] unchigamingunchi: やっとホラゲかー
[59.872] (S)バターのカルピス: 美味しそう
[60.036] hoo_key: バトラも加藤軍団に入団か・・・
[60.055] hitamukiganbaru: PopNemo
[60.085] (S)猫舌の犬: 太るよ
[60.105] makoo103: カリな
[60.279] unununchiwww: えっど
[60.537] (S)ワンダー明日やります: うんこちゃんはじ...えーっと...いつもっ...昔から...あのー...あのっ...パワポケ8のときからほんとに...あの〜...見させてｲﾀﾀﾞｲﾃ......
[60.872] (S)tikuwabu83: なぁバトラ、なぁバトル
[61.089] omotena4ttack: 何味？
[61.103] (S)わんぱく: 海星くららから
[61.114] (S)kotono_ha: えっど
[61.250] (S)named_silva: カリカリしてます？
[61.296] (S)special_moriman: ムラゲ負けたぞ！
[61.301] (S)fuyu__21: あれおいしい
[61.314] menico38: もう仕事やめろよ
[61.345] (S)aboooonn: 1個くれ
[61.390] motu184: とりあえず謝罪していただけませんか？
[61.472] (S)106manK: BloodTrail
[61.626] ~MISSING_COMMENTER_INFO~: 小僧ウキウキ
[61.656] (S)あきびっと: batoraSudachikun2
[61.874] (S)richard_starrky: それうむいよ
[61.922] dechnorch: これ反省会の続き？
[61.980] トロンケン: ｄｂ
[62.083] (S)しめち: BloodTrail
[62.125] (S)ikamayo3: むらまこから来ました
[62.129] 錦山_: はやくマリパやれ
[62.177] (S)ぽかり19: どーも
