[61.667] (S)もんぬサマー: 会長の目覚め
[61.979] nanakorobi_yaoki00: つーるぎー！
[62.627] (S)08ryyyyy: hiirag17Boss
[62.688] (S)~MISSING_COMMENTER_INFO~: ちょーどアーカイブ見終わったとこだったから良かったあ
[63.429] (S)mochi___koko: こんちはー！
[63.944] nemuos: この曲ディズニー行きたくなるんだ
[63.975] (S)いしでぬ: にょすまる水産
[64.206] (S)memo_036: 待ってた！！！
[64.238] (S)nekko2sei: hiirag17Fight
[64.409] yuu3392: 生を実感する
[64.792] ~MISSING_COMMENTER_INFO~: 早番助かる
[64.975] fu_san_1126: PopNemo
[65.131] (S)どなたろ: おはー
[65.455] (S)servath98: 性獣様のお通りじゃあ！
[65.968] (S)zolomon1142: ナイスケルト
[66.133] (S)eitarok: hiirag17Nice
[66.793] (S)橘縷々: こんばんちぃ
[67.396] (S)みや5123: みや5123 is gifting 5 Tier 1 Subs to 柊ツルギ's community! They've gifted a total of 6 in the channel! 
[67.628] (S)みや5123: みや5123 gifted a Tier 1 sub to yuuya1231! 
[67.639] (S)みや5123: みや5123 gifted a Tier 1 sub to mozart_nc! 
[67.708] (S)みや5123: みや5123 gifted a Tier 1 sub to roadsigma! 
[67.730] (S)みや5123: みや5123 gifted a Tier 1 sub to Braindead1109! 
[67.744] (S)tanao0209: MRG win!! 
[67.794] (S)みや5123: みや5123 gifted a Tier 1 sub to beofonsu! 
[67.914] (S)sansansan0: この音楽いいわ〜
[68.077] (S)トメィト: hiirag17Boss
[69.066] poyacma: にょ
[69.325] eighthou3: Hello, sorry for bothering you. I want to offer promotion of your channel, viewers, followers, views, chat bots, etc...The price is lower than any competitor, the quality is guaranteed to be the best.   Flexible and convenient order management panel, chat panel, everything is in your hands, a huge number of custom settings. Go to streamrise
[70.001] (S)v1ster1a: ガチ？
[70.115] (S)01aiueo: すごく楽しみ！！！
[70.176] phil_metang: 待ってた！
[70.315] (S)tetedayo_: おいすー！！！ 
[70.693] (S)tamagopan127: hiirag17Boss
[71.175] oner_jp: ガチの店番はなんだ！？
[71.757] (S)エメラルドスプラッシュ: 切り抜きおもれった！！
[71.920] (S)donguri14578: hiirag17Boss
[71.938] (S)nukirito283: hiirag17Boss
[72.100] (S)the_goku_sf: hiirag17Boss
[72.835] (S)ruler_0906: 店主の起床ー
