[563.554] mirukure0610: こんにちは😊
[569.035] zs_river: へんちゃんもそのうちギャンブルに染まるよ
[574.348] (S)きょんた85: ｗｗｗ
[575.242] あすか0119: こんにちは〜
[577.232] twikashi: でも幸せならオーケーです
[579.189] (S)rat0_7777: ｗｗｗ
[582.232] (S)zakiyoka: www
[582.771] honmaka17: wwww
[582.979] (S)akahige9280: www
[585.764] くりりん0127: RUST楽しいよなー
[585.996] あすか0119: www
[590.334] (S)zakiyoka: いいオチ
[592.126] (S)はおちゃ: 今日もちょい遅れスタートですか
[597.366] ナナ爺: たまたまギャンブルしてただけなら大丈夫か
[601.662] GaJiDaGaMaZu: ととみくんは….ギャンブル！？
[605.567] (S)akahige9280: ととさんに一攫千金して欲しいわ
[614.919] (S)えりち_: 忘れないうちに固定コメします？？
[615.159] kobakobabunbun: rust面白いですね〜
[615.179] inufu: こんにちは！
[616.276] (S)zakiyoka: また色々変わってるのかなぁ
[617.181] (S)わしのしわ: おこんにちはー
[617.486] (S)はおちゃ: ととさん最後バカ稼いで帰ってきて欲しいわ
[621.822] 斑田白虎: こんにちは！
[624.497] ぺこ太郎5: おはようー
[640.792] (S)heyheydayo: ひなーのが大勝ちしたらしいよ
[648.083] kobakobabunbun: 一平さんぐらいじゃないかな
[651.021] ktuunn: 殆ど居ないと思うよ
[654.009] ipsiron: 今は儲かんないよ
[655.606] (S)はおちゃ: 一平じゃない？
[658.103] (S)akahige9280: ごく1部じゃないかな？
[660.836] zs_river: 聞いたことないなぁ
[664.709] nonono1207: わい趣味でやってるけどぼろ負けやで
[666.361] (S)heyheydayo: あ、すいません
[667.513] inufu: 今は厳しいと思う
[669.021] (S)むーとろ: ギャンブルって税金どうなんだ？
[672.322] rion_yu_tw: 一応プラってます(^O^)
[672.625] りきゅー: 趣味でスロットやって半年で70万のバイク買いました
[676.344] doraga0: ランキング見れるよね？
[678.754] (B)(S)ヘンディー: ※他配信での情報やこちらの配信での情報を伝言しないようにお願いします。
[681.256] mi7145u: 承知いたしました
[684.306] かるたん: パチとスロなら一番大事なのは店選びだからたまたまいい店の近くに住んでたらワンチャンある
[685.891] (S)kiyo1108: 別に良いんだけどさ
[687.603] (S)はおちゃ: 知り合い競馬爆勝ちしてるなあ
[694.522] (S)heyheydayo: 承知致しました
[703.053] ipsiron: 昔パチで飯食ってたけどその当時のやつ全員辞めてる
[704.658] (S)むーとろ: 別にいんだけどさ
[706.837] ani_no_ani: 別にいんだけどさ
[711.063] くりりん0127: だるさん居ないの寂しいなー
[711.110] (S)junn_0212: うん、別にいいんだけどさ
[711.739] (S)はおちゃ: 別にいいんだけどさー
[716.606] ほまれー: 僕は、れんくん好き。もちろん、ヘンディーさんも好き。
[719.157] (S)えりち_: 別にいいんだけどさー
[720.363] inufu: とろちゃんて可愛いみたいよ
[722.012] (S)むーとろ: なんかさ、
[724.059] zs_river: 別にいいんだけどさ
[725.188] アンディゴ: ハイエナしかしてない先輩が収支プラスだった
[728.783] (S)heyheydayo: なんかありがとう？なのかな？これは、いや違いますよね
[733.627] twikashi: VCRRUST以外でも基本心がけると配信を楽しく見れると言われており
[733.681] オト_ナシ: そういやサーバー閉まる時間ってあるんだっけ？
[734.821] (S)akahige9280: ちょっと生で聴きたくなってきたよ
[747.288] ちりちゃん_: 別にいいんだけど＝別によくない
[747.303] (S)zakiyoka: てかさーの姫
[748.709] Nmk0704: こんにちは
[754.558] kobakobabunbun: 割とよくないんだけどさー
[775.715] (S)はおちゃ: おもろそう
[776.163] らずきち: こんちゃあああ
[778.221] (S)akahige9280: おぉ
[780.375] da05053: 公式サーバーもみたいなぁ
[781.178] (S)えりち_: たのしそう！
[782.835] (S)むーとろ: キタァ！
[784.089] inufu: 朝の6時〜12時まで閉まるよ
[786.151] satokichi_: たしかに
[789.881] mi7145u: ないかもね
[789.959] (S)akahige9280: たしかに
