[340.666] ういっちょ: うわああ
[341.103] あび_あび: あああ
[342.056] uncledoon: いい選択だ
[342.901] (S)ponponguripon: エドかっこいい
[342.938] (S)kakutora_no_o: ばちぃ！！！
[342.971] 鷹爪三角脚: なるほど
[343.022] catless: おおおお
[344.123] derwace_lifolve: えら～い
[344.442] たあぼ0126: うま
[344.641] Jeakfreet: おおお
[345.055] nahstream: おおおー
[346.359] fbhjkl: PogChamp
[348.866] tsubameM: 削りー
[350.462] dai920: 無理矢理ィ
[350.562] えぐえいと菌: かしこっ
[350.951] ~MISSING_COMMENTER_INFO~: ｗ
[351.206] sn0wf0x3: 削リーサル
[351.478] 野々のの: 背水の陣
[353.285] トボ: AI実況にしか聞こえない
[357.177] げのじ: みのがさねー
[359.707] ういっちょ: とめるうう
[386.771] uncledoon: おおー
[387.465] kyosuke1476: DJのラッシュもニーショットもキツそうなんだけどエド
[391.794] Papapadad: おー
[391.895] demonbane_twosword: 見事ぉ
[391.914] ういっちょ: やーる
[393.619] takobou925: めっちゃうまい
[394.862] (S)vivfiw: うーま
[395.469] fbhjkl: gg
[396.854] tama_zx61: かっこいい
[397.553] kurobedam: やるわ
[400.535] ましゅダヨ: こんな時間からこのテンションで大丈夫だろうか野田さんはw
[402.341] vivi9090: かっけぇ
[403.261] ましゅダヨ: あっ
[403.958] manasvin13: まじ楽しそう
[412.221] demonbane_twosword: 一生キツイ飛び
[414.944] mart_00_: オフラインいいなぁ
[422.853] pakupaku_koz: 飛んだら紐出してくる・・・
[423.158] kyosuke1476: 江戸川
[425.039] マンゴスチン: GG
[426.094] hukohuko: DJマシンガン漏れは何出したい時？
[426.374] 四四一六: 江戸川コナン
[431.732] curemikan: 紳士多いな
[436.202] tsubameM: ラッシュとかがんがん来られるのも嫌がってるっぽい
[445.112] manasvin13: 釣りの飛びに相当弱そう
[446.071] iwasyi_k: 確定しないけどな
[447.888] たかちゃん06: アールさんワッペン率ヤバイな
[453.103] (S)黒光り肉の: アールの衣装さすがだね
[469.878] シミズム: アップリケのアールさん
[476.248] スペシャルランチ: ワッペンが本体です
[478.198] demonbane_twosword: ５のポイズン的な
[482.634] 闘劇のアルベルト: えいたらしい
[482.928] tsubameM: 前側の飛びは落とせるけど近い距離の飛びは特に
[490.642] tabibitox: くらっても空中だからか
[492.980] sugy72: 端でもフリッカーキャンセルバクステで確定はしなくね
[494.829] takahashiseigi: 邪道流w
[510.847] 日本語かな: もけが対策動画あげてたね
[511.356] (S)竹雪: 40代でCUNE着こなすのはさすが
[542.458] kurobedam: 弾抜けはしやすいっぽい？
[549.923] 地球最弱を継ぐもの: もう半袖の季節かぁ
[567.449] たかちゃん06: 半袖はやない？
[572.055] 日本語かな: 多すぎるw
[572.990] ayataka33: やば
[574.850] johndoe6523rp: すげ
[576.286] okara623: すご
[576.332] (S)黒光り肉の: 何人くらいきてるんだろ
[576.404] ういっちょ: 42台！
[579.903] (S)軽く捻るか: すごい
[581.390] manasvin13: ガレリアありがとー
[581.792] (S)ichione111: ガレにぃ
[582.045] sn0wf0x3: ガレリアありがとー
[583.358] 闘劇のアルベルト: ガレリアありがとー
[584.885] une3333: ありがたやーですね
[588.463] ババシャツ: ｗｗ
[588.833] 新ころりん: 寒さ耐性◎
[589.199] raincoat214: 二択
[590.765] tabibitox: 踊ってたなぁ
[592.149] 5don: umeGu
[595.090] latenight000: 逆にね？
[595.261] gorogorogorn: なのはらｗ
[595.713] koudou3: 菜の原
[597.508] カブトシロ: ウメちゃん心は小学生だから…
[601.495] ダイナソー龍崎: ウメ散歩
[601.975] ういっちょ: 入ってきた時からｗ
[602.869] kasutadonshirokuma: ぼくはガレリアをつかってます
[604.044] (S)noriyuki3: あの画像思い出したw
[604.191] めめせー: まぁ今日いい天気だしね
[605.796] 箸くれ: umeGu
[606.062] demonbane_twosword: と言っていつも風邪ひいてる印象あるわｗ
[610.039] latenight000: 半袖半ズボン
[611.009] Gault847: oroPet
[611.589] 新ころりん: 菜の原で腹をアピールしつつ踊る梅原
[613.290] (S)jamxqc: 左から秋、春、夏
[614.568] ilm0806: スポンサーは、梅ちゃんがお願いしたのかな
[618.982] kahaku91: 今日はあったかいよ
[620.904] eoueo__oo: 左の方、ミキの亜生に似てますがお名前教えていただけませんか？
[621.837] たかちゃん06: いたねー冬でも半ズボン
[625.411] ババシャツ: インテル入ってるからなぁ
[631.242] Barvedis: !bracket
[635.654] tabibitox: 盗撮野郎！
[636.891] 桃田社長: 豪傑ー
[637.818] suupu: 豪傑
[644.540] wakkun7760: おおすw
[644.693] buretan555: 豪傑だ
[644.830] korekitwitch: 参加人数何人？
[645.510] nikukuisugi333: 豪傑！
[648.006] sn0wf0x3: 豪傑ー
[648.056] mist_hi_wind: 大須さんだ
[648.179] eoueo__oo: あざます！
[650.136] eremin_39: 捕まえろ！
[650.823] ビフィダス: Cheer5000
[653.142] 国府田: いいカメラ持ってるな！
[653.201] kyosuke1476: 高所からの豪傑
[653.284] 今井康浩: ちがいます
[654.042] マンゴスチン: 大須さんw
[655.670] デュララ: 野生の大須
[655.761] olivemocomichi: フロンタル
[657.416] tama_zx61: かっけぇ大須さん
[659.344] (S)黒光り肉の: フロンタルが居る
[664.834] dcdryuya404: わあ！？
[665.006] たかちゃん06: 盗撮野郎はヤバい
[665.203] wakkun7760: 警備の人ー！
[667.948] シメジ: 盗撮中だー
[670.196] ほげええ: でけー
[676.112] koudou3: 左は永田浩之さんです
[681.024] yuyu09250925: 左のメガネかけてる人はえいたさんです
[683.180] 日本語かな: おおお
[683.453] isekai7153: うお
[683.825] kasutadonshirokuma: うおおおおおおおおおお
[684.800] (S)ichione111: お
[684.845] eremin_39: お
[684.846] けっち051: 女子高生まだかな
[685.589] 箸くれ: やだ
[685.705] 5don: 教えてええ
[686.087] mist_hi_wind: おっ
[686.291] 闘劇のアルベルト: なになに
[686.346] fbhjkl: BegWan
[686.632] tabibitox: やだ
[687.086] (S)~MISSING_COMMENTER_INFO~: きたきたあああああああ
[687.127] catless: ｗｗｗ
[687.182] fikat_0702: おおおお
[687.226] マンゴスチン: え
[687.306] intaisita: ｗｗｗ
[687.502] cook_5921: おおお
[688.478] (S)yukikaze083: おおお
[689.208] ういっちょ: ｗｗｗｗｗｗｗ
[689.251] ayataka33: 匂わせ
[690.419] 7picnic7: ｗｗｗ
[691.007] たかちゃん06: 頂戴
[691.076] nahstream: 嫌だw
[691.206] MERIDA105: (`･ω･´)ﾅﾇｯ!?
[692.523] (S)~MISSING_COMMENTER_INFO~: 新企画！
[692.663] (S)軽く捻るか: ｗｗｗ
[693.057] hotsumaowo: ｗ
[694.012] isekai7153: ｗｗｗ
[694.421] mako6912: やだw
[695.008] 5don: 歩かずw
[695.363] ヨコグシ: ｗ
[695.513] sn0wf0x3: www
[696.230] methotrexate_aym: ｗ
[696.472] mart_00_: え！！
[696.710] hiaaru: うおおお
[697.909] (S)vivfiw: LUL
[698.962] kasutadonshirokuma: クロックスで歩くんじゃないのか
[699.417] gokoussgss: 走る？
[699.975] (S)イエール: ほほう
[700.616] oleo0227: 今回は南とかではないかｗ
[700.703] gorogorogorn: むしろ歩いてｗ
[701.526] mist_hi_wind: www
[701.774] YikesCom: LUL
[702.172] chin_56_: 走るのか
[702.609] ババシャツ: ボクシング？
[703.401] 鷹爪三角脚: あるくｗｗｗ
[704.033] ~MISSING_COMMENTER_INFO~: ｗｗｗ
[704.363] くろりんだよ: また散歩か！？
[707.095] takahashiseigi: 歩くより、走る？
[707.984] 五色もち: ウメ散歩関東編！？
[708.071] myodent21: 歩くのもまた見たいw
[708.320] (S)nanakusan793: 散歩しないのか…
[709.624] v_harumi_v: 早歩き？
[709.820] マンゴスチン: 〇〇王シリーズか？
[713.112] ババシャツ: ｗｗ
[713.203] Sr_do_Universo: Pika
[713.681] 日本語かな: ww
[714.425] 5don: おやww
[714.903] 箸くれ: 死ぬぞｗｗｗｗ
[714.986] wonderhit1: しぬよ？
[715.188] (S)~MISSING_COMMENTER_INFO~: 砂漠ｗ
[715.844] ダイナソー龍崎: 300km
[717.122] beergorila: 鳥取！？
[717.282] くろりんだよ: www
[717.386] 国府田: 砂漠をｗｗ
[718.979] ~MISSING_COMMENTER_INFO~: いいね！
[719.505] ayataka33: 危なくね？w
[719.990] MERIDA105: 砂漠w
[721.719] (S)~MISSING_COMMENTER_INFO~: 砂漠やめてね
[721.851] isekai7153: 無茶苦茶言いよるｗ
[722.224] _かっきー_: 歩いて歩いて
[722.601] koudou3: アメリカ歩くのは危なくない？
[723.675] どんちっち: 怖すぎるよw
[723.885] gazesd: SFLどうすんだよｗ
[724.088] nahstream: アメリカあぶないっすよw
[725.155] なっつ: LUL
[725.247] depu: ふつうにあぶないｗ
[725.267] isekai7153: ｗｗｗｗｗｗ
[725.316] sai927: ｗ
[725.655] ボブ牧原: 一番最初に後悔する奴が言っとる
[726.139] fbhjkl: 怖い
[726.429] 7picnic7: ｗｗｗｗｗ
[726.982] fikat_0702: ｗｗｗ
[727.821] strike_000: wwwwww
[727.827] たかちゃん06: 企画力えいた
[728.152] hotsumaowo: ｗｗｗ
[728.234] 桃田社長: アメリカ横断Ｗ
[728.483] ういっちょ: グレートスピリッツｗｗｗ
[728.622] デカ貴族: やめとけ死ぬぞ
[728.845] (S)イエール: グレートスピリッツww
[729.062] MERIDA105: wwwww
[729.191] kawamatch: 全然違うｗ
[729.423] 芋之山: wwwwww
[729.451] ayataka33: シャーマンキング
[729.728] Phenomer: ｗｗｗｗｗｗｗｗ
[730.264] (S)~MISSING_COMMENTER_INFO~: 砂漠 
[730.349] おざなり: ｗｗｗｗｗ
[730.414] chin_56_: マンキン
[730.506] koudou3: シャーマンキングｗｗｗｗｗｗ
[730.508] まろぷーちゃん: www
[730.537] (S)jamxqc: レッドブルらしいｗｗｗ
[730.594] neojapan01010: ？？？
[730.812] マンゴスチン: グレートスピリッツw
[730.831] (S)黒光り肉の: 魂
[730.867] Morikuma_: ？？？？？？
[730.924] kiton_taichi: SFLどうするんだよw
[730.939] shumatsu623: 泳ぎか
[732.151] avareinu: シャーマンキングww
[732.157] あさつき教: グしかあってねえ
[732.165] tukune51: マンキンかなｗ
[732.230] kawacy0226: 距離感バグってる
[732.876] mist_hi_wind: あぶあぶwww
[732.993] gorogorogorn: グレートスピリッツｗ
[733.123] zyangara2: アメリカは危ないよ…
[733.440] (S)noriyuki3: テキトーすぎるww
[734.132] 鷹爪三角脚: グレートスピリッツｗｗｗ
[734.258] トボ: オーバーソウルする？
[734.530] gokukeshi: えい語
[734.543] komay38: 偉大なる魂
[734.751] tonystark4561: www
[734.926] Sonic73131: シャーマンキング
[735.270] kyosuke1476: グレートスピリッツはヤバすぎるw
[735.914] 5don: グレートスピリッツwww
[735.992] eremin_39: シャーマンキング
[736.663] シメジ: 映画撮れそう
[737.354] 日本語かな: 治安
[737.569] applepomm: マンキン
