[49.279] (S)鯖侍: ｵﾊﾖｵﾊﾖ
[49.516] (S)クロス屋加藤: お疲れ様です
[49.524] hatiware25: おいすー
[49.688] にゃるらとほてぷ様: ﾏｯﾃﾀﾖ
[49.711] youkey75: 200日おめでとう
[49.754] めろん55: ｵﾊﾖｵﾊﾖ
[49.760] トッキー3: 雑談かと思った
[49.892] syou_16: ｵﾊﾖｵﾊﾖ
[49.934] keyhole_kol: ｵﾊﾖｵﾊﾖ
[50.173] 茶葉茶葉: こんばんは
[50.570] (S)hkfnt: minyas1Otete
[50.788] (S)kazunoko310: ｵﾊﾖｵﾊﾖ
[51.067] (S)cucumber_4310: fantas22No1
[51.355] (S)sakichiyo893: こんこん
[51.574] momono99: ういs
[51.719] ぎしぎし君: ｵﾊﾖ ｵﾊﾖ
[51.764] (S)yukky_games_: fantas22Muscle
[51.775] ようちエンジン: ｵﾊﾖｵﾊﾖ
[51.842] (S)bonehead51: オハヨ、オハヨ
[51.912] banana_0209: ｵﾊﾖｵﾊﾖ
[51.957] yt9653: 200日おめ
[51.973] (S)ねぎぎ: やぁやぁやぁ
[52.233] VooDooRat434: お疲れ様でーす
[52.400] (S)ピン汰: こんばんは
[52.477] (S)れぶりみ: ういー
[52.500] rokusuna: おはよおはよ
[53.298] (S)ラクシュ: 昨日の雑談おもしろかったー
[54.044] (S)harima888: オハヨ
[54.076] どかわきぃ: ｵﾊﾖ ｵﾊﾖ
[54.255] (S)obisan4646: ｵﾊﾖｵﾊﾖ♡
[54.408] (S)uiirbee: uiirbee subscribed at Tier 1. They've subscribed for 4 months! ｵﾊﾖｵﾊﾖ
[54.552] (S)めがね777: fantas22No1
[54.760] ゆずきち00: おいす
[54.778] (S)iruca_: ｵﾊﾖ､ｵﾊﾖ
[54.850] (S)subarukun_n: subarukun_n subscribed with Prime. They've subscribed for 7 months! 
[54.996] (S)ムーンバナナ: 雑談かと思った
[55.230] rick12237: 王よついに始めるのですね
[55.407] (S)german_potatoo: ｵﾊﾖｵﾊﾖ
[55.617] (S)luckystrike_fps: luckystrike_fps subscribed with Prime. They've subscribed for 9 months, currently on a 9 month streak! 
[55.688] (S)くるざき: yo
[55.707] kichiga1993: ｵﾊﾖｵﾊﾖ
[55.763] yukitwitch14: 200日おめ
[55.930] (S)miyayu6: 200日おめでとう
[56.541] (S)katton_ex: 200日おめでとおお
[56.600] (S)xyz_3931: ｵﾊﾖｵﾊﾖ
[56.647] (S)alohapon: ｵﾊﾖｵﾊﾖ
[56.662] (S)asahi_sp: ｵﾊﾖｵﾊﾖ
[56.773] (S)かぐらんチャン: 200日おめでとう！
[56.848] (S)ティターナ: ういー
[56.885] (S)keykununko: fantas22Muscle
[57.367] (S)梅こんぶちょー: おつおつおつー
[57.590] gi_n_koro: ｵﾊﾖ  ｵﾊﾖ
[57.611] (S)mira_koko: おは
[57.660] (S)ライアルス: ライアルス subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! 
[57.814] (S)ルルルラララ: 200日おめでとう
[57.908] momoyagi0: ｵﾊﾖｵﾊﾖ
[57.961] (S)ピン汰: お疲れ様です
[58.152] (S)kazunoko310: 200日おめでと
[58.966] (S)sorama6210: SirSword
[59.622] (S)気難しいパンティ: こん
[59.636] (S)majety: majety subscribed at Tier 1. They've subscribed for 9 months! 
[59.639] (S)リュウ8140: ｵﾊﾖｵﾊﾖ
[60.052] カジキ114114: fantas22Nice200日
[60.297] (S)ぺんた326: こん！
[60.403] (S)コガショーキ: fantas22Muscle
[60.459] こげもげ: jaiker3Yametene
[60.544] れーとの家: おいすおいす
[60.705] (S)ムーンバナナ: 雑談聴きたかった
[61.273] (S)mo55an: 祝200日
[61.904] (S)subsunsun: fantas22Muscle
[62.618] (S)漆ツーリング: 200日！！
[62.626] (S)なるや: おめでとう！！
[63.014] (S)shirasu_jessie: shirasu_jessie subscribed with Prime. They've subscribed for 9 months, currently on a 4 month streak! 
[63.189] ももけろ: おめでとー！！
[63.469] k140316: こんばんはー！
[63.671] kazuki4017: 昨日のアーカイブなんで残さなかったの？
[63.696] yt9653: ｵﾊﾖｵﾊﾖ
[63.870] (S)ごり太郎: 200おめでとう
[63.899] (S)horizonkkfr: おめでとう！
[64.082] twitch_fuga11: おは王
[64.399] (S)つちのこ83: おめでとー
[64.444] (S)nyac6late: 攻
[64.444] Molly_dm: ｵﾊﾖ
[64.611] (S)じょみちゃん: オハヨオハヨ
[64.634] (S)miyayu6: ｵﾊﾖｵﾊﾖ
[64.726] (S)ninnjinnbee: 200日！！
[64.730] sato3s: fantas22Nice
[64.746] (S)マルディー: 200日おめでとう！
[65.555] (S)tarouzirousaburou: おはよおはよ
[65.603] (S)tgf1357: おめめ
[65.785] (S)ムーンバナナ: おめでとー！！！！
[65.997] aian9029: おめめ
[66.007] ダカク: 200おめでとう
[66.020] (S)ko_ukou: 200日めでとう
[66.545] (S)karock1524: ２００日おめです
[66.770] (S)bonehead51: 200日おめでとー！！！
[66.972] pikmin0_0: ｵﾊﾖｵﾊﾖ
[68.049] (S)たまタロウ: Cheer100 Cheer100  200日記念
[68.301] (S)sasamisan333: ｵﾊﾖｵﾊﾖ
[68.388] (S)アジ7864: おはおは
[68.487] (S)元気なデブ: ２００日おめでとーーー
[68.588] o_tiii: ｵﾊﾖ
[69.401] (S)konpe1: おめでとう
[69.432] ayasejp1: ｵﾊﾖ ｵﾊﾖ
[69.502] ぞのち: 200日おめでとうございます！
[69.546] (S)o_zappa_Y: おはょー
[69.763] (S)ツカサ10: こんちはー
[69.981] Rin_haruchasuki: 200日だ！
[70.492] white25season: こんばんはー
[70.790] (S)tarouzirousaburou: おめでとう
[70.977] (S)sakichiyo893: fantas22Muscle
[71.022] (S)orbitdivers: orbitdivers subscribed at Tier 1. They've subscribed for 2 months! 
[71.085] (S)~MISSING_COMMENTER_INFO~: アーカイブ😭
[71.196] (S)じょみちゃん: 200日おめでとう
[71.218] (S)4sh_47: 4sh_47 subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! 王、お金もうないですよ
[71.231] (S)tackey8120: 200日おめでとう！！！
[71.541] (S)もふーお: ｵﾊﾖｵﾊﾖ
[71.546] terasu25: おめでとう
[71.893] (S)ishibashikun: 継続本当に尊敬してます
[72.055] ういくじら: こんー
[72.258] (S)辛麻婆豆腐: ｵﾊﾖｵﾊﾖ
[72.295] k140316: おめでとうございます👏
[72.622] (S)トシ男: 200日おめでとおおおおおおおおおおおおおおおおおおおおおお
[72.622] (S)おおきいやまビッグ: こん塩
[72.646] ジョンスミス01: 盛りだくさんで昨日面白かった笑
[72.828] yume_maro: 200日やー
[73.194] katsumtgwgmgm: 通知見て飛んできました！
[73.445] 暇人1231: こんばんは
[73.846] (S)大誤算: おめでとうー！
[73.963] (S)インスタントきなこ: きちゃ！！
[74.227] (S)opome12: fantas22Muscle
[74.288] (S)ムーンバナナ: 200日おめでとー！！！
[74.872] どかわきぃ: 祝！！！！！！！
[75.157] (S)ひるお: ｵﾊﾖｵﾊﾖ
[75.780] (S)yukizyx: 88888
[75.945] patto_1023: 200日おめです
[76.893] (S)テバ_02: 200日おめ！ Cheer100 Cheer100
[77.268] (S)nelly1992922: nelly1992922 is gifting 2 Tier 1 Subs to ファン太's community! They've gifted a total of 7 in the channel! 
[77.418] v00081: TwitchConHYPE
[77.556] (S)ssk0x0: 200日めでてぇ！！！
[77.971] (S)iruca_: 200日あっという間だった
[78.556] (S)nelly1992922: nelly1992922 gifted a Tier 1 sub to zunda_17! 
[78.575] (S)nelly1992922: nelly1992922 gifted a Tier 1 sub to jordansworklaptop! 
[78.624] (S)dateascka0930: わこつ
[78.857] (S)あすとろ: おめ！
[79.259] momoyagi0: おめでとう！
[80.545] (S)jon1111212: fantas22Muscle
[80.630] (S)辛麻婆豆腐: 200日だ！
[80.771] rouhey: 祝200日
[80.804] (S)mo55an: 雑談見逃しましたー
[82.146] (S)yashida26: 200日おめ！
[82.579] (S)niho_niho: niho_niho subscribed at Tier 1. They've subscribed for 9 months! 
[83.645] 茶葉茶葉: Cheer100
[83.883] (S)makomero: 200日おめでとう！
[83.891] tarou060629: 200日おめでとうございます㊗️
[84.085] ゴルーン: ｵﾊﾖｵﾊﾖ
[84.200] nimnim2525: 攻！
[84.915] (S)りぶらんぬ: 200日おめでとう
[85.051] (S)ぴきぴき2433: ohaYo!!
[86.267] (S)えいゆる: 200日おめでとー🎊
[86.949] (S)accky: fantas22Muscle
[87.017] (S)dodadora: 攻めです、か
[87.392] (S)mirorin21: Party100
[87.409] ファボン4747: ｵﾊﾖ ｵﾊﾖ
[87.897] (S)じょみちゃん: fantas22Muscle
[88.354] ごめんなピヨ: もうこんなにたったのかぁ 色々あったこれからも楽しく見させて頂きます
[88.771] y4hoo_jp: 200日ってすげえな
[88.785] kikkoma: TwitchConHYPE
[88.995] v00081: TwitchConHYPE
[89.059] (S)こはねる: こはねる subscribed with Prime. They've subscribed for 9 months, currently on a 9 month streak! ｵﾊﾖｵﾊﾖ
[89.389] (S)ぺんた326: 祝200日 ShowLove100
[89.432] hondagb350: 200日記念
[89.828] (S)new_waka: Cheer100 Cheer100 200日記念
[90.081] (S)ごり太郎: ごり太郎 is gifting 1 Tier 1 Subs to ファン太's community! 
[90.269] (S)はふやん: おいす
[90.444] mamimumemo123456789: おめおめー
[90.480] (S)kibou_nisekoi: おめでとうー
[90.522] (S)ごり太郎: ごり太郎 gifted a Tier 1 sub to tmuranaka! 
[91.212] momono99: もう200日か
[91.587] (S)ふま6853: おめでと～
[91.831] 暇人1231: 200日おめでとうございます！
[92.159] (S)momoro518: momoro518 subscribed with Prime. They've subscribed for 4 months, currently on a 4 month streak! 
[92.374] (S)YAMATO00_RoueN: Cheer100 おめでとう
[92.525] tphan0721: ｵﾊﾖｵﾊﾖ
[92.915] (S)binnnofuta: fantas22Muscle
[93.051] (S)ykhn24: ykhn24 subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 
[93.525] tiga916: オハヨオハヨ
[93.538] (S)tzmn81: 今日も配信ありがとう！！ Cheer100
[93.944] (S)ituki13_12: おめでとーう！！
[94.031] アイリッシュュ: 祝２００日
[94.477] (S)4tsu_03: sirryClap
[94.546] nukopam: 200日 
[95.033] (S)インスタントきなこ: 200日、長かったような短かったような
[95.982] snack_jpn: 200日おめでとー
[96.700] (S)masa44o0: 200日か〜！おめでとうございます！！
[99.683] (S)二月みぃ: Cheer100 Cheer100 おめ！
[100.455] onyankopon0001: もうこんなたったんやなぁ
[100.670] makomako2167: おはよ、おはよ
[101.836] (S)ムーンバナナ: fantas22No1
[102.007] madowakusan: おめでと〜(๑´ω`ﾉﾉﾞぱちぱちぱち✧
[102.436] (S)yashida26: 節目や
[102.584] (S)ks4no: ｵﾊﾖｵﾊﾖ
[104.112] NOINNOIN: おめ
[104.508] みーーや: おめでとー
[105.731] (S)cucumber_4310: 200にちおめ〜
[105.770] white25season: 200日おめでとうございます🎉
[106.237] (S)canariaww: 200おめでとう！
[106.620] (S)八咫烏: 200日おめ Cheer100
[106.892] kikkoma: オハヨ
[107.335] (S)nikukoppn: 200日おめでとう㊗
[108.017] momono99: オハヨオハヨ
[108.084] ゴルーン: ｵﾊﾖ！ｵﾊﾖ！
[108.559] (S)もーーーたん: こんばんは
[108.909] roaming111: 早いもんだねぇ
[109.055] (S)八神みや: おはよおはよ
[110.011] (S)arbkj: おめおめ
[110.127] (S)オレティンコスモール: オレティンコスモール subscribed at Tier 1. They've subscribed for 9 months! 
[110.159] ファボン4747: 200日おめでと～！
[110.221] (S)eightmico: おめでとー！
[110.358] しょー太: 200日㊗
[110.570] (S)iruca_: iruca_ is gifting 1 Tier 1 Subs to ファン太's community! They've gifted a total of 2 in the channel! 
[110.785] ラックリ: おはよおはよ
[111.000] (S)apron_u: ２００日目おめでとう
[111.022] (S)iruca_: iruca_ gifted a Tier 1 sub to haryugetu! 
[111.149] (S)reika_momo: Cheer200 おめでとうございます🎉
[111.774] (S)mirimonn_334: おめでとう〜〜
[112.690] (S)OudonEater_kun: あっという間でしたね
[113.323] a_ryuuku: 来週からさらに忙しくなりますね
[113.523] (S)4tsu_03: ｵﾊﾖ
[114.484] (S)yacchin0373: こんｎ
[114.530] らぴすらずりちゃん: 200日おめでとうございます.ᐟ.ᐟ
[115.810] (S)hino2t: おはよおはよ
[116.824] (S)dateascka0930: もう200日も経ったのかー
[116.830] nikukyu9: こん
[116.890] (S)o_zappa_Y: o_zappa_Y is gifting 2 Tier 1 Subs to ファン太's community! They've gifted a total of 8 in the channel! 
[116.906] gray__47: 200日おめでとうございます
[117.047] マクマナマン: sirryUrutoramanSAY
[117.119] ruby_mybabe: おめでとうございます🎊
[117.377] (S)o_zappa_Y: o_zappa_Y gifted a Tier 1 sub to hasibitokou! 
[117.405] (S)o_zappa_Y: o_zappa_Y gifted a Tier 1 sub to yukarigohan_i! 
[117.587] (S)さととも: こんばんは
[117.941] 10花: おはー
[118.539] ten9u3: おめでとう
[119.348] (S)ムーンバナナ: ｵﾊﾖｵﾊﾖ
[120.377] banana7game: ｵﾊﾖｵﾊﾖ
[120.996] (S)24niti: 24niti is gifting 25 Tier 1 Subs to ファン太's community! They've gifted a total of 285 in the channel! 
[122.106] tatisjrfan23: 200日おめでとー
[122.330] バター醤油ご飯: 200日おめでとうさん
[122.494] (S)もーーーたん: ２００日おめでとうございます
[122.592] (S)24niti: 24niti gifted a Tier 1 sub to sakurarui3! 
[122.605] (S)24niti: 24niti gifted a Tier 1 sub to 01110122_nix! 
[122.609] (S)24niti: 24niti gifted a Tier 1 sub to daipppppppppp! 
[122.627] (S)24niti: 24niti gifted a Tier 1 sub to matuda000! 
[122.641] (S)24niti: 24niti gifted a Tier 1 sub to mai0801! 
[122.648] (S)24niti: 24niti gifted a Tier 1 sub to fu_gu__414! 
[122.650] (S)24niti: 24niti gifted a Tier 1 sub to 千切りアイス! 
[122.669] (S)24niti: 24niti gifted a Tier 1 sub to papet1452! 
[122.695] (S)24niti: 24niti gifted a Tier 1 sub to sanspai__! 
[122.698] (S)24niti: 24niti gifted a Tier 1 sub to おろくいお! 
[122.700] (S)24niti: 24niti gifted a Tier 1 sub to koyasuyasu! 
[122.715] (S)24niti: 24niti gifted a Tier 1 sub to mgmgkurumi___! 
[122.738] (S)24niti: 24niti gifted a Tier 1 sub to n_a_r_u_0! 
[122.749] (S)24niti: 24niti gifted a Tier 1 sub to tunakan1122! 
[122.765] (S)24niti: 24niti gifted a Tier 1 sub to mozaben! 
[122.776] (S)24niti: 24niti gifted a Tier 1 sub to 1absolutee! 
[122.781] (S)24niti: 24niti gifted a Tier 1 sub to gin3255! 
[122.791] (S)24niti: 24niti gifted a Tier 1 sub to まろっち! 
[122.809] (S)24niti: 24niti gifted a Tier 1 sub to mochiyos! 
[122.818] (S)24niti: 24niti gifted a Tier 1 sub to caretolovepeace! 
[122.842] (S)24niti: 24niti gifted a Tier 1 sub to pananagames! 
[122.847] (S)24niti: 24niti gifted a Tier 1 sub to dyczurbunmor! 
[122.856] (S)24niti: 24niti gifted a Tier 1 sub to げそさんー! 
[122.858] (S)24niti: 24niti gifted a Tier 1 sub to miiiiin26! 
[122.863] (S)24niti: 24niti gifted a Tier 1 sub to 4526452! 
[123.975] (S)アジ7864: わあ
[124.009] moa_8131: 200日おめでとう
[124.032] (S)ふっし一: こんばんはー
[124.468] まぐ12: おめでとう(*´ω`*ﾉﾉ☆ﾊﾟﾁﾊﾟﾁ
[124.602] (S)sugeru: sugeru gifted a Tier 1 sub to syuren1111! 
[124.614] (S)sugeru: sugeru gifted a Tier 1 sub to yocchan0722! 
[124.619] (S)sugeru: sugeru gifted a Tier 1 sub to AdamOnEarth_! 
[124.639] (S)sugeru: sugeru gifted a Tier 1 sub to mikatuki246! 
[124.642] (S)sugeru: sugeru gifted a Tier 1 sub to ヴォロガンド! 
[124.820] (S)ケチャラ: ｵﾊﾖ ｵﾊﾖ
[125.336] titti305: 200日おめでとうー
[125.725] madowakusan: わぁ！
[125.890] どかわきぃ: ｵﾒﾃﾞﾄ ｵﾒﾃﾞﾄ
[126.148] (S)horizonkkfr: もう200日かぁ
[126.745] 10n_: Cheer100 おめでとうございます。タバコを吸い始めたきっかけってなんですか？
[127.100] (S)sinnon2434: おは
[127.259] (S)apron_u: わぁ
[127.782] テルン: おめでとうございます！
[128.207] hatiware25: わお
[128.360] (S)めがね777: わぁぁ
[129.662] (S)obisan4646: ﾜｧ
[129.805] (S)4tsu_03: わぁ
[130.186] (S)patrick1000koo: fantas22Muscle
[130.239] (S)しゅりな: わぁ！？
[130.393] aian9029: オハヨオハヨ
[130.942] (S)mira_koko: わぁ
[131.316] (S)bonehead51: Cheer100 Cheer100 おめでとうございます！
[131.441] ももけろ: わぁ！
[131.629] moa_8131: わあ
[131.901] noln114: えぐ
[132.137] (S)ユズ葉: 200日おめでとうございます🥳👏🎉
[132.140] megalo089: わぁ
[132.366] (S)p11chan_29yarooo: うい
[132.757] (S)ティターナ: わあ
[132.870] (S)のあ96: わぁ！
[132.961] (S)辛麻婆豆腐: わぁ
[132.984] 長月グリコ: わあ
[133.058] (S)YAMATO00_RoueN: わぁ
[133.065] (S)しゅうげっそー: わぁ
