[1717.383] tig_hag: 本田「ほんとくだらねえわこのキャラ」
[1732.087] (S)田中脊髄剣田中: 壊れちゃったですぅ
[1732.232] unimel1x: さっきの中足ヒット確認したん
[1734.190] レガシィ: 🥜
[1747.808] (S)ありやんさん: 草
[1750.266] モリケイ: 逆択やぞ？w
[1750.764] buryuringo: Qさんの正論パンチレスバトルしまくっててくそわろてる
[1753.716] (S)ekiben_taro: モダンだ
[1756.226] damuino_mark2: ていうかあれ確認できたら化け物だよ
[1758.080] abura0: Qさん発祥なのかｗ
[1767.757] juno0220: 挨拶したらbanされる配信も有るとか
[1774.372] バーバリアン姫島: 「対あり」だったのか「対戦ありがとうございました」だったのかで結構かわってこない？
[1776.964] (S)やぎう氏: 基本中足ってヒット確認無理よな
[1777.873] unimel1x: 挨拶したらBANは笑う
[1793.663] モリケイ: あの動画見てXQさんのロン毛検索したら予想の5倍ロン毛やったw
[1795.652] (S)はっぽん: ホンダ使ってたからBANならギリわかる
[1799.510] margarita_217: 対あり乙wとかだったら流石に
[1827.537] juno0220: 煽ったらbanだけど自分がムカついたからってなんでもかんでも煽り扱いにしてたらそいつは頭おかしい
[1833.330] unimel1x: ﾍﾞﾁﾍﾞﾁ
[1843.728] しぼみ: LoL配信で今日の調子どうですかって聞いたらBANされた事はある
[1844.058] モリケイ: せやな
[1849.496] (S)いわたん_: それはそう
[1852.626] (S)田中脊髄剣田中: ギロチンpo❤
[1855.113] abura0: たしかに
[1869.435] (S)kukukurin: 勝者が敗者にかける言葉はない
[1869.900] (S)美濃屋善兵衛: ふふっ思い出対戦
[1882.106] (S)ありやんさん: 将棋の感想戦するかしないかは負けた方が決めるみたいな
[1886.687] odenn_dao: ってかストリーマーに対ありの文化ないでしょ
[1892.669] (S)toruki0129: 負けてるっていう一番煮えてるタイミングの勝ちたいありはBANされても仕方なし
[1895.349] neanderuka: でも立川に勝ったらどぐらは対ありするよね？
[1907.965] (S)やぎう氏: そら関係値があるからね
[1910.160] unimel1x: そら知り合いならするんやない？
[1913.458] juno0220: 別に態度と文面次第な気がするけど、忘れてはいけないが人類は愚かである
[1914.943] (M)(S)まめスパ: 関係値の話
[1919.566] モリケイ: 仲良しやぞ？w
[1923.837] (S)kukukurin: 立川に日本国憲法通用しないならな
[1926.310] toto3210119: さすがに関係値がね
[1929.093] (S)musi_namazu: ﾄﾓﾀﾞﾁ
[1933.007] ぎんがさん: ひなーのにコーチングするん？
[1934.648] acis012: ポンヨウ
[1939.610] レガシィ: ト、トモダチ
[1942.971] (S)いわたん_: ともタチ
[1945.769] abura0: 関係値無かったら煽りはただのバッドマナーやしな
[1946.262] (S)ぶれお: 人類みな兄弟派の人かもしれん
[1958.244] (S)やぎう氏: タチにはいっぱい奢っとるからな、おおん
[1964.252] warabimoti315: リリーどうすか
[1969.048] (S)kukukurin: 煽りは自分に刺さるものを投げるは必須項目
[1972.457] Taler0605: 対策して行ける？
[1981.936] ろくりす: 対策して2択
[1988.794] モリケイ: リリー対策なんかある？
[1990.085] unimel1x: 飛び強くなさそうだから置き技多めとかはいいのかもなぁ
[1991.534] (S)kuru6003: イラついてるときに知らんやつから煽りまがいのことされてキレんなって無茶よ
[1992.346] (S)ありやんさん: 対策あんのかなぁ
[1996.895] (S)musi_namazu: リリーはやっとる
[2002.701] takumos66: 2択きちー
[2009.959] neanderuka: vリバなのかやっぱり
[2021.786] レガシィ: 可愛い本田やし
[2023.176] ヤーマ80: コマ投げポイント覚えるの大事よね
[2026.326] abura0: 条件付きとはいえ有利突進持っとる投げキャラはやっとる
[2034.883] (S)toruki0129: ギロチンとクワガタだけでやっていけるのわりとすごいなって
[2038.497] モリケイ: まさか、くらい避け？
[2051.371] unimel1x: 風スパイアガード後のワンガードコマ投げって読み合い？
[2058.238] (S)ありやんさん: うま春麗
[2066.050] (S)田中脊髄剣田中: うまぁー
[2066.725] しぼみ: うめー
[2085.971] abura0: ずらすのね
[2091.076] unimel1x: ほー
[2093.932] モリケイ: なるほどね
[2107.156] (S)ありやんさん: ひええ
[2110.677] モリケイ: そこの二択かー
[2115.576] (S)gos0810: OD突進にはリバしろってよく聞くけど普通の突進にはどうすればいいの？
[2119.090] (S)musi_namazu: なるほど
[2125.022] (S)kukukurin: リリーに詐欺はあかんー
[2126.611] ろくりす: 普通の突進って不利じゃないのか
[2128.805] (S)はっぽん: なるほど
[2144.256] unimel1x: 風ためのODじゃない突進のことやない？多分
[2144.551] ろくりす: 風ありの話か
[2144.993] neanderuka: これ春麗が下がったら寂しくなるけど風溜まるからいいのか
[2151.225] buryuringo: これ返せるのほんとｗ
[2151.663] 喜勇人: こんばんは、リリー使ってるんですね どんな感じですか？
[2158.504] unimel1x: ﾎｳﾎｳﾎｰｳ!!
[2169.724] ようすけくん: 普通の突進はインパクトで返せる
[2219.627] (S)田中脊髄剣田中: 風ありも距離によってはインパクトで返せる
[2229.949] takumos66: 古来からの対策、垂直
[2279.851] モリケイ: ホークよりリリーのが凶悪な気がする
[2296.713] (S)kukukurin: 率直に上手い春麗
[2303.089] (S)美濃屋善兵衛: ホークはループするからなぁ
[2307.338] (S)ありやんさん: MR2000くらいありそう
[2310.550] abura0: 見た目ホークだったら許されてない
[2319.874] unimel1x: ハイレベル〜
[2326.582] neanderuka: リリーでこれならホークってどんなもんだったん？
[2331.285] damuino_mark2: コマンドが重複してるのに逆から回さないのは甘えですぞ！ｺﾎﾟｫ（眼鏡クイッ
[2331.534] モリケイ: ホークならボタンさんも選んでないw
[2340.317] (S)やぎう氏: 別に今の見た目でもそんなに許されてないから……
[2347.294] unimel1x: 空中百裂さ〜
[2359.409] pakorepukins: リリーちゃんおでこかわいいから
[2380.703] しぼみ: リリーちゃん実は見た目えっち説は推していきたい
[2392.891] rockbvouket: 初歩的な質問で申し訳ないのですが、こっちがジャンプ大で攻めたときに相手がパ和倉
[2397.512] (S)ありやんさん: 太ももは良いよね
[2409.546] (S)はっぽん: そっちの人が好きそうな見た目してる
[2412.532] rockbvouket: パワクラ売ってくるときの対処ってどうしたらいいんでしょうか
[2413.408] abura0: おなかえっち
[2413.571] モリケイ: 春麗リリーってリリー微不利か五分くらい？
[2416.117] (S)ぶれお: スト4動画でしか見たことないけどホークって風も貯めんであんなむちゃくちゃしてるのにリリーのが強いの？
