[794.564] ganasuna0000: カルビはボドゲ人狼得意だから、やればすぐに理解しそう
[795.366] sistersguitarreplica: ｗ
[796.458] (S)mart_00_: チュートリアルやって
[796.470] bikibiki999: ほんまかよｗ
[796.688] sai927: やればわかる
[797.518] (S)chainsawman4: 一回やってみよう
[799.080] (S)johndoe6523rp: ほんまかいなｗwｗw
[799.956] (S)ましゅダヨ: よしなまほんとかぁー？w
[801.305] nameless_774: かるびは分かってない
[801.664] kawasak1n: とりあえずやろう
[804.332] 田舎の雑魚: よしなまは何も分かってないぞ！
[804.951] supercat0v0: 本当か？w
[806.436] xxxpassxxx: ほとかよよしなま
[806.643] zenosc9: ルールはシンプル
[807.213] axchuuu: 理解した！！
[808.088] deahale151: やっていった方が理解できると思うなぁ笑
[812.452] chin_56_: ヤっちゃえ
[818.579] nameless_774: ５以上かパズ
[842.542] zenosc9: 1週目パス、2回目宣言はできない
[842.647] dxtgjpt: よくわからんから
[842.760] axchuuu: 一回やってみればー
[849.176] dxtgjpt: 一回やってみよ
[855.071] ebiebi12: これ知らない人おおすぎ
[856.048] 4444446666: よくわからんよ
[863.537] 4444446666: とりあえずやったほうがいいよ
[864.571] tarachan65: やらなきゃ意味ないよ
[869.744] noapanda42: 落ち着けてコメ
[871.222] (S)ましゅダヨ: まあまあ、説明しつつでいいじゃない
[871.504] 壱万円札: 全然ついてけない
[880.750] (S)ましゅダヨ: 分からない人もいるから
[889.576] umetyaahan: 詰めるじょ〜
[890.822] (S)CampFire71: ｗｗｗｗｗｗｗｗｗ
[890.945] zenosc9: ｗｗｗ
[891.993] nameless_774: ダメやん
[892.046] v_harumi_v: ｗｗ
[892.904] feel2525: ｗｗｗｗ
[893.028] zzzoejp: wwwww
[893.135] ddb365: え
[893.348] melvin_1023: ｗｗ
[893.966] shibaponz: 草
[894.042] methotrexate_aym: ｗｗｗ
[894.684] dxtgjpt: www
[895.105] nikukuisugi333: ｗｗｗ
[895.764] みちぇえる: wwwww
[896.189] agouwha: ｗｗｗｗｗｗｗ
[896.518] kawasak1n: ｗｗｗｗ
[896.703] dorayann: ｗｗｗｗ
[896.946] leviel86: ｗｗｗｗｗｗ
[897.031] ~MISSING_COMMENTER_INFO~: karubisHanya
[897.124] umechin7: ｗ
[897.224] popo8322: NotLikeThis
[897.373] uwbxlwyhsiqj: wwww
[897.592] (S)ましゅダヨ: wwww
[898.236] 何も知らないジョンスノウ: えw
[898.485] dxtgjpt: わかってねえや
[898.798] henly1984: お前ｗｗｗｗ
[898.827] みちぇえる: びっさん！？
[899.303] (S)イエール: えww
[899.451] きょー_1213: まあそういうことよ
[899.457] ライム_: カルビ！？！？
[899.502] リエオ: ？？？？
[899.704] (S)johndoe6523rp: 草
[900.178] (S)tanukirobo: www
[900.314] ようま: かるびぃいｗｗ
[900.401] しょっとろ: www
[900.467] oh_yama329: ｗｗ
[901.035] ddb365: ｗｗ
[901.192] (S)ババシャツ: なんもわかってねぇw
[901.600] krs3737: かるび？？
[901.620] ShimoyamaP: ｗｗｗ
[902.695] mako6912: wwww
[903.714] (S)mart_00_: wwwww
[903.943] らぐず: ッケイ！
[904.153] tak1on_: ちょｗ
[904.384] nameless_774: 自分からめくるっていうてんの
[905.945] なのだぁ: 自分のからめくる
[906.870] kamiya1979: 流石w
[907.125] だいこん_: ！？！？
[907.867] chipstar9: 自爆w
[910.226] mevius003: karubisTT
[912.391] ｾﾀﾒﾝ: かるびがかるびだった
[912.503] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[914.835] (S)イエール: かるび？？
[914.896] (S)fatrabbit2015: fatrabbit2015 subscribed with Prime. They've subscribed for 7 months, currently on a 2 month streak! 
[918.272] chin_56_: 可哀想な女
[919.007] ダーニシ: PopNemo
[919.258] axchuuu: かるびがんばれー！！！！
[920.218] (S)tanukirobo: カルビちゃん！？
[920.985] 果汁グミ: wwww
[924.713] luckante: PopNemo
[926.496] 超ゲジゲジ: かるびぃ！！？
[928.094] 45tm83: 手札捨てるゲームだと思ってそう
[929.302] 36mgh: 自分がどくろ置いたときは釣り上げたうえでレイズしてもらわないとダメなんだなｗ
[929.335] (S)CampFire71: くっそわろたｗｗ
[931.645] v_harumi_v: めくりたかったｗ💦
[934.620] marachite: ゲーム変えない？わからないよこれ
[934.794] agouwha: こいつ話聞いてないやろｗ
[935.387] フルりん: ああ
[935.839] umesecond: 自滅で草
[937.254] (S)berurusuko: いやわからんよ
[937.469] axchuuu: あーwww
[937.961] ぼっち王子: なるほど 
[938.277] ganasuna0000: 説明する前にカード置いたからな、仕方ない
[938.909] pupurasu: ｱｧ
[941.880] ｾﾀﾒﾝ: カラスの鳴き声
[943.675] (S)イエール: あぁ
[943.883] (S)johndoe6523rp: ｗwｗwｗwｗw
[944.092] kamiya1979: w
[944.480] ライム_: あ”ー
[945.471] nameless_774: 危機一髪は年齢出る
[945.904] クラクラ777: 完全に理解った
[947.033] pohihi1234: 自分が花の時しかめくる人になっちゃいかん
[947.586] 1192m: まーた説明パートだよ
[947.815] (S)ringo_35: wwwww
[948.583] 風呂ゾンビ: ああ！←わかってない
