[689.183] 5don: 一瞬マイク音のリピートが入って、その分だけ音と映像にラグが出る感じかな？
[689.311] tofu_noise: やっぱり音声か
[694.957] yasubewe: 本人の努力の結果やしなぁ
[695.448] (S)johndoe6523rp: ふ〜どはSFL近いから居ない。
[695.969] diediedying: ふーどはリーグあるからやすみ
[698.524] takahashiseigi: こんにちは。ガチくん敗退しました
[699.007] roi3s: ランク詐欺
[699.187] カノン_0306: 前回はランク詐欺あったしなぁ
[699.360] 残り8万: 嘘ついたらどうするの?
[699.755] chocolat1234: そうじゃない方は・・・
[701.265] (S)Botamoti1: エントリーから開催まで間あるししゃーない
[701.900] (S)ましゅダヨ: はあ⤴︎い！
[702.159] MackenGC: なるほどありがとう
[702.414] twitchyarutch: 出場者を信用するしか
[704.250] gomeeen: ウメちゃん起きてる？
[709.305] matsu_zalem: たまに誰かがスクラッチとる
[710.779] kanatazx: 明日リーグか
[711.624] 憂う者の弟子: Daigoooooooooo
[714.280] 5don: ふ〜どさんおやすみなのですね。情報たすかります
[715.856] たくあんどす: まさか
[716.780] (S)kakutora_no_o: え
[718.324] (S)johndoe6523rp: 大変やｗwｗw
[718.624] fbhjkl: PogChamp
[719.228] ディノン: よかった、参戦表明してから同ランク帯だけどLPだいぶ増やしたのでちょいと心配でした
[719.477] prisira: １４００人確認ｗｗｗｗ
[720.693] だいこん_: むしろランクマはやっておいてもらわないと適正にならないから困る
[720.971] カノン_0306: えーー！
[720.993] syugi3: モチベの高さと強さの変動か
[721.432] 麻雀打ち: めっちゃ大変
[721.572] (S)korekitwitch: チェックかｗｗ
[721.791] 子ぐま: わあ
[722.156] tosshy_type89: rtaPog
[722.245] (S)日本語かな: 1400全員！？
[722.541] (S)腰痛デシ: ひえ
[722.589] (S)ましゅダヨ: ひいいいいいいいいい
[722.636] (S)kakutora_no_o: まじかよwwwwwww
[722.867] micoose4x: うわあああああああ
[722.973] 5don: 全員の！？
[722.994] sh1zuku716: 手間ｗｗ
[723.089] teruharu_: ええええええ
[724.350] syoheihei: まーじかｗ
[724.562] (S)イエール: 全調べww
[725.187] chocolat1234: すご😅
[725.290] kkr_l: やべええｗｗｗ
[725.425] kazuyasyan: メンおじ・・・
[725.530] sn0wf0x3: 寝ずに？wwww
[725.570] 中段立てず表裏も見えない: すげえええ
[725.722] fikat_0702: すごいｗ
[726.154] makebuta: よーやる
[726.161] 残り8万: 全員分かよｗ
[726.282] らにーにゃ0809: すーごい
[726.367] koutwitchtv: 1400垢もｗ
[726.580] gyu_nyuu_pann: 大変すぎるwwwww
[727.075] かみ一ゆ: すごいｗ
[727.084] sasa14141: えぐい
[727.355] metgun60: ええええええええ
[727.509] ヨコグシ: ええええええええ
[727.631] 戸愚呂妹: ええええええ
[727.688] diego_ohunabara: umeYay
[727.688] nikukuisugi333: karubisGyo
[727.711] (S)kakutora_no_o: すげぇwwwww
[727.728] カノン_0306: コワーーイ♡
[727.841] ぎしぎし君: えっっぐ
[729.180] 子ぐま: 大変www
[729.433] hiranatu: 偉いぃ！！！
[729.474] yoyo_443: スタッフすごすぎるｗｗｗ
[729.914] hal0087: スクレイピングしろｗ
[730.463] 何も知らないジョンスノウ: すんご
[730.495] (S)maya_g01: スタッフさんありがとーー！！！
[730.631] v_harumi_v: スタッフさんお疲れ様です
[730.847] Nahxela: えええ
[730.904] チャンやま: そりゃあ大変だ
[731.168] hairi2020: すっごｗｗｗ
[731.563] naginagi99: 合いの手おじ、がんばってる
[731.783] (S)ましゅダヨ: うそだろおおおおお
[731.789] nynnysn: えーーーーーーーーーーー
[731.987] 5don: umeYay
[732.022] teruharu_: すごすぎる
[733.202] だいこん_: マジかよ
[733.314] sh1zuku716: 嘘だろｗ
[733.855] ローキック: お疲れっす
[734.089] (S)johndoe6523rp: スタッフさんありがとーー
[734.404] gomeeen: 寝ろｗｗｗｗｗ
[734.838] kebiisi: 一晩でやってくれました
[734.939] syugi3: まーじか
[735.138] たくあんどす: やばすぎw
[735.159] (S)ponponguripon: スタッフぅ
[735.638] (S)kakutora_no_o: 1400人wwwww
[736.114] momiji4431: まーじか
[736.343] kasayu17: あーいるいる
[737.025] (S)イエール: ww
[737.108] tofu_noise: すっご！！！！
[737.198] tsubame0614: まじか
[737.240] gyu_nyuu_pann: スタッフ様ー！！！！！
[737.262] friendbakery: AI導入はよｗｗ
[737.498] (S)korekitwitch: そこに労力？ｗｗ
[737.513] bokusatu: 素晴らしい
[738.261] moricocoa: 色々あったしなぁ
[738.303] amago_fg: すごー
[739.443] ディノン: おぉ～
[739.859] pho_2015: Aiの時代に
[739.915] hiranatu: スタッフお疲れ様です！！！
[740.041] chinkalahoi: やべえ
[740.108] blackuma: ありがとー
[740.211] 麻雀打ち: やっば
[740.486] 5don: ボランティア…？
[740.508] sachertorte1832: 頭下がるわw
[740.582] Moneybagzzzzzzz: Is this a tourney hosted by Daigo?
[740.739] prosciu: 弾いたのかw
[740.746] twitchyarutch: 弾くのえーらい
[740.876] sugari0225: 何時間かかったのｗ
[740.898] いかるが_: えらい
[740.924] roi3s: スタッフお疲れ
[741.472] (S)tama_zx61: mazikawwww
[741.500] 蟹右手: 人力ィ！？
[742.067] 503_win: やばｗｗｗ
[742.379] ヨコグシ: うわ…
[744.313] (S)funacchi15: マジで！？
[744.482] OGPG_mendokusai: えらい
[744.497] (S)kakutora_no_o: スタッフありがとう…！！！
[745.315] tarantarantaran: simonw2Desha
[745.678] (S)kani7321: スタッフ有能すぎる〜！
[746.323] derwace_lifolve: かぁみ
[746.340] hiranatu: うわ
[746.341] (S)johndoe6523rp: NotLikeThis
[746.611] (S)maya_g01: おったんかーい
[746.658] junskup: あっスマーフにぃおつかれー
[747.204] mako6912: 運営さんありがとうー！
[747.911] (S)ましゅダヨ: ありがとすたっふうううううう
[748.369] naginagi99: ポポにいたちか
[748.924] syoheihei: いたんかーい
[749.045] fbhjkl: お疲れ様です
[749.158] (S)yuukida39: 大変だあ・・
[749.223] chocolat1234: 😅😅
[749.230] fikat_0702: ｗｗ
[749.268] v_harumi_v: ｗｗｗ
[749.457] gyu_nyuu_pann: えらすぎる
[749.468] kinokotori: すばらしい！
[750.120] (S)funacchi15: すごー
[750.214] teruharu_: いたのかあああ
[750.968] じげ: 偉すぎ
[751.189] ルル_04: すごい 
[751.203] 子ぐま: 弾いてるってことは1400以上か……
[751.381] ミルコシロコップ: 前回がねぇ
[751.472] naryuhama: きみたちぃ
[752.662] (S)るーどるふ: スタッフすごいな。。。
[752.814] prisira: サブ垢ざまぁ
[753.007] カノン_0306: haitaniHaitani4
[753.409] jamxqc: PopNemo
[753.462] takahashiseigi: アナリストがいたのかw
[753.656] mishi_hakushi: スタッフありがとう！
[753.853] だいこん_: 下げランやめな～？
[754.128] riku_0726: すごい！
[754.346] gyu_nyuu_pann: wwwww
[754.495] tayue07: お疲れさまです
[754.627] nyoki17: ひえ
[755.198] (S)funacchi15: ありがとー！
[755.743] HONDASHI510: こりないねぇｗ
[755.953] syugi3: あなたさあがおったかね
[756.160] pomikan: すご
[756.258] (S)セルベリア: スタッフにボーナス出さなきゃ！
[756.298] danny_love_danny: まったくー
[756.379] sahaha213: サブ垢ダッサｗｗｗｗｗ
[756.787] sh1zuku716: 所狩り勢・・
[756.829] GG_sensay: @Moneybagzzzzzzz yes
[757.812] kkr_l: 言っていい！！
[758.017] ~MISSING_COMMENTER_INFO~: 悪は滅びた・・・
[758.504] cooz_jp: ジェバンニが一晩で・・・
[759.444] (S)tetete06: やっぱいたんじゃねーか
[759.451] meshiuma3150: そりゃいるでしょ
[760.336] (S)johndoe6523rp: 素晴らしい
[760.795] twitchyarutch: 毎回言ってこ
[761.009] 戸愚呂妹: 君たちさぁ
[761.065] (S)Botamoti1: 頑張りが言っていったほうがいいな
[761.761] (S)kakutora_no_o: 言ってほしいっす
[762.437] naginagi99: いつもだけどスタッフしぬだろｗ
[762.487] 5don: いいと思います。むしろ妥当
[762.647] Syu03: スタッフさんありがとう。 
[764.329] (S)tasuminn: 絶対言った方がいい
[765.052] Moneybagzzzzzzz: Nice!!!
[765.996] pugya7: 素晴らしい
[766.782] (S)ましゅダヨ: 有能すぎるよぉー！！！！
[767.586] prisira: スタッフおつかれｗ
[769.107] (S)korekitwitch: 運営も本気って事だ
[769.392] gomeeen: 労基見てるか？
[770.723] oleo0227: No Future
[772.837] gyu_nyuu_pann: 素晴らしすぎる
[772.925] (S)kakutora_no_o: マジでスタッフさんすげぇよ
[773.647] (S)イエール: すごいw
[773.765] teruharu_: スタッフさんありがとう
[774.153] ルル_04: スタッフさんありがとうございます
[774.358] hiranatu: 優秀すぎる愛してるよぉぉぉ！！！！
[774.583] foo_twitch: 前回ランクマ詐欺とかぶちぎれてたやついたから…
[775.674] ymi420: この時代に人力だぜ！
[776.019] (S)amakuchi_110: 文句は言いません
