[647.318] ~MISSING_COMMENTER_INFO~: 決勝行かないと金出ないのシャバいよな
[647.912] sunstar851: 円安のおかげで賞金たけー
[647.919] ひゅが21: 検討を加速します
[650.040] あすず: 多分初っ端から初動や
[651.460] (S)regulus_281: 20い130万かー
[653.552] s4ku72: FURか。全勝や
[656.495] kasagonia1227: たけぇな
[656.772] sawayaka_odisan: 一円でももらうべ
[661.144] Miiyo7: こういう時だけ円安あつい
[664.356] mymerodyK: さや姉かわいい😍vdkありがとう
[667.554] s4ku72: ツ
[668.566] しろみんみん: ツ
[673.072] imokorori: 今日何戦やるんや
[673.076] PrePreaim: vodkav2Riddlesmile
[673.265] オレリオンソル: 激戦区すぎる
[674.016] kuroomutu: ツ
[674.968] はくびっと: ツ
[675.433] tadanohito0808: リドルがんばれ！
[675.720] ssssssssszx: にょ！
[675.733] ornalds: TSMおる
[676.815] kzkyjm: にょーせぷ
[679.182] rix7979: ツ
[679.937] buriburi_71: １８試合観るにょ？
[680.755] s4ku72: 18試合で13:30までやぞ
[681.986] mirika0806: 今日全部で18試合？
[682.038] てんちょり: algs今日からなのか
[682.289] Horie_Yasai: にょっす🐮✋
[683.009] sunstar851: いきなり魔境やんけ
[683.023] わっくです: にょーせぷ
[686.759] sawayaka_odisan: TSM  /  ALL やっかいやな
[688.435] xystabc: 初動あるのか
[688.508] そこら辺のヒグマ: 今日18試合か？
[688.813] wattson777: このグループおもろそうだ
[689.556] グラル87: TSM🤝RID
[690.900] バター0122: リドルまじでがんばｒふぇ！
[691.899] menico38: キーマウで初動とか
[692.995] grai_2525: 今回日韓全チームどこかしらで初動あるはず
[696.465] ~MISSING_COMMENTER_INFO~: furiaつよいよな
[698.831] ~MISSING_COMMENTER_INFO~: FURIAか
[698.922] kame4260: 個人配信はなしですか？
[699.287] gr77b: 賞金受け取るまで来るなよ介入
[699.506] murodate: あつ4もいるな
[700.240] pongashi893: ガチ強豪多いな
[700.366] イバン: https://www.twitch.tv/sayakayamamoto__714
[701.018] putao17: Baskin-Robbins
[703.547] katy731: destroyer待機中‼️destroyer待機中‼️destroyer待機中‼️
[704.325] buriburi_71: 相手PADいるんでね
[705.720] chb0119: ASSIIKUN(C)
[709.760] グラル87: あつし？！
[710.063] (S)こめつぶさん: キャプテンあつし
