[2537.756] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[2540.530] (S)シャケ猫: ブリーチは体が覚えてるんだけどねー
[2644.007] こめっと_817: 練習にならない男
[2661.187] huckebain: 特異点な男かみーと
[2687.276] こんにちわとそん: これって何待ちですか？
[2725.126] こめっと_817: ｗｗｗ
[2725.777] sun_hidamari: イチャイチャ
[2740.613] (S)シャケ猫: www
[2741.027] necodog4869: ｗｗｗ
[2746.327] ヤーマン8: www
[2747.321] inufu: 最低だなありけん
[2749.753] (S)はおちゃ: wwww
[2750.446] こんにちわとそん: ゆ、ふな
[2756.120] (S)シャケ猫: ありけんさー
[2773.399] himeji_joe: 悪ぃけん
[2812.964] (S)シャケ猫: www
[2818.478] inufu: www
[2836.409] こんにちわとそん: ギスギス
[2839.794] (S)シャケ猫: 意味わからんw
[2934.675] ナミ木: いいコンビだ
[2964.760] こんにちわとそん: コンビというかカップルというか
[2968.927] keita0704: カップルやんw
[2973.019] (S)シャケ猫: ただの親友やん
[2975.070] ラロウ: この二人なかいい
[3037.724] (S)junn_0212: wwww
[3040.391] (S)シャケ猫: ええてw
[3040.675] ナマコ魚雷: あ
[3043.559] ラロウ: みんなでいったらかってたｗ
[3050.996] こんにちわとそん: 4v1クラッチ
[3105.960] ~MISSING_COMMENTER_INFO~: https://www.twitch.tv/kosse0312 こいつもRAGEで応援！
[3106.330] ラロウ: どこいくねーんｗ
[3116.197] (S)シャケ猫: リコン家出した
[3194.251] bamboo3q: ないすー
[3206.230] さくぅ_: tonaka2Nice2
[3208.437] inufu: ナイス
[3209.864] もちーぞ: NC
[3211.341] papillon779: ナイス
[3211.749] koron17: aruyo
[3223.585] bamboo3q: 有料チケットだっけ
[3276.456] ちゃぽんた: 通常配信は無料、YouTubeとTwitch 有料のabemaはぶいすぽのVC聞ける
[3361.318] bamboo3q: そうなんだty
[3421.145] ちゃぽんた: あとabemaはのせさんとめっさんのウォチパあり、第2部の配信もありって感じ
[3423.827] (S)zakiyoka: ないす
[3426.667] papillon779: ナイス！
[3445.659] (S)シャケ猫: 公式サイト https://valorant.rage-esports.jp/2024/vspo/
[3449.605] (S)じぇにん: 無料配信無いと思ってチケット買っちゃったわ
[3491.880] havsjkx: 配信あるのあつ
[3536.321] ちゃぽんた: 簡単に言えば無料配信はBO1×3の実況解説付きが見れるだけ
[3568.790] hibiking100: スネークやん
[3572.536] (S)シャケ猫: 急にぶっ込まんといて
[3578.156] inufu: w
[3578.932] hibiking100: まずい
[3594.560] (S)kaito_0213: ありじゃか
[3597.595] fka1445: きいたことある声やなぁ
[3671.705] (S)シャケ猫: あ
[3709.287] (S)シャケ猫: おしい
[3721.650] ラロウ: 知識差だけで今のはかったてたな
[3737.632] (S)zakiyoka: www
[3764.993] (S)シャケ猫: カバーが冷静なんよ
[3824.354] havsjkx: おもろ
[3826.820] akt045: ドイツね
[3827.826] (S)シャケ猫: ドイツね
[3828.957] euc_ordinary: はずいって
[3830.984] suu110: おやじ...
[3834.797] ラロウ: どういうこと？
[3837.131] ぷりりんん: ｗｗｗ
[3839.076] (S)zakiyoka: 解説つらい
[3840.610] さくぅ_: www
[3845.889] (S)シャケ猫: つぎはどいつだ
[3871.695] inufu: オヤジギャグかあ〜くぅー
[3878.930] akt045: 明日ってヘンディーさん達は現地でvはモニター参加ってことでok?
[3887.356] kazuuuma1023: 言ったキャラはヨルですよ
[3887.471] (S)zakiyoka: あれ？
[3899.103] (S)じぇにん: https://clips.twitch.tv/EnthusiasticBillowingPeanutPeoplesChamp-kVPTKuSbiGD3if8z
[3925.493] (S)シャケ猫: ええ
[3933.950] euc_ordinary: 正論
[3934.191] kamaboko0000: 次はドイツ
[3985.158] (S)シャケ猫: 始まったばかりや
[3999.963] sun_hidamari: でも強いからなー
[4000.681] cardamon54: k4senNotjoin
[4006.884] inufu: www
[4028.882] (S)シャケ猫: 行け過ぎて暇になったか
[4035.000] SS_mikan_05: まだ昼じゃないか
[4051.709] (S)じぇにん: さっきからボケがおっさんすぎる
[4055.033] (S)かなるな: 分かりづらいかもwww
[4078.451] (S)シャケ猫: ヘンディーのトークショー
[4113.797] (S)シャケ猫: それで行けなかったんよwww
[4208.793] (S)ケダ: ｗｗｗ
[4213.382] bamboo3q: www
[4214.309] たーいえ: www
[4218.186] (S)owo_8o8: www
[4220.982] さくぅ_: www
[4224.010] saladman33: www
[4225.593] inufu: www
[4253.451] (S)シャケ猫: 誰の配信見てるんやー
[4261.824] suu110: 名前隠してないのか
[4266.044] (S)シャケ猫: www
[4344.564] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[4378.028] sun_hidamari: それまでにどれだけ搾り取られたんだか
[4384.135] (S)シャケ猫: それって雑所得？
[4410.024] ダメのん: !sens
[4476.739] (S)シャケ猫: カッコ良すぎる
[4504.342] inufu: レッドアイズブラックドラゴンみたい
[4512.936] (S)シャケ猫: www
[4513.039] しょうゆとんこつ: ｗｗｗ
[4516.369] (S)owo_8o8: wwwww
[4518.062] bamboo3q: www
[4528.007] inufu: www
[4534.138] kagura_890: だから今キルアの髪色に似てるのか！
[4614.868] inufu: めっちゃおもろいぞ！
[4623.871] (S)シャケ猫: 漫画中だるみとか全く無いよ
[4628.035] papillon779: そのマンガめっちゃ好き
[4642.128] (S)シャケ猫: ないすー
[4647.441] (S)owo_8o8: tonaka2Nice2
[4669.283] inufu: 最初の方が1番好き
[4738.838] (S)シャケ猫: 影をね
[4747.873] azarashi_ft: 俺だけレベルアップ系ってさ、レベルアップしてる弱い時が面白いだけで、その後無双するのって盛り下がるよな
[4777.268] inufu: @azarashi_ft わかる、別にいいんだけどさ
[4813.894] (S)シャケ猫: 転スラ？
[4837.864] menma_047: リゼロ
[4839.905] (S)シャケ猫: デジモンもあり
[4846.582] inufu: まあまあ
[4846.619] ばろっさ: SAO
[4848.864] nqshiko511: リゼロしか知らない
[4869.967] sashigo11: 転生してないw
[4906.269] azarashi_ft: 転生系っていうけど、転生した時に無双するのか工夫していくのか、結構好き嫌いわかれるよな
[4908.088] inufu: ログ・ホライズン好き
[4934.540] (S)シャケ猫: 舞え！
[4935.288] inufu: 転生じゃないか
[4939.241] (S)owo_8o8: きた〜〜〜
[4954.394] (S)シャケ猫: 帰還したけど無双できんかー
[4956.379] inufu: www
[4959.503] azarashi_ft: このすば
[4963.764] iya_iya_ki: このすば
[4974.154] Juicewisdom: axeumSip
[4979.366] azarashi_ft: 今３期アニメやってるね
