[131.737] しふぁん: いじらないよ一旦ね
[132.947] ねるねん: 一旦って何？
[133.179] (S)tackey8120: 一旦ね一旦
[133.880] ariiharuo: 一旦ね、一旦
[134.029] futtyo07: 一旦血管ニキ
[135.450] (S)YAMATO00_RoueN: 一旦ｵﾊﾖ
[136.917] (S)sharps000: fantas22Chigau
[137.396] (S)rayu892: 一旦ね一旦
[138.409] (S)yashida26: 一旦ねいじらせてくれ
[139.283] (S)rlrlpo: 一旦ｵﾊﾖｵﾊﾖ
[140.059] (S)temoteee: 一旦仮眠しまーすってときに一旦使ってるのか
[140.156] (S)kenamimii: 一旦いじるのやめます
[143.349] ニャンニャ: 一旦ね、はわきをじゃね
[143.416] (S)rich3352: 一旦仮眠します
[146.680] ygsota: 一旦ね
[147.160] masu129: ｵﾊﾖｵﾊﾖ！
[147.449] (S)イブオ: 一旦マース
[151.364] harehare7: 一旦ね王
[154.473] (S)セバス_: オハヨオハヨ
[154.558] (S)ねいびぃぃぃ: オハヨオハヨ
[154.681] (S)xyz_3931: ｵﾊﾖｵﾊﾖ
[155.178] (S)yashida26: 一旦結構口癖やもんね
[155.330] (S)スヌリ: 一旦お風呂一揆マース
[155.389] riku_0911: 一旦、一機マース、一旦ね
[156.039] hope_soda: おイスおイス
[156.149] りょんちゃ: 一旦ね
[156.650] (S)matoyo11: 一旦いじらない方向で行かせてもらいます
[158.647] (S)miyayu6: PokMachamp
[160.023] (S)めしくぅいな: 一旦かみんしま～す
[160.793] chinpanmansan: 一旦そんないってたっけ？
[162.224] 亜熱帯: 一旦はあれか「一旦寝まーす」から来てるのか
[162.691] (S)からあげマシン: 一旦待ちね
[162.905] ねるねん: やばいゲシュタルト崩壊してきた
[163.130] nukopam: 〜一旦〜
[164.548] onigiri0402: 一機マーススタンプ欲しいな
[165.235] punch_pa: 一旦一機マース
[165.267] (S)すーぱーえめるちゃん: 一機一旦仮眠ニキ
[171.160] ぬぴ17: したっていい、もクズ発進よな
[173.880] ryuichi9029: シャンクズが一旦って連発してるイメージないんだけれども
[175.067] (S)地縛神ポンタリウス: yufunaIttanne
[175.286] takizawa220: 一旦わこつー
[176.677] (S)tubatter: fantas22Muscle
[176.888] mazikarubaba: ｵﾊﾖｵﾊﾖｵﾊﾖｵﾊﾖ
[177.136] (S)まてぬい: スタンプかwww
[177.631] (S)愛璃あぅ: おはようございます！
[178.455] (S)takeshogogo: 一旦一機マース
[178.558] (S)かつけん0331: みんないるｗ
[178.698] meshi_oji: 一旦ね
[178.909] まぐ12: てつて！
[179.681] aria0331: wwwww
[181.566] (S)Jewel_meat: 一機マース
[181.993] (S)sky_nanonano: sky_nanonano subscribed at Tier 1. They've subscribed for 5 months, currently on a 2 month streak! 一旦一旦
[182.054] dorgon359824: てつて
[182.256] (S)suzu25012: おはよー
[182.859] (S)ふっし一: ふっし一 subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! 
[184.672] (S)Carrot_maru: 仲良しかよwww
[185.240] ふじたにこらない: ！？
[185.927] hondagb350: 一旦ね
[188.137] taru_taru_k: ナツメの横
[188.176] (S)けー353: チルってんなーw
[188.839] lucky_1031_: 一旦ね
[191.054] (S)スラ: スラ subscribed with Prime. They've subscribed for 8 months, currently on a 8 month streak! オハヨオハヨ
[191.798] (S)なぁちゃむ: オハヨオハヨ
[192.129] (S)らすちーどーる: ｗ
[194.662] (S)its_MuNya: fantas22Muscle
[195.187] (S)niruka0521: niruka0521 subscribed at Tier 1. They've subscribed for 9 months! 
[199.843] (S)patrick1000koo: もう終わりです
[201.477] (S)cucumber_4310: こん
[202.842] (S)そると111: おー
[203.096] ぶっけ: 一旦ね、一旦
[204.468] shion0000000: 一旦ね
[205.703] meshi_oji: 誰も気付いてないw
[205.739] (S)アジ7864: おー
[206.237] (S)テバ_02: おっ王～🎵
[207.549] midutax: ほーう
[208.140] (S)らる_: もう終わりや
[208.284] (S)lime_green8686: lime_green8686 subscribed with Prime. They've subscribed for 12 months, currently on a 11 month streak! 
[208.533] (S)シナシナな梨: 一旦の人だ！
[209.298] (S)tarohaliburton: ｵﾊﾖｵﾊﾖ
[209.731] (S)xyz_3931: お
[211.025] (S)げってぃはミートソース: 王!ｵﾊﾖｵﾊﾖ
[211.974] mazikarubaba: 一旦ね
[211.977] (S)zerogravity0910: こんばんは
[212.344] (S)daisange: daisange subscribed with Prime. 
[213.200] (S)ばうむ99: こんばんはー
[214.255] (S)Ruica_e_s: おつー
[214.829] (S)horizonkkfr: オハヨオハヨ
[215.456] (S)愛璃あぅ: シャンクズ一旦スタンプ欲しい😳
[216.611] (S)ゆっくり竜王竜也: ｵﾊﾖｵﾊﾖ
[216.783] (S)フルパワーアフロマン: 釣り釣り
[216.824] (S)tarako_0420: ｵﾊﾖｵﾊﾖ
[216.904] (S)薩摩半島: おはよおはよ
[218.067] (S)zerogravity0910: fantas22Muscle
[218.268] (S)yahoo1192: けっつんで気がついた
[219.386] ramiel_9999: こんばんは～
[219.468] (S)darkburst184: きちゃ
[220.176] (S)けー353: お
[221.454] k140316: こんばんはー
[221.755] (S)らる_: 一旦ね一旦
[223.744] (S)イブオ: 868だろw
[224.022] (S)Jewel_meat: 釣り！ハンティング！
[224.152] (S)naias1: 移転？
[224.317] ygsota: 868
[225.833] tukiyosi: うい
[225.856] (S)kawataro_: 一旦ね一旦
[226.130] (S)mk2xmomo: 一旦ね、一旦
[226.224] sayaendou4: 風呂スタンプ欲しかった
[226.747] (S)stg_satoshi: 一旦ね一旦
[226.869] ニャンニャ: 868
[227.270] tamukich: 一旦ね一旦
[228.222] howl_0624: 一旦ね一旦
[228.735] (S)フルパワーアフロマン: 一旦ね一旦
[229.122] (S)ぱるえちょ: オハヨオハヨ
[229.839] (S)mis0kk4s: ｵﾊﾖｵﾊﾖ
[230.215] naogons13: 遅かったなw
[231.144] wendel5571: 一旦ね一旦の人だ！
[231.318] guiltyair: 新しい釣り！？
[233.190] (S)ippaioppi: 一旦ね一旦
[234.559] (S)dekitate23: こんばんはーーー
[235.922] (S)アジ7864: www
[236.135] (S)カメモチ: 一旦ね一旦
[237.082] waptadt2: 絶対釣りやるwwww
[239.438] yuchan_05: おはようボス
[240.337] (S)べねでぃくと: wwww
[240.621] yukitwitch14: wwwww
[240.837] zlqde: 一旦ね一旦
[241.514] (S)xyz_3931: wwwwwwwwwwww
[241.718] omii78: 一旦ね一旦w
[242.686] (S)uminncyu: おはよ
[242.731] (S)ponzy48: ファン太さんって二重でしたっけ？
[242.814] ホグワーツ2浪: 一旦ね
[243.136] rtyccx: 一旦ね一旦
[243.857] (S)あすとろ: 一旦ね一旦
[244.122] (S)ゴゴクニ: 一旦の人キター！
[244.608] えくれあくん: ゲームってんんだ？
[245.103] (S)アブソルート: アブソルート subscribed with Prime. They've subscribed for 7 months! 
[246.399] culeaa: てつて？
[246.726] tokkitocchi_eg: LINEスタンプになるんですねー
[248.771] (S)Carrot_maru: あくまで山下にね
[249.105] (S)テバ_02: てつて？
[249.244] (S)mira_koko: てつて！
[250.174] (S)ぽこチャン: オハヨオハヨ
[250.300] (S)sheseec: てって
[251.438] (S)arunaima: てつて！？
[251.526] ホンタラバ: てって♡
[251.646] (S)みもりすずこ: 一旦ね
[251.840] tomotomo03282125: てって？
[251.970] (S)bakubaku52: おあよー
[252.245] (S)rognuts: 一旦のネタ全くわからんのだけど、誰か解説おねげえ
[252.246] さっっぷ: てつて！
[252.326] (S)nana43: てつて♡
[252.334] (S)buju: てつて！
[252.372] (S)senbei_kun: ｵﾊﾖｵﾊﾖ
[252.386] momoyagi0: てつて！
[252.639] (S)カニピザ: フィッシングクラブ再開？
[252.883] rosso_k: てつてー
[253.228] (S)薩摩半島: てつて！
[253.364] (S)Carrot_maru: てつて！！
[253.426] (S)rich3352: てつて
[253.460] ane_build: てってー！！
[253.505] 10花: てつて！
[254.350] howl_0624: 松宮辰夫フィッシング倶楽部活発になりそうで楽しみやあ
[254.424] kukudddddo: てつて
[255.151] (S)tarako_0420: てつて！！
[255.343] (S)ouma3_: fantas22Muscle
[255.355] (S)obisan4646: 一旦ね、一旦。
[255.607] (S)愛璃あぅ: てつて！！！
[255.689] (S)辛麻婆豆腐: てつて！
[256.501] momoyagi0: ｵﾊﾖｵﾊﾖ
[256.741] nukopam: てつて♡
[256.918] (S)ちゃぃちゃぃ: てつて！
[256.948] yukitwitch14: てつて！
[257.299] (S)ティターナ: てつてー！
[257.341] (S)ウエジィ: ウエジィ is gifting 1 Tier 1 Subs to ファン太's community! They've gifted a total of 250 in the channel! 
[257.427] (S)hi9hlv: お
[257.792] (S)ウエジィ: ウエジィ gifted a Tier 1 sub to wander__wander! 
[258.082] kawasaki315: てって！
