[1160.476] edition9: 大谷って今富山？東京に出てこないの？
[1183.813] サメカツ1999: まずマゴ
[1184.211] 先日助けてもらった鶴です: え？
[1186.553] qq_taro: プロ？
[1192.050] サメカツ1999: 勝ったのか
[1195.490] edition9: んっ・・・
[1197.487] kona_kun0530: 大谷君富山の人なん
[1205.698] (S)Giichigi11109: 昨日ウメちゃんに東京来いとか立川に一緒に住もうとか言われてたしワンチャン
[1208.893] おじキッズ兄: マゴにはベガ
[1213.326] yakan06: ベガ・・・・・
[1215.288] Coron___: うぇあ！
[1217.621] omedetroit: マゴさんまたベガに…
[1219.853] ~MISSING_COMMENTER_INFO~: 女子会かな？
[1224.932] (S)balthazar000: 学校通ってるんじゃない？
[1272.502] おじキッズ兄: まあじか
[1275.053] stainless304: おおお
[1283.487] bakedonion: そんな展開だったのね
[1284.812] omedetroit: ハイタニに勝つはやばい
[1286.990] littlestory4: 実質ジャパンカップ優勝
[1288.284] samuragi: akiki streamed it I think
[1289.002] sazanami657: アキキさんが配信してなかったっけ
[1289.466] otagamedo: akikiさん配信で見てたよ
[1295.200] MadEggMania: マゴ敗退のチャットは配信に来てたよ
[1296.028] Coron___: sakoさん配信でやってたから見れたよー
[1306.732] yakan06: ゆかどん、ハイタニ倒して仕事終わった
[1312.660] (S)balthazar000: アビタイムは止められない
[1319.260] bakedonion: 仕上げてきた久保
[1324.271] omedetroit: ユーディール絶対倒すマン
[1371.719] サメカツ1999: 脳捨ててきた久保
[1373.143] yakan06: アビゲイル久保
[1376.667] おじキッズ兄: 自称ｗ
[1384.967] bakedonion: 千代どうして…
[1400.322] samuragi: kubo dance LUL
[1405.988] omedetroit: 消去法大将はキツイよなw
[1427.771] おじキッズ兄: 活躍したな
[1435.860] MadEggMania: 大丈夫だよ
[1451.445] sazanami657: ここも弟子企画入ってるから大丈夫じゃない
[1452.269] サメカツ1999: (ウメハラさんには嫌われるな)
[1453.614] omedetroit: かずのこvsガチくんね
[1463.973] (S)balthazar000: 弟子企画見てるで〜
[1487.156] すずかぜ: はめられた
[1488.474] inukubow: しゃがみ中Ｋ
[1489.232] littlestory4: 嘘教えたな！？
[1491.919] yakan06: かずのこ・・・・
[1492.898] bakedonion: あいつよ〜
[1495.466] yadai09: 罠
[1508.429] Coron___: ｗｗｗ
[1510.307] すずかぜ: wwwww
[1511.578] ぐぐっす: wwww
[1516.931] stainless304: wwww
[1517.153] shikamaru123456: わやされたねー
[1521.906] yakan06: ガチ・・・・・やったな
[1522.113] hanao_hanao: 種まいた感じだ
[1523.431] inukubow: ガチ君はめてきたな・・・
[1526.212] omedetroit: "ハメ"
[1530.684] (S)balthazar000: ガチな立ち回りだったか
[1533.048] ~MISSING_COMMENTER_INFO~: 彼わやすからね
[1536.209] ~MISSING_COMMENTER_INFO~: is that otani ryu?
[1537.566] moya2twitch: ガチくん勝負師
[1554.766] yakan06: otani ryu
[1575.941] ~MISSING_COMMENTER_INFO~: mizuha chunli!!
[1577.234] MadEggMania: あそこでキチパがシャオハイ倒してなかったらやばかっただろうな
[1577.823] omedetroit: シャオハイ戦やばかったww
[1583.127] shikamaru123456: 大会の雰囲気とか話して
[1591.593] samuragi: 中Pスビバしでください
[1592.068] genjuro527: kawaiiiiii
[1595.979] 先日助けてもらった鶴です: oh...
[1599.147] (S)balthazar000: ナーフギエフの輪が、また一回り大きくなった
[1599.883] MadEggMania: ｗｗｗ
[1602.942] (S)cafe_gondo: ｗｗｗｗ
[1603.291] すずかぜ: wwww
[1604.277] sazanami657: ｗｗｗｗ
[1604.747] Coron___: ちよ、ほんま
[1606.128] おじキッズ兄: ｗｗｗ
[1606.960] (S)balthazar000: www
[1615.258] tokitokido: ええな
[1615.597] honesty1: @daigothebeastv pls ask otaniryu what he thinks of how strong Ryu is, and what Ryu needs to be good pls
[1616.488] inukubow: ネモさんは切れてたな
[1621.264] moya2twitch: 味方おらず
[1621.929] たまげた: 大会の話もういいからゲームやろ
[1624.889] spclink: くりすT魂の一言
[1624.958] yakan06: nurf DIC
