[371.202] ikki_oga: 何言ってんだwww
[371.595] しゅーまいまい: www
[371.781] 96nowa: www
[371.836] amatan6359: 楽しそうやw
[372.593] (S)クロノジェネツス: 彼らの中で流行ってるんです、、、
[372.684] hamomi_: ？
[373.200] maya_schrodinger: 急にふざける
[373.326] obanzaistudio: 昨日から始まったノリ
[373.580] しゅーまいまい: なんやこれ
[373.641] h4ppy194: wwwwww
[374.815] umetyaaaaaa: こいつらマジでwwwww
[374.914] Quwrof_22: BloodTrail
[375.368] morimorimo55: ｗｗｗ
[375.592] あさくさ: たのしそう
[375.606] (S)hato330: やめろww
[375.710] yomog1mochi043: これがエンタメ
[375.960] peroon_: 練習してたポンポン出てる！
[379.677] (S)marrona91: だるw
[381.680] alfredo_the_meat_boy___: POLSKA GUROM 
[381.909] Tyopage: リドルぽさでてる
[382.172] u_cchi: リソースあるぞ！
[382.777] subao0614: 楽しそうでなによりや笑
[383.815] suimu75: ALGSよね？w
[384.520] arichanman5089: 楽しそうでいいね
[387.120] lovelyowj: だっるw
[387.497] nekko__o: あ
[387.718] kabakabao3: エンタメチーム
[388.996] まじめさん: あ
[389.119] picopon_: あぶ
[390.056] subao0614: あそこフナやな
[390.137] seal1119: あっぶなw
[390.273] umetyaaaaaa: あ
[390.723] olive2ti: ヒェア！ヒェア！ぽんぽんぽん！
[391.139] いどあ: あっぶ
[391.288] ham_barger9: 危なw
[391.342] たけおかでふ: ゆきお今全盛期だからフィジカルえぐいよ
[391.752] soooooooki2525: wwwwwwww
[392.344] obanzaistudio: 昨日これ練習してたから
[392.648] alfredo_the_meat_boy___: うおおおおおおおおおおおおおおおおおおおおおおおおおおおお
[392.804] グラル87: 残ってるにフナとrc
[394.415] のじっち: あさるな
[394.859] umetyaaaaaa: あぶねえーーーーーー
[395.638] su_gar__25: チキンレース
[395.859] シコのプーさん: あっぶな
[396.158] yomog1mochi043: さすがエンタメ
[396.258] arohasyatsu_kure: PADなら死んでた
[396.295] しょーゆ_: ｗｗｗｗｗｗｗ
[396.656] siochan_jp: フィジえぐｗ
[396.884] lily3nari: せーーーーーーーーーーーーふ
[397.113] nqnk0tu0141: wwwwwwwwwww
[397.202] cosmo_hero: wwwww
[397.858] unaginuuuuu: こいつほんま
[398.046] lqla_q: ぽんぽんぽーん
[398.665] atarime1104: wwwwwww
[398.749] alfredo_the_meat_boy___: POLSKA GUROM 
[398.937] まじめさん: トロール
[399.546] ~MISSING_COMMENTER_INFO~: エンタメすぎ 
[400.288] morisukeeeee: うぉっほぉう
[403.353] labbitmqrrrrr: エンタメですか
[404.635] ゆうって呼んで: rc落ちてます
[406.392] nqnk0tu0141: エンタメも忘れません
[408.872] olive2ti: く、くる
[409.154] たこ1010: エンタメだよ
[409.447] あーあか: リドルはエンタメ
[410.420] alfredo_the_meat_boy___: おっほ
[410.962] u_cchi: 割り切った！
[411.438] yukisan_fan: これ、バンガウルト刺さるくね？
[413.352] atgk: 貧乏時代のくせ
[413.928] umetyaaaaaa: おおおおお
[418.109] なぽりぽり: ボマーゆきい
[419.793] のじっち: うおw
[430.662] Tyopage: あるぞ
[435.204] olive2ti: うおおおおおおおおおおお
[435.238] sugoi_hayasa: うおおおおおおおお
[435.260] morimorimo55: うおおおおおおおおおおおおおお
[436.079] gra_801: うおおおおおお
[436.117] arnananan: おお
[436.117] arohasyatsu_kure: 最高や！！！！
[436.173] aiueo51: よーーーし
[436.417] hayatox12: うおおおおおおお
[436.470] ham_barger9: うえええい
[436.956] chiimqru_: うおおおおおおおおお
[437.228] あさくさ: うおおおおおおおおおおおおおおおおおおおおおお
[437.274] aqk87770: きたあああああああああああああ
[437.429] hal1045: うおおおおおおおwwwww
[437.583] slnark9: よーーーーーーーーーし
[437.706] gamugum: yuz48Yukiohakusyu
[437.709] u_cchi: うおおおおおおおおおおおお
[437.977] tonkatsu_0920: うおおおおおおおおおおお
[438.121] kern_tucker: どりゃあああああああああああああああああああああ
[438.251] picopon_: よーし
[438.278] キューブってる: vodkav2GG
[438.368] しこぴーー: GG！！
[438.373] seal1119: うおおおおおおおおおおおおおおおお
[438.518] yuzu1em0n: うおおおおおおおお
[438.548] ~MISSING_COMMENTER_INFO~: うおおおおおおお
[438.876] yuragi06: うあおおおおおおおおおおおおお
[438.946] m1ch1_99: vodkav2Gotochi
[439.063] k4hun99: うおおおおおおおおおおおおおおおおおおおおおおお
[439.068] gra_801: れっつごーーーー！！！
[439.090] のじっち: ！？
[439.137] 海老チリ: うおおおおおおお
[439.196] siochan_jp: きたああああああああああああああああ
[439.259] sugoi_hayasa: どりゃああああああああ
[439.347] atarime1104: !?!?!?
[439.352] lily3nari: どりゃああああああああああああああああ
[439.566] imJoru__: おおおおおおおおおおおおおおおおおおおおおおおおおおおおおお
[439.706] komomo_beans: FallWinning
[439.866] stigthe: なーいす
[439.924] kimpii_o: うおおおあおおおおお
[439.955] sajinski: うおおおおおおおおおおおおおお
[440.029] なぽりぽり: きたああああ
[440.238] ghsjjfbi: よおおおおおおおおし
[440.258] グラル87: うおおおおおお
[440.456] シコのプーさん: うおおおおお
[440.483] nin_75: DinoDance
[440.606] Elliechandayo: うおおおおおお
[440.682] ikki_oga: うおおおおおおお
[440.791] Collon_lol: うおおおおおお
[440.814] (S)kale_4: よーーーーーーし！！！！
[440.883] lqla_q: ｒｄｙごおおおおお
[440.892] (S)hato330: よししし！！！！！！
[441.319] みりみりみりみり: おおお！！！！！！
[441.443] ゴルゴ6060: つえー
[441.458] gurararaaa: おおおおおお
[441.469] 柊悠ト: vodkav2Gotouchi2
[441.505] pocosukee: きたあああああああああああああああああ
[441.580] Morichan6828: よーーーーーし
[441.717] kabakabao3: よおおおおおおし
[441.755] peroon_: お前らが最強だ
[441.809] PrePreaim: うおおおおおおおおおおおおおおお
[441.922] しゅーまいまい: うおおお
[442.448] u_cchi: まし！？
[442.528] ai_279: おおおおおおお
[442.552] かねちょー: つっよwwww
[442.696] ネオちー: うおおおおおおおおおおおおおおおお
[442.751] しょーゆ_: うおおおおおおおおおおおおおお」
[442.891] arohasyatsu_kure: yuz48Naodance
[442.918] yukisan_fan: うおーーう
[442.977] 96nowa: うおおおおおおおおお
[443.266] neka0531: うおおおおお
[443.465] Tyopage: うおおおおおおおおおおおお
[443.471] maya_schrodinger: レッツゴー！！
[443.500] decoy_55: おおおおおおお
[443.630] (S)marrona91: よおこおここおこおし
[443.632] nptnnnn: vodkav2GG
[443.725] (S)Yukimaru1029: vodkav2Riddlesmile
[443.843] ジヴァ: gg
[443.904] chiimqru_: よおおおおおおおおおおし
[443.952] kuroomutu: よーーーーーーーし
[444.421] ghsjjfbi: さいっきょおおおおお
[444.614] ちゃちゃ丸14: かみ
[444.643] ユーモアがない奴厳しいって: うおおおおぉ
[444.787] (S)minatsuki_419: でっけえええええ
[444.798] yozu612: 幸先いいねぇ
[444.815] ham_barger9: 安定してるなぁw
[445.427] しょーゆ_: きたあああああああああああああああ
[445.500] yakitori9429: yakitori9429 subscribed at Tier 1. They've subscribed for 26 months! 
[445.570] shinsoku_yu: よおおおおおおおおおおし
