[48.981] (S)taishinbo: radaoHi
[49.034] (S)arayone: radaoHi
[49.097] (S)hatoroo106: わこらだー 
[49.163] (S)kuro_kuro03: radaoHiradaoHi￼￼ 
[49.305] tyontyon: 早起き助かる
[49.389] あるみ屋: 早起き店長〜
[49.590] (S)とろネギ: radaoHi
[49.758] (S)さくらもち415: radaoOtaku
[49.772] ちびまるちゃん: radaoHi
[49.971] (S)yakkooo630: 早番 
[49.990] (S)mikun_pipipi: radaoHi
[50.181] シュウ米: radaoHi
[50.196] (S)Itsuse_5: radaoHi
[50.782] (S)ren_0107001: radaoHi
[50.989] nolea_: radaoHi
[50.991] purin_31: radaoHi
[50.992] (S)reireireire: わこらだ 
[51.013] dokukinoco: radaoHi
[51.314] (S)音駒猫氏: radaoHi
[51.409] (S)azurun393: radaoHi
[51.637] (S)みみミみ: radaoHi
[51.719] (S)ritoxx12: radaoHi
[51.767] (S)秋月える: radaoHi
[51.779] miharu_415: miharu_415 subscribed at Tier 1. They've subscribed for 33 months, currently on a 33 month streak! 
[51.900] すいぺりあ: 早番だー
[51.972] (S)hnnnnnk173: radaoHi
[52.128] (S)MNTY22: radaoHi
[52.300] kohaku1379: radaoHi
[52.329] (S)ぷぷり: radaoHi
[52.446] (S)yvesntual: 早起きだーーー！！
[53.000] なやしろ: radaoHi
[53.056] ryotamk_2: わこらだ 
[53.211] シオマル: 早起きだー
[53.690] sparrow__7__: radaoHi
[53.877] po_pochon: radaoHi
[54.681] (S)tomatamapizza: radaoHi
[54.701] 銀河ポテト: radaoHi
[54.912] (S)とろネギ: 早起きキター
[55.007] (S)すわ0622: radaoHi
[55.108] ゆずシフォン: 手売り！？
[55.255] niranin12: niranin12 subscribed with Prime. They've subscribed for 27 months! 
[55.266] (S)봄_ぽむ: わこらだ〜
[55.552] (S)9u1_o6: radaoHi
[55.802] 微少女のせさん: わこらだ〜
[55.881] miku_coffee: miku_coffee subscribed with Prime. They've subscribed for 21 months! 
[56.153] ゆうなんこつ: radaoHi
[56.239] なりぷし: わこらだ
[56.328] turara_17: radaoHi
[56.795] kuro_300: radaoHi
[56.904] (S)marimo14ok: radaoHi
[57.075] (S)naruha_1206: radaoHi
[57.255] (S)あさひともき: radaoHi
[57.717] ポテチの子: わこらだ 
[58.371] (S)くも0925: radaoHi
[58.517] (S)夏目輝: 夏目輝 subscribed with Prime. They've subscribed for 10 months! 
[58.582] (S)しめったチワワ: radaoHi
[58.684] pontaaaa000: radaoBanzai
[59.628] raiti614: radaoHi
[59.860] (S)つなまよ07: 早起き助かる〜
[59.876] るおはゲーム下手: radaoHi
[60.073] りかお: radaoHi
[60.283] sora_mameee: わお
[60.292] (S)ややなの: radaoHi
[60.414] (S)そら_1907: え？
[61.328] (M)Nightbot: サブスクdiscordの入り方はこちら→https://twitter.com/rader2525/status/1167079316754067456
[61.676] (S)Aiiro_1: Aiiro_1 subscribed with Prime. They've subscribed for 6 months, currently on a 6 month streak! 
[61.849] (S)aibou0511: radaoHi
[61.851] CN_nito1gun: わこらだ 
[61.873] れもんちぃ0: でっか
[62.580] kawasemikarume: radaoHi
[62.724] (S)takahasi0211: たか
[62.851] ててさーん: radaoHi
[63.478] (S)komatuna_pipipi: だに
[63.699] (S)たかなしはな: だにぃ！？
[64.193] (S)aioka_y: え
[64.570] (S)nouen_: radaoHi
[64.763] あるみ屋: たけー
[64.968] (S)baceneKo: おー
[65.183] nonsugar017: ダニィ？！
[65.202] nassan46: radaoHi
[65.367] (S)Ayax_0510: えぐぅ
[65.394] miki_15g: radaoHi
[65.888] あっすー_: え
[65.953] sora_mameee: たっか
[66.418] rina81820: radaoHi
[66.746] ぴぐみぃ: radaoHi
[66.759] (S)シンノノ: radaoHi
[66.951] ゆずシフォン: え
[67.238] sa891: radaoHi
[67.396] kurageru: radaoHi
[67.438] (S)toga_pon: radaoOme
[67.986] りかお: ダニイ
[68.144] (S)natumikann_15: radaoHi
[68.175] kfc0925: あついな
[68.521] (S)ゆにるな: だにぃ？！
[69.017] (S)luchs000: radaoHi
[69.083] (S)take_kanmuri: radaoHi
[69.231] (S)Natsuuuunn: radaoHi
[69.238] (S)つなまよ07: だにぃ！？
[69.256] (S)tanuki_077: radaoHi
[69.270] coori_satou: radaoHi
[70.029] (S)ｼｷ_: ﾀﾞﾆｨ!?
[70.092] (S)ame_nenemuri_: wao
[70.244] (S)gareki1827: まじか
[70.277] (S)tya22maru: 儲かりまっか
[70.356] 名無し333: たっかあつ
[71.317] (S)kootawa: radaoHi
[71.508] atuono: radaoHi
[71.540] (S)ky0to23: たっか
[71.567] ポテチの子: だにぃ！？
[73.015] (S)gomudam: 竹井が居なければ
[73.215] (S)uki_shizumi: radaoHi
[73.224] (S)omuricemogumogu: radaoHi
[73.403] Takateru_917: radaoHi
[73.627] (S)nanochaaan_: radaoHi
[73.703] (S)kuronoa_1109: だに！
[74.084] 00frisk: radaoHi
