[922.013] 山田たろう太郎: ええ
[924.341] marujin4444: まーじか
[924.354] ShimoyamaP: ほんとにぃ～？
[933.414] maemaemaema: 長いだけ
[956.501] zeronian: wheres kuroda 
[982.392] maemaemaema: ハンサムーーー！！！
[985.289] kurage88: うらやましい人たち
[985.307] (S)momochan6: ｗｗ
[985.512] (S)hachi_mitsu: 自己顕示欲強い
[987.354] 山田たろう太郎: それはそうだなｗｗｗｗ
[989.241] Djstoudt: @zeronian to soon lmao
[990.387] marujin4444: 大概ですｗ
[992.066] (S)NAOjpp: ｗｗ
[992.451] (S)~MISSING_COMMENTER_INFO~: せやな
[994.287] 山田たろう太郎: ふ〜どいいこと言うわｗ
[996.027] always_1_3: ハンッサーーム！
[997.281] sora_neko09: せやな
[1004.816] (S)体調不良は背中をほぐせ: アビアビしてきたな
[1007.058] maemaemaema: ゴザ→目くそ
[1011.826] mattarisk: 心が痛いw
[1028.790] 真理に至った: あれ？いつから配信始まってた！？
[1028.900] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1049.961] psionicpsi: !uptime
[1065.769] marujin4444: ほお
[1069.415] ShimoyamaP: まああああじか
[1075.062] kurage88: 意外とバリアじゃない
[1098.033] 真理に至った: あ、なんだ応援配信ってタイトルなのに自己顕示欲TVかあ
[1099.437] kamisimeru: 膝竜巻はダメなの？
[1101.881] surokun777: でもその距離でコパン振らないよね？
[1104.073] (S)waylev765: へー
[1104.770] (S)user0511: 立ち弱Pのが強くない？
[1131.968] maemaemaema: バリーーン
[1135.267] (S)kemononeko: よくみるやつ
[1143.734] maemaemaema: 脳汁出るやつ
[1163.112] surokun777: ジャンプでしょ？
[1196.352] salt_360: つよ
[1200.922] kurage88: ふ～どのお気持ち
[1213.792] salt_360: これおかしいｗ
[1214.491] 6878bbz: おかしいだろｗ
[1216.249] (S)ミスターポポ: まーじか
[1216.513] (S)kemononeko: へー
[1217.485] (S)sugarsato_: それでもときんすなら
[1218.744] kamisimeru: 映像見てる限りいけない
[1225.665] maemaemaema: いやー漏れるw
[1226.811] surokun777: ジャンプでいいんじゃない？
[1246.811] (S)ミスターポポ: むっず
[1259.850] (S)たかちゃん06: こんばんわー
[1260.391] marujin4444: ふむふむ
[1260.678] (S)waylev765: なるほど
[1261.639] 山田たろう太郎: たしかにときどっぽい感
[1261.710] salt_360: 求められるなぁ
[1274.847] kamisimeru: 確かに一番届きそう
[1306.000] maemaemaema: これ差し返しにくいのおかしいだろw
[1311.017] (S)kitagawakun: 最悪中段になってもモーション後に食らってくれそう感ある
[1318.775] AIR_PP: EX百鬼なら届くとかないのかな？
[1323.484] typewild9: 強い技は弱さ残さないとね
[1333.737] ShimoyamaP: たしかに
[1338.504] kurage88: にくい だぞ
[1342.160] marujin4444: ；；
[1344.691] (S)ミスターポポ: これ！
[1347.236] toaluH2O: 最高のリターン
[1347.720] maemaemaema: にくい
[1351.585] (S)kitagawakun: アビゲイル戦だけセービング使えることにしない？
[1353.749] surokun777: 大パン振ったの見てからジャンプ間に合わないの？
[1371.645] (S)もけたわけ: まさかの飛び火っq
[1387.960] kamisimeru: 相手の大パンをこっちのダメージ源にしないとダメか
[1390.963] (S)kitagawakun: にくい が いく に読まれちゃってて草
[1422.443] kurage88: 餅つきかな
[1438.413] (S)ミスターポポ: つながるんか
[1442.217] ShimoyamaP: うおおおおおおおおおお
[1444.283] kamisimeru: これ全然コンボに見えない
[1463.234] maemaemaema: なるほどー
[1464.775] (M)ANIMEILLUMINATI: !title JikokenTV!
[1466.116] (S)user0511: 豪鬼ダメージソース多くてズルくない？
[1469.201] (S)kitagawakun: ウル４の豪鬼のセビバクステに中足竜巻昇竜みたい
[1470.356] (S)ナオキチザゴッドティチャー: これザンギにもできるよね
[1475.507] (M)ANIMEILLUMINATI: umeFail
[1488.565] (S)obo_006: こんなつめてる日本勢によく海外勢かてるなぁ
[1493.720] salt_360: ほかのキャラもみつかるかもしれないし
[1496.226] (S)ttp_hayato: ファルケとかもいけそう？
[1501.981] guile_head: あんどりゅー
[1549.594] (S)たかちゃん06: マゴさん生徒とったし、ふーどさんも新しい生徒さんでジコケンやって下さい
[1562.238] (S)kitagawakun: 屈中P６だね
[1563.239] (S)もけたわけ: 6やで
[1563.623] (S)user0511: 6
[1565.962] highspeedwarakia: 6です
[1568.367] (S)風呂でフルーチェ: ６
[1568.902] (S)kitagawakun: ５は膝だけやで
[1570.083] (S)ナオキチザゴッドティチャー: しゃが中６だよ
[1574.741] (S)momochan6: 折笠お前・・・
[1577.705] 6878bbz: あれ５だったらおそろしいわｗ
[1585.275] salt_360: まあまあまあ
[1591.375] (S)体調不良は背中をほぐせ: ござァ
[1615.944] (S)もけたわけ: これめっちゃやられる
[1623.466] marujin4444: ほほう
[1633.449] (S)kemononeko: ほう
[1633.736] scottiever06: フープは結構仕返しできる
[1636.705] ShimoyamaP: EXフープ終わったな
[1669.713] maemaemaema: ナイトロもお願いしますー
[1680.458] (S)もけたわけ: ナイトロとかどうするんや・・・
[1697.173] marujin4444: ｗ
[1703.842] salt_360: 姑息
[1705.082] kamisimeru: それは知らんかった
[1706.970] (S)SEKITAKA: はえ〜
[1711.705] suwatei: なんと
[1716.295] (S)風呂でフルーチェ: マ？
[1719.540] (S)user0511: うん・・・
[1738.266] maemaemaema: むずそう
[1739.354] (S)kitagawakun: これ地割れの攻撃判定発生前にVスキルで割り込んで殴れなかったっけ？
[1751.038] marujin4444: ほお
[1753.211] kamisimeru: そういうの教えてもらわないと何年も誤解しちゃう
[1775.525] largsrn: できる？
[1815.412] (S)wakaatama: つよいよねー
[1829.938] oolongtea12: J
[1838.975] (S)kitagawakun: しかも体デカイ上に垂直と前跳びにモーション差が無いから通常対空も出しにくいんだよね
[1839.778] marujin4444: さがっちゃう・・
