[1371.589] niemalsaufgeben: それ勝つんだｗ
[1373.718] balthazar000: うんま
[1373.834] heterotopia3: 落とされた⒲
[1374.663] wahaha7788: うまい
[1377.742] bacchuskou: 無敵あったっけ？
[1381.478] 記入漏れ: 消えてる時なら完全無敵です
[1396.757] hontouni1: ベガの前ステは反応良すぎて逆に止めるコパンがすかったりするよね
[1397.243] るぅの: アビは大丈夫なの？
[1403.328] (S)keigunnoikkaku: また鳥も見たいねえ
[1409.594] らみはい: ウメさんなら弾を前ステで完璧に抜けれそう
[1418.495] sakai_jin2020: ベガってガイルがきついって印象あったけど全然大丈夫そうだな
[1419.466] tusk_3821: 無敵短いし途中からだから意識して抜けるのは結構難しいと思う。ベンはevoでやってたけど
[1448.109] highspeedwarakia2: なんかアックス入らない時あるなぁ
[1456.742] NuFrontier: こんばんは～！
[1464.473] (S)ぼんじゅ: 先生おるやん
[1472.798] 1678923482: デミトリのダッシュみたいなもんか？
[1490.759] sakai_jin2020: よく考えたらアビって投げキャラじゃないな
[1491.572] khoghas: 鳥になるのですやちゃんこ食わんかーいみたいな名ゼリフはベガに無いのか
[1510.072] るぅの: ワラキア先生の野菜使ったパン屋さんのパン食べてみたいw
[1514.806] 記入漏れ: 弱い弱すぎるってキャラが煽ってくるよ
[1520.779] hontouni1: ベガはネタキャラじゃないから昭和に帰れなんて言わない
[1531.702] HandsTooGreat: CurseLit
[1572.825] (S)ぼんじゅ: ベガって不利キャラどれになるんかな
[1576.310] HandsTooGreat: Monster Hunter!
[1584.513] らみはい: ベガってヒトボならではのやり込み要素ないのかな
[1611.336] wahaha7788: ガイルと一番相性いいサブキャラはファンかな？
[1647.914] 記入漏れ: ザンギしんどいのは変わらないけど、ザンギに対抗しようと思ったらアビゲイル持つしかないっていう
[1677.298] (S)ぼんじゅ: ファンがザンギにいけるってウメさん言ってなかったっけ？
[1699.642] 記入漏れ: いけるんだね、それは失礼
[1732.283] (S)miyako_t: メナトはきつくない？
[1733.640] sakai_jin2020: サブキャラに穴ないな
[1740.287] _こぺ_: こんばんわ～ 
[1760.877] hontouni1: ガイルはキャラパワーはトップ10クラスだけど不利キャラが少ないのがマジでいい
[1762.151] boku35sai: ベガは今後サブキャラとして使っていくんですか？
[1768.528] 記入漏れ: なんだこのボタンとレバー？と思ったら1号と2号だった
[1771.538] tabibitox: アビガイルのシナジーは高いけど、その組み合わせの人いないよね
[1776.749] Unkunchi: ウメちゃん、右手のΦ24ボタン押しにくいなら、Φ30に変えてもらえば？
[1777.076] (S)udonsuki: ガードからアックスが強ブラストになってしまう
[1782.797] (S)若鶏の唐揚げ: umeYay
[1784.913] falcanon: こんばんはー。ハイタニのドラクエ４配信が終わったので来ました。
[1785.346] HandsTooGreat: BigPhish
[1797.581] wahaha7788: カゲじゃなくて最初から本田使ってたらどれくらいの強さになってただろう
[1800.116] とりあえずちさと: あんまりウメガイルがザンギに負けてるとこ見た記憶ないけどな
[1822.402] 記入漏れ: それ言ったらウメハラさんはガイル3強入るつってたぞい
[1846.072] hontouni1: ガイル3強はないでしょ。
[1849.761] amadori3: めくりに対空？
[1850.260] はとぽっぽ: 対戦おなしゃす
[1853.817] (S)cac_gwd: ベガ好調ですか？
[1865.965] HandsTooGreat: TOP 400!
[1868.834] (S)cac_gwd: リスナーさんか
[1870.514] booby_one: リスナーいたぁ
[1873.434] khoghas: お かっこいいチュンリー
[1874.781] だいこん_: お相手氏いたぁ！
[1878.309] niemalsaufgeben: こだわりを感じる
[1879.647] hamsterbird: daigo vega please yes uwuuuuu
[1881.138] wahaha7788: 鳩がよぉ
[1882.148] Unkunchi: 狙ってランクマはいれたらなあ
[1883.934] (S)cac_gwd: こんなコスあるのね
[1884.643] _こぺ_: なんだこのコス
[1887.107] monchan_man: たまんね
[1896.907] ノノノノノ: このコスいいねえ
[1897.711] petapetapettan: キャミィが着させられてそうなコスだ
[1900.010] wahaha7788: このコスええな
[1902.003] admjg23654: ウチの会社のヘッドセットは、社長がウメちゃん推しで全部HyperXのやつになった
[1902.969] 記入漏れ: トレーニングコスだよ
[1904.213] akiaki0612: 鳩飛んできた
[1915.041] うなっち: 百裂脚のときのケツいいな
[1916.838] 記入漏れ: なんのトレーニングだよ？はもう言われ尽くしてるよ
[1917.740] tabibitox: 春のコスは多すぎて全部把握できん
[1918.285] (S)udonsuki: 大ｐってヒット確認できるんだ
[1923.924] niboshidaiashi: ねーちゃんかと思ったら春麗だった件
[1925.947] monchan_man: ずっと欠いいよ
[1927.841] kurodaq: 躊躇えば負けよ
[1933.258] (S)flashbacks18: 素晴らしい会社
[1939.627] (S)shiro_risu01: 素敵な社長
[1944.824] hontouni1: 税金対策か？
[1949.039] tekka_cho: いい社長だな
[1950.504] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1953.248] はとぽっぽ: きつくね？
[1956.814] booby_one: へーーる
[1957.450] (S)cho_mu: へっる
[1958.416] akiaki0612: w
[1959.058] だいこん_: がんばれ
[1961.225] (S)latenight000: 火力の鬼
[1962.894] attosero: でもどぐらだったら悪い社長になるよ
[1963.856] Unkunchi: うちはダイソーのヘッドセット！！！
[1963.869] (S)cho_mu: きつくねわろた
[1964.849] らみはい: ストーム久保の動画で全コス見れるよ
[1965.484] HandsTooGreat: BigPhish
[1972.450] (S)miyako_t: はとさん頑張れw
[1974.058] (S)udonsuki: 大pが鬼門
[1974.108] kurodaq: がんばれ！
[1981.578] (S)cho_mu: がんばれ～～～～～～～
[1985.848] (S)cac_gwd: リモート会議対応でヘッドセットがまとめて必要になったって話なのかな
[1988.577] akiaki0612: タイピング早いな
[1992.033] wahaha7788: 自分の技にアルティメットってつけるの恥ずかしくない？
[2011.982] booby_one: 部下にハイレグ着させる男だし
[2017.017] tabibitox: コスといえば来週のメンテはEXコラボの第五弾かな？
[2019.929] Unkunchi: カプコン自体がダサくなってしまうけど
[2020.105] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2025.482] 記入漏れ: 実際紫のオーラで攻撃できるようになったら心境も違うんだろう
[2025.764] (S)udonsuki: ガードで-6ある
[2049.674] とりあえずちさと: 技に名前つけてる時点でみんなやばいよ
[2049.868] はとぽっぽ: 無理じゃね？
[2049.910] (S)ぼんじゅ: 殺意の波動とサイコパワーって設定的に同じなんだっけ
[2053.563] akiaki0612: リスナーいじめ
[2053.645] kurodaq: 俺も邪魔な奴にサイコアックスしたいもんな
[2055.052] booby_one: リスナーを破壊してゆく
[2055.949] amadori3: それ言ったら技名つけて口で言ってる所から恥ずかしいじゃん
[2056.971] 国府田: 大Pつよ
[2057.631] (S)伊能忠敬完全態: LUL
[2060.252] admjg23654: 経理「社長、テレワーク用にヘッドセット5つ必要になりました」社長「んじゃHyperXの5つ買っといて」
[2060.550] じょーじパンチ: ウメちゃんこんばんは
[2063.643] だいこん_: 仕方ないね♂
[2064.842] (S)kusare_gedou: 画面端に追い詰めてる時間長すぎｗ
[2069.919] wahaha7788: 鳩がとんでっちまう
[2072.050] highspeedwarakia2: 大Ｐガード－６Ｆだから多分百裂される
[2073.093] はとぽっぽ: 対ありでした！！！！！
[2077.670] hontouni1: 無理じゃね？
[2080.341] tabibitox: 鳩さんおつ～
[2084.151] (S)shiro_risu01: はとにぃおつー
[2094.574] (S)よるねこ族: えぇ
[2095.672] (S)ぼんじゅ: お疲れ様ー
[2096.435] (S)udonsuki: 先端かぁ
[2105.107] はとぽっぽ: 弱百裂からキャンすれば届く？
[2108.088] akiaki0612: ぺ
[2114.821] 記入漏れ: うるせぇ！どーすこーいっていいながら頭から飛んでくる力士がいるんだぞ！技名ぐらいなんだ！
[2120.414] highspeedwarakia2: なるほど移動ＥＸ百裂ビタだし先端はだめだなぁ
[2123.670] (S)cac_gwd: ウメハラさんに対策を考えさせるリスナーの鑑
[2152.022] (S)SeventyTwo_7: umeCatHope
[2152.853] るぅの: ベガバイソン🤔
[2159.879] (S)udonsuki: なんが
[2167.121] だいこん_: マジ？
[2171.718] niemalsaufgeben: ベガ様の攻撃だいたい強い
[2193.357] (S)latenight000: ベガはスト4から足の速さを失った代わりに火力を手に入れた
[2194.501] dtnhr: バイソン対バイソン
[2201.157] Unkunchi: なんでバイソンにはめくりないの？
[2202.862] るぅの: キツそう
[2205.541] 記入漏れ: 右側の強いボタンを押すと強い技が出る、ベガ使いの常識
[2210.711] toeictest_990: パンチの火力たっか
[2214.234] らみはい: 伝統と格式
[2216.629] dtnhr: ボクサーだからさ
[2217.637] とりあえずちさと: ボクシングにめくりはないからかな
[2235.043] (S)げーめし: タイソン対嶋田久作
[2241.314] (S)kusare_gedou: エド…
[2247.083] (S)latenight000: バイソンは歴代飛びが強い代わりにめくりが無いキャラだった、だけどスト5はなぜか飛びが普通でめくりだけ無いということになった
[2251.820] 記入漏れ: エドは普通にキックしちゃうしな
[2264.355] るぅの: ダッドリー･･･
[2266.297] tabibitox: 一応正面ヒットの裏に落ちる飛びはある模様
[2278.869] (S)ぼんじゅ: バイソン戦もガイルよりベガのほうが安定しそう
[2293.388] だいこん_: エドには"ボクシングの技術"を教えただけだから…
[2313.661] chung788: hi daigo
[2320.114] HandsTooGreat: BigPhish
[2333.681] らみはい: バイソンはエドにダッスト教えろ
[2339.616] akiaki0612: もうアルマスバイソンにもいけるんやなぁ
[2339.792] n0tmag: alfaFree
[2353.691] (S)ぼんじゅ: あっ、バイソン戦はファンでいいのか
[2359.858] wahaha7788: まちゃにいけるくらいだからな
[2374.330] Rector0675: Rector0675 subscribed with Prime. They've subscribed for 18 months! 
[2374.420] (M)Moobot: @RECTOR0675 with the 18 months re-sub! 
[2385.000] impulsarblast: knucklesfreak101 subscribed with Prime. 
[2385.150] (M)Moobot: @KNUCKLESFREAK101さんTwitch Prime登録ありがとうございます！
[2387.387] (S)miyako_t: バイソンには本田いけるぽい
[2388.834] Unkunchi: ためる方向性を間違えたエドのダッスト
[2407.069] yuhai666: ベガは3fあるの強いですね
[2419.072] らみはい: ジャブだけじゃ勝てねえよ…
[2449.662] admjg23654: あの世に自ら・・・
[2453.073] booby_one: その身で味わえ！かっこいい
[2454.027] hamsterbird: daigo!!!!!!!!!
[2457.106] shintaro_unknown: 質問ですカゲで5Fめくり昇龍出すとたまに昇龍でないときあるんですがこれって入力が遅いんですかね？
[2462.139] Fux7722: こんばんウメちゃん
[2462.623] (S)kusare_gedou: なに読みだったんだろ
[2463.262] bacchuskou: それでとどめさすの好きだよねｗ
[2467.742] kourosho: hahahaha
[2468.452] るぅの: 刺身で味わえ 
[2471.272] ゴウシ: ありがとぉ
[2472.547] amamgumo_: 初見！やっぱり強すぎぃ…
[2473.744] ememeume: ememeume subscribed with Prime. They've subscribed for 25 months! ウメハラさんーーー 
[2474.097] (M)Moobot: @EMEMEUMEさん、25ヶ月目のサブスク登録更新！ありがとうございます！
[2478.745] MagicAlonso1: Kappa
[2485.848] Sgt_Pincell: HeyGuys
[2489.843] (S)impulsarblast: No problem! Sorry my name is so hard to pronounce.
[2492.208] CameronKujo: Dictator daigo? Good grief
[2506.407] sinkirou: umeLaugh
[2507.955] ememeume: BegWan
[2508.711] L1RAMON: LIRAMON subscribed with Prime. 
[2508.908] (M)Moobot: @LIRAMONさんTwitch Prime登録ありがとうございます！
[2518.206] pochichan11: umeSmoosh
[2522.129] kurodaq: 外人ニキ優し
[2526.960] perfecttakahashi: なんかウメさんのトレーニングBGM早くないですか？
[2527.683] twilightforme: daigo-san
[2528.104] ~MISSING_COMMENTER_INFO~: Daugo
[2530.542] une3333: EXヘッドプレスからサイコテイルってできるのかしら
[2531.472] PureGifted: Hey Daigo
[2531.783] (S)shiro_risu01: umeCatHope
[2537.427] shintaro_unknown: ありがとうございます
[2550.902] ホナウド: ウメイングリッシュ
[2555.434] booby_one: "発音難しくて、ごめーーーーん"
[2556.461] (S)L1RAMON: lets go XD Daigo!!!!!
[2558.085] らみはい: 読めなくて逆に謝ってくる海外ニキ好き
[2595.023] (S)smith0920: こんばんはー
[2620.205] CameronKujo: I am sad today
[2638.820] Fux7722: I LOVEダイゴ
[2669.092] らみはい: EXニーなら拾いやすい
[2671.446] une3333: ノーゲージでもこの圧！
[2683.393] るぅの: umeSnooze
[2689.778] 木漏れ日和: 金髪ベガ違和感すごい
[2698.673] CameronKujo: Good stuff! Is dictator the new character?
[2702.626] kourosho: daigo-san is the best
[2706.482] twilightforme: BatChest
[2719.313] すかんぽ: いまさらだがニーはどこがニーなんだ
[2732.696] らみはい: 相手のニーを潰すからニープレス
[2735.138] twilightforme: daigo-san is the best
[2746.840] 国府田: これベガじゃなくてジェネラルだろ
[2748.942] Fux7722: なるほどー
[2753.063] kaigaizei: ヘッドプレスも相手の頭踏んでるしな
[2758.375] big_of_ben: 確かに
[2759.441] すかんぽ: あれ一応膝ねらってるのか...
[2779.723] Fux7722: これってトリビアになりませんか？
[2780.569] (S)miyako_t: 初日ジュリキツいって言ってたけど今そうでもない？
[2790.548] (S)kusare_gedou: 敗北を知りたいベガ
[2794.753] じょーじパンチ: ベガのランク位置ってどれくらいだろう？
[2816.743] dai920: ウメちゃんが使うとどいつも強キャラに見える…
[2834.220] れいんぼーう: rainbow_kamei subscribed with Prime. They've subscribed for 8 months, currently on a 2 month streak! 
[2834.346] (M)Moobot: Thanks for subbing for 8 months, @RAINBOW_KAMEI 
[2844.073] らみはい: 無敵なくてvリバ短いからトリガー硬めはやだなあ
[2848.103] bacchuskou: トリガーじゃないとコマ投げないし歩き遅いし本田の下位互換じゃね
[2850.855] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[2852.034] (S)kusare_gedou: トリガーⅠ中ならexヘッドプレス入った気が
[2853.623] 木漏れ日和: ベガってAランクとかじゃなかったっけ
[2858.017] (S)lllstripesllll: 2ヒトボー ありますか？
[2862.121] 13th_arcadia: こんばんは、ウメちゃん
[2886.041] (S)ogachan001: ogachan001 subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! 
[2886.212] (M)Moobot: Thanks for subbing for 2 months, @OGACHAN001 
[2899.334] booby_one: レバーレスで空対空精度が上がったベガはキャラランク上がりそう
[2929.322] (S)よるねこ族: 剣きついね
[2929.455] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2934.760] bacchuskou: EXヘップレ？
[2937.975] une3333: スキル？
[2942.017] tabibitox: ｖスキル？
[2946.582] booby_one: アプデきてくれー
[2952.286] tekkotz: Vスキルまにあうかな？？
[2960.552] ~MISSING_COMMENTER_INFO~: 素直に立ちガード
[2970.778] らみはい: バックジャンプ対空？
[2975.436] (S)HirocoT: 2つヒトボ持ってますか？って意味なんですかね
[2982.585] rukialove: ウメさんって、KOFやってました？
[2983.542] laorao0: 立ちガードが良さそう
