[2386.194] (S)yousei_sunstar: お～w
[2387.832] patukisan: ブロムン結構改善されたんだけどね・・・
[2430.803] alligator_057: ランクはエッジキンキャニオリンパスだけでええ
[2440.585] suntedda: ゆきおの配信は義務ですか？
[2440.885] swingbyblackhole: コントローラーの操作音すき
[2445.283] 電気マツモト: ｗｗｗｗ
[2448.661] ちょび_: セーフ
[2457.654] 柊悠ト: カチカチ
[2493.506] kusastu: 4、56
[2494.357] patukisan: なんか見えてそうな撃ち方だな相手・・・
[2518.063] yukio_yamanaka: !controller
[2534.522] OldSydn3y: 456KIDSさすが競技出てるだけはあるな
[2541.492] yukio_yamanaka: !device
[2553.114] yukio_yamanaka: 悲しい
[2561.112] swingbyblackhole: !pad
[2590.507] ikuikusumomon: !commands
[2590.634] (M)Nightbot: @ikuikusumomon -> The bot commands for this channel are available at https://nightbot.tv/t/vodkavdk/commands
[2603.168] 96nowa: wwww
[2607.474] tukiusagi96: このマップまじでクソだと思う
[2613.067] 焼きプリンタルト: 平和な日常
[2620.447] swingbyblackhole: 流石にな
[2631.714] showwhatman: 雑談まったなし
[2637.181] patukisan: 迷子ｗｗ
[2638.468] sakityosu: ここ迷子になる
[2642.908] (S)匿名チャン: そこまじで迷子なる
[2664.519] swingbyblackhole: まずい
[2672.719] むらのです: 神
[2676.305] 96nowa: あぶねｗ
[2676.522] ssssssssszx: 髪
[2696.056] pimpompampun: え？
[2699.573] きなこ餅ぃ: ？
[2707.460] alligator_057: ハボックって特に強化されてないのに何で最近流行ってるの
[2721.995] (S)yousei_sunstar: じ、ー
[2722.192] おサムライマック: なんでおんねん
[2732.221] (S)kazaha_zazazaxf: ソロ？
[2734.021] rice18amoreman: ドローン
[2734.903] pimpompampun: ハイドｗｗｗ
[2736.357] jarry__boy: 他が弱くなったから
[2738.917] ornalds: @alligator_057 ほかの武器が弱くなりすぎたから
[2738.998] fukausa: まあローバ見たらそうなるな…
[2742.062] マロリー: 味方いないし、ソロじゃね？
[2748.704] atmpdmjaaw0123: 頑張って
[2754.138] alligator_057: @ornalds なるほど相対的に強くなったのか
[2757.817] yamiiiiro: このゲームプラチナすらもキーマウ絶滅した？
[2761.672] showwhatman: ドローンぽちぽちしてれば気付けたけど、まだ慣れない
[2761.714] psyduck_cu: ｗｗｗｗ
[2770.515] patukisan: 誰かが使い始めて 早かった感じあるよねハボック
[2782.686] komomo_beans: 耐えたけども
[2795.693] haatsuz: カラス？
[2795.845] sakityosu: ヒートシールドか？
[2800.861] 526664: ブラハも迷子
[2801.721] mdo09: 見えるか？
[2803.896] ツバキ28: 途中スキャンされてたよな
[2804.131] ikuikusumomon: !yue
