[2121.251] godiva_matsui: ウメさんかなり痩せてね? 顔が細くなったわ
[2122.560] 吉田じんぎ: 酒2じゃないとないよ
[2125.328] (S)tankbba146: ウメちゃん髪切るって言ってなかった？そういえば
[2138.642] hairi0610: ちゃんうめー
[2140.109] pondenring0930: ネモさん程のザンギ使い(使ってない)になるとウメザンギはどう見えるんだろうか
[2145.878] blackcoffee0821: 波動K
[2146.196] (S)箸くれ: のんでぇ
[2163.192] shellfish55: これ
[2166.066] tabibitox: まぁまぁ遠め
[2168.721] nanakusan793: 最近のウメちゃんは作画安定してる
[2169.508] (S)日本語かな: キャラ固有設定でも酔いレベルできるよ
[2173.970] 吉田じんぎ: キャラクターのなんとかってやつで常に酒2とか強化無限とか設定できるよ
[2182.418] あり0221: 先端だと確定反怪しいんじゃなかったっけ
[2215.905] 吉田じんぎ: でも実際それガードするのODが多そう
[2216.827] esutark: ネモさんにとってウメちゃんのザンギよりウメちゃんの影響力でザンギ人口が増えることが脅威
[2230.373] あり0221: スト6のトレモファジー系も全部設定できるの優秀すぎる
[2252.591] shellfish55: ジェイミーあるある 弾抜けばっかい昇竜に化ける
[2256.316] jankboxtt: ウメちゃんYouTubeのスパチャで質問あったよ
[2259.884] gajpmwtdpw: 10年前のウメちゃんの作画担当はどこ行ったんやろうな...
[2297.556] 吉田じんぎ: こういうの反撃確定の技はは強度で違い付けずに統一しとけよなーって思う
[2302.550] pondenring0930: ないすぱぁ
[2331.083] (S)箸くれ: 管理者はどっかから見れるはずだけど
[2331.215] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2335.266] (S)箸くれ: とりあえずキンバリー
[2337.351] shellfish55: 同時配信きちーな
[2346.645] jankboxtt: 目の病気で
[2346.868] 吉田じんぎ: 管理者ってメンおじ以外におるんか？
[2372.772] オルコッ党員: 質問いいですか？目の病気になってからスト６数日に一時間くらいしか触れてないです。それでもあぁ、このタイプのキャラねと過去の経験からマスターまでは上がったのですが言うて限界です。梅ちゃんなら少ししか時間とれないとなったらどういう努力しますか？
[2375.612] オルコッ党員: と着てました
[2382.953] bec118_japan: 目の病気で少ししかゲーム出来ません。ウメハラさんならどういう努力をしますか？って内容
[2390.355] (S)箸くれ: 有能文字
[2392.463] bec118_japan: あ、書いてくれてた
[2421.609] 吉田じんぎ: 前ラジオでゲームしてない時間もゲームのことばっか考えるって誰か言ってたな
[2436.715] market_fujisaki: マシュマロ入りそうな質問
[2460.113] shellfish55: マシュマロで聞きなーってかんじだな
[2470.463] blackcoffee0821: うめはらじお
[2476.146] ぼむむ: マシュマロやらねーじゃん
[2477.232] まるいとうふ: ウメ散歩
[2482.624] (S)箸くれ: まぁマシュマロ不定期だから
[2494.581] bec118_japan: いつ聞いてもええんやで
[2495.157] すいそう: 全部回答してくれるわけじゃないしね
