[1198.793] (S)EMA__chan: いや、差す
[1217.904] (M)(S)まめスパ: 選挙結果はどぐら配信にて発表したいという思いから6/2夜になりそうです
[1223.455] ハトパン: いつもまめスパさん隣に居るけど同棲なんです？
[1226.053] (S)nasu5217: 宇宙はここにあったのか
[1237.740] (S)shi_a__: 楽しみ、まめスパさんいつもありがとー
[1238.367] kanameape: 配信発表まじか！
[1242.686] 小野さん: どぐらさん、アンプレとクロスワイズ出す癖治りませんどうしたらいいですか
[1245.767] (M)墾田永年私財砲: うおおお
[1251.899] (S)ボロ雑巾クサ男: まめスパいつもありがとう
[1252.837] showwhatman: まめスパとはどんぐりと格ゲーでしか繋がってない関係
[1262.276] ぐーすか: まめスパは監禁されてるらしい
[1262.517] (S)masamasa_19: うおおお
[1282.982] ゼロコーラとオノノクス: ガトリングマッパファジーで投げ入れる感じなのかな Kステが択になる？
[1290.288] ハトパン: どんぐりで働かせて監禁なんですね どぐらさん見損ないました
[1301.646] ぷーむん: 投げ擦りしてたら一生カウンターして死んだなぁ
[1342.698] tosihumi777: ほえー
[1343.040] APOLLO_888_: 気になるのでお聞きしたいのですが、スト6ではフレームを公式が出してますが(サイトでもトレモのフレームメーターでも)、ggstでは出さない理由って何かあるのでしょうか？(単純に理由なく出てないだけでしょうか？)
[1346.672] (S)鉄板: ハンマーカウンターからのコンボどんなんだろ
[1359.881] モドキ: つまりまめスパさんのパワハラ上司が総選挙1位って、コト？！
[1372.458] ゼロコーラとオノノクス: なんか昔のギルティっぽい
[1377.682] になぽ: ギルティギアってかんちょーする人いるゲームだっけ？
[1379.202] (S)港区ザンギエフ: クソキャラ列伝1位、どぐら
[1391.583] (S)鉄板: エリアル行くのが安定か
[1393.603] ゼロコーラとオノノクス: かっけえええ
[1395.460] tosihumi777: おお！
[1401.958] 夏猫ソル: 空中Sコンボ行けるんですねｗ
[1405.410] (S)港区ザンギエフ: その通り カンチョーする人がいるゲームです
[1406.281] (M)墾田永年私財砲: 今作では脛を痛打する人になってます
[1423.058] konaoh: ハンマーカウンターからは2S>Kパイルが裏当てできますよ！
[1424.048] nyanzer3839: 近S溜めダストいけます
[1425.785] supermonkeytm: ディレイ２SからKパイル裏当ていけません？
[1430.068] になぽ: ありがとうございます！もうかんちょーじゃないんですね買ってみます
[1442.067] 狭間そら: 裏当てKパイルがクソ強いと噂のスレイヤーだ
[1444.955] (S)港区ザンギエフ: 刺激的絶命拳
[1454.860] モドキ: ギルティ2も気になってるんだよなぁ
[1464.360] supermonkeytm: かっこいい
[1466.444] BuchikamaSoon: エキシビジョンが最初？
[1467.798] margarita_217: へるな～
[1471.425] showwhatman: ウメハラが画面端してウメハラが決めるのがギルティギアです
[1471.934] ゼロコーラとオノノクス: 技多めに入ってても落とさなそう
[1493.913] (S)鉄板: どっからでもパイル裏当ていけるなこのキャラ
[1497.082] kanameape: フレーム明記するとガチゲーになりやすいから出さないゲームも有る
[1505.470] nyanzer3839: スレイヤーでちょっと戻ってきてくれて嬉しいです！
[1507.181] ぷーむん: 今夜勝ちたいハンマー表裏
[1508.365] (S)いわたん_: こんばんは どうでもいいけどもっちーさんもデフォカラーなんかな
[1514.488] (S)港区ザンギエフ: 刺激的絶命拳で調べたら『どぐら 刺激的絶命拳』って動画出たんですけど 喰らったことあるんですか？
[1522.035] showwhatman: あ
[1529.526] ゼロコーラとオノノクス: 割パイルできるんだ
[1534.734] kinnmugi: 見た目えぐいこのコンボｗ
[1547.574] (S)鉄板: パイル裏当て出来るといてぇんだ
[1547.587] になぽ: このゲームコンボかっこいい
[1558.514] (M)墾田永年私財砲:  刺激的絶命  #どぐらーと  https://x.com/KatsudonNeet/status/1701975329269600737
[1559.802] APOLLO_888_: 意図的にフレームを公式が出さないってこともあるんですね。勉強になります。
[1569.110] otddd: ギルティはストよりもフレームガチガチじゃない。有利不利だけ覚えればなんとかなる
[1594.864] ブランドール: 攻撃エフェクトめっちゃかっこいい
[1604.352] (S)港区ザンギエフ: あんまぁ〜〜〜〜〜！
[1618.305] 夏猫ソル: 簡単なコンボでも火力出るの強い
[1627.820] juki_gb0122: どぐらさん、スレイヤーだいぶ楽しんでますね〜
[1628.505] kanameape: どちらにしろフレーム調べるんだけどな
[1637.597] 鬼刑部田中: どぐらさんのスレイヤーがまた見れて僕は嬉しい
[1646.426] kinnmugi: 今作カメラがゴリゴリ動くのが気になって手だしてないけどこう見たら面白そうなんだよなあ
[1650.755] tarakon_bu: ダンディ…
[1652.535] BuchikamaSoon: そこまでガチな大会じゃないとは言えみんな勝ってほしいな…
[1663.653] nyanzer3839: 吸血ロマキャンでユニバース出来るの宇宙
[1667.589] mitsuo157: 遠Sブンブン辛いっす
[1674.292] whiteface811: 吸血から2sだと昇竜すかせたりしますけどミラーのエキシビションだけでしたっけ
[1686.787] たつふみ: イベント楽しみ！
[1690.898] ぷーむん: ピン留めされてるように只今セール中なので始めるなら今！
[1694.708] _霧切_: 本当の意味であっ！ギルティギア！ってなってほしいね
[1703.654] konaoh: 2HSは腰から下全部無敵なんだっけw
[1707.888] tarakon_bu: どんな攻撃からでもロマキャン使えば当たるからおもろいよね
[1709.321] juki_gb0122: 2HSの判定画像見ました？
[1715.458] (S)鉄板: 2HSカウンターからもPステ近S２SKパイルで裏当て行ったほうが高くないっすか？
[1737.887] Dev9ru: 想像以上にでかいのね
[1758.084] ぬーーん: たっか
[1763.726] ぷーむん: 裏当てオタクコンボ～
[1764.872] tobias0930: へるう
[1766.701] kubotaros: これはUNIVERSE
[1767.348] mitsuo157: へーる
[1768.682] (S)鉄板: 激痛～
[1772.932] showwhatman: 割れる～
[1783.278] supermonkeytm: 減りすぎ
[1785.070] kinnmugi: 〇〇食らっただけなのにが通用しないゲーム
[1788.523] ぷーむん: オタクコンボ満載でやり込み要素たくさんじゃんねぇ
[1796.488] juki_gb0122: これ見るたびに思うけどパイル裏当てって開発知ってるんかな？
[1806.127] juno0220: 判定画像系は出所不明の謎の画像を鵜呑みにしてあれこれ言うわけにもいかんのよ 妻子が居るんや
[1806.261] 夏猫ソル: 裏パイルかっけぇ
[1807.726] konaoh: 流石に意図的そう
[1807.901] showwhatman: 冗談ですやん～が通用しない
[1811.283] ぷーむん: さすがに想定してそう
[1818.476] no_potechi14: トレモではつながってるのに、実戦だと途切れてしまうコンボって どういう理屈なんでしょうか？
[1826.829] ゼロコーラとオノノクス: そんなにレアな状況じゃないし分かってやってる感じは
[1831.765] riff_junker: 結構簡単になるし流石に想定っぽい
