[99.679] (S)suto1368: suto1368 subscribed at Tier 1. They've subscribed for 2 months! 
[101.331] (S)bubu_0830: よろーーー
[105.710] (S)yuinfj: こん！
[107.808] (S)moteamotea: ちょうど昨日の切り抜き観てたわ〜
[108.026] (S)りつそら: こんー
[108.793] (S)rnimi_2: こんばん〜！
[108.945] kikuosan: ヴァロふぁいつ
[108.997] dada_sama_: MRG終わるまでこの画面やで〜〜
[109.209] (S)aixxx35: え、めちゃ嬉しい
[109.447] (S)mmaikool: 芋！芋！芋！
[110.325] (S)yuuuuuww: hiirag17Fight
[110.387] (S)fmcgj: 最高かよ
[110.741] ~MISSING_COMMENTER_INFO~: 欲張りセット
[111.744] (S)peli_mamimumeme: こんちゃー
[114.444] (S)ejii3_: hiirag17Fight
[119.074] (S)baaaaayan: hiirag17Fight
[119.764] (S)ドリアン_: 早く投票させてくれーーー
[120.992] (S)左久良深琴: 昨日のアーカイブ見てたら( *ˊᵕˋ*)σﾂﾝﾂﾝつーくん
[121.825] (S)おねせ: ninzinYaho
[122.416] (S)ruga02: MRGWIN
[123.110] (S)popopo_niinoo: 今切り抜き観てる途中よー！
[123.327] (S)aina040_: きたぁー！
[126.677] (S)keisuke0622: keisuke0622 subscribed with Prime. They've subscribed for 2 months, currently on a 2 month streak! 
[128.898] (S)takec1230: 今日の動画おもろすぎて笑い止まらんwwww
[136.440] kikuosan: 賭けやるのかーい
[136.501] (S)てん_10_: ヴァロ 
[138.685] (S)aki__59: こんばんは！
[146.727] hukase3: ヴァロすと6最高か！！
[151.532] (S)kingyo122: こんー
[152.696] 魚たく: ムラゲうぃ？
[155.633] (S)e_su_kun: うい〜
[156.708] (S)raamen014: MRGWIN！
[158.844] chamilk_: わこつ
[165.363] (S)メガあめふらし: hiirag17Fight
[171.135] (S)kuroomutu: MRGwin
[172.506] (S)nanonanoo2: すまん、純いくわ
[174.001] (S)mairudo74: 見てるなw
[184.188] (S)えるむえるむ: おじゃましまーす·͜·
[187.409] (S)kuroomutu: すまん、純おわったら来るわ
[189.128] (S)mei0403aaa: mei0403aaa subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! わーい
[189.857] ~MISSING_COMMENTER_INFO~: ういー
[190.434] (S)ai_xxx_: こんばんはー
[191.245] (S)08ryyyyy: hiirag17Nice
[192.124] (S)aixxx35: こん〜！！！
[192.341] (S)fmcgj: きた
[193.278] (S)raamen014: 複窓しろや 
[193.669] (S)左久良深琴: ⸜(> <⑉))⸝ｷｬｯ♡
[197.255] kikuosan: こんばんわー
[197.985] (S)左久良深琴: きちゃ
[198.433] (S)イヌマツ: VALOあつい！！
[198.598] (S)sansansan0: こんー
[198.882] (S)ゆこゆ: あっつ
[198.921] (S)mairudo74: こんばん
[200.275] (S)noin2277: ういーー
[200.576] (S)るぁ__: わーい
[200.797] (S)chinogorou: お願いしまーす！
[200.820] chiepu: やたー！
[201.375] (S)yoko881: こんばんはー
[201.664] (S)moteamotea: うぃ〜
[201.845] (S)bubu_0830: よろーーーーー
[202.344] (S)naanana__2: こんー
[202.616] (S)zuu_mg: やったー
[202.763] goddgggvrrtgyt: こん
[202.866] (S)canny_0617: やったー！
[202.960] jikka00: がんばー
[203.158] (S)てん_10_: hiirag17Fight
[203.258] (S)08ryyyyy: あちー
[203.470] ~MISSING_COMMENTER_INFO~: ムラゲ応援してたわ
[204.320] (S)upajirou_yo: GoatEmotey
[204.637] (S)minminmint0: hiirag17Fight
[204.965] (S)jin_gai: ヴァロ！
[205.211] (S)gyunyuma: やほ
[206.312] (S)hotatechang55: うれしー
[206.416] (S)bubu_0830: おなしゃすーーー
[206.504] (S)raamen014: よぉ
[207.105] (S)yvrq_: やったー！！！
[207.192] しゅん7777: DinoDance
[207.352] (S)aixxx35: やった〜！
[208.048] (S)nemuou: 珍しい
[208.165] (S)ニャンニャンこ: hiirag17Fight
[208.202] (S)わいへいち: おねしゃす！
[208.268] (S)natsuk126: うい！
[208.456] (S)mei_chan8: コンコン
[211.766] (S)jin_gai: hiirag17Fight
[213.217] (S)me_me_____: やったぜ
[213.587] (S)ゆーちゃん88: hiirag17Fight
[214.542] (S)laststraw_ak: イモはよいけ
[214.656] fuu5353: ふぁいと～！！
[214.712] (S)odekocyan: GoldPLZ
[215.644] kikuosan: ふぁいつ
[215.749] (S)usaharasyu: ムラゲみた？
[216.408] (S)琥太郎です: ばわー
[216.856] (S)左久良深琴: よろしく！おねがい！します
[217.063] (S)zatogura: これで仕事頑張れる
[217.987] (S)nanayaku777: hiirag17Fight
[219.373] horiuchi1000: いいねー！
[219.843] (S)にゃんちゅーーー: 月曜配信珍しい
[220.745] (S)クキ91: がんばれ！
[220.915] (S)aixxx35: 配信嬉しすぎ
[221.167] (S)fig_0106: 最高〜
[221.649] (S)popopo_niinoo: わーい！
[222.047] (S)nemuou: 勝ちにベットしますぅ
[223.140] (S)e_noje: ヴァロ！スト6！アチィラインナップだねぇ
[223.572] (S)gyunyuma: いいねー
[224.140] (S)shinsan_yamt: shinsan_yamt subscribed with Prime. They've subscribed for 3 months, currently on a 3 month streak! こんばんわー
[224.236] (S)penguinconcier: ばろいいねぇ！
[225.811] (S)pinotare: 月曜日珍しい
[227.416] (S)rnimi_2: うれしすぎ
[227.567] (S)08ryyyyy: やろ！
[227.629] (S)tiga2016: 月曜配信感謝
[229.654] (S)bubu_0830: フルパやった以来？
[234.366] (S)kojika_1: ヴァロきたー！
[235.515] (S)オッチャン55: やったあああ
[238.683] (S)しぐまままま: TwitchConHYPE
[239.080] (S)左久良深琴: (o⚑'▽')o⚑*ﾟﾌﾚｰﾌﾚｰつーくん
[243.285] かたあめ: こん！
[245.534] (S)popopo_niinoo: わい出来んけど見るの好きなだけ笑
[245.717] (S)me_me_____: 部活
[246.530] (S)aixxx35: ヴァロ本気だよねw
[246.727] kinonoko020: バロきちゃ
[250.430] (S)08ryyyyy: たのしみ
[251.228] (S)uesgi_san: イモってAPEXでいうとランクどのへんなんですか？
[253.286] (S)dora218: こん
[253.428] (S)gilebish: 本気ヴァロ
[253.914] flufmmr: 感度は0.37に落ち着きました？
[255.039] (S)krg_qi: こん！！
[256.977] yamatin3141592: ポイント表記バグってるらしい！
[260.088] (S)chinogorou: fps間あくと感覚がね
[260.278] 魚たく: スト6したらヴァロ弱くなる説覆してみて
