[165.217] (S)gyu_nyuu_pann: いいやつだ
[165.320] tsukikage_saga: ８００円ｗ
[165.348] ちぇんぷる: かっちょえ
[165.397] inkgran: ｗｗｗｗ
[165.578] v_harumi_v: ぴゃああああ
[165.590] fez_geburand: まじかよ
[165.818] (S)yoyo_443: かっけえ
[165.849] べーこん118: えぇ！！ｗ ウメちゃんがベースを！？ｗ
[166.333] gumi69: 王ノベース135万
[166.341] 遼は肉が好き: かっこいい😎
[166.358] ddsato316: 135万うおおおおおおおおお
[166.371] (S)FilthyOjiChan: www
[166.668] (S)ketsu_debris: めっちゃいいwww
[166.829] mukimukipanda: 猫に小判ww
[166.959] (S)Nepter105b: かっこいい
[167.235] はやーい: ワイプ大きくできますか
[167.287] (S)ヨコグシ: wwwwwwww
[167.342] makebuta: WutFace
[167.703] ~MISSING_COMMENTER_INFO~: やばすぎぃ
[167.713] おつかひ: すっご
[167.749] (S)乃璃枝: 風邪治ったみたいで良かった😀
[167.817] reobochi: たっか
[167.827] ~MISSING_COMMENTER_INFO~: ！？
[167.956] TUBE_MAN: 買ったのかよ
[168.395] いがぐりころころ: たか
[168.756] (S)super_fluo: うおおおおおおおおおおおお
[169.632] cafe_gondo: ひゃ…135万800円…
[169.740] じゃっｶﾙ: たっけえええええ
[169.825] (S)aransia0624: はい？w
[169.873] mako6912: 3桁！
[169.875] (S)メトロシティの研究者: かっけええ
[169.896] シガツ: くそかっこいい
[169.905] (S)gyu_nyuu_pann: wwwwwwww
[169.946] 将門ゴルゴロ: かっけー
[170.055] valhalla5555: ベースでケンを使うか
[170.187] m_k_style: ワイプ大きくして
[170.418] rt340: 135万！うおおおおおw
[170.742] (S)kropt96: えーーー！！
[171.086] umao210: 似合うよ！
[171.365] (S)ババシャツ: 800円w
[171.604] vent1989: wwwwwwww
[171.977] yutorinX: カメラ大きくしてくれ～
[172.649] (S)fahmy0825: Or Daigo trying to rock? lmao
[172.652] 吉田じんぎ: 800円はまけろ
[173.134] Regnqva: かっけえサンバースト！
[173.145] itameae: KomodoHype
[173.446] sevenstars22: たっか
[173.488] (S)maya_g01: とんで800円ｗ
[173.700] アザミノ: はっぴゃくえん
[173.978] umimiuumi: 高っ
[174.843] beehive3: カメラ大きくして
[175.373] tora6666: かっこいい
[176.009] afuring: 持ち方からｗ
[178.311] いがぐりころころ: アケコン何個分ですか？
[179.347] momochan6: めちゃくちゃたけえｗｗ
[180.110] (S)園___: 800円値切れただろ
[180.210] gtinferno666: daigo bassist, wow
[180.735] kiichang: で？
[181.310] oishinbouya: メーカーどこ？ Fender?
[181.535] (S)gyu_nyuu_pann: 初心者が買うやつじゃないんよ…ww
[183.584] kiraku08: かっこいいーー
[185.662] (S)mm2351: 135万で昇竜の練習きたああああああああ
[188.163] pani8212: ワイプでかくしないか
[189.090] のら村長: ww
[189.156] mukimukipanda: プロでもなかなか買わんレベルw
[189.324] 無心に: ダイゴ ザ ベーシスト！
[189.894] redbull_daisuki: eitanoMajide
[190.534] akittyan: バンドやるの？
[191.232] (S)すれいまん: 10万円ですらかなりいいやつなのに
[193.650] (S)right_8: 早速、ケンのテーマでも
[193.782] (S)kropt96: 指のトレーニングも兼ねてるのかな
[194.139] (S)ババシャツ: 現金一括っす
[194.175] (S)gyu_nyuu_pann: おもむろにね
[198.000] tsukikage_saga: どう？
[198.869] 遼は肉が好き: ワイプ小っさwww
[198.915] mako6912: ワイプ大きくしてくれー
[198.986] v_harumi_v: せっかくなので大きい画面でみたいですー
[199.791] ぷれもるのみたろう: ストラップ買ったんだろうか
[201.301] (S)mm2351: 薬指のトレーニングらしい
[201.588] アザミノ: 車じゃん
[202.312] junpei_11: 135万昇竜
[202.381] ﾙﾌ: ミートさんストローほしいっす
[202.588] burupapu: 若大将
[203.482] (S)てべす1103: まさかベースでスト6を！？
[205.198] (S)ババシャツ: ww
[205.943] tsukikage_saga: １３５万って感じする？
[206.159] (S)gyu_nyuu_pann: 職業金持ちすげーーー
[206.338] umao210: いいねー
[207.668] gtinferno666: SLAP NOW
[208.811] ちぇんぷる: 左手のトレーニング兼ねてるって言ってたよ
[208.913] takahashiseigi: トパチャン優勝賞金の、約半分以上の価格か
[209.135] hamukanade: ワイプおね
[209.554] radi38: いいなぁ
[209.608] rt340: 135万昇竜ワロタ
[209.921] TUBE_MAN: カメラ大きくしてええええええ
[210.137] 将門ゴルゴロ: まだアンプが繋がってないんだっけ？
[212.184] umimiuumi: すごー
[213.612] (S)血塗られたトマト: うめちゃん、ベースにあう！！
[216.168] v_harumi_v: 大きい画面でみして
[217.451] ikemaru421: ワイプ大きくして
[218.261] (S)メトロシティの研究者: ベース型コントローラーです
[218.951] (S)right_8: まさか新しいスト6のデバイス？？
[219.269] tsukikage_saga: へええええ
[219.763] ﾙﾌ: ミートさんストローもってきました？
[219.815] chin_56_: ｳﾞｨｰﾝ
[220.026] (S)gyu_nyuu_pann: スラップできるようになろう
[220.922] hirolink9604: いきなりマスタービルダーとか王過ぎるw
[222.319] tsukikage_saga: ブイーン
[223.903] (S)gorogorogorn: ウメハラ塾か？
[224.125] (S)~MISSING_COMMENTER_INFO~: 人間ベースｗ
[225.046] (S)manamolike: 13万5千円でも良いベース買えるからな
[225.300] ちぇんぷる: ワイプでかくしてえ
[226.663] (S)thmelagi: そりゃそうよｗ
[227.113] (S)~MISSING_COMMENTER_INFO~: ベースはｒ
[228.023] りょう太: マーシャルも買ってきて
[228.146] シガツ: ヴぃーん
[228.586] sh1zuku716: ブイーン
[228.944] k4sugano: ウメアンプ
[229.865] (S)You_nari: べーす！？
[229.954] patchoui_ch: ベースきちゃぁああ
[231.779] (S)gyu_nyuu_pann: それはそう
[232.575] (S)aransia0624: どういう経緯でベースを購入されたのですか？
[233.273] cafe_gondo: ウメちゃん凄いなあ
[233.393] TUBE_MAN: そうじゃないｗｗｗ
[233.756] valhalla5555: ウメハラ持ち開発しよう
[236.188] (S)血塗られたトマト: おー
[236.704] (S)mm2351: おけ
[238.321] v_harumi_v: ありがとーー
[239.484] 憂う者の弟子: たけし、がんばれ
[239.632] TUBE_MAN: OK
[239.923] burupapu: あー
[240.045] (S)maya_g01: 画面ありがと～
[240.710] mako6912: うおお！
[241.657] icyblue1985: ッケイ
[241.880] sh1zuku716: 課題曲教えてくれー
[241.916] Regnqva: ウメちゃん弾きたい曲は？！
[242.141] jacknohimatubusi: 上手くなってどこで拾うするんだ…
[243.608] foo_twitch: 懐かしいウメキャット
[244.388] chin_56_: プロだああああ
[244.427] (S)てべす1103: かっけえ！！
[244.535] (S)hoemin247: きたああああ
[244.559] (S)血塗られたトマト: 似合う
[244.611] のら村長: おおお
[245.859] ちぇんぷる: やった」
[245.876] アザミノ: ねーこ
[245.890] junpei_11: これで昇竜出るようになったら楽器流行るな
[246.429] oishinbouya: 下の方までみせて
[248.417] icyblue1985: 猫ソニック
[248.705] TUBE_MAN: 立とうか
[249.253] _ピート_: いそう
[249.377] v_harumi_v: 映んないですね
[250.314] myodent21: なんかうまそうw
[250.388] (S)mart_00_: 笑顔のミート
[250.635] tsukikage_saga: ミートさんうつってる
[250.655] mike39cc: うまそう
[251.410] (S)thmelagi: ミートさんこっちむいてー！
[251.892] 遼は肉が好き: きちゃぁ❤️
[252.191] (S)gyu_nyuu_pann: 弾いてみたい曲とかある？
[252.708] (S)manamolike: ケンのBGM弾きなよ。ベースカッコイイから
[253.007] somnusuwu: henlo Daigo
[254.332] mukimukipanda: ストラップある？
[254.404] もきち555: まさかのベース習うｗ
[254.440] gtinferno666: umeGrin
[255.770] シガツ: 立ったら見えるかな
[256.960] v_harumi_v: 立ってみて
[257.857] astro5dasher: 練習曲何するの？
[257.876] matsu_zalem: だんご氏もいるの
[259.152] (S)You_nari: 指を動くようにするってこと？
[259.454] 将門ゴルゴロ: ウメちゃんがちょっと下がるとか
[261.225] sh1zuku716: カメラ引いて
