[1528.257] (S)yacha17: オレンジの靴🍊
[1531.134] 辛めのジョニィ: オレンジの靴
[1576.750] 倉内: ベネズエラ3部でプレイしてそうな見た目だねボド
[1580.840] べりべりべり: !member
[1580.960] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[1583.006] akatoash: これオフサイドなし？
[1597.652] bonheihe: スパイクでVDKって分かるの神やな
[1599.335] 世界ノ前田: ３人スルーでじわる
[1618.821] mashasi1015: マザーさんわかりやすっw
[1639.033] akatoash: なるほど
[1648.294] 辛めのジョニィ: ああ
[1648.695] (S)yacha17: おしい
[1649.714] じぃじぃじぃ: おし
[1650.858] oniyanma08: NotLikeThis
[1651.785] lily3nari: おっし
[1653.735] ika_no_siokara: おしー
[1661.683] 辛めのジョニィ: キングスリーグ目指してる?
[1686.104] じぃじぃじぃ: 経験者なんか
[1709.924] 辛めのジョニィ: キーパーうまｗ
[1711.939] (S)yacha17: キーパーつよw
[1713.104] akatoash: キーパーは経験あるかないかで全然違うよね
[1719.174] bonheihe: キーパーうめぇなw
[1724.718] いたまえ: つんよｗ
[1732.827] 世界ノ前田: これって経験者限定?
[1742.215] mashasi1015: 逆に言えば本気で打っちゃっていい
[1749.982] ika_no_siokara: ズームとかってできないかんじです？
[1751.575] いたまえ: 遠慮なくいけるってことはいいね
[1759.480] (S)yacha17: 決めた時くそ気持ちいいやつだ
[1782.270] じぃじぃじぃ: 楽しそうでいいなあ
[1784.197] じぃじぃじぃ: おお！
[1786.933] キューブってる: おお！！
[1787.450] (S)yacha17: おーー
[1788.130] いたまえ: お
[1790.763] kohaku0628: !member
[1790.904] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[1797.621] (S)yacha17: vodkav2Gotouchi2
[1798.818] oniyanma08: DinoDance
[1800.468] kokissy: ご当地きたｗｗ
[1802.382] (S)Quu_o: なにがなんだかwwww
[1804.241] 世界ノ前田: ｗｗｗｗｗｗ
[1805.094] じぃじぃじぃ: ご当地ボドカ行きまぁす！
[1812.041] キューブってる: vodkav2Gotochi
[1813.611] じぃじぃじぃ: vodkav2Gotouchi2
[1818.917] (S)Quu_o: vodkav2Gotochi
[1826.185] senninhaaaaaaaa: !member
[1826.300] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[1829.254] じぃじぃじぃ: VCCFIFAの感動をもう一度
[1830.733] 世界ノ前田: vodkav2Gotochi
[1831.755] (S)んどんど: vodkav2Gotochi
[1835.016] 桜鏡月: vodkav2Gotochi
[1835.212] (S)yacha17: まざさんでっか
[1837.532] じぃじぃじぃ: まざー死にかけてない？
[1848.616] kokissy: スパイクマジで足痛くなるよな
[1851.919] akatoash: 黄色い声援いいなあ
[1858.352] ika_no_siokara: 抜け出しめっちゃ良かった
[1864.285] guppi111: おにやこなかったの？
[1864.543] おもチ: https://clips.twitch.tv/AdventurousSuaveTomatoUnSane-pEdphWMcSlytO1Or
[1872.323] Juicewisdom: axeumSip
[1876.100] キューブってる: まざーは肺イカレるww
[1884.229] 寝耳にみみくそん: 怪我しないように気をつけてね
[1897.666] じぃじぃじぃ: おにやは歯が痛いってさ
[1898.356] (S)rushhikakinzz: !member
[1898.456] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[1902.346] now_now06: ご当地ボドカクリップ助かる
[1906.181] 狂い下デルベリッヒ: おにやは親知らず抜いたよ
[1907.978] (S)rushhikakinzz: マザーさんもいるのかww
[1921.813] キューブってる: おにやは会話出来ないから無理でしょ
[1925.548] 狂い下デルベリッヒ: おなごおるやん
[1927.897] lily3nari: ボドカ〜？
[1935.615] mementomoriyama: 見に行きてー
[1939.801] 肥前国住人伊予掾源宗次: vodkav2Angryvdk
[1940.352] sun4789: すねた
[1940.723] ミントー: リタイア
[1942.419] じぃじぃじぃ: ボド休憩か
[1948.231] (S)yacha17: vdkダウン_(:3 ⌒ﾞ)_
[1954.879] (S)rushhikakinzz: 俺もサッカーしたい
[1957.264] ぺんぎーん: !member
[1957.368] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[1968.090] (S)rushhikakinzz: 今日という日のためにタバコ吸いつつもラントレしてたのに
[1972.146] AKUTANNNN: こういうの見ると久々にサッカーしたくなるな
[2042.212] sun4789: かわ
[2049.704] 辛めのジョニィ: かわ
[2053.705] キューブってる: もう高校生くらいの体力はない。。
[2066.465] dai_yone: 葉さん来ないかな
[2073.550] (S)さみすす: wwwwwww
[2073.655] yakisobaflasco: wwwwwww
[2075.064] じぃじぃじぃ: 若いね
[2076.116] sinkidayo: ｗｗｗ
[2076.991] neet_or_rable: wwwwwww
