[466.910] ruhq1234: ravhoxみたいなゲーム参入ってどれくらいの温度感なんですか？
[468.254] keitapex: ゆきお抜けは有り得るの?
[474.215] himihima: ウンウン
[476.627] hatutimo: リジェクトも熱い
[477.709] 雲皇帝珍満: フナ今一番世界一に近いからね
[478.365] namamanju: やあ
[478.997] (S)可能性の獣1: フナまじわんちゃんある
[482.329] pika0427: フナKNマジで
[482.397] えーてるすとらいく: こんたぴ
[486.959] muush0112: がんばってほしいな
[487.247] チョ: 優勝あるね日本勢
[489.496] utu_maru1127: ゆきお抜けたらリドルっぽくないよなぁ
[490.835] omatsu1234: 外入り強いって言ってるけど、結局中入って弾きまくったチームが勝ってるから、やり方次第って気するけどね
[492.564] from_9t: 1選手だもんね
[493.659] huyudemopanichi: 環境の変化がエグすぎて終盤残ってる人数少なすぎた…
[494.121] keita0704: 日本のceoが...
[496.023] lion_oo6: w
[497.484] もんぶーる: 本人次第
[499.647] nanashi882: ゆきおさんねー
[500.790] kusastu: わんたぴまだやるんかな
[501.016] namamanju: ゆ、きお
[501.877] maiku111: FNAはDZの二倍あるのえぐい
[503.417] doaching: Oh...
[503.929] senseihangeki12: KNは安置寄らないと安定してないから運次第ではありそう
[506.279] nupamaso: ゆき😭
[506.841] wazudesu: ALGSは配信はしないんでしょ？
[507.422] meronbouru: リドルの次回、またいつか世界で見れること楽しみに待っています。
[508.996] ruhq1234: まあやるでしょ
[519.636] amutenn: 世界でもリドル＝ゆきおになってそうだしな〜
[521.113] tt1236k: ゆきお2対1の1側のこと多いしね
[529.909] maiku111: また明日から普段通りの配信？
[533.652] (S)sugarrro: 試合前選手とデスマやったらしいっすね、どーでした？
[538.406] huyudemopanichi: いつもなら6チームとか残ってる安置で既に2チーム3vs3て…
[540.429] oka_heihatiro: ゆきおよりsakuさんじゃね、やばそうなの、メンタルが
[542.575] 肆愛徒: 間違いなくゆきおが与える影響はすごい
[543.618] liberty_ne: ソルダムやばかった？
[557.087] siroiro2: 今日のリドルのvalo直接観てたの？
[557.791] daw012: 今日えーえるじーえすうぉちぱしますか？
[561.256] ホイ卒官僚: 🦁✋ 明日早いのでおやすみ
[563.442] ~MISSING_COMMENTER_INFO~: リドルヴァロ部門1日目勝って翌々日の配信が可能性大やね
[566.095] ビーグル: ウォチパ？
[567.977] pikunikku6: valo勝ったらほぼ毎週試合あるからな
[574.669] meronbouru: ALGSうぉちぱ楽しかったです、ありがとうございました！
[574.892] lion_oo6: valo調子良さそうやなぁ
[575.647] pika0427: @daw012 しないそうです
[576.345] maiku111: え？ｗｗｗ
[577.070] from_9t: へー
[580.232] 96san_788: へー
[580.445] kanadayo_46: wwwww
[580.479] lionelmessi4545: ？！
[581.293] pika0427: おおおお
[582.666] himihima: そうなのか
[582.751] chokebono: イシナガキクエを探しています
[583.335] aqk87770: おお
[583.494] (S)マートン: あー言ってたな
[584.288] maiku111: おー
[584.457] himihima: おおお
[584.734] lily3nari: いいね
[585.537] あごーと: おおおお
[586.890] (S)sugarrro: いいね
[586.963] siroiro2: おもろ
[587.705] なちょがすきー: ガチイクで
[588.993] enpy1629: ええやん
[589.006] amutenn: マジかwwww
[589.192] tykioty: わざわざww
[589.207] (S)venven8: たのしみや
[589.561] 爽来: 今回のalgs日本勢優勝するかもしれない
[589.760] チョ: いいね
[589.920] らむぽっぷ: おお
[590.036] グラル87: いいね
[590.565] (S)sirohatosabure: すご
[590.934] twitch_food: 言ってたね
[593.587] ~MISSING_COMMENTER_INFO~: じゃっさん？笑
[593.813] liberty_ne: 最高
[595.118] y_saitou: リドルからエペ部門なくなる可能性はある？
[595.191] (S)arisudayo0419: じゃすの家で？
[596.296] tumblerrrrrrr: アーカイブ残んないのよなー
[596.311] lion_oo6: Korean
[596.394] グラル87: 外配信募
[596.645] yuipinosuke: ガチイクw
[596.969] senseihangeki12: 韓国いくのはやいね
[597.335] tetuya0405: じゃっさんマジでずっとやってんねｗ
[597.542] hakonihako: ガチイク
[598.011] lionelmessi4545: 韓国初めて?
[599.820] tam_svf: わお
[600.212] zabu0114: それはもうマジで韓国行くやん
[604.073] kusastu: エルデン、リング
[605.594] nekonbu33: ジャスパーなんで韓国行ったん？
[607.106] kanadayo_46: じゃっさん今lolの企画してなかったっけｗ
[615.931] makiu0203: エルデンきちゃ
[616.236] ioio_iwachan: リドのストリーマー枠もプロ並みに上手い人いるよね
[616.404] maiku111: どんぐらい韓国滞在？
[618.791] (S)マートン: どこいくやっとどこか行くのか楽しみだ
[620.658] らむぽっぷ: エルデンたのむ
[622.602] lionelmessi4545: える、でん
[624.579] yuipinosuke: じゃっさんはサモナーズリフトに幽閉されてる
[628.017] choco1atedisco: ボドカさんめっちゃ痩せた？
[628.147] 96san_788: ば、にが
[637.542] チョ: 現地配信待ってます
[638.594] sawayaka_odisan: 顔痩せたね
[650.257] maiku111: けっこうハードすぎ．．．
[650.704] valley_fps: vdkはマネージャーさんとかいるの
[651.486] syotowa0414: ボドさんこんばんは🦍眉毛いいっすね
[660.382] ししゃもちゃーはん: がおす 
[663.686] (S)venven8: ぼどもリフレッシュしてきて
[674.875] rix7979: ボドって頭良いよね
[676.219] liberty_ne: 今日見た感じいいところまでいけそう？ヴァロ
[683.616] ryo_hamburg: あつ4？
[685.649] siroiro2: おがた
[689.418] チョ: ボドカ四天王
[692.423] 08seryu: igzとvlかー
[693.403] sawayaka_odisan: よかったねえ
[694.863] (S)sugarrro: うれしい
[694.997] maiku111: valoソルダムジェットつよすぎる
[697.701] pika0427: VS IGZか 行ってほしい
[697.832] ankooisii_1: 良かった
[698.941] らりあぁ: 楽しみです
[701.829] furin4s: おめでとう
[702.398] おぱんてぃっく: すげー
[702.441] from_9t: トラウマ克服だ
[702.611] igurisuaaa: よかったー
[703.158] えーてるすとらいく: おめでと
[705.555] ssssssssszx: 吐きそうだった？
[705.775] yay0i_p: IGZ居るから抜け濃厚
[706.884] とうもころし_: 配信確定？
[707.902] tam_svf: Valoおめ
