[2043.225] Fiarar: センス良いよねこれ
[2047.189] 39pon: このゲームUI,UXがバケモンすぎるんよ;;
[2052.028] バブレラ: UI金かけすぎや・・・
[2052.594] なっしー0812: ファーム？
[2052.837] 420Raiden: すげえ！
[2053.580] puyobe: うびびびび
[2055.107] 下等ひふみ: うびびびｂ
[2055.946] meowedog: うびびびび
[2064.307] (S)thegreatkaito: おお！？
[2065.562] puyobe: そう
[2066.434] しお太郎: HDDとかテレビとか世界観がよすぎる
[2066.633] asupara308: BGMマジでいいな
[2066.914] しちみー: いいな～
[2068.906] karikarikk: うびび
[2074.241] gussan5532: アクションめっちゃいい
[2077.727] 420Raiden: 銃声気持ち良すぎる
[2082.453] はとむぎ化粧水: こいつつっよ
[2084.486] nepupe: スプラみたいなｂｇｍやな
[2085.822] akaki_akaka: Kreygasm
[2086.941] yu_bjn: めっちゃよくね？
[2089.720] tanaksan: ダイナミックや
[2090.887] かつおぶっしー: 1ダメージｗ
[2095.054] crocodile543: エフェクトすごい
[2097.155] onion_022222: 銃のやつ強くね？
[2099.166] coffefist: クソ楽しそうーーー
[2099.291] すねーーく: ペルソナっぽい
[2100.916] lionelmessi4545: ガチャあるよね？
[2101.271] はとむぎ化粧水: これ無料まじか会社どこや
[2102.787] しちみー: 無料エグイ
[2104.480] joooss123: ヒットストップすごいなこのゲーム
[2107.859] valture_6969: 爽快すぐる
[2108.393] なっしー0812: ビリーチクチク
[2119.674] ヒモノ: うひょー！！
[2126.447] lemonkiiro: ミホヨすげーよ
[2129.303] ヤマダ電機60日間: 昔のCODEditみたいでよい
[2129.492] semisemi120: マジで正式リリース楽しみや
[2131.089] doraneko310: なんかきた
[2133.009] 420Raiden: ｗ
[2133.539] kingdeb120: ぜんれすすきならめいちょうもすきになりそう
[2135.346] kukkuda: 逆走するぞ
[2136.553] akaki_akaka: オシャンやね
[2147.637] AK0678: これ崩壊ユニバースの中？
[2154.931] 柊悠ト: パックマン
[2161.206] gawa1010: 外やね
[2166.065] 420Raiden: 世界観は独立してるよ
[2174.697] toa01134: どういうゲーム？
[2177.393] puyobe: ぎーあ
[2181.440] goocaq: ギーア
[2184.959] diii_twitch: すみませんベータ版みたいのはもう出てるってことですか
[2190.647] かつおぶっしー: オレはギアコイン
[2200.029] しちみー: いて
[2202.170] puyobe: ｗｗ
[2203.416] 山津一海: ｗ
[2204.263] AK0678: 崩壊に関係しないならストーリーが気になる
[2206.816] 420Raiden: ｗ
[2207.622] supernikka: あｗ
[2217.076] トレジャートレイル: フルボイスかよすげ
[2217.418] dyun_ww133: 抽選あたったひとだけベータできる
[2226.609] doraneko310: 無理っぽいな
[2233.806] なっしー0812: 一方通行
[2234.064] 420Raiden: 俺もベータしたかった 
[2235.752] diii_twitch: あざます
[2247.459] AK0678: えっど
[2249.452] かつおぶっしー: 原神とはまた違う層がハマりそうだ
[2256.316] onion_022222: ホヨバースすご
[2266.095] lionelmessi4545: おおおおおおおお
[2269.351] tanaksan: おお
[2273.873] 420Raiden: なんやいまの 
[2274.875] AK0678: ウルトかっけえー
[2275.387] puyobe: うっひょおおおおおお
[2277.256] 下等ひふみ: Kreygasm
[2277.443] しばふの: かっけぇ
[2279.094] しお太郎: パリイウルト連携攻撃
[2279.989] ただのともや: 普通にクソおもろそう
[2280.655] しちみー: きもちいいな～
[2283.141] supernikka: Kreygasm
[2285.790] くがそき: おもろすぎなんおもろすぎなんよ 
[2287.050] 420Raiden: 全部えぐいやん
