[1955.239] (S)redbull_daisuki: 運動神経なさそうだけど…
[1957.307] (S)rotonz: 日本国憲法
[1969.212] (S)smokingpiper: ドッジ弾平
[1969.888] amagigoe: ファミ通の白黒ページ
[1976.992] tokorozawabeast: ゲーメストかな？
[1977.103] (S)lunasolnars: 森博嗣とか
[2002.367] (S)rotonz: 考古学かｗ
[2009.619] deadlykitten2525: すげー教育だ
[2011.785] ガイルの櫛: 姉ハラがたまたま持ってたやつやない？
[2015.883] niemalsaufgeben: シュリーマン好きなのか
[2034.014] tokorozawabeast: ピタゴラスは嫌いなウメさん
[2035.483] goto_takesi: umeYung_SG
[2036.468] suginaka56: 影響を受けた漫画ってないなぁ
[2058.572] justinyukiwo: ウメさんの親父さんは良い親父さんなんだなぁー
[2058.960] (S)rotonz: トロイア遺跡を発掘した人だよねシェリーマン
[2097.478] kaesaru32: 菜根譚を紹介してた気が。
[2100.428] tokorozawabeast: はだしのゲンのせいで左寄りになりました
[2101.310] gettyozi: そりゃあそうそうわからんでしょ
[2109.570] chie_chie: キッズの頃に絶対本読んだ方がいいんだよなー
[2113.299] (S)破天荒田中: FF7R延期かよ
[2119.290] (S)65vr39: 努力2.0
[2138.297] 壱万円札: 本より本番
[2140.811] icyblue1985: ウメちゃんは人を見て育った
[2145.165] porokon7: Daigo adopt me kudasai
[2158.506] hachi_mitsu: そこがすごくいい
[2161.864] (S)user81023: ライブ感
[2167.626] hachi_mitsu: 自分の言葉でしゃべってる感じはすごくある
[2174.376] kumatedd: それができるのが凄いと思う
[2176.950] (S)valhalla5555: ｗ
[2181.730] kumatedd: 漫画ｗ
[2191.017] icyblue1985: ほぼ漫画ｗ
[2194.911] burupapu: 聖なる
[2196.919] あと1983: インド人を右にを書とするか
[2203.574] gettyozi: 愛しすぎてたのか！
[2204.897] momochan6: 愛しすぎてたのかｗ
[2206.907] niemalsaufgeben: ゲーメスト
[2207.036] tokorozawabeast: タチカワさんを知った本ですもんねｗ
[2208.710] lowestrate: 猛者通信とか
[2208.935] (S)65vr39: 影響を受けた本はゲーメスト
[2213.276] (S)破天荒田中: 草
[2215.237] (S)yajue1919: すみずみ
[2219.317] (S)user81023: 書物w
[2221.640] (S)valhalla5555: ｗｗ
[2223.377] ガイルの櫛: 聖書やな
[2225.470] hosp1990: シグマの広告とか
[2225.814] icyblue1985: ザンギュラのダブルウリアッ上
[2227.573] chie_chie: ファミ痛の攻略本だけはゆるさん
[2233.382] 壱万円札: 基盤の広告まで読み込む
[2237.405] (S)triskeal: メストに出会うきっかけがお姉ちゃんって所が好き
[2239.181] (S)matsu_zalem: ウメさんほど言葉が出てくる人いないんだよなあ…そこが本当すごい。
[2242.605] (S)墾田永年私財砲: 昔はよくコミュニケーションノートと一緒にゲーセンに置いてたね
[2243.880] ギュウタン: メストは漫画
[2283.186] icyblue1985: おおっ
[2284.823] kumatedd: うおおお
[2286.326] icyblue1985: かっけー
[2286.831] lyo0822: ほほー
[2288.467] (S)cubespin: おお
[2289.521] suginaka56: SwiftRage
[2289.583] (S)bobumakihara: 即決ｗ
[2289.789] kumatedd: かっけぇ
[2289.978] 斉川: ええやん
[2290.048] lyo0822: おお
[2290.251] pot1111111: ええやん
[2291.053] omochi09: かっこいい！！
[2291.488] (S)fapfapjpn: PogChamp
[2291.548] borkh3js: PogChamp
[2292.503] げろげろまる: 即決
[2293.204] (S)shi_ma__: おー
[2293.551] tokorozawabeast: おおおお
[2296.624] (S)yamame: かっけえ
[2298.122] (S)wahaha7788: いいね
[2299.761] kireboshibasyato: 男気溢れる
[2300.229] kumatedd: いいねーーー
[2303.651] ガイルの櫛: ヤベェ！
[2304.768] (S)ふとんおーしゃん: umeCat2
[2304.984] (S)yajue1919: 男らしい
[2305.346] (S)cloretstar: すげえw
[2305.444] (S)triskeal: これステッカーで欲しいｗ
[2305.623] hosp1990: パワーある
[2306.279] みっかぼうず: 88888
[2308.192] (S)tamtam0077: カッコいい
[2308.432] (S)chinkalahoi: 即採用ｗ
[2309.405] suginaka56: やりおる
[2310.633] shiroinurin: これにしよう
[2313.502] tokorozawabeast: 即決のウメ
[2314.572] umememe: いいね
[2314.773] (S)wawawa1209: かっこいい
[2316.420] Kanquez05: お気に召されたようですｗ
[2317.012] mutuizumi: これみて発声きめるとか
[2317.041] 狼狽う子は魚: かすれ具合もちょうどいい
[2317.793] jk_julia: 確かにAKIRA感ある
[2320.050] i3m136: ウメちゃんのイメージにピッタリ
[2322.251] (S)cubespin: 硬派
[2325.603] dingo_same: オトコっぽい
