[85.645] (S)kawataro_: ｵﾊﾖｵﾊﾖ
[86.212] nagatuki_28: おいすー
[87.496] (S)オレティンコスモール: ドラウグル珍しい
[88.050] (S)chigirip4n: オハヨオハヨ
[89.021] (S)もーーーたん: ｵﾊﾖ ｵﾊﾖ
[89.244] sekisekisekkiii: おっ王〜
[92.820] (S)鯖侍: おいすー
[92.844] (S)テバ_02: ハチャメチャが～🎵押し寄せて～くるー！２日目ふぁいてぃん！
[93.377] (S)craxton7: ｵﾊﾖｵﾊﾖ
[94.912] (S)ditadolce: ｵﾊﾖｵﾊﾖ
[94.968] ramiel_9999: こんばんは～
[95.155] (S)やんぴー0331: 衛生外で何かしてたのる
[95.769] (S)ちゅろにも: ｵﾊﾖｵﾊﾖ
[97.990] (S)燕子花キムチ: 燕子花キムチ subscribed with Prime. They've subscribed for 9 months! 
[98.247] white25season: こんばんはー
[98.288] (S)きゅむぉ: ｵﾊﾖ ｵﾊﾖ
[98.590] (S)たけのこ2555: おはようございます！
[99.169] (S)tarako_0420: SAYもｵﾊﾖｵﾊﾖ
[102.158] Nolvinsk: ｵﾊﾖｵﾊﾖ
[102.529] kok109: おはよおはよ
[103.634] (S)amipara551: ｵﾊﾖ ｵﾊﾖ
[104.351] (S)wo31ow: オハヨウゴザイマス
[105.937] mtm_mtmt: 島獲り頑張って下さい！
[106.458] tiga916: おはよおはよ
[107.413] (S)ぴきぴき2433: ぴきぴき2433 subscribed with Prime. They've subscribed for 7 months, currently on a 7 month streak! 
[109.151] (S)obisan4646: ｵﾊﾖ ｵﾊﾖ
[109.509] tyotyo111: んちゃー
[110.478] (S)syena_: ｵﾊﾖｵﾊﾖ
[111.020] (S)basaraxyz: おはようございます！
[111.935] ゆっくり竜王竜也: ｵﾊﾖ♡ｵﾊﾖ♡ ミュート会議お疲れ様やで
[112.727] (S)NAMAPASUTA_BABY: おはよう！
[114.063] (S)元気なデブ: うぃ～ばんわ
[114.368] (S)オムご飯: ｵﾊﾖｵﾊﾖ
[116.905] hatiware25: ｵﾊﾖｵﾊﾖ
[117.572] (S)misosoup6906: ｵﾊﾖ､ｵﾊﾖ
[119.809] (S)mupptmj: オハヨオハヨ
[122.379] (S)sijimi40: おはよ！おはよ！
[122.590] (S)dakr5123: ｵﾊﾖｵﾊﾖ
[123.068] (S)pepe_7299: ｵﾊﾖｵﾊﾖ
[123.479] pachinkoshiki: オハヨオハヨ
[124.449] (S)sinnon2434: オハヨ
[127.026] (S)kannzaki8: PokPikachu
[127.750] (S)はふやん: おいす
[130.813] (S)みそしー: ｵﾊﾖｵﾊﾖ
[131.051] (S)nekocatbob: nekocatbob subscribed with Prime. They've subscribed for 7 months! 
[132.421] (S)オレティンコスモール: ｵﾊﾖｵﾊﾖ
[132.476] (S)おにぎりポン: ｵﾂｶﾚｻﾏ ｵﾂｶﾚｻﾏ
[132.648] roaming111: fantas22Muscle
[132.943] sekisekisekkiii: まちょ😢
[135.046] (S)あいむはげ: ｵﾊﾖ ｵﾊﾖ
[135.885] (S)patanpo: patanpo subscribed with Prime. They've subscribed for 8 months, currently on a 8 month streak! 
[136.156] (S)VooDooRat434: おはよーございます
[137.266] madowakusan: ｵﾊﾖ ｵﾊﾖ
[142.947] ムシャ武者: ｵﾊﾖｵﾊﾖ
[143.535] (S)kamakuradaibakuhu: オハヨオハヨ
[144.807] sigure_181: ｵﾊﾖ､ｵﾊﾖ~
[146.327] (S)shiki_maru0000: shiki_maru0000 subscribed at Tier 1. They've subscribed for 10 months! 
[147.000] omii78: こんばんはーー
[147.221] みんみん458: まちょは今日個人医？
[147.225] NOINNOIN: この空気たまんね〜
[149.048] (S)じゃがいも揚げ犬: ｵﾊﾖｵﾊﾖ
[149.864] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[151.740] (S)けー353: シマ取りじゃー
[155.508] (S)まさきよ監督: しこるんがんばえ～
[155.737] (S)きゅむぉ: !title
[155.921] (M)Nightbot: @きゅむぉ -> Current Stream Title: ストグラ205日～獲～
[156.505] (S)ぼんちゃん_1412: オハヨオハヨ
[157.433] nahayu0987: オはよおはよ
[157.474] green_of_gold: ｵﾊﾖｵﾊﾖ
[157.563] (S)sunasuke: ｵﾊﾖｵﾊﾖ
[157.688] (S)めろん55: ｼｬﾝﾁｬﾝｵﾊﾖｵﾊﾖ
[160.172] (S)dateascka0930: わこつー
[164.737] kuritorisu_69: ｵﾊﾖｵﾊﾖ
[168.770] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[170.198] (S)kytori56: ｵﾊﾖｵﾊﾖ
[171.376] メバルくん: ｵﾊﾖｵﾊﾖ
[171.746] syunn10969: まちょ今日までだっけ？
[173.477] (S)qpchan: ｵﾊﾖｵﾊﾖ
[173.496] (S)鯖侍: ご飯少ないなー
[173.566] (S)white_black_: 頑張れ！負けるな！
[173.876] (S)bookbear05: おはよーさん
[174.483] (S)magongo10: fantas22Muscle
[174.519] (S)kohaku0782: おは王
[178.783] アジ7864: 頑張れ〜
[182.850] pakadar: ご飯少なくなったね
[185.899] (S)jackmantaro: jackmantaro subscribed at Tier 1. They've subscribed for 3 months! 
[188.483] (S)まれい: fantas22Muscle
[190.724] (S)たけのこ2555: みんなソワソワしてるね
[192.653] (S)とまれみよ: 獲！！！！！！
[195.358] (S)ウエジィ: ウエジィ is gifting 1 Tier 1 Subs to ファン太's community! They've gifted a total of 224 in the channel! 
[195.961] (S)ウエジィ: ウエジィ gifted a Tier 1 sub to arumaziro7777! 
[196.585] maku_prime: オハヨオハヨ
[197.076] (S)めるすいか: SAYｗ
[199.407] (S)でじたま: さとうペンライト！
[203.200] mojamojamojaaa: 初動マジでおもろくなりそうやなw
[204.033] (S)かげちゃん__: かげちゃん__ subscribed with Prime. They've subscribed for 8 months, currently on a 6 month streak! 
[205.966] tkshan: さとうグッズ
[206.878] シュバラ: 今日も楽しんじゃって！
[208.387] lily369126: 頑張れ！
[210.404] れい9: わくわく
[211.040] (S)shimanagashi2222: shimanagashi2222 subscribed with Prime. They've subscribed for 8 months! 
[211.914] (S)ふま6853: ｵﾊﾖｵﾊﾖ
[217.285] a_ryuuku: 医者決断今日やね
[217.769] (S)ゆりぃー: 島獲りがんばえ〜 Cheer100
[218.194] kamase1nu422: 今日も島取り3時間？
[218.403] (S)tanu_bougore800: ｵﾊﾖｵﾊﾖ
[219.116] Holly897: 可愛い
[220.308] (S)かつけん0331: ｵﾊﾖｵﾊﾖ
[220.528] ごーやちゃんぽ: レアアイテム
[221.630] (S)patrick1000koo: fantas22Muscle
[223.744] (S)cucumber_4310: こん
[231.851] (S)badmiral_gulukagon: badmiral_gulukagon subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! ｵﾊﾖｵﾊﾖ
