[1038.402] aranami0: アカンかーｗ
[1040.869] maddy2623: 手に汗握った
[1041.491] o_gasawara: 草
[1044.059] (S)しぶりょ: karubisFurifurii
[1044.549] VIRVUM: へへへへぇ
[1047.195] rrr8628rrr: 詰まされた～
[1047.750] (S)hoshi_boshi_0: 許されなかったー笑
[1048.500] m1ndfunnk: yossanEXtensenrin
[1049.909] takikomi_kopan: 来年には藤村ケンくらいには強くなってるかね
[1052.876] johndoe6523rp: てかWWって２週間おきにあるのか
[1061.901] 売れないバンドマン41: までもこんな話になった時に「俺も自宅療養中」みたいなコメいっぱいあったからかなり流行ってるよなー
[1084.139] ハジメちゃん: えいたくんケンMRランキング2位になってる😳
[1092.790] masmas999: 龍尾が正解？
[1093.836] gajonaori: 何故かたま抜け性能がある昇龍裂破
[1093.844] VIRVUM: 俺のジュリボコボコしないで 
[1104.878] (S)hoshi_boshi_0: 師匠！？
[1124.359] Nanafushi_san: コロナとインフルと熱中症でもう外はリスクしか無い
[1129.221] mieru11: 髪がビーストなってる
[1133.214] aranami0: ジュリの踏みつけめっちゃ強い
[1173.544] febvfea: コロナになるの辛い？
[1177.320] (S)gyu_nyuu_pann: コロナマージで流行ってるよね
[1188.368] aranami0: おおー
[1195.247] (S)hoshi_boshi_0: ナイス
[1199.170] (S)gyu_nyuu_pann: ないすぅ
[1208.594] 캡틴코만두: 큰형님 안녕하세요
[1213.057] Nanafushi_san: コロナの辛さはうめちゃんが知ってる
[1216.206] masmas999: 龍尾はもっと可能性がありそうだよね
[1216.707] usa451: ワクチンの5回目届いたけど、さすがにもういいかなとおもっている
[1217.624] (S)hoshi_boshi_0: ウメちゃん飯食べた？
[1223.959] 6pouzsyo: 今のコロナは喉が死ぬほど痛い
[1225.533] keigunnoikkaku: コロナがなんぼのもんじゃい
[1235.090] taka2656: 先週コロナになったけどマジで辛いぞ
[1236.234] (S)hiro_chan: アニョハセヨ～
[1250.406] 熊手赤さん: 副作用やばくてワクチン2回しか受けてないわ
[1251.146] シミズム: コロナで喉死んで今も後遺症中やでー
[1252.462] moricocoa: 師匠
[1254.266] hal0302: 噂をすれば邪神
[1254.471] (S)yamato925925: えいた
[1254.648] marvolo6: モ人
[1254.823] 6pouzsyo: ｗｗｗ
[1254.948] blueplanet96: きたああああああ
[1255.242] syugi3: お
[1255.290] hoemin247: まじかw
[1256.945] MERIDA105: えいたww
[1257.121] aranami0: 名前最高や
[1257.519] jamxqc: 邪神
[1258.004] (S)gyu_nyuu_pann: モダン人間いたぁ！！
[1258.522] (S)あぱれる君: えいたぁ
[1258.678] 157655: 噂をしたら即
[1258.750] v_harumi_v: ｗｗ
[1259.293] sai927: モダン人間ｗ
[1259.974] はるたろおう: ｗ
[1259.998] (S)hoshi_boshi_0: きた！
[1260.696] usa451: いまだにモダン人間なの草
[1260.908] rrr8628rrr: モダン人間きたああああ
[1261.619] shibaponz: 江戸川モダンに名前を変えようと検討しているえいたくん！？
[1262.911] masmas999: クラシックじゃねえか
[1263.710] matoo0777: コロナにかかったらめっちゃしんどいで
[1264.303] azu_maru: やたら熱でただけだったなぁコロナ
[1265.963] marvolo6: えいたMRたか
[1266.285] ハジメちゃん: えいたきゅん😳
[1266.423] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1270.346] (S)ましゅダヨ: おおおおおおおおあたったあ！！！
[1282.226] chanmipoin: 王vs邪神とか熱すぎる
[1285.124] daisan777: モ人
[1287.982] stanleybaebae: eita!
[1288.010] kobetaf: 悪霊退散！
[1289.904] (S)まじっ: 喫煙者とか呼吸器弱い人はなかなかに辛い
[1292.997] lesame: ウメハラより強いと噂の！？
[1294.972] (S)ましゅダヨ: めっちゃ上げてるやん
[1305.775] jamxqc: 世界二位
[1307.839] shibaponz: ここでかったらMRひっくりかえるからよ...
[1308.446] moricocoa: 自称最強ケン
[1308.819] (S)gyu_nyuu_pann: 最近名前を江戸川モダンにしようとしてたえいたさん
[1317.443] v_harumi_v: ないすーー
[1322.814] aranami0: 何か正統派でえいたっぽくないなｗ
[1323.880] syugi3: おー
[1327.729] kakaowpgj: 勝てる
[1331.230] (S)hiro_chan: えいたなんで猫耳つけてるのる
[1343.207] esutark: ウメちゃんパーマかけたの？
[1346.260] hoemin247: w
[1349.068] v_harumi_v: にっこりしてくれるかな？
[1352.490] (S)hoshi_boshi_0: 師匠笑ってる？
[1354.159] 157655: 邪神様笑ってくれてますか
[1359.375] unlimited_teddy: ヘッドホン壊れて奥さんの借りてたはず
[1360.303] blueplanet96: バーンアウトえいた
[1361.696] (S)gyu_nyuu_pann: 師匠笑ってくれねる？
[1364.038] (S)ましゅダヨ: 猫耳つけてんのよあの人さっき見たけどぉ〜……
[1368.720] kobetaf: えいた猫耳つけると親戚のおばちゃんそっくりだからビビる
[1369.538] (S)hiro_chan: なるほど
[1369.597] aranami0: モダン人間！
[1370.545] marvolo6: モ人
[1371.916] Nishi_Poteto: えいたさああああああああああああん
[1373.075] (S)gyu_nyuu_pann: フフッ
[1374.327] mieru11: うまい
[1374.913] johndoe6523rp: やるｗw
[1375.211] latenight000: 恐怖、モダン人間
[1375.426] rrr8628rrr: これはモダン人間
[1378.124] ハジメちゃん: うほ
[1379.780] marvolo6: これにはうめちゃんもにっこり
[1381.843] (S)ましゅダヨ: 笑ってぇー
[1381.982] syugi3: 人力モダンさすが
[1382.298] (S)るーどるふ: せんせーい！
[1385.986] v_harumi_v: おお
[1388.244] hal0302: どういう親戚のおばちゃんだよ
[1389.030] v_harumi_v: ｗｗｗｗ
[1389.493] pekusuyada: なんで親戚のおばちゃんは猫耳つけてんだよ
[1389.493] shibaponz: モダンやぶれる
[1389.496] aranami0: ｗｗｗ
[1390.369] hotokemax: モダン人間さん？
[1390.721] fbhjkl: PogChamp
[1391.689] jamxqc: ｗｗｗｗ
[1391.706] echoesact48: あれ
[1392.905] (S)gyu_nyuu_pann: wwww
[1393.550] usa451: 穢れ
[1396.136] zensutorobo: Wwww
[1396.635] daisan777: モ人、、
[1396.670] (S)hoshi_boshi_0: ナイス
[1396.672] (S)ましゅダヨ: wwwwww
[1398.022] hal0302: 邪神が光に焼かれる
[1398.507] sonic_chop: ニッコリウメちゃんw
[1398.766] prisira: きたねえ中段使えよ！
[1400.241] rrr8628rrr: モダン人間、散る
[1400.947] maddy2623: バチギレしてる
[1404.405] (S)hiro_chan: このやろー！っていってた
[1408.830] (S)ましゅダヨ: なんか近くにいそう
[1409.681] sonic_chop: ｗｗｗｗｗ
[1409.941] jamxqc: 説教ｗｗ
[1411.796] moricocoa: 最後にひよるのがえいたらしかった
[1415.891] カブトシロ: 楽しそう♪
[1433.719] daisan777: ウメちゃんニコニコやな
[1451.113] esutark: ウメちゃんとえいたってマリオとルイージみたいだな
[1452.640] sonic_chop: あらー
[1452.757] (S)ましゅダヨ: えいたくん、猫耳Razerはずそっか
[1455.962] maddy2623: 弾抜けうまいなぁ
[1465.387] mieru11: うまい
[1467.159] Doteirox: DinoDance
[1475.820] sonic_chop: ニッコニコだーｗ
[1478.979] (S)gyu_nyuu_pann: これには邪神もニッコリ
[1480.493] 新ころりん: えいた何で猫耳ヘッドフォンつけてんのｗｗｗ
[1482.428] arutoda: 配信なのに当たり前のように寝癖つけるウメハラさん最高だな！
[1486.207] rurururu428: ww始まってますか？
[1490.803] Doteirox: 2020Unity
[1495.864] lesame: えいたは1じゃ終わらないなって言ってて草
[1502.320] (S)gyu_nyuu_pann: 猫耳は李蘭さんにもらったんだっけ？
[1502.635] (S)hiro_chan: 13時から
[1513.203] v_harumi_v: ｗ
[1515.908] maddy2623: 2窓おもろいｗ
[1519.232] rurururu428: 13時からですか……ありがとうございました☺️
[1519.283] aranami0: うはーｗ
[1519.346] prisira: ですよね
[1519.475] v_harumi_v: 言い方かわいい
[1519.560] sonic_chop: えいたきっく！
[1520.994] hoemin247: ww
[1523.301] blueplanet96: ｗｗｗｗｗｗｗｗ出た
[1523.765] 泣き虫サクラ: 彼女の“Modern⋯”
[1524.901] v_harumi_v: ないすー
[1525.668] lesame: マジで、会話してるw
[1528.148] Swordius7: atpRtsd
[1528.661] (S)おいしいごはん_: リーサルだった
[1528.847] (S)ましゅダヨ: 梨蘭さんに貰ったなら一生付けてて
[1529.734] mieru11: いたい
[1530.088] hitmehitme: えいた「あーおもんな！」
[1530.770] gorilla_osaka: ぴったり
[1532.589] sonic_chop: すばらしいｗ
[1532.949] maddy2623: 会話になってんだよなぁｗ
[1534.983] daisan777: へっる
[1536.100] (S)gyu_nyuu_pann: すばら
[1544.886] syugi3: 綺麗に体力消えた
[1553.592] rrr8628rrr: たま抜けおじさん
[1571.365] prisira: ＳＡ３だろｗ
[1578.272] (S)gyu_nyuu_pann: リーサル
[1579.139] hoemin247: あら
[1583.289] rusty0shackleford: アニメが好きですか？あなたの好きなアニメは何ですか？ @DaigoTheBeasTV
[1585.907] sonic_chop: ｗｗ
[1586.185] 캡틴코만두: 아쉽습니다
[1588.292] syugi3: お
[1591.542] selecao123: ムーミン
[1597.428] jamxqc: SA2はジャスティン式
[1615.917] (S)hiro_chan: よりもい
