[672.806] NekoPunchKick: ダイゴを探せホールA
[672.967] Rephiax: I wonder why
[678.073] Papapadad: 外国人率たけーな
[680.653] ogiogi0122: ガチくんの後ろにいるって！
[702.848] catseye16: スマ勢か
[706.160] (S)metalface_05: まーじ？？？
[710.220] amazonwalkout: english teacher dynasty 
[717.997] sanika95: Smash peasants , walking away good choice 
[730.333] sanika95: Look for Daigod
[738.261] Planetrollcall: ダイゴー！って叫びながら歩くといいよ
[740.161] juvenile0707: ふんふーーーん
[741.939] akiaki0612: かずのこいた？
[742.848] sakusakuz: 勢いのですます笑
[743.158] ~MISSING_COMMENTER_INFO~: しらない
[744.747] imurilove: 隠されたｗ
[745.771] ライム_: 撮るんじゃねえｗ
[745.829] ~MISSING_COMMENTER_INFO~: えぇ
[746.697] sasugani: ｗｗ
[747.360] salad_maki: すみません・・・
[752.828] トゥーピー神: かわいそう
[753.958] amazonwalkout: shutdown
[754.139] indigomame: カメラはNG
[754.714] prosciu: ウメちゃんの周り、人多すぎて試合が見れない
[754.942] eoru55: アップでやめてあげてｗ
[755.978] bachop: ふ～どにやらせろ
[756.641] とびちる: www
[758.511] WirelessCow: asshole
[760.502] せりわーむ: だいごおおおおおおお
[763.681] ぷっち: ダイゴォ・・・
[766.617] salad_maki: ふ～ど助けて
[766.924] imurilove: そのうち訴えられるぞｗ
[768.663] tentough: これは
[773.267] xSoufianexTx: zhi kun
[773.565] scottie_ver03: 人が大量にいるから分かるはず
[774.155] sanika95: @daigothebeastv Go to the nearest bar 
[775.930] yonaka0: だいごぉ､､､
[779.337] obo_006: お、Ａか？
[789.050] RicQuaresma7: 正解たどりついたな
[789.968] indigomame: メシ食ってる説
[794.210] _リオン_: 頼むぅ･･･
[794.786] salad_maki: 頼むぅ・・・
[797.199] トゥーピー神: 思ったより広い
[798.186] yutashun: もう試合終わってるんじゃないか
[799.618] Papapadad: ここがドトールか
[801.281] hojihojidx: 近場のドトール探した？
[804.269] ~MISSING_COMMENTER_INFO~: 画面酔うな
[810.479] Planetrollcall: ｗｗｗ
[812.928] pukeshi: うわ
[813.037] Fux7722: すまん、今どういう状況？
[814.955] ~MISSING_COMMENTER_INFO~: どぐら？
[818.079] RicQuaresma7: 人集まってるとこがウメちゃんだね
[818.135] okamasa456: ウメちゃんの群れか
[819.069] (S)ぐぐっす: 迷子ザビースTV
[825.297] しる__: どぐ姉
[828.275] Papapadad: ８９３
[829.989] yonaka0: お
[830.835] obo_006: ウメちゃんどこーって状況
[830.851] imurilove: 腕毛
[830.917] prefabcat: 頑張ってるな
[831.370] chamomile21: 893
[832.639] numberball9: 腕毛
[833.020] Maxxyy_m: 社長いたぁ
[833.282] dsadsa454654: ｳﾒﾁｬﾝ!!
[833.373] RicQuaresma7: 隠してる
[834.800] Planetrollcall: 893
[836.079] okamasa456: 腕毛いた
[836.716] yutashun: チゲ頑張ってる
[837.368] ぷっち: YAKUZA
[838.346] eoru55: 腕毛隠し
[840.297] Fux7722: ウメちゃん消えたのか
[840.432] nikku2929: 腕毛も出たかったやろうなぁ
[840.651] sasugani: 腕毛全一
[843.138] トゥーピー神: 腕毛イル
[843.480] toyboze: 忙しそう
[855.571] prosciu: ウメちゃんはガチくんの試合見てるよ
[859.849] すぐそれ: 吉田山いたな
[865.707] tentough: 、りらん
[869.986] indigomame: ウォーリーEVOJAPANにいく
[872.792] ~MISSING_COMMENTER_INFO~: ｗ
[873.586] donachan: ｗｗ
[875.574] pukeshi: 無視ｗ
[877.217] momiji4431: w
[877.441] Planetrollcall: ガン無視
[877.667] nakayubi15: カヤネプロｗ
[877.892] hannibal097: 酔っぱらい
[879.066] imurilove: ガン無視
[879.108] yonaka0: ｗ
[884.193] トゥーピー神: ガン無視
[884.693] (S)fl0kis: かじゅ？
[887.798] ~MISSING_COMMENTER_INFO~: 試合中やぞ
[888.023] Papapadad: かじゅ
[888.728] ライム_: じゅうううううう
[889.098] しる__: かじゅううう
[889.102] サツマイノ: かじゅ
[889.434] okamasa456: じゅ
[890.008] xanxus0706: かじゅ
[890.258] catseye16: じゅ
[890.922] yonaka0: じゅ
[891.090] RicQuaresma7: かじゅ
[891.708] saitoudaimon: じゅ？
[892.261] momiji4431: じゅ
[892.608] sasugani: KJ
[892.658] chirimen2222: かずにぃ
[894.319] yonaka0: じゅうううう
[895.489] marusan10: かずのこ！
[897.671] れく太: これカメラ持ってるのZhi？
[897.921] トゥーピー神: じゅ♪
[907.991] Nogiskits: describe smell
[912.359] ~MISSING_COMMENTER_INFO~: かわいい
[913.617] ぷっち: Zhiだよ
[915.963] sanika95: k-God 
[915.993] tentough: はやくうめはら
[917.772] (S)fl0kis: カメラは立川
[917.921] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[918.534] Fux7722: かわゆ
[919.981] imurilove: 588だそう
[921.307] RicQuaresma7: 絶対この群れじゃん
[922.257] obo_006: いそう
[923.590] dsadsa454654: ウメちゃんどこ～～
[924.529] bene1201: かわゆ
[925.563] scottie_ver03: 588とか書いてあったような
[926.607] prefabcat: ウメのとこ人だらけだろう
[928.257] pukeshi: 女子アナいたぁ！
[931.870] nup1965: 588
[932.806] obo_006: だいごーって叫べば
[935.268] prosciu: ウメちゃんの試合まだ始まってなかったのかも
[937.030] yutashun: 可愛い人いた
[937.245] すぐそれ: これ夏場にやったらやばそうだな
[937.699] okamasa456: 見えないとこがウメハラだ
[948.591] cj24mill: cmonBruh
[948.765] トゥーピー神: 梅ちゃん
[952.318] shinku_101: super packed
[954.531] でけでけ: 私服で来てるのがウメだから
[959.547] しーや: 梅ちゃんもう戦った？
[968.113] まままままま: 群れを探せば
[969.008] prosciu: 今、着いたみたい
[970.263] ~MISSING_COMMENTER_INFO~: わろた
[971.882] (S)fl0kis: ｗｗｗｗｗｗｗ
[971.935] Planetrollcall: ！！！
[972.559] juvenile0707: おったｗ
[973.827] numberball9: うめちゃんいたあああああ
[974.285] obo_006: いたああああああああああああ
[974.483] hannibal097: いたぁ
[974.495] Papapadad: ウメちゃん！
[974.730] (S)metalface_05: ええええ
[974.778] sasugani: いたぁあああ
[974.796] しる__: いたｗ
[974.862] yonaka0: うおおおおお
[974.921] Maxxyy_m: いたぁ！
[975.144] xanxus0706: おっさん
[975.219] ぷっち: いたぁ！！！！
[975.545] れく太: おるやんｗ
[975.959] okamasa456: いたｗ
[976.575] Planetrollcall: いたあ！！！
[976.810] 66akira: ｗｗｗ
[976.831] kenkyonaninja2: 間に合っｔ・・・てんじゃーーーん
[976.949] dsadsa454654: きたあああああああああ
[977.535] まままままま: ｗ
[977.576] eoru55: ｗｗｗｗｗ
[977.819] _リオン_: いたぁ！！
[978.203] (S)metalface_05: いた！！！
[978.284] Papapadad: いたああああ
[978.769] chamomile21: いたぁ！
[978.932] とびちる: ウメハラは会場で消えるからな
[979.058] RicQuaresma7: いたぁ！
[979.803] ライム_: ちゃんうめ
[980.746] momiji4431: 果てねえ！
[980.748] (S)ぐぐっす: いたぁ！
[981.196] saitoudaimon: いたぁ
[981.299] Nogiskits: found 
[981.345] imurilove: やっとみつけた
[981.903] fapfapjpn: BlessRNG
