[809.985] sdy_hs: ダイソンのドライヤーが高速で乾くらしい
[810.621] (S)ましゅダヨ: お外出る時限定か
[820.173] (S)tama_zx61: umeSalute
[843.476] (M)(S)gameinntwitch: 温冷、自動で往復する良いやつなのに多分使ってないんやろな
[850.993] perfecttakahashi: そういえばウメちゃん今なんのボタン使ってるの？
[874.214] (S)日本語かな: クアンバのグラビティって言ってなかった？変えたのかな
[874.332] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[900.291] tabibitox: ままま
[906.908] (S)ましゅダヨ: 温冷自動で往復するとか乾かすのにもセットにもめちゃくちゃいいやつやん……。
[910.451] umetyaahan: りゅうせい端のインパクトめっちゃ見てるな
[936.111] JustEvets: damn
[936.242] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[939.352] HirocoT: HirocoT subscribed with Prime. They've subscribed for 31 months! 
[949.839] (M)(S)gameinntwitch: とりあえず問題無さそうですかね。ボリュームとか
[953.456] xyz1648: 小技重ねてるのもあってインパクトキャンセルで普通に返される
[961.554] HirocoT: 今日もお疲れ様ですー
[963.423] (S)すくあろ: すくあろ subscribed with Prime. 
[965.027] niposhi: niposhi subscribed with Prime. 
[967.216] (S)日本語かな: 問題なさそーです！
[968.356] umetyaahan: メンおじありがとー
[970.220] xyz1648: 問題ないです
[973.811] takahashiseigi: りゅうせいの運指は常にボタンの上に指を添えてるらしい
[979.032] (S)ツィッギー: 下中足めっちゃ刺さる～ｗ
[979.410] (S)kakutora_no_o: メンおじありがとう
[985.554] (S)軽く捻るか: メンおじさまありがとうございます！
[1005.556] Jasminexxx2525: ウメさんこんにちは〜
[1031.343] (S)ハルキ10: ぺちぺち
[1073.403] bikibiki999: egui
[1076.962] bikibiki999: えぐいｗ
[1078.496] (S)日本語かな: ウッソやろw
[1079.430] (S)ハルキ10: 削りまくり
[1080.476] ともぱい: 詰んでたんか
[1082.813] (S)でかちゃん: つらい
[1085.622] xyz1648: 削り確定のダメがえぐい
[1097.703] (S)ツィッギー: ただゲージは勝ってる
[1099.398] bikibiki999: 取れた！？
[1103.735] だいこん_: ODトルバラン有利長すぎ問題
[1131.397] JustEvets: SeemsGood
[1134.666] xyz1648: あえてリフティング
[1168.863] tomodaachii: LUL
[1172.494] bikibiki999: 相手重点にゲージをぼんやり見てる感じ？
[1174.214] (S)ツィッギー: 水をグビっとねｗ
[1175.748] (S)日本語かな: あんたどんだけ削るわけぇ〜？
[1179.014] Youkan56: 固め長すぎてｗ
[1181.889] (S)ハルキ10: 終わるのかー
[1185.556] kimagure444: CB
[1189.991] だいこん_: SA3並の休憩時間
[1213.948] donachan: うまぁ
[1225.535] (S)ツィッギー: まだある！
[1250.642] donachan: あらら
[1251.856] tabibitox: 残ってた
[1266.716] (S)日本語かな: うおお
[1267.584] seichangman: ん？これいま棒でやってる？
[1274.643] (S)monpiipop: わーい
[1276.339] たかちゃん06: 足りたー
[1281.097] kgjtg: たる〜
[1281.353] bikibiki999: レバレスよ
[1281.936] (S)でかちゃん: ナイス！
[1282.316] (S)日本語かな: ヒットボックスです
[1283.609] (S)ハルキ10: ヒトボだよ
[1292.102] (S)perfecttakahashi: JP 技とか性能考えたら明らかにおかしい気がするけどWW の成績はケンの方が上なんだよね。なんでなんだろ
[1305.828] (S)てべす1103: ウメちゃんが棒でやることはヒトボと契約してる限り無いね
[1305.943] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1313.916] casita226: もう棒にはせんやろ 多分
[1314.680] (S)ツィッギー: ケンのズボンのヒモがめっちゃ気になる・・・・
[1325.664] kgjtg: ゴリゴリ
[1327.525] コークハイ好き: 削りやっべぇ
[1329.156] 0パン2大佐: www
[1329.225] casita226: ブルも飲めちゃう
[1329.348] koga_rashi: 諦めレッドブル
[1329.396] tanaken4815: 画面下のロゴがめにはいらねぃか
[1329.715] (S)monpiipop: ww
[1330.682] (S)日本語かな: w
[1331.866] だいこん_: ∔29∔29∔29
[1332.657] HirocoT: ｗ
[1334.019] けんいちさん: w
[1334.394] WhiteShoreDrive: 水タイムｗ
[1335.705] ともぱい: 絵面やべえ
[1335.960] (S)ハルキ10: w
[1339.246] kimagure444: マジでコレを年１調整で良いのかカプコンｗ
[1344.735] (S)monpiipop: 水分も取れる！
[1352.462] sussy_int: カプコンやさしいね！
[1352.692] (S)軽く捻るか: www
[1354.788] HirocoT: 感謝の心も忘れないｗ
[1354.806] sasa14141: ｗｗｗ
[1355.056] aranami0: カプコンありがとーーー
[1360.489] ともぱい: BOした人が悪いってこと？
[1362.304] だいこん_: LUL
[1366.513] まるまり_: "ありがと"
[1373.290] (S)ハルキ10: カプコンがくれた休憩時間
[1375.216] cochi5: 補水コンボ
[1390.432] みししっぴ1: 年1でがっつり調整するならそれでいいと思うわ
[1398.681] (S)brutal9998: ウメちゃん、ジョなんとかまた配信に出すの？
[1423.222] cha_ske: なんだっけ？なにビンだっけ？
[1437.692] bikibiki999: ジョが前ステ凄そうだから出すんじゃね
[1441.638] baragaki15: ガチャピ？
[1445.366] のりゆき0125: 年1がいつかによる気がする。発売から1年なのか、半年くらいでやるのか
[1448.488] ともぱい: JP側楽しそう
[1452.147] CARNO_JPN: マネージャーがNG出すでしょ
[1457.887] muu1077: うめえな
[1482.957] (S)perfecttakahashi: これまで通りCC終わったタイミングでやって欲しいなぁ
[1492.323] だいこん_: 残るねえ
[1505.341] (S)日本語かな: おおお
[1509.881] (S)ましゅダヨ: うおおお
[1510.805] (S)軽く捻るか: Ｐ
[1512.369] (S)でかちゃん: おお！！
[1518.392] badsalt1118: やっぱすげぇや
[1518.633] Yopomo: go daigo go!
[1527.958] to1043: うめちゃん、みなさん、こんにちは。おじゃまします。
[1541.560] ymi420: TheIlluminati
[1550.338] tyapa95: rtaHello
[1563.784] cha_ske: DinoDance
[1565.047] (S)日本語かな: HeyGuys
[1565.959] bikibiki999: 肉を切らせてなんとやら
[1566.545] (S)~MISSING_COMMENTER_INFO~: GO DaigGO Daigo 
[1568.694] (S)ハルキ10: umeCossack
[1573.514] ymi420: musicb45Eyes
[1576.498] (S)軽く捻るか: PopNemo
[1578.258] ともぱい: 一文字カウンターからのコンボもっと伸びたら楽しいのに
[1585.685] Siriaru0520: 昨日配信外でやってたみたいだけど今日はやってるんやな！よかった
[1594.152] 冷茶夏みしろ: いかに弾幕貼らせないかゲーミング
[1596.915] (S)~MISSING_COMMENTER_INFO~: umeYay
[1608.650] kamiya1979: 全然龍尾打ってなかったのに反応した
[1611.218] ymi420: もうＪＰだけ体力２万でよくね？
[1616.966] (S)日本語かな: 今見たらウメちゃんのMR2100超えてた〜
[1620.561] (S)nakao1976: nakao1976 subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! 
[1634.826] (S)ハルキ10: 天上人や
[1662.046] (S)hoshi_boshi_0: ナイス！
[1662.175] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[1671.194] koga_rashi: 追い上げてる
[1672.879] bikibiki999: なんかバクステの鋭さがマシてる気がする
[1678.135] heijitusan: JP溜めキャラに変更しよう
[1678.896] no_name__yet: 強すぎる技の調整だけでいいから、半年に一回くらい調整してほしい。競技シーンよりも一般ユーザを気にした方がよいとおもうな
[1702.535] (S)gorogorogorn: umeCossack
[1723.811] LCDReturns: Kreygasm
[1726.092] LCDReturns: but ken 
[1737.861] (S)brutal9998: 半年だよなあ
[1743.860] nikkou18: 前みたいに遠目からのラッシュ一辺倒じゃなくなってるー
[1750.637] bikibiki999: 一般ユーザーがそんなに気にするかな…強い＝楽しいでそれを取り上げる事になる可能性もあるし
[1756.529] ホナウド: 弱体化はいらんから下位キャラの底上げでいいわ
[1772.752] ebiebi12: ゲージ温存するようになったね
[1773.924] ymi420: 一度ＪＰつかったらＪＰ以外のキャラが使用不可になるとかどう？
[1779.061] 国府田: 3か月でリーグ変わるんだからそれで変更でいいよね
[1779.852] (S)brutal9998: アッパーならまずはたかしとジェイミーを
[1783.235] badsalt1118: 明確に弱いキャラって誰なんだろう
[1790.261] (S)~MISSING_COMMENTER_INFO~: Akuma wating room
[1792.469] けがに: 全部バフして大怪獣バトルしよう
[1794.428] (S)イエール: はめちゅ、多様性
[1794.645] (S)日本語かな: たかし、ザンギ、ジェイミー
[1795.686] (S)perfecttakahashi: ほとんどのパンピーユーザーにとって最強は本田とかだからな
[1797.013] (S)negimael: 調整の話するたび思うが、一般ユーザーからしたらJPより下位キャラをアッパー調整やろｗ
[1797.654] (S)monpiipop: アッパー調整ならもっと楽しくなりそうだな
[1814.188] nqt_you: 一般ユーザーが盛り上がるのは下位強化じゃないか
[1821.190] のりゆき0125: リュウとザンギを
[1833.254] michio0000: 本田けそう
[1835.859] aranami0: アッパーならマリちゃんのスクトゥムも投げ吸えるようになんのかな
[1838.531] tyapa95: ザンギ使いは喜んでるからザンギそのままで
[1838.652] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[1842.901] kimagure444: ザンギは今くらいの方が平和
[1844.947] nikkou18: カプンコも調整はアッパーメインにしたいって発売前だけど言ってるわけだし、まず１回目はそこ期待しよう
[1848.250] (S)negimael: 今JPJP騒いでるのはプロとプロばっか見てるエアプだけｗ
