[134.995] shiguton: パンだけにパンパンってか
[136.898] (S)ねこ馬場: 江戸
[137.142] amethystbeet: DinoDance
[140.397] foldonigzit: 松井って休養だけど、実質クビってこと？
[141.489] たまご51: ライオンズ優勝させるまでやめないペナントやろう
[142.150] gmkz774: 食いながら配信しろ
[144.104] tyanntyannkwo: 胃もたれ？
[144.154] ゆーまあああ: パワプロ2024来たら配信するの？
[146.307] mooonmi: リップ赤くない！？
[146.742] kkrok9651: もぐもぐかもちゃんしていけ
[147.618] akatuya04: 血糖値スパイク界隈
[148.231] なるへそマークン: HeyGuys
[148.783] ynwnnbf: ニコニコ！？
[149.390] かーと397: 休憩も挟もう
[150.428] たまご51: しゃ４
[151.255] kngw_spygea: まってた
[151.279] sunpower12345: 適宜な
[152.231] mogarisa: なんで立浪と阿部は休養しないの
[152.354] aikoai_dao: しらないわ
[152.528] shiguton: あ
[153.139] jusu_ringo: なにそれ
[153.286] gmkz_258: 歳だねぇ
[154.798] intaisita: ｗ
[154.841] bavaku: なにそれ
[154.853] pjhailmary: 初めて聞きました
[155.012] hatena_893: しゃどば44444444
[155.263] iguana_chan_22: 初耳
[155.370] sein105: もぐもぐタイムな
[155.886] mukaisan_47: シャ4
[156.078] (S)manmu04: デカイケツ
[156.864] amethystbeet: なにそれ
[157.204] Mine_ssbu: シャ４
[157.364] (S)パイモンすこ: シャドウバース...?
[157.844] sunpower12345: なにそれ
[158.145] luka232433: ？
[158.297] kkrok9651: サ終
[158.718] (S)jaden397: シャドウバース？なんだそれは？
[158.815] tyanntyannkwo: なにそれ？
[158.910] sssiiioooooo: 何そのゲーム新しいゲーム？
[160.085] ym0654: あーあのサービス終了したやつか
[160.223] おでまる: なにそれ？
[161.486] ~MISSING_COMMENTER_INFO~: 16時間断食についてどう思う？
[161.646] mooonmi: 緊急シャドバ
[162.303] Doppietta_n: なにそれ？
[162.458] frappe0315: シャドバって、何？
[163.476] luka232433: 面白くなさそうだね
[163.591] (S)ねこ馬場: しゃ44
[163.659] かーと397: 知らないな～
[165.267] ~MISSING_COMMENTER_INFO~: 戦争編まだですか？
[166.578] nin2552: なにそれ 
[166.751] ねもうす人: 何それ？
[166.805] (S)jaden397: 初めて聞いた
[167.815] peacegundam: シャドバのアンケートやった？
[168.643] zepto12e369: 唇どうした？
[168.841] ynwnnbf: ニコニコもシャドバもどっちも4んでるでお馴染み
[169.651] (S)パイモンすこ: 初めて聞く名だね
[169.908] burimoruo: あたらしいげーつか
[171.656] gfryjbgj: 最近ドリルモグラーズのせいで昼夜逆転してきたな。
[171.915] pa_pyrus: 脅されてるのか？
[173.899] sssiiioooooo: 斜視
[174.927] (S)manmu04: やってる人見たことないわ
[174.936] ミルキーベル2: けつデカドラゴンみてたのに…
[175.204] mogimogieigo_ro: 初めて聞くゲーム
[175.306] jmdwjmwtpj: シャドバか
[175.393] モンテ一口: ニコニコって動画上げれるんですね
[176.137] ~MISSING_COMMENTER_INFO~: 誰も知らないゲームを誰も知らない配信サイトに
[176.173] kadeey_: もう誰もやってない
[176.376] mukaisan_47: C級ゲームやめてね 
[176.849] ヴイ丸: 誰もやってないしリーフ
[178.645] (S)ねこ馬場: シャドウバースって、ホラゲーかな？
[179.046] bettiy_nanashi: どこに何を投稿されてる方なの？
[182.779] patch_bobo: 終わってるサイトに終わってるゲームの動画投稿すな
[183.149] mooonmi: サ終
[183.328] おでまる: しゃどうばあす？？？
[183.560] 内野安打王: そろそろ終わるゲームね
[183.904] Doppietta_n: サイゲノイヌ
[184.451] かーと397: 赤い
[185.929] (S)しゆわ: 口紅塗った？
[187.918] sein105: ニコニコ動画ってなんですか？？
[188.633] ペと: ランディバース？
[188.870] pontyoooooo: えどい
[188.947] mooonmi: かわいい
[189.603] sssiiioooooo: 唇みたいだけのほmコメだろ
[190.072] tyanntyannkwo: 今年リリース？
[191.109] mukaisan_47: たらこ唇
[194.475] delyun01: 唇えっど
[194.497] ゆーまあああ: そろそろパワプロ別のシリーズみたい
[195.162] mogarisa: 西武今後どうなるの？
[196.301] kkrok9651: 初見プレイですか？
[198.166] mooonmi: こうよう
[201.873] yutapeso: 口紅塗ったみたいな色してる
[201.988] ynwnnbf: てっとがなぁ
[202.108] タンパク質の塊: 今日も今日とて
[207.180] (S)ミリタオ: ミリタオ subscribed with Prime. 
[209.558] (S)強竜優勝: 敗走しよう
[212.112] kimuramen: 山田と丸がやばい
[212.946] tyanntyannkwo: 初見プレイ
[216.412] (S)manmu04: ほう
[217.706] (S)パイモンすこ: 流石にクリアしよう
[218.720] (S)jaden397: ぜうしつなぜうほう
[219.646] amethystbeet: ほう
[228.268] mooonmi: ぜうしつwww
[231.820] skg1101: ほお
[232.439] kumasanmorino: 今回は本当に救うんですか？
[239.274] bavaku: 試してみよう
[239.857] amethystbeet: 怪我のリスクなしでそれは熱い
[245.869] しがない一般男性: 今日こそは初見で救ってくれ
