[139.668] pamu_8686: わこらだー！
[139.684] peace2691: わこらだ
[139.955] 蒼夜: わこらだ
[140.185] minori0912: わこらだ
[140.281] がむ__: わこらだ
[140.374] zane417: わこらだ
[140.400] risoku_1: risoku_1 subscribed at Tier 2. They've subscribed for 8 months, currently on a 8 month streak! 
[140.403] ﾂﾅﾏﾖﾝ: わこらだ
[140.569] あきぬこ: わこらだ
[140.575] kitune_2525: わこらだ
[140.621] y0co_86: わこらだ
[140.810] (S)hisamo1001: わこらだ
[140.812] 固めのプリン: わこらだ
[141.012] cocoacat1329: わこらだ！！
[141.029] daybreak7070: わこらだ
[141.765] (S)ひきわり納豆巻き: 豪華メンだー
[141.786] asu_220: わこらだ
[141.978] 53です: わこらだ
[141.999] タクトン: わこらだ
[142.073] にゃっとーみるく: わこらだ
[142.271] (S)bc_moimoi: わこらだ
[142.380] 819kurosiro: わこらだ
[142.485] 紙ぶくろ: わこらだ
[142.490] nanoha__27: わこらだ
[142.663] ~MISSING_COMMENTER_INFO~: わこらだ
[142.703] ももかきぴー: わこらだ
[142.764] r0ckb__: わこらだ
[143.102] まっちゃいぬ: わこらだ！
[143.152] (S)マスクさん: こわ
[143.281] (S)naruka_ik: わこらだー！
[143.523] marugoto_budo: わこらだ
[143.572] ebisu0110: わらこだ
[143.726] ayunosioyaki0223: wwwwww
[143.927] Pearl0528: この時間はびっくり
[144.130] kurufu1022: わこらだ
[144.500] からたべ: wwwww
[144.540] syuuka44: わこらだ
[144.606] sanpo1234: わこらだ
[144.943] 無酵素: わこらだ
[145.385] siki1341: わこらだ
[145.464] puyopuyokun: わこらだ
[145.501] naniaitennen: わこらだ
[145.503] こんぶたろー: わこらだ
[145.572] (S)にじと: radaoWakotu
[145.996] (S)westNaF: わこらだ
[146.212] (S)mamo_tarou: 10人！！
[146.242] 雪都: わこらだ
[146.624] meigetsu_815: わこらだ
[146.841] Taiyaki_Neko1250: わこらだ
[146.973] (S)麗葉: わこらだ
[147.023] metaaaaa132: わこらだ
[147.068] はえちゃん: わこらだ
[147.093] (S)ニコ丸0429: わこらだ
[147.212] (S)~MISSING_COMMENTER_INFO~: 宇宙人狼おいしい
[147.558] (S)radaofan1995: radaofan1995 subscribed at Tier 1. They've subscribed for 2 months! 
[147.782] まぐやた: わこらだ
[147.826] maria_coc777: 焼きパンname変わったんだ
[148.109] (S)bibi77770: radaoWakotu
[148.633] 甘れもん: わこらだ
[148.790] (S)mikan_san: 全肯定マン
[148.905] purinkeizi: わこらだ
[149.045] poteito: わこらだ
[149.079] chiruru_iv: わこらだ
[149.129] onunume: わこらだ
[149.153] くいんと: わこらだ
[149.663] yamano_nono: わこらだー
[149.934] urokoroko: わこらだ
[150.012] hatimitu_san: 権力振りかざすじゃん
[150.341] touyaco: わこらだ！
[150.347] gahou123: わこらだ
[150.550] rakki0612: わらこだ！
[150.650] (S)ずみこ: ずみこ subscribed at Tier 1. They've subscribed for 4 months! 
[150.803] bonnkura_: わらこだ
[150.886] (S)lunatic2525: lunatic2525 subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! わこらだ
[150.971] runa80: 運営いる嬉しい
[151.066] (S)柴桜: わこらだ
[151.325] ちゃんぽむ: わこらだ！
[151.594] radao3suki: わこらだ
[151.774] rira_nyan: わこらだ
[152.067] さゆうやじるし: わこらだ
[152.232] pand5011: わこらだ
[152.386] kaenntake_sabu: わこらだ
[152.596] koba_kuraudo: わこらだ
[152.783] ちゃんみょ: わこらだ
[152.859] yananann: わこらだ
[153.279] (S)kujirai___: !title
[153.467] (M)Nightbot: @kujirai___ -> Current Stream Title: らだきょーコンぐちたらあろかねそめパンしょぼで宇宙人狼
[154.188] shiopo_: わこらだ
[154.334] unkoame: unkoame subscribed at Tier 2. They've subscribed for 4 months, currently on a 4 month streak! 
[154.376] kukukiki1220: わこらだー
[154.436] shake_maruru: わこらだ
[154.539] (S)setuna_1225: わこらだ
[154.551] がやちゃ: わこらだ〜
[154.865] ponpoko3346: わこらだ
[155.630] 072555315: わこらだ
[155.770] (S)ドコサヘキサエン: www
[155.821] ひのめ: わこらだー
[155.973] butaachan: wwwww
[156.796] (S)worry_14: わこらだ
[156.856] samidare296: わこらだ
[156.858] きのここ: わこらだ
[156.956] bonnkura_: わこらだ
[157.252] smile_raku: メンツ豪華やねぇ〜
[157.413] (S)maimari46: わこらだ
[157.472] (S)lv_0_: www
[157.698] misotoooo: ww
[157.969] (S)me_kon: わこらだ
[157.991] moka_0819: わこらだ
[158.484] aichan_0000: わこらだー
[158.654] byakuya_557: わこらだ
[158.969] るきち: わこらだ
[159.046] (S)涼です: raikaaa0878 subscribed at Tier 1. They've subscribed for 3 months! 
[159.312] kusatta_niku426: www
[159.330] (S)karasu57: wwwww
