[1291.783] (M)(S)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1292.964] (S)さとーるの: なんで観ようと思ったの
[1297.114] blackuma: 原作の墓場鬼太郎見ればええ
[1298.822] CARNO_JPN: 長年のファンでないと楽しめない？
[1305.284] jigojigo: なんで着てるか気になったこと無いからな
[1305.434] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1309.514] (S)イエール: 墓場鬼太郎ガチ勢なら楽しめるのか
[1310.820] 犬舐めんなよ: あへあへあへー
[1311.046] NordicYukI: ネタバレになっちゃうから言葉選んでる？w
[1312.242] ninsoku: そうそう
[1312.399] tabibitox: あへー
[1313.163] (S)ねぴネピ: 女性にめっちゃ人気って聞いたよ
[1313.529] lutz001: 原作の設定とは大分違うんでしょあれ
[1314.816] chin_56_: ｱｯﾍｰｱｯﾍｰｱｯﾍー
[1315.718] kawasak1n: ｗｗｗ
[1325.333] nao_1741: 横溝正史の八つ墓村とか好きならいける
[1329.053] 無心に: へぇ、ではなく、あへぇ
[1345.901] johndoe6523rp: なるほど
[1348.419] lucentsnow: 好きならたまんないやつか
[1356.416] pyamaaaa: ウメちゃんこんばんは〜
[1357.407] jojoxxxxxxxx: まあ普通と。
[1357.550] (S)イエール: テーマソングは一緒だった？
[1370.330] v_harumi_v: 新しい妖怪とか出てくるのかしら？
[1371.990] gorogorogorn: アニメかあ
[1376.696] pettan_omochi: 最近の鬼太郎見てる人ならもっと刺さるんかな
[1377.035] kahaku91: バディ物として受けてるみたいよ
[1379.452] ninsoku: BLファンが多くついてる印象
[1394.039] (S)gularain: 最近のアニメに続くとか聞いた
[1394.345] katsuo73: あれ？ちゃんちゃんこって誰かの髪の毛とかじゃなかったっけ？勘違いして覚えてんのかな俺
[1395.827] lucentsnow: ねずみ男でてる？
[1405.254] (M)gameinntwitch: 相棒みたいなことかな
[1406.685] ichi_gatsu: 相棒的な？
[1408.167] jigojigo: コナーとハンクみたいな
[1410.197] chocolat1234: 🐀
[1412.244] goozy009: 墓場の鬼太郎をキチンと説明した目玉の親父の物語って気がしました
[1415.057] (S)さとーるの: 目玉の親父ってミイラ男じゃなかったっけ
[1421.103] びっくすまん: ウメちゃん風呂上り？
[1421.463] (S)simatarow: 鬼太郎最近もアニメやってんだ
[1422.006] v_harumi_v: あー、相棒ってことなのかー
[1424.327] (S)uber_takaine: めんおじみたいなことかな
[1426.959] kaki4675: 今のシリーズ追ってないからか
[1432.992] v_harumi_v: そうなるとRRRみたいなのもバティものなのかな
[1440.624] (M)gameinntwitch: つまり相棒ものが好きな女性向けでもあるってことか
[1446.703] gorogorogorn: ゆめこちゃんいた？
[1453.292] CARNO_JPN: 職場の女子は「親父カッコいい」と言っていました
[1462.395] v_harumi_v: つまりタイバニってこと？
[1465.416] jojoxxxxxxxx: 最近ネコ娘がかわいくなってる
[1476.730] katsuo73: ネコ娘が萌え化したあたりから追えてない、今も萌え娘だった？
[1481.630] kahaku91: 理解
[1482.193] ichi_gatsu: タイバニもバディものだね
[1482.755] (S)uber_takaine: ！？
[1488.530] 吉田じんぎ: お湯沸いた
[1489.482] (S)イエール: え
[1489.839] ninsoku: 着物男子とスーツ男子のコンビもの
[1490.994] potocki1810: びっくりしたｗｗｗ
[1496.960] latenight000: バディモノにしたことで、女性ウケもよくなった形か
[1500.845] chin_56_: 猫娘可愛かった💓
[1504.609] (S)simatarow: 定番よね
[1507.503] (S)uber_takaine: ねこまた
[1509.209] erisuk: ネコ娘途中で娘じゃなくなってたけどあれなんだんったん
[1510.609] はっぴーたいむ: オカリナ使わなくなったよね
[1511.062] v_harumi_v: へー
[1511.357] (S)ねぴネピ: 鬼太郎の設定を知るって目的じゃなく、親父かっこいいで女性に人気が出たみたいです
[1512.376] 何も知らないジョンスノウ: 墓場の鬼太郎は面白いよね
[1513.574] (S)uber_takaine: 解せぬ
[1516.459] (S)gularain: 猫娘ちょっとかわいくないくらいのがいいな
[1517.668] gorogorogorn: そっちかあ
[1520.962] CARNO_JPN: イケメン2人いれば、オッケー！
[1523.943] (S)uber_takaine: ほもおなの？
[1526.079] v_harumi_v: 誰とバディなんだろ？目玉さん？
[1529.986] pettan_omochi: バディものといえばリーサルウェポンじゃんねぇ
[1531.818] (S)y_proto: 何故人気かよくわからないものは大体そう
[1532.969] yamapon_: 一部界隈ではジェネリックfateとしても人気ある
[1542.272] lutz001: キャラとシチュが全てよ
[1543.235] lucentsnow: そっちに舵切ったのすごいな
[1543.600] katsuo73: 腐の者にウケてるのね
[1546.251] 0208h: まあそういうことだ
[1546.686] latenight000: 目玉の親父「ワシが客層を広げる！！」
[1547.740] (S)uber_takaine: 腐女子は金落とすね
[1547.917] (S)simatarow: バディものはあぶない刑事が好きです
[1553.341] jigojigo: みんなそう言ってたでしょ！
[1554.107] goozy009: 一反木綿のギャグシーンが欲しかった
[1559.155] (S)イエール: 水木しげる？
[1563.149] ichi_gatsu: 水木先生！？
[1564.780] (M)gameinntwitch: ？
[1565.402] (S)moppu_gake: 作者！？
[1567.541] v_harumi_v: しげるの水木？
[1568.328] gorogorogorn: 水木本人出るんだｗ
[1568.805] kaki4675: 水木我生きとったんか？！
[1576.250] kztisi: きたろう
[1576.803] v_harumi_v: へーー
[1578.231] (S)イエール: 生きとったんかワレェ！
[1579.354] マンゴスチン: はへー
[1580.100] pettan_omochi: やっぱ片腕なの？
[1583.675] (S)uber_takaine: あるよね監督がでてくる作品
[1587.523] ninsoku: 水木っていう血液銀行社員
[1590.735] 箸くれ: え？
[1597.007] bobonchuaaaa: バグだろw
[1598.331] erisuk: 人間のモブってコンスタントにはでてもんな
[1599.856] (S)イエール: 本人じゃん
[1600.165] tabibitox: 下層すぎる
[1600.552] samuge_tan: キャラの顔って昔のひょっとこみたいな顔？
[1602.940] (S)さとーるの: 鬼太郎の母親もでるの？
[1602.986] 箸くれ: 791は見たことない
[1603.851] jigojigo: こなき爺と砂かけババアのバディは無しか？
[1605.368] leguu_: 791 mmr 
[1605.383] kaki4675: 片腕アウトなんか
[1605.610] (S)y_proto: ルークでどうしてそうなる
[1606.234] yamapon_: 自分はfate味を感じて盛り上がってた
[1620.784] lutz001: 狂言回し的存在
[1623.865] erisuk: 左腕無いなら水木や
[1624.041] moririka755: バグ？
[1624.465] chicken_dumpling: SF6 matchmaking 
[1624.473] katsuo73: そういやウメちゃん、今日の京王カップのふり～ださんのコスプレみた？居
[1625.107] (M)gameinntwitch: 技出してラッシュしてる時点で７００はおかしい
[1648.150] 吉田じんぎ: もしかしてここまで下だと逆に2000以上と戦えたり？
[1650.417] tsubame0614: 791は見た中で最小だ
[1651.807] goroutai: どこまで下げられるかチャレンジしてる？
[1656.380] kztisi: やす
[1656.519] katsuo73: すごいMR だな
[1658.750] lucia_morgan: チートじゃないよね
[1683.587] tabibitox: 2200がいるんだから800がいてもおかしくない
[1688.686] une3333: こんばんはー
[1695.072] katsuo73: わざと落としてないこれ？そこまでよわい？
[1698.457] (S)イエール: アメリカ大陸に最初にたどり着いたやつの気持ちみたいなw
[1706.164] (M)gameinntwitch: ふりーださんとスト4してた動画懐かしいな
[1707.216] une3333: なんかすごいもっさもさな髪型w
[1708.685] chin_56_: ( #ﾟдﾟ)=○)ﾟД)
[1713.845] katsuo73: このコンボできるなら700にならんやろ
[1716.981] syouyuireppa: コントローラー変えたんじゃね
[1717.653] gorogorogorn: ２２００代がいるからその逆と思えば
[1718.403] pettan_omochi: 6にも放置勢いるんかな？
[1731.855] erisuk: なんかの間違いでマスター行ってしまってもこんなに負け続けるとかどうなってん
[1736.212] anz121823: うめさんLCQ行くんですか？
[1736.535] (S)きしー: mondってマシュマロみたいな感じ？
[1739.166] ryokucha2000: ryokucha2000 subscribed with Prime. They've subscribed for 10 months, currently on a 4 month streak! 
[1740.137] lucentsnow: まぁたぶんわざと落としてちゅーちゅーして嫌がらせしてまた下げるんちゃう
[1741.601] jyunniti870: www
[1742.083] chin_56_: ( #ﾟдﾟ)=○)ﾟД)
[1743.652] ウィルスミスビンタレベル8: そういうとこやぞ
[1750.306] latenight000: 一応、レーティングの上限下限は似たようになるはずだからね
[1753.657] katsuo73: ガチの700ならこんなにウメちゃん削れないやろ
[1763.598] potocki1810: ｗｗｗ
[1767.649] nao_1741: マスターになるとダイヤに落ちることは無いんだっけ
[1769.988] syouyuireppa: そういや40代って次いつでしたっけ
[1778.057] goozy009: 明日
[1782.400] gorogorogorn: マシュマロの代わりにする感じ？
[1782.607] (S)野原しんのすけのぞうさん: MR吸い取り用のサブ垢かもしれん
[1791.236] woodmud: バグじゃなかったらわざと下げているんだと思うが
[1800.223] syouyuireppa: 明日か。あざます
[1801.839] marukei88: 弟にやらせてたんやろ
[1809.082] tabibitox: じょんくん
[1809.568] (S)y_proto: いつもの
[1812.808] lucentsnow: ジョンきゅん
[1816.105] v_harumi_v: ４０代は明日の２１時～だよー
[1817.106] (S)イエール: FAQ）配信部屋変わったよ。40代の集いは明日だよ。Daigo is going to LCQ（ウメちゃんLCQ行くよ）。
[1818.900] tsubame0614: と、思ったらジョン竹じゃん
[1828.579] (M)gameinntwitch: 多分昨日の14時間大会でみんな疲れ果ててんじゃない
[1835.782] 何も知らないジョンスノウ: ウメちゃんクリップでこくも蛇足さんも爆笑してたよw
[1851.785] johndoe6523rp: 流石にトパチャリ最後まで見れんかった
[1852.839] katsuo73: ふり～ださんのコスプレ見て、またビースTVのコスプレ大会見たくなったな〜
[1869.807] (S)きしー: 今日も大会だったしねー
[1872.729] (S)イエール: ウメちゃんがベーコンのコスプレしたやつねw
[1873.443] takahashiseigi: 昨日の大会は深夜2時超えてましたからね
[1877.264] one596: 14時間やった事でガチくんが1日に2優勝という快挙が生まれた
[1906.376] katsuo73: 鉄拳新作やってる勢が多いかもね
[1906.502] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1928.954] one596: 皆鉄拳触るって言ってたからね
[1953.449] (S)uber_takaine: シレンもあるし龍が如くもでた
[1954.781] だいこん_: ウメちゃんこんばんは 
[1955.973] erisuk: 上位ランク対の人がほとんど行くとは思えんが
[1960.023] latenight000: ゲージの使い所諸説ある
[1963.405] NordicYukI: 配信部屋の後ろにがちゃがちゃ小物が無いとなんかモノ寂しいねw
[1964.103] bobonchuaaaa: 鉄拳のゴーストAI機能めっちゃ気になる
[1964.999] yayayujin: 鉄拳 パル シレン 色々ある
[1965.429] potocki1810: ｗｗｗｗ
[1967.539] sphere0315: エド来るまでは鉄拳勢はお休みか
[1968.185] (S)gularain: 旅のお供に
[1970.303] (S)イエール: ウメちゃんドック買ってシレン配信やろうぜぇ
[1973.917] (S)じゅーくぼーい: ウメちゃん！こんばんわ！
[1979.440] ragdoll303: シレン見たい！
[1981.558] 0208h: やればいいじゃないかー
[1982.429] ponokakillme: シレン６スイッチだよ
[1986.104] one596: LCQの飛行機用やなシレン
[1986.991] gorogorogorn: シレン好きなんだあ
[1987.549] ak13ai: ちょうど同じMR
[1989.627] johnnyppas: おこぼれ軍団辺りとシレン並走配信してほしい
[1989.862] apri051: シレンみたいな
[1990.091] (S)uber_takaine: スイッチかえしてね
[2001.236] mikaze0001: だんごさんがシレンやってましたね
[2009.025] NordicYukI: 今作のシレンはほんといい、1.2がベースのシステムになってる
[2009.562] gorogorogorn: 三ちゃんも好きだったね
[2010.802] katsuo73: やりたいやりたい言うとまたプレゼントされちゃうよ 
[2011.187] kahaku91: LCQで一生できるよ
[2012.308] シミズム: Switchもそろそろ新型出してもらいたい
[2014.146] shokupan_10301220: 昨日りょうが如く買っちゃった♪
[2020.137] sphere0315: 同じMRで順位が違うのはなんの差？
[2026.282] (S)ぎんぎらぎん: うめちゃんちすっげー明るい後光がさしてるみたいだ
[2031.042] (S)じゅーくぼーい: 40の集い楽しみ！メンおじ様アナウンスありがとうございます！
[2060.115] (S)イエール: メンおじピン留めおつおつ
[2061.628] katsuo73: シレンは長距離フライトにもってこい
[2080.797] makibisi8787: SA2回こわい
[2083.843] (S)黒猫くん: やあウメさん
[2085.248] shokupan_10301220: 子供の頃新しいソフト買ったらワクワクしてたなぁ
[2087.415] goozy009: 遅かった(笑)
[2090.073] une3333: お、ジョン竹くんだ
[2091.232] goozy009: 定期 LCQ参加します。出発は2月 40代は29日（明日）ゲームは決まってない 次の闇話題は1週間は空けるけどまだ決まってない 多分キャサ夫さん出る シレンは、やりたいけどSwitchのカートリッジ不調で配信ではやらない。 鬼太郎の映画は見た。 戦国ラーメンの向かいの弟子の店に行って美味かった。 豪鬼は使う予定
[2093.774] erisuk: 基本的には先に到達した方が上になると思うが前同率になってたりしたから内部の小数点かもね
[2105.244] tabibitox: もう2本目溜まりそう
[2131.170] lucia_morgan: やっぱりガチくんと全然ちがうタイプな気がするな
[2145.256] (S)イエール: ドックじゃなくて、カートリッジが不調なんだっけ？
[2146.048] sphere0315: 5とか6で参戦したキャラってみんな技名叫ばないよね
[2149.020] oyukakete3min: kskがパルワールドの格ゲーマー鯖立てたけどウメちゃん興味ないのかな
[2161.171] goozy009: あっ、ドックでした
[2161.195] une3333: ガチさんCCに向けてやりまくってるしラシード勢つよいつよい
[2184.482] niemalsaufgeben: インパクトも押せる
[2191.766] (S)イエール: でも定期ありがとーー
[2213.124] へちさん: わあ
[2224.506] goozy009: 更新しておいたので、次はキチンと書きます。
[2226.950] (S)ましゅダヨ: ましゅダヨ subscribed at Tier 1. They've subscribed for 8 months! 
[2275.851] もきち555: やほー ウメちゃは昨日なにしてたのー？
[2278.574] (M)gameinntwitch: そのインパクトは風みたら押して良いってことなのか？
