[1054.536] inuxuu: マップを消して100キルとかでるかな？
[1058.780] rere_3619: lo.l
[1060.346] hirohash1: lol
[1061.374] sensyagokko: 右下…ろ…る…
[1067.630] ぽむ帝: きたああああああああああああああ
[1068.681] いたまえ: お
[1070.765] gmpwamtwhdpwj: きたぁぁぁぁぁぁぁぁぁぁぁぁ
[1072.138] muto_6: プレステージきたあああああああああ
[1072.342] arlingtonnnnn: まさか
[1074.225] カナ口ア: プレステージｷﾀ━(ﾟ∀ﾟ)━!
[1075.707] herushia1: 視野欠損の民です、ミニマップの場所変更ありがとうございます 
[1075.789] w0r1: ガンスミスいらない、、、、、どうせWZがらみか
[1077.328] 96nowa: うおおおおおおおおおおおおお
[1077.839] tkm531: おおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお
[1079.668] なぽりぽり: うおおおおぉ
[1080.765] mitarashidesu: おおおおおおおおおおお
[1086.527] inuxuu: まじか
[1087.938] 立直一発ツモい: リセットおおおおおおおおお
[1091.653] algometarica: 愛されてきたか？
[1091.765] inuxuu: ハマっちまうやん
[1092.113] 顔パンパン: 最高や
[1092.613] いんちょう: wtf
[1092.879] muto_6: 永久アンロックトークンうおおおお
[1094.149] ﾐﾁ: やり込み要素きた
[1095.213] realpizza2: 最近なかったのか
[1095.465] takimonn: 最高！！
[1096.050] カナ口ア: あつすぎ
[1098.645] がみちゃそ: おっほ♡
[1100.167] ramunen0612: やるっきゃねぇ！
[1107.851] gmpwamtwhdpwj: くそなつい
[1112.751] (S)soh_96: なっつ
[1112.790] (S)可能性の獣1: なつすぎやろww
[1113.450] ソラニン386: なつすぎる
[1116.901] カナ口ア: なつすぎ
[1118.151] (S)あのがわ: でも俺らもう時間ないよ…
[1119.204] arnananan: ダサカッコイイやつ
[1124.068] (S)桜井景和: 実家
[1126.230] mottyamotya29: きたああああああああ、これで強いやつぶっ殺すのが脳汁
[1126.803] arlingtonnnnn: また廃人になってしまう…
[1128.324] カナ口ア: え？死体撃ちした？
[1128.411] いたまえ: ださいんだけど威圧感すげえやつな
[1128.647] inuxuu: BO3と同じ柄か？
[1129.911] rei_zz0: わらつーぶりとか？
[1136.441] いたまえ: あ
[1137.659] (S)あのがわ: ；；
[1137.909] 仮字: あ
[1138.855] gmpwamtwhdpwj: あ
[1139.321] nenemuishi: あ
[1140.025] mw4minen: あ
[1140.315] ぽむ帝: あ
[1140.323] がみちゃそ: あ
[1141.297] arnananan: BloodTrail
[1141.766] mitarashidesu: ；；
[1142.296] オカっち: BibleThump
[1142.661] ゆーーーげん: BibleThump
[1142.879] 96nowa: あ
[1143.864] はとむぎ化粧水: 俺は何故か時間あるよ〜
[1144.576] yottando_o: みんな大人になっちまった
[1146.939] ﾐﾁ: BibleThump
[1147.140] ramunen0612: あ
[1147.582] takimonn: BibleThump
[1150.423] いたまえ: みんな大人になったんだ
[1151.556] dlowgswmia: BibleThump
[1152.545] inuxuu: ；：
[1152.627] xeno7050: 時間よこせ😠😠😠
[1153.658] ponyonosioyaki_: 俺も何故か時間あるわ
[1154.085] algometarica: cod民、みんな三十路か
[1156.652] ginoza_1121: あの頃のガチみんな大人か
[1159.537] いたまえ: お
[1160.009] besqtv: BO1のプレステかっけー
[1160.091] samidare7023: やらせてくれ
[1160.237] ぽむ帝: みんなニートになろう
[1162.362] カナ口ア: え！？スキルあり！？
[1163.700] glrace: プレステージは嫁と子供にやらせるわ！
[1163.928] mottyamotya29: 定時で帰れるんで余裕です 
[1164.375] blacksamurai0622: 老兵達戻ってくんのかな
[1165.479] がみちゃそ: ぼど、あのころの民はみんな大人よ、、
[1165.718] muto_6: 長い目で見たらやり込みは無限
[1169.115] gmpwamtwhdpwj: スペシャリスト？
[1169.236] あくだまきん: プレステージリセットかけてカスタムやんべ
[1170.669] (S)にこ722: ニートになりてえ
[1171.803] decoy_55: マップとかもかなり作り込まれてそうかな？
[1172.082] fumi_fumi777: 働かなければいいだけだよ
[1172.960] いたまえ: スペシャリスト的な？
[1178.306] _べぃす_: ゴーストおもいだす
[1183.712] (S)桜井景和: シアター復活
[1184.456] inuxuu: 固有か？
[1188.732] phantaro241: DXファ… ファ…
[1188.820] カナ口ア: 分かってるなぁTryarch
[1189.086] rqvyzz: シアターか
[1190.875] samidare7023: これおいくら万円？
[1193.997] はくだ: シアター大歓喜
[1194.641] つき____: 最近のFPSと一緒でコミュニケーション超大事になりそう
[1197.158] kitora221: ゾンビは？
[1209.701] カナ口ア: ｷﾀ━(ﾟ∀ﾟ)━!
[1210.402] glrace: XDってまだ流行ってる？
[1210.479] gekojp: 有給20日残ってて良かった…ガッツリやるぞ
[1212.232] rei_zz0: エックスディファイアント丸かぶりなのに買い切り大丈夫か？
[1213.013] うえはらあいこす: ボリュームえぐすぎない？
[1213.049] t4kc56f: 今回気合い入ってんね
[1213.280] はとむぎ化粧水: ３レーンだよなぁ！
[1214.045] 顔パンパン: 3レーンうおおおおおおおおお
[1215.778] カナ口ア: 3レーンは神
[1216.320] 自宅警備中です: やりこも
[1217.558] くゆるさん: リメイクもうええねん
[1220.607] (S)可能性の獣1: 3レーン神
[1220.842] takimonn: 神
[1220.880] 96nowa: 神
[1222.429] kumatiki: いいね
[1224.505] くゆるさん: 神
[1224.525] inuxuu: ニュークタウンは？
[1226.535] nepia112: 3レーン助かる
[1226.613] n_ff_re9: いいね
[1226.644] herushia1: 最高
[1230.111] dogapple_90: 仕事辞めるかー^^
[1236.652] ぼららす: 買い切り無くてもゲーパスがあるからマイクロソフト様がお金を下さる
[1241.873] rosh_fever: 3レーンってなに！？教えて！！！！！
[1247.690] (S)桜井景和: 仕事やめてぇ～
[1249.141] sensyagokko: すまんニートいくわ
[1250.340] arlingtonnnnn: きたああああああああ
[1251.235] na_bike: これでコケたら終わりぐらい期待値高い
[1251.477] muto_6: 凸砂目線も3レーンが助かるよな
[1252.172] gmpwamtwhdpwj: く、くる
[1252.911] ぼららす: ゾンビモードでええええええええええす！
[1253.384] がみちゃそ: ゾンビうおおおおおおおおおおお
[1254.779] tkm531: きたああああああああああああああああああああああああああああああ
[1255.652] カナ口ア: @rosh_fever 道が3つある
[1256.411] 立直一発ツモい: えええええええええええ
[1256.556] arnananan: 本命ね
[1258.355] tqrnished: きたああああああああああああああああああああ
[1258.516] mitarashidesu: うおおおおおおおおおおおおお
[1258.554] 96nowa: うおおおおおおおおおおお
[1259.198] はとむぎ化粧水: ゾンビ待ってました
[1260.117] vg7wr: ほんまに今回わりと戻してきてるんよなw
[1260.272] いんちょう: あっちいいい
[1261.338] inuxuu: きたああああああああああああああ
[1262.474] mottyamotya29: きたあああああああああ
[1263.010] カナ口ア: ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[1263.229] セロセロイ: BOといえば
[1263.448] 二十歳: boだったらいくら旧マップ擦ってもいい
[1266.073] nokin9822: 音楽かっこいい
[1266.487] xeno7050: やっぱりゾンビだよね
[1268.564] mottyamotya29: ゾンビすこ
[1268.792] gmpwamtwhdpwj: きたぁぁぁぁぁぁぁぁぁぁぁぁ
[1270.409] arlingtonnnnn: よっしゃあああああああ
[1270.625] カナ口ア: 待ってたのよこれを
[1270.850] minatornado: CWでゾンビ初めてやったけどおもろすぎて200時間やった
[1275.548] (S)桜井景和: ２つ
[1277.424] DieselakaKEIYU: やっぱラウンド制よ
[1278.050] がみちゃそ: boっつたらゾンビよ
[1283.131] tadotti0622: boと言ったらよ
[1285.225] inuxuu: っぱラウンドよ
[1290.436] カナ口ア: バックアパンチ！？
[1290.956] 立直一発ツモい: bo2のバスのやつ好きだったなあ
[1297.831] (S)可能性の獣1: ガチで別ゲーだよな
[1299.204] xeno7050: 最初から2mapまじか
[1299.439] ﾐﾁ: レイガンあるんかな
[1301.037] rqvyzz: bo2のゾンビ一生やっとったな
[1301.314] はとむぎ化粧水: これゲーパスはまじで流行るかもな
[1302.667] yakiniku32: いつなんよ
[1303.346] r_prototype: ゾンビエスケープ求む
[1303.440] ssgss12: bo6盛り上がってくれー
[1308.177] glrace: 定価10000円くらい？
[1310.611] ramunen0612: ラウンドの方が時間忘れられるから好き
[1311.089] うえはらあいこす: 正直買いです
[1312.770] がみちゃそ: アクティブゾンビやめてね 
[1317.363] inuxuu: 新規参入できて欲しいわ
[1320.185] はくだ: 月850円やっけ？
[1322.202] カナ口ア: RCXDえぐい
[1322.852] daiyamond_popai: BO3でCOD離れしたけど、これは老兵も戻ります。
[1324.592] gmpwamtwhdpwj: よく10000以内におさえたよな
[1331.909] mottyamotya29: ラウンド制続けてくれてありがとう😊
[1333.667] ヤサイマシアブラカタマリ: come back L9knew
[1337.249] ssgss12: 9800円やっけ
[1343.723] ry10968: ボドこれのプロモーションでアメリカ行くのか？
[1345.253] muto_6: ベータ無料にして欲しいな
[1346.994] vg7wr: あきだすw
[1347.355] inuxuu: ガチャ要素も教えてくれよ
[1348.996] yottando_o: 石丸市長もニッコリ
[1349.895] カナ口ア: プレデターミサイル！
[1349.946] ぷくぷく茶碗: マジ楽しみ
[1357.366] takimonn: 楽しみ
[1359.779] rei_zz0: ベータ無料にしてくれたらやる
[1362.944] ramunen0612: 先行プレイ来てない？
[1363.671] 96nowa: ｗｗｗｗ
[1363.707] nokin9822: はなせ
[1366.585] ﾐﾁ: www
[1366.782] vg7wr: No
[1368.825] がみちゃそ: 今年は不作って言ってごめんね
[1369.545] takimonn: www
[1370.251] t4kc56f: ダメなんだよねw
[1371.342] はとむぎ化粧水: ベータとかあんのか？もうすぐ発売じゃね
[1373.714] ちけちけ: noooo
[1374.806] maru__2127: ww
[1376.635] ゆーーーげん: ブラックアウト、、、
[1383.112] xxyamaxx1992: ネタ枠やんw
[1384.175] arnananan: wzはmw寄りだしなぁ
[1384.219] t4kc56f: あれクソおもろかったよなあ
[1387.010] キンドル: リークされてるよ
[1389.091] xeno7050: さっきから人盾するところがあるけど出来んのかな？
[1391.206] muto_6: ブラックアウトくらいが丁度いいよなあ
[1392.285] sonnanikowaikanew_era: ロードアウトいらん
[1392.509] minatornado: アタッチメントはマジで拾わせて欲しい
[1394.931] (S)soh_96: ブラックアウト普通におもろかった
[1395.528] Katonbo_B: ね
[1403.098] dogapple_90: ベータ無料で新規どんどん呼んで欲しいわ
[1403.778] しゃけ200: ブラックアウトおもろかった
[1406.884] gmpwamtwhdpwj: 流石に戻るやろ〜w
[1413.389] 少しふぉくしーー: ネイマールも大好きブラックアウト
[1416.405] nokin9822: グラップルあったしな
[1424.573] (S)あのがわ: プリセットゲーすぎたか
[1434.506] rizuttv: 正味チーターに壊された
[1442.081] カナ口ア: ゾンビ暑いなぁ
[1442.814] 二十歳: ガチャ来て欲しい
[1444.163] らふすけ: ブラックアウトでハセシンにころされた
[1445.730] mottyamotya29: お願いだからCOD盛り上がってくれ、
[1451.746] ssgss12: ゲーパスでっかいんだろうな
[1453.166] glrace: 嫁とよく画面分割でやってたわーｗその嫁は今となっては…
[1461.809] ゆーーーげん: BibleThump
[1463.969] mitarashidesu: ；；
[1464.863] t4kc56f: ウッズ取るまで寝れ待てん待ってるね
[1469.481] ニシタニ: MercyWing1
[1469.889] がみちゃそ: @glrace 
[1472.930] tadotti0622: ブラックアウト既存のマップ複合させて作ってたの良かったわ
[1481.220] rqvyzz: 冷戦後言ってたから定番武器多そうやな
[1483.949] a8mahman: ww
[1484.450] いたまえ: はっやｗｗｗｗ
[1486.688] キンドル: うぉー
[1486.836] dr__mash: はやくテンカウントに戻してね
[1487.711] mitarashidesu: はっや
[1488.047] (S)はむはむ_: ｗｗｗ
[1490.320] ぷくぷく茶碗: ｗｗｗ
[1490.385] arnananan: まあこれはw
[1490.412] 立直一発ツモい: wwwm
[1493.987] inuxuu: うおw
[1496.356] ssgss12: 新登場の武器もあるとか
[1502.743] ponyonosioyaki_: まずい
[1504.185] arlingtonnnnn: 早くやりてー
[1507.478] gmpwamtwhdpwj: いいねぇ
[1508.059] a_b_c_d_e_fu: さてと
[1511.544] 420Raiden: 楽しみすぎる
[1512.483] wh1skey_55: vodkav2Good
[1515.501] いたまえ: 暖めただけあるなって感じする
[1515.992] (S)あのがわ: これは目頭にくる
[1517.738] ssgss12: ハセシンも戻ってきてな
[1520.660] yakiniku32: はやくやりてえ
[1524.546] (S)桜井景和: ゴブルガム復活あっつ
[1527.203] いたまえ: ｗｗｗｗ
[1527.444] gmpwamtwhdpwj: これはハセシンも戻ってくる
[1529.316] がみちゃそ: ゾンビの時だけ戻ってくるリア友いるから楽しみだわ
[1530.720] arnananan: boはほんま頼むぞ
[1530.783] inuxuu: 太田も戻ってきてくんねぇかな
[1531.015] gudaplay: アタッチメントとかもpick10システムっぽい画像あったからな
[1533.591] (S)あのがわ: うおおおおおおおおおおおおおおお
[1533.884] vg7wr: うおおおお
[1534.314] 420Raiden: うおおおおおおおおお
[1534.541] sugiura_bk: きたああああ
[1534.774] decoy_55: 3レーンが楽しみー
[1535.028] ぽむ帝: おお
[1535.215] いたまえ: お
[1535.646] yochubeats: 相変わらずうるさいなｗｗｗ
[1536.517] (S)桜井景和: きたあああああああああああ
[1538.106] maxbes__: うおおおおおお
[1538.191] いんちょう: うおおおおおおおおおおおおおおおおおお
[1539.232] gmpwamtwhdpwj: うぉぉぉぉぉぉぉぉ
[1539.461] nanmgf: うおおおおおお
[1539.871] オカっち: うおおおおおおお
[1540.072] glrace: XDやらんか！？
[1540.917] (S)soh_96: うおおおおおおおお
[1541.049] a8mahman: xd
[1542.312] (S)miyawo_meow: vodkav2Good
[1542.481] azusa8911: xd
[1542.527] DieselakaKEIYU: bo2やれ
[1542.964] mozomozo0404: アビリティとかあるの？
[1542.992] 96nowa: うおおおおおおおお
[1543.630] mirukure0610: うおおおおおおおおおお
[1543.720] inuxuu: きたああああああああああああああ
[1546.879] muto_6: BO3やれ
[1548.015] 420Raiden: きたあああああああああああああああああ
[1548.108] nokin9822: うおおぉぉぉぉzone
[1548.983] g4tiiii: うおおおおおおお
[1549.713] 天講: きちゃうぉああああ
[1549.793] inuxuu: bo3やれ
[1549.892] ﾐﾁ: うおおおおおおおお
[1550.142] いたまえ: うおおおおお
[1550.749] 顔パンパン: ｗｗ
[1552.400] tanaksan: あっつ
[1553.198] (S)WtYnT: うおおおおおおおおおおおおおお
[1553.985] mizuki_1117: vodkav2Gotochi
[1557.350] のむのむの: ぼどしん
[1558.101] まんまみや: 核チャレ？w
[1558.444] (S)桜井景和: bo2やろう
[1559.311] dr__mash: bo4plz
[1559.963] 420Raiden: vodkav2Angryvdk
[1561.442] yottando_o: bo3でカスタムマッチしよ
[1563.182] blacksamurai0622: 核チャレw
[1564.768] オカっち: 1位取れるまで終われませんきたー！
[1568.203] taketori_66: 核チャレおもろいぞ
[1568.631] vg7wr: karくそつよ
[1570.776] muto_6: おしゃべりマグロと暴言ペンギンうおおおお
[1579.107] ぼららす: MPもWZもKarばっかりや
[1580.219] ヤマダ電機60日間: Rush VS Obey
[1582.061] inuxuu: bo3 SR1on1頼む
[1595.924] がみちゃそ: 1位とるまでおわれまてん
[1609.034] ponyonosioyaki_: 1on1見たいな
[1612.341] のむのむの: 右クリ
[1617.635] g4tiiii: この際ウォチパ終わったk4senも呼んでくれｗ
[1626.188] ぼららす: 今k4sen TOP 5 PLAYSも応募受付しとる
[1640.816] gmpwamtwhdpwj: なつすぎるだろ
[1645.595] なお777: 昔のboも見てえわ
