[1200.080] ぱぱらっち: 地球時代マジでなんでもしてたイメージ
[1201.717] bikuron15: ゴキブリも定番
[1206.080] (S)つくね1: 虫、食ってなかった？
[1210.451] hstrls: 犬鳴トンネルの闇鍋もおもろかったよ
[1212.104] スタジオゆず: やばいイメージしかなかった
[1212.236] kou18881: おしっこ 
[1218.241] SseinRJ: アナルローターいれてシンスポ行ってたの好きだった
[1229.848] fuji_0416: 虫食うのに抵抗なかった
[1230.710] ENIGMA_0919: 利きオナホ好きだった
[1237.141] (S)t4IGaaaa: 無法地帯やった
[1251.336] ぱぱらっち: ライブでフ○ラされるやつアホやと思ってた( ˙ε . )
[1253.920] ただのともや: 有名人遊戯王とかめっちゃ好き
[1271.103] kou18881: 漁ればごまんと出てきそう
[1277.877] lovelyowj: 居るんじゃね
[1283.619] letmesee07: 大学生のグループとかわんさかおりそう
[1283.815] bonheihe: コムドットの二番煎じとか山ほど居そう
[1292.122] うえはらあいこす: コムドットにあこがれてるガキがあふれてる
[1293.900] kou18881: 手出しやすくなったしね
[1297.648] (S)でーれー: 山田ハウスは絶対に大物にならない安心感がある
[1298.490] mik3912: 気軽に始めれるようになって増えたと思う
[1299.966] aokisouya: 趣味の一種になってんかね
[1308.675] ぶぶにき日記ニキ: おはようございます
[1314.949] kachitoma: 私人逮捕系
[1328.666] kachitoma: BloodTrail
[1331.543] ta_kafuu: 底辺ってどこまでなの？
[1333.579] wh1skey_55: BloodTrail
[1336.242] kou18881: 新宿1○9か
[1339.267] takahouse: お金稼ぎたいから初めてうまくいくイメージない
[1346.227] ぶぶにき日記ニキ: 新宿109は許せる
[1346.377] hstrls: ガレソとかコレコレ嫌いなんか
[1348.041] xueyn: BloodTrail
[1356.545] okameyby: 無難に手に職つける勉強した方がよさそう
[1365.462] (S)dorayakinomattyazoe: 知り合いがそれ系で普通に悲しくなった
[1373.868] kirby_po: こんにちは
[1392.998] mik3912: 若いっていくつまで？
[1411.266] maa_bkm: もしYouTubeやるならどんな企画する？
[1415.742] fuji_0416: 我慢すれば生きるだけの金は稼げる
[1424.385] samontaro: ニートのみんなこんにちは
