[234.114] echoesact48: Fxxkin’ Japanese Jamie期待
[235.122] (S)白岳: 2回でええんや
[235.168] nano0616: そんなに勝たなきゃいけねえんだ
[238.023] (S)進研ジェイミー: なるちゃんゆけーーーーい！！！
[239.510] kallpas_09: シード込み4勝
[246.800] hool2423: 初戦シードなら3かも
[247.197] shunin77: ゆけ〜い
[252.472] みりんあじさん: なるちゃんがんばれーーーーーー
[253.339] nano0616: 2回か、油断できねえよなぁ
[253.348] (S)だぼあぜ: マゴさんいたぁ！
[254.240] (S)459dmaito: 止まるんじゃねぇぞ
[254.525] katanantoka: 3回勝てばW抜け
[256.396] (S)guntose: シードは3やな多分
[256.709] masahiro1341: シードなら3回やね
[259.267] takebanban: 後ろに真白布団おるで
[260.143] (S)susioisii: naru04GOGO
[262.093] (S)陰湿モグラ: 二回って嘘ついたやつ誰？
[262.446] あきがクラ: 3回か ほななるおやったら行けるな
[265.503] mame16901: 頑張れ！応援してます！
[268.440] (S)くらげ1030: 仕上がってるしいける！！
[268.853] (S)tamamowkun: 気張れーい
[269.479] morimorione: ウィナーズいけるやろ
[270.984] 粉シタン: 頼むぞ
[271.253] (S)04popoo: マゴさんいるの安心する
[273.515] X_March_X: いけるっしょ
[274.016] ちゃんはら: 頼むぞー
[275.061] osyouyutwich: いけいけ
[275.378] (S)可愛い嘘のカワウソ: なるおさんがんばれー！
[276.228] cowpander: じゃじぃ；；
[276.352] (S)ももしゃん88: いけるいける！！
[276.918] (S)tefuzappa: がんばれー！
[278.587] mugimugicha33: がんばれー！
[278.852] (S)たべっ子水族館: ぷーる強いひといっぱいいる？
[278.914] shisyo39: がんばれーい
[279.441] itigooooo: まずは目の前の1勝
[281.449] rhythmout: 2300ですから
[282.307] (S)だぼあぜ: ｗｗｗ
[282.886] (S)knock_fg: ゆけーい
[284.110] 馬のしっぽ: がんばれー
[284.343] 趣味垢0817: 今ここでカルビのモノマネいけるか？
[286.203] katanantoka: 朝からの勤続疲労だけが心配
[287.437] あきがクラ: うーんガチャガチャっ！
[288.277] booooo4026: マゴさんは溺れる達人だよ
[291.027] nano0616: 嫌だよ、明日家でスト6反省会してるの
[291.229] あきさめです: がんばれー！
[293.796] (S)shikakubeats: それ、慰めになってないっす
[294.487] meggg156: sasaRave2
[303.369] (S)がすいんニキ: うす！なるお勝ってる？
[303.856] (S)takumaru23: がんばれー
[304.064] さけのあじ: なるおがんばれ！
[305.479] kei_kun_0213: ふぁいおー
[307.953] e________t: 無職の優勝がみてぇんだ
[308.006] あきがクラ: たのしみ～～
[308.051] manemane345: 頑張ってください！
[310.982] あと1983: マゴさんデジタルにハゲましてて良いねぇ
[313.973] べにつば: 今来た。なるおさんはまだ戦ってないです？
[314.418] 馬のしっぽ: winnersで通過してくれー
[318.061] (S)459dmaito: naru04Light
[318.289] (S)たんや王: おっすなるお！
[318.698] puropion8: BloodTrail
[319.080] (S)basiclife123: BloodTrail
[319.990] (S)えむしーぽんぽん: きちゃあああああ
[320.206] いつほし: まだこれから
[320.440] mattttakeee: BloodTrail
[320.447] myonk19: なるお勝ってます
[321.033] booooo4026: 釈迦さんももうすぐルーザーズファイナルぽい
[321.220] amumurin_: まじでLoLは人生終わります
[321.838] (S)アブーラ: BloodTrail
[322.056] (S)がすいんニキ: あ、もしかしてこれから？！
[322.683] なをくん: なるおがんばれっ！！
[322.806] khaaaki: ww
[323.880] ぱいんごっど: BloodTrail
[324.649] morimorione: 終わってないの？
[324.949] mattttakeee: BloodTrail
[325.563] こてがわわ: BloodTrail
[326.857] (S)たべっ子水族館: まだです
[328.437] (S)たんや王: たんや王 subscribed at Tier 1. They've subscribed for 2 months! がんばえー
[328.810] (S)takumaru23: mago2dYametene2
[329.921] (S)いーすとまん: 20:30から
[330.613] X_March_X: うしろになかもっちゃんいるのかｗ
