[3634.594] danzabeast: ランク帯にあった動きとかもあるからプロの動きとか参考にならん
[3643.689] icchy5tr: 聞いてないアドバイスは基本よろしくないしね
[3643.948] (S)ヒイロジーエム: 教えたがりおじさん多いからな…
[3647.104] ginyuginyu: らむちゃんの戦闘スタイルわかってアドバイスは欲しいよね(>_<)でも、中々難しいよね👍️
[3659.224] なるふぇに: コーチング不要タグつければ
[3663.440] rob_monzero: しかも大してうまくもない人のアドバイスも混じってるからキツい
[3703.806] nowiejwssie: 格ゲー配信だけランク可視化して欲しいね
[3712.286] fox_kova: コメジェントな
[3770.524] バンジュ: 配信でプレイを公開していると、プレッシャーで緊張したりするものなのかな？
[3780.010] ginyuginyu: 僕はらむちゃんにアドバイスはいらないくらいうまいって思ってる😊 もっとうまくなりたいなら、プロの方にコーチングしてもらうとかだと思うかな🤔素人の僕らは観ているだけで良い気がする🎵
[3849.813] eukaly_zoku: ｗｗ
[3855.018] enpitsu12345: ；；
[3857.735] ほしのこーひー: BloodTrail
[3876.279] nowiejwssie: やる気全１は後の全１だぞ、頑張れ
[3886.235] ginyuginyu: ごめんなさいm(__)m
[3935.771] バンジュ: ゲーム配信者って、やっぱりメンタルがすごいと思う。
[3939.412] shin_gari: おしい！
[3941.959] shi_e_n: 惜しい！
[3948.375] こどら_: 最強SA1
[3970.448] うたジョン: 無理せず！
[3975.280] rob_monzero: 乙
[3980.596] うじさと: メンタル大事だもんな
[3988.245] danzabeast: 最悪サブキャラでホンダ
[3991.344] バンジュ: ランクマは胃にくるので、避けがち
[3996.509] scheat527: 一生懸命なるほど負けるとムカつくよね🌝
[4011.277] (S)ヒイロジーエム: ホンダw
[4013.250] 52たん: x11fanUmakuike
[4016.550] こどら_: 来月ダイヤにサブキャラの豪鬼が溢れかえるの怖すぎる
[4035.032] icchy5tr: 新しいこと覚えると負け越しがちだからこれは成長痛
[4042.589] うじさと: 確かにサブキャラ豪鬼来るとしばらくランク入れないな
[4066.500] otamajyakushi: 可愛いお顔ですね
[4072.823] gd17g: エドだらけの時期やばかったもんね
[4087.959] (S)ヒイロジーエム: いいね
[4108.402] otamajyakushi: アマゾンのドラマ最近やってた
[4108.964] fox_kova: アマプラ見てるから楽しみ
[4115.040] scheat527: ゾンビのやつ最近やってる！
[4126.166] うじさと: おつ！
[4130.188] バンジュ: おつかれさん！
[4131.730] icchy5tr: お疲れ様でしたー
[4138.293] (S)ヒイロジーエム: おつらむ
[4138.306] ginyuginyu: ありがとうございましたm(__)m
