[1029.740] (S)エリ_10: 88888888
[1032.125] (S)sora_neko09: ミートさんありがとー
[1051.754] (S)kyo967: 番組どんどん充実していきますね。
[1058.674] (S)みかずきーん: こんばんは！
[1063.336] (S)Yokichi_68: なんかね
[1063.770] (S)cooper0201: cooper0201 subscribed with Twitch Prime. They've subscribed for 2 months! 
[1071.279] (S)shupii097: 天才だったのか
[1087.081] pandascal: 公式サイトの仕事歴がガチすぎてやばい
[1088.054] ponta_ryuzaburo: すごーい！！！
[1115.584] ponta_ryuzaburo: 8888888888
[1124.502] snowX23: ベガマジで知りたい
[1127.845] (M)ANIMEILLUMINATI: 音よくなった＿？
[1158.265] (S)Kanquez05: 周りの音が小さくなって聞きやすくなったよー
[1159.700] hoehoeR: よくというか小さくなった
[1160.453] ponta_ryuzaburo: コントラバス！
[1165.232] crt0729: そっちの方がありがてぇ
[1166.428] (S)sora_neko09: 会場の音が目立たなくなったかな
[1167.027] (S)tenten2156: いいよー
[1188.014] snowX23: メナト
[1193.676] hoehoeR: あー たしかに聞きやすくなってた
[1202.204] りんごとバナナ: ^_^
[1208.365] (S)kitagawakun: モノラル音声っぽくなった？
[1365.375] (S)shupii097: なるほど
[1424.349] mysis96: 置き垂直
[1475.550] umechin7: おお
[1485.678] (S)vent_odd: さすふー！
[1502.918] 157655: マサ震えているか
[1502.938] snowX23: 降りで避けるのね
[1537.571] umechin7: プロやなぁ！
[1542.375] Nagare765: マサ！
[1589.497] mysis96: 立ち弱K中Kであっち行けされる
[1600.430] masabonchicken: 出が遅いからオート差し替えしになるんだよなぁ
[1606.594] snowX23: 中kをよく食らう
[1628.391] (S)kitagawakun: 中Kのモーション腰引けてるのに結構強い
[1678.095] 7akase: 弾みたい？
[1809.440] umechin7: じゃあこのサガットの立ち中Kどうするの
[1864.833] (S)kitagawakun: やたー！
[1896.992] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1917.573] (S)kitagawakun: いぶきだったらVスキルとかは？
[2037.244] (S)shupii097: なるほどねぇ
[2073.641] g00d_speed: プロだな
[2110.622] mysis96: 端から押される
[2125.186] 7akase: あんどりゅー、もしかして訳してくれてる？
[2195.566] crt0729: ふーどプロカッコいい
[2306.051] microwave9143: これすっげーためになる
[2329.717] beastbeast: アンドリュー....マイク入ってないよ 
[2333.535] (S)sagatdeganbaru: EXクナイが強過ぎて弾打てない
[2333.603] (S)shupii097: なるほどなぁ
[2343.836] (S)celica1207: celica1207 subscribed with Twitch Prime. They've subscribed for 4 months! 
[2349.890] (S)ガチくんコス転売ヤー: アンドリューマイク入ってないね
[2376.191] qk10min: 未だに弱ソニック見分けて飛べない
[2398.367] vesitermbtl: ソニックは近めで垂直すれば見分ける必要ないからおすすめ
[2405.434] beastbeast: 入ってないｗ
[2407.405] umechin7: キャラ対は大事やなぁ・・
[2424.779] 7akase: 両方日本語ですね。
[2427.067] (S)red_pistol: きこえないっす
[2427.067] (S)kyo967: 遠くでほんの少し聞こえる感じです
[2427.459] gnm1616: 左右別れてないねー
[2428.212] kumanobed: 入ってないです
[2433.613] (S)ガチくんコス転売ヤー: みんなアンドリューの声聞こえてないよね？
[2441.067] hoehoeR: ないね
[2443.707] (S)ミドルおじさん: mutantboon subscribed with Twitch Prime. They've subscribed for 4 months! 
[2461.435] 7akase: 遠くでうっすら聞こえる
[2492.153] Casablancar: よく聞こえましたね
[2494.847] (S)ガチくんコス転売ヤー: 『耳をすませば』
