[1440.476] m1s4m0: もけはやってる
[1440.611] kurobedam: 割とやばいメンツでは？
[1441.374] (S)blueplanet96: ビビりすぎでしょｗ
[1447.143] 新ころりん: ｗｗｗｗ
[1449.150] (S)johndoe6523rp: ｗwｗwｗwｗ
[1450.354] (S)箸くれ: じんぎにぃ配信台だ
[1451.668] (S)ましゅダヨ: wwww
[1453.153] (S)みっちー14: このメンツなら先鋒が３タテして終わりそう
[1454.381] sei_6: 転生ダイヤかも
[1455.890] takahashiseigi: ダイヤ詐欺、MR詐欺もありえる
[1456.077] gfy_twitch: 寄せ集めってチーム名がらしくていいね
[1460.692] (S)ましゅダヨ: めっちゃビビるやんww
[1461.329] (S)monpiipop: www
[1461.803] v_harumi_v: 楽しみ
[1462.147] librabird: 優勝候補がビビりまってる
[1462.947] no_name_0521: こら
[1465.586] aranami0: ウメちゃん！？
[1465.801] (S)hoshi_boshi_0: www
[1468.520] m1s4m0: ビビリハラ
[1471.388] melvin_1023: 寄せ集めたメンバー強すぎる
[1471.661] (S)~MISSING_COMMENTER_INFO~: umeYay
[1471.972] tsubame5204: umeFail
[1477.322] dayakose: 石橋を叩いて渡るかと思ったら駆け抜けるプロ勢
[1481.730] (S)ましゅダヨ: 君ら全員プロなんよw
[1486.392] axchuuu: いっさきかよー
[1488.286] (S)johndoe6523rp: そっすね
[1488.510] v_harumi_v: おそろしやー
[1488.541] (S)deep_cross: 最高やー！
[1490.337] 新ころりん: １先が怖い
[1490.488] (S)~MISSING_COMMENTER_INFO~: 一先！？
[1490.975] (S)ましゅダヨ: 1〜！？
[1491.978] wasabi00009: ここつっよ
[1492.764] meltasco: はっや
[1494.024] 新ころりん: T劇ルール
[1503.133] (S)軽く捻るか: １先！？
[1509.124] (S)kakutora_no_o: おじの闘劇力を見せる時が来た
[1514.177] tsubame5204: 72
[1515.889] (S)hoshi_boshi_0: 72？
[1521.229] gaming8898: 闘劇
[1522.813] (S)ましゅダヨ: いやー待機画面の絵面が強いw.
[1527.549] axchuuu: ７２って書いてあるよ…
