[473.385] ぜんでん坂人生: おはよう、何食べてるの？？？
[478.987] 泣き虫サクラ: 他のキャラも一通り触るんか？
[479.282] とまとたいがー: スト
[481.743] 毛穴つぶつぶ: お腹すくわぁ
[483.345] no_name_0521: アール
[483.406] kino883: 是空〜！
[485.203] ちぇすとです: ぜくぅ
[487.229] (S)terubo0507: terubo0507 converted from a Prime sub to a Tier 1 sub! 
[488.676] とまとたいがー: スト5bgmええな
[489.728] v_harumi_v: 今日も遅くまで配信予定なのかしら？早く終わるのかな？
[491.497] bec118_japan: インフェクシャス見てぇ
[493.305] アメンタセル: 昔是空ずっと使ってたウメさんの配信見てたから耳に残ってる
[506.341] 日本語かな: おはよー
[509.531] norumon: コーディー対策の日々…
[511.713] ゴードンシャムウェイ: ZEROシリーズの曲はあんまり思い入れない感じ？
[512.568] sphere0315: いけるで
[512.644] Fkdso555: 行けるで！
[516.688] tmtm84: 5のガイルのギター部分最高
[518.210] てべす1103: キエエエエエエエ
[519.656] (S)sawa252525: もぐもぐもぐもぐ
[519.928] une3333: カゲはなんかまた違う感じでしたよね
[522.751] matsu_lo: asmr
[524.681] ゆっきーですぞ: 4はほとんどした事ないけど、ザンギとディカープリ 5はリュウのBGMがすきですねぇ
[528.996] une3333: オロが落ち着いた感じで良いですよ
[529.242] melon_pan14: 梅ちゃんとナリくんの動画めっちゃ見てたわ
[529.838] gajpmwtdpw: インフェクシャスは何故かモダンリュウを使っていた
[537.574] fuudokids: 5バーディーはまじでかっこいい
[545.750] 憂う者の弟子: yo!  Daigo-san
[556.834] chamoro_g: 5ルークはもう聞きたくない
[557.124] takossshi: 5はモサモサ
[558.796] v_harumi_v: Mリュウ！
[559.563] kaban1192: モグハラ
[560.480] 日本語かな: もぐもぐ
[565.279] une3333: んぐんぐw
[569.625] ゆっきーですぞ: てか、よく噛んでご飯食べてる！！
[577.902] てべす1103: ウメちゃんおにぎりか？
[579.959] sashimisyouu: ゲーセンだと、音量でかかったですか？
[583.689] tabibitox: そいや昨日の真豪鬼は禊だけじゃなく斬空2発出て５のCAぽいのもだせるぽいね
[595.894] (S)sixshooter_201: 歯、つかってますね
[597.874] norumon: ユンヤンにハズレなし
[600.303] 乙女座: スト2Xが良い曲多かった
[602.515] asakou_8929: DinoDance
[602.663] matsu_lo: っぱスト4よ
[603.332] pyamaaaa: ウメちゃんこんにちは〜
[609.696] Fkdso555: ユンヤンで印象違うの良いね
[611.654] dashinoumami: 神機能だなあ
[612.407] masmas999: おはウメちゃん
[613.480] sn0wf0x3: とーーう
[620.430] ゆっきーですぞ: 4はディカープリもいいすよねぇ
[621.073] WhiteShoreDrive: いいねぇ
[623.045] misopotato: ﾄｰｳ
[623.167] Harlemnite: SF3
[626.061] johndoe6523rp: 4ユン好き
[626.741] CROSSXXXXXXXXXXXXXXXXXXYZ: can you show food
[629.116] verity225: かっこいい
[629.535] アメンタセル: この勝負もらった！
[630.366] v_harumi_v: 曲増えるの嬉しいですね
[631.967] amato710: ユンヤンは３ｒｄがいい
[632.154] sphere0315: ジェイミー戦に流したい
[634.439] もぐるさん: まじかっこいい、
[636.039] てべす1103: ジェイミーに入れてる
[638.945] megu_0923: 幻影陣！
[640.835] 日本語かな: ざっとこんなもん！
[643.841] verity225: とう！とう！
[646.314] naryuhama: 防衛本能で気合いが入る入る
[646.773] aru_0928: 昔のMDに曲入れる時みたいで楽しいね
[649.382] shirokuma1228: アベルとヴァイパーもいれて
[650.882] norumon: ハイッ！ハイッ！ハイッ！
[651.171] アメンタセル: インジョーラ！
[652.353] (S)kuroannex: 試合に飽きなさそうで良いね
[673.638] saitou_yatu: こんにちは
[675.180] electric_gorilla: 選曲中なんだなって
[678.897] ちぇすとです: 多い
[682.992] KPSyuuki0424: DinoDance
[685.198] norumon: 結構多いなw
[690.170] 近未来バスター: ウメハラセレクション
[693.952] balthazar000: お、今日は早いんですね
[695.718] gomesu: ステージ曲も足してくれたら良いですね
[697.410] yuyu09250925: 何たべてるの？
[697.867] TB2117: ｗ
[698.248] CROSSXXXXXXXXXXXXXXXXXXYZ: nice
[698.394] もぐるさん: 対戦見てる視聴してる方も楽しめる神システムだわ
[702.106] une3333: ウメハラセレクション、新曲入荷とw
[706.689] sphere0315: カレー
[706.984] electric_gorilla: ベストヒットエイティーン！！
[709.537] 森のくろやぎ: 真豪鬼ってまじですか？
[712.029] une3333: 噛むようになったけど食べ方は犬みたいw
[713.799] avalon0528: よう噛んでな
[717.432] aru_0928: ぶっちゃけ、CAPCOM系は全部入れて欲しい、モンハンとかも
[719.717] yuyu09250925: カレーいいなあ
[721.771] norumon: シーズン2でこんな神機能追加っていいの？
[723.480] teruharu_: モリモリ食う
[723.703] balthazar000: 後で出すんじゃない？
[724.626] v_harumi_v: 色々食べてる
[726.065] WhiteShoreDrive: もぐもぐ
[727.613] (S)ちぇんぷる: ご飯食べてるの見たらお腹空いてきた
[729.736] Fkdso555: ステージは次のアプデなんかなー
[732.375] sphere0315: ZERO2のリュウvsサガットの特殊曲とかも
[733.373] ゆっきーですぞ: ちゃんと噛んで対策してるのえらい
[733.442] gularain: 今後追加していきそうだねえ
[734.789] burisuke: カレーは飲み物
[740.377] TB2117: 野球部みたいな食い方
[741.081] keigunnoikkaku: 寝癖ピロン
[743.781] てべす1103: 真・ウメハラになってしまう
[747.946] (S)sawa252525: カリー食べてたのか
[750.451] もぐるさん: いとしさとせつなさと心強さとほしい
[751.638] itachi0225: もぐもぐだいご
[753.831] rakuari: 今日は長丁場になりそうですね
[753.961] SpaceDive: HypePeace
[757.565] balthazar000: 噛んでる！
[758.786] une3333: この曲選べるのが1番の大型アップデートだった説ある
[778.680] electric_gorilla: 豪鬼マッチョすぎる
[789.013] udonsan11: おつでーす
[791.967] Fkdso555: 昨日12時間配信してたしモチベかなり高いね
[796.213] sphere0315: いずれはステージ曲やカプエスとかカプジャムも来そう
[797.009] (S)ちぇんぷる: 今日もウメ豪鬼見れて嬉しいよ
[800.728] bec118_japan: 腹筋が盾みたいになっとるもんな
[803.148] 近未来バスター: 称号も変えたいところ
[803.482] 1108044k: プロテインやってそう
[811.373] rat_2442: 人間かコイツw
[812.970] misopotato: 腹の筋肉どうなってるんだこれ
[817.059] BlitXTV: 1 raiders from BlitXTV have joined! 
[818.308] pohihi1234: 今日SS熊本メンバー発表か まさかウメふ～じゃないよね？
[822.099] shoryuken8: マスター上位帯でどうなるか楽しみすね～
[826.411] electric_gorilla: いくかああああ
[828.177] 日本語かな: おー
[828.666] une3333: レッツゴー
[830.075] (S)ちぇんぷる: いったれーーーい！！
[832.233] すず12: 豪鬼つよい？
[832.244] masmas999: ウメちゃん豪鬼どう？メインある？
[832.436] hoshi_boshi_0: きたあああ
[835.869] esrever42: ゆけーい
[839.071] ダイナソー龍崎: レッツゴージャスティーン
[841.020] takossshi: まじで豪鬼多い
[842.739] balthazar000: 今のところは豪鬼最有力？
[843.286] norumon: うおおおお
[844.631] TB2117: 腹ごしらえも終わったし
[845.377] hamufuku: 今日もキめるか
[846.304] (S)すけりょー1011: ウメ豪鬼覇権見える！
[846.998] 日本語かな: 🌸
[847.413] gomesu: さくらあああ
[847.626] nameless_774: 曲いいねえ
[848.893] sphere0315: いきなりさくらー
[849.245] bec118_japan: 本命よ
[849.735] しいたけもぐもぐ: 豪鬼多そうw
[849.947] kaban1192: きたあ
[852.366] 六角橋アキ: さくら名曲きたー
[852.495] てべす1103: さくらからスタート
[853.304] Koooon__: 豪鬼楽しいからなぁ
[856.593] WhiteShoreDrive: いいスタート
[858.633] naryuhama: エモ！
[859.621] kaomoji3: サクラステージ！
[864.983] yuyu09250925: アツい始まり！
[868.322] prisira: ザンギが結構やばいかもしらん
[868.700] sphere0315: さわやかな曲からのこの顔ぶれ
[876.581] sn0wf0x3: DinoDance
[882.069] gomesu: ６でもさくら出てほしいな
[884.952] prototypeie: ｺﾉｷﾓﾁｰ
[887.237] もぐるさん: 画面と曲のギャップw
[896.180] syurionea: ４のさくら曲まじでいい
[900.496] udonsan11: 紙装甲
[902.799] しいたけもぐもぐ: あっちゅうま
[909.783] hiro925: JK豪鬼
[912.593] teruharu_: 転調スキ
[917.194] enden7777: シベリアンエクスプレスがワープしてた
[922.984] 森のくろやぎ: このムキムキコワモテがさくらですか
[928.959] androidand: 朝豪鬼だ
[933.654] tmtm84: 禊かっけ
[934.474] laorao0: かっこいい
[935.000] norumon: OD昇竜かっけぇわ
[944.211] syurionea: リュウさん、私こんなムキムキになりましたよ
[944.234] sphere0315: うぬに会いたい
[952.006] (S)ちぇんぷる: コンボ覚えてるかな？
[959.765] misopotato: 弾つんよ
[963.607] electric_gorilla: 春風脚！
[964.889] pohihi1234: 春風脚！春風脚！
[974.704] tabibitox: 9000だからしぬかとおもたｗ
[975.269] electric_gorilla: つええ
[976.988] ちぇすとです: Dゲージなしでこれか
[982.339] hairi0610: ごうきがんばる！全2巻
[985.160] 日本語かな: 豪鬼きたー
[985.251] gorilla_osaka: ウメ豪鬼ええ感じ
[985.511] electric_gorilla: おんがくしぶー
[988.424] aru_0928: うおおおおお、BGM
[988.503] kaban1192: 曲変わるんだ
[993.538] domontyan: おおおー
[995.202] sn0wf0x3: 豪鬼きたw
[995.417] une3333: お、豪鬼に豪鬼テーマ
[997.384] laorao0: いちいちかっこいいな
[997.661] hara124: この豪鬼のカラーかっこいいね
[999.273] norumon: 試合ごとに変わるのね
[1000.638] gomesu: 曲いろんな風に変わるのすごくいいな
[1001.582] KAGAMINO_TATUZIN: 5キター
[1001.644] domontyan: 5ごうき
[1003.771] misopotato: 5だ
[1003.900] hoshi_boshi_0: 流石に豪鬼にあってる
[1004.532] うぃろぅ: BGM良すぎる
[1008.655] sphere0315: 空気読んだBGM
[1011.259] hairi0610: もうなつい
[1011.553] electric_gorilla: はどぅーけん
[1014.949] (S)K3nsh1nBrZ85: hikaru42Dk
[1020.014] misopotato: トリガー発動しそうになる
[1021.095] kendrick_km: 3rdのアーメンブレイクも聞きてえ
[1029.383] electric_gorilla: つええ
[1032.837] ちぇすとです: 気炎万丈
[1033.950] bboy_k_handhopper: 久しぶりに聴くとイイね5豪鬼
